  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Norm      dNorm       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -5.400e-03 -7.101e-02 8.1170e-03  3.965e-01  3.653e-01 8.1054e-03  1.114e-03 -1.404e-02 8.0597e-03  1.138e-03 -4.282e-02 8.0194e-03  4.290e-03 -2.205e-02 7.9991e-03 0.0000e+00 0.0000e+00 1.6687e-02 2.6213e-03 2.8545e-01 2.0009e-03 4.2635e-01 5.2173e+00 2.8203e+00 7.8837e-01
   2    0 -1.760e-02 -7.321e-02 5.4285e-03  3.960e-01  3.730e-01 5.3977e-03 -6.677e-04 -2.357e-02 5.4107e-03  8.879e-04 -3.537e-02 5.2794e-03  7.968e-03  1.347e-02 5.2480e-03 0.0000e+00 0.0000e+00 -1.1217e-02 2.2160e-03 3.0143e-01 6.9556e-03 4.2893e-01 5.2538e+00 2.8112e+00 7.8052e-01
   3    0 -3.017e-02 -7.176e-02 4.4676e-03  3.956e-01  3.719e-01 4.4144e-03 -2.628e-03 -1.276e-02 4.4322e-03  6.035e-04 -1.080e-02 4.3250e-03  1.194e-02  4.559e-03 4.3067e-03 0.0000e+00 0.0000e+00 -3.6250e-02 2.3827e-03 3.1940e-01 1.2843e-02 4.3188e-01 5.3050e+00 2.8095e+00 7.7297e-01
   4    0 -4.341e-02 -7.018e-02 3.6917e-03  3.944e-01  3.702e-01 3.6209e-03 -4.925e-03 -1.335e-02 3.6404e-03  2.482e-04 -2.012e-02 3.5887e-03  1.640e-02  1.026e-02 3.5747e-03 0.0000e+00 0.0000e+00 2.2280e-03 2.1034e-03 3.4128e-01 2.0329e-02 4.3503e-01 5.3604e+00 2.8021e+00 7.6163e-01
   5    0 -6.011e-02 -5.951e-02 3.1151e-03  3.901e-01  3.786e-01 3.0466e-03 -8.282e-03 -2.371e-02 3.0646e-03 -2.901e-04 -1.579e-02 3.0637e-03  2.234e-02  1.718e-02 3.0558e-03 0.0000e+00 0.0000e+00 -2.8421e-02 1.9684e-03 3.6608e-01 3.1977e-02 4.3595e-01 5.3862e+00 2.7956e+00 7.4438e-01
   6    0 -7.886e-02 -6.479e-02 2.7592e-03  3.848e-01  3.718e-01 2.7000e-03 -1.298e-02 -1.762e-02 2.7144e-03 -1.038e-03 -1.501e-02 2.7251e-03  2.992e-02  1.961e-02 2.7168e-03 0.0000e+00 0.0000e+00 1.6016e-02 1.9581e-03 3.9704e-01 5.0562e-02 4.3636e-01 5.4121e+00 2.7977e+00 7.1924e-01
   7    0 -9.403e-02 -6.787e-02 2.5757e-03  3.781e-01  3.725e-01 2.5192e-03 -1.849e-02 -1.410e-02 2.5341e-03 -1.991e-03 -9.658e-03 2.5313e-03  3.813e-02  2.242e-02 2.5234e-03 0.0000e+00 0.0000e+00 -3.7250e-03 2.1784e-03 4.5192e-01 7.9001e-02 4.3922e-01 5.4874e+00 2.7863e+00 6.7544e-01
   8    0 -1.021e-01 -6.959e-02 2.4998e-03  3.717e-01  3.698e-01 2.4447e-03 -2.413e-02 -1.469e-02 2.4597e-03 -3.102e-03 -7.004e-03 2.4423e-03  4.628e-02  2.583e-02 2.4356e-03 0.0000e+00 0.0000e+00 -1.4410e-02 2.8566e-03 5.4875e-01 1.2326e-01 4.4730e-01 5.6629e+00 2.7772e+00 6.0700e-01
   9    0 -1.020e-01 -7.038e-02 2.4768e-03  3.647e-01  3.678e-01 2.4223e-03 -2.861e-02 -1.548e-02 2.4373e-03 -4.162e-03 -5.575e-03 2.4141e-03  5.353e-02  2.753e-02 2.4076e-03 0.0000e+00 0.0000e+00 1.1484e-02 4.7650e-03 7.0497e-01 1.9213e-01 4.5914e-01 5.9494e+00 2.7691e+00 4.9862e-01
  10    0 -1.018e-01 -7.055e-02 2.4724e-03  3.478e-01  3.674e-01 2.4181e-03 -3.393e-02 -1.561e-02 2.4331e-03 -5.087e-03 -5.384e-03 2.4088e-03  5.772e-02  2.793e-02 2.4023e-03 0.0000e+00 0.0000e+00 3.0808e-02 1.0697e-02 8.9336e-01 2.9785e-01 4.5360e-01 6.0461e+00 2.7860e+00 3.5589e-01
