  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Norm      dNorm       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -5.491e-03  4.458e-02 8.0141e-03  3.947e-01  3.856e-01 7.8967e-03  1.115e-03  1.355e-02 7.9576e-03  1.139e-03 -1.027e-03 7.9203e-03  4.248e-03 -5.315e-03 7.9795e-03 0.0000e+00 0.0000e+00 1.6739e-02 2.6510e-03 2.7982e-01 2.0084e-03 4.2281e-01 5.1863e+00 2.8356e+00 7.8977e-01
   2    0 -1.774e-02  2.912e-02 5.1692e-03  3.937e-01  3.984e-01 5.1298e-03 -6.785e-04 -2.278e-02 5.1706e-03  8.874e-04  2.653e-02 5.1105e-03  7.888e-03  3.103e-03 5.1600e-03 0.0000e+00 0.0000e+00 -2.7653e-02 2.2048e-03 2.9387e-01 6.9162e-03 4.2463e-01 5.2112e+00 2.8270e+00 7.8237e-01
   3    0 -3.057e-02 -8.356e-04 4.2614e-03  3.935e-01  3.849e-01 4.2224e-03 -2.701e-03 -7.309e-03 4.2477e-03  5.971e-04  3.120e-02 4.2005e-03  1.192e-02  2.893e-02 4.2269e-03 0.0000e+00 0.0000e+00 -2.4365e-02 2.3912e-03 3.1093e-01 1.2862e-02 4.2719e-01 5.2629e+00 2.8254e+00 7.7441e-01
   4    0 -4.369e-02 -1.781e-02 3.5792e-03  3.937e-01  3.750e-01 3.5236e-03 -4.979e-03 -2.137e-02 3.5525e-03  2.469e-04  1.734e-02 3.5303e-03  1.639e-02  1.279e-02 3.5378e-03 0.0000e+00 0.0000e+00 9.7161e-03 2.1264e-03 3.3556e-01 2.0298e-02 4.3291e-01 5.3387e+00 2.8149e+00 7.6371e-01
   5    0 -6.055e-02 -1.962e-02 3.0859e-03  3.897e-01  3.735e-01 3.0250e-03 -8.375e-03 -1.944e-02 3.0492e-03 -2.898e-04  1.107e-02 3.0507e-03  2.239e-02  5.992e-03 3.0489e-03 0.0000e+00 0.0000e+00 -1.0678e-02 1.9921e-03 3.6172e-01 3.2039e-02 4.3454e-01 5.3683e+00 2.8052e+00 7.4616e-01
   6    0 -7.930e-02 -3.088e-02 2.7778e-03  3.836e-01  3.675e-01 2.7157e-03 -1.310e-02 -7.700e-03 2.7409e-03 -1.028e-03  7.619e-03 2.7335e-03  2.988e-02  1.647e-02 2.7284e-03 0.0000e+00 0.0000e+00 -1.6327e-04 1.9860e-03 3.8999e-01 5.0431e-02 4.3347e-01 5.3785e+00 2.8046e+00 7.1983e-01
   7    0 -9.461e-02 -3.926e-02 2.6144e-03  3.776e-01  3.646e-01 2.5534e-03 -1.866e-02 -3.512e-03 2.5773e-03 -1.998e-03  7.645e-03 2.5509e-03  3.816e-02  1.811e-02 2.5450e-03 0.0000e+00 0.0000e+00 -1.4293e-02 2.2018e-03 4.5012e-01 7.9116e-02 4.3842e-01 5.4716e+00 2.7901e+00 6.7627e-01
   8    0 -1.026e-01 -4.459e-02 2.5415e-03  3.707e-01  3.607e-01 2.4821e-03 -2.437e-02  8.848e-04 2.5047e-03 -3.106e-03  7.669e-03 2.4645e-03  4.620e-02  2.096e-02 2.4584e-03 0.0000e+00 0.0000e+00 -2.0497e-03 2.8791e-03 5.4575e-01 1.2330e-01 4.4603e-01 5.6392e+00 2.7814e+00 6.0766e-01
   9    0 -1.034e-01 -4.613e-02 2.5174e-03  3.616e-01  3.588e-01 2.4582e-03 -2.943e-02  2.206e-03 2.4806e-03 -4.198e-03  7.368e-03 2.4351e-03  5.312e-02  2.304e-02 2.4292e-03 0.0000e+00 0.0000e+00 1.4605e-02 4.7159e-03 6.9155e-01 1.9172e-01 4.5452e-01 5.8619e+00 2.7742e+00 5.0100e-01
  10    0 -1.035e-01 -4.663e-02 2.5118e-03  3.386e-01  3.586e-01 2.4528e-03 -3.665e-02  2.066e-03 2.4748e-03 -5.396e-03  7.193e-03 2.4287e-03  5.625e-02  2.366e-02 2.4226e-03 0.0000e+00 0.0000e+00 1.4969e-01 9.9182e-03 8.7160e-01 3.0616e-01 4.4261e-01 5.8101e+00 2.8025e+00 3.5167e-01
