  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Norm      dNorm       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -5.498e-03 -5.750e-02 4.1388e-02  3.832e-01  5.841e-01 3.8622e-02  1.157e-03  9.460e-02 4.1370e-02  1.106e-03  1.537e-01 4.2123e-02  3.951e-03 -8.548e-02 4.0879e-02 0.0000e+00 0.0000e+00 -1.0763e-01 1.2986e-02 2.5723e-01 1.9617e-03 4.0581e-01 4.9738e+00 2.8332e+00 7.8314e-01
   2    0 -1.816e-02 -3.480e-03 2.9817e-02  3.843e-01  5.904e-01 2.7679e-02 -7.596e-04  1.764e-01 2.8109e-02  8.541e-04  7.039e-02 2.7846e-02  7.756e-03  1.106e-01 2.7706e-02 0.0000e+00 0.0000e+00 -2.0401e-01 1.1772e-02 2.7517e-01 6.9158e-03 4.0954e-01 5.0463e+00 2.8216e+00 7.7503e-01
   3    0 -3.070e-02  4.819e-02 2.4078e-02  3.884e-01  5.893e-01 2.2405e-02 -2.765e-03  4.990e-02 2.3093e-02  5.805e-04  6.953e-02 2.2531e-02  1.171e-02  1.513e-02 2.2999e-02 0.0000e+00 0.0000e+00 5.6830e-02 1.2817e-02 2.9305e-01 1.2634e-02 4.1667e-01 5.1437e+00 2.8454e+00 7.7459e-01
   4    0 -4.527e-02  1.993e-02 2.0129e-02  3.862e-01  5.513e-01 1.9049e-02 -5.330e-03 -6.312e-02 1.9443e-02  2.284e-04  9.130e-03 1.8998e-02  1.629e-02  9.027e-02 1.9229e-02 0.0000e+00 0.0000e+00 1.2877e-03 1.1584e-02 3.0821e-01 2.0217e-02 4.1655e-01 5.1757e+00 2.8492e+00 7.6408e-01
   5    0 -6.329e-02 -6.320e-05 1.7795e-02  3.822e-01  5.064e-01 1.6858e-02 -9.015e-03 -4.436e-02 1.7090e-02 -2.862e-04 -1.304e-02 1.6581e-02  2.227e-02  6.268e-02 1.6672e-02 0.0000e+00 0.0000e+00 2.0082e-03 1.0752e-02 3.3236e-01 3.1827e-02 4.2186e-01 5.1829e+00 2.8365e+00 7.5057e-01
   6    0 -8.172e-02 -1.338e-02 1.6013e-02  3.777e-01  4.940e-01 1.5178e-02 -1.372e-02 -4.393e-02 1.5376e-02 -1.026e-03  1.546e-03 1.4928e-02  2.984e-02  3.705e-02 1.4952e-02 0.0000e+00 0.0000e+00 1.3137e-01 1.0917e-02 3.7581e-01 5.0371e-02 4.2898e-01 5.2383e+00 2.7979e+00 7.1923e-01
   7    0 -9.683e-02  3.090e-03 1.4902e-02  3.757e-01  4.832e-01 1.4132e-02 -1.926e-02 -6.104e-02 1.4358e-02 -1.962e-03  3.583e-02 1.3925e-02  3.852e-02  4.164e-02 1.3955e-02 0.0000e+00 0.0000e+00 4.1723e-02 1.1889e-02 4.4927e-01 7.9742e-02 4.4158e-01 5.3781e+00 2.7684e+00 6.7771e-01
   8    0 -1.062e-01 -1.124e-02 1.4251e-02  3.651e-01  4.762e-01 1.3538e-02 -2.579e-02 -5.654e-02 1.3723e-02 -3.023e-03  2.180e-02 1.3313e-02  4.635e-02  3.557e-02 1.3307e-02 0.0000e+00 0.0000e+00 -1.9530e-01 1.4113e-02 5.4632e-01 1.2482e-01 4.4949e-01 5.4537e+00 2.7330e+00 6.0753e-01
   9    0 -1.081e-01 -1.190e-02 1.3874e-02  3.520e-01  4.720e-01 1.3184e-02 -3.240e-02 -5.317e-02 1.3355e-02 -4.281e-03  1.576e-02 1.2945e-02  5.241e-02  3.677e-02 1.2947e-02 0.0000e+00 0.0000e+00 -1.2839e-01 1.7668e-02 7.0518e-01 1.9544e-01 4.6488e-01 5.5760e+00 2.6900e+00 5.0964e-01
  10    0 -1.063e-01 -1.919e-02 1.3594e-02  3.239e-01  4.672e-01 1.2937e-02 -4.069e-02 -5.166e-02 1.3084e-02 -5.670e-03  1.763e-02 1.2708e-02  5.502e-02  3.831e-02 1.2709e-02 0.0000e+00 0.0000e+00 -4.8539e-02 2.2725e-02 9.1431e-01 3.4004e-01 4.4799e-01 5.4422e+00 2.7239e+00 3.3841e-01
