  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Norm      dNorm       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -5.283e-03  1.139e-02 7.5978e-03  3.962e-01  3.590e-01 7.4867e-03  1.133e-03 -2.554e-02 7.6234e-03  1.136e-03 -3.048e-02 7.6499e-03  4.238e-03  3.945e-02 7.5989e-03 0.0000e+00 0.0000e+00 -3.7710e-02 2.5229e-03 2.8107e-01 1.9605e-03 4.2466e-01 5.2026e+00 2.8259e+00 7.9064e-01
   2    0 -1.785e-02 -2.580e-02 4.9883e-03  3.931e-01  3.926e-01 4.9596e-03 -7.056e-04  9.153e-03 5.0099e-03  8.745e-04 -2.221e-02 4.9489e-03  7.922e-03  4.118e-02 4.9197e-03 0.0000e+00 0.0000e+00 -2.3563e-02 2.0754e-03 2.9329e-01 6.9648e-03 4.2477e-01 5.1990e+00 2.8141e+00 7.8062e-01
   3    0 -3.020e-02 -2.320e-02 4.1087e-03  3.944e-01  4.029e-01 4.0648e-03 -2.647e-03 -1.347e-02 4.0951e-03  5.904e-04 -1.450e-02 4.0378e-03  1.192e-02  2.985e-02 4.0175e-03 0.0000e+00 0.0000e+00 6.4852e-03 2.2079e-03 3.1300e-01 1.2825e-02 4.3009e-01 5.2684e+00 2.8071e+00 7.7208e-01
   4    0 -4.308e-02 -3.836e-02 3.4450e-03  3.939e-01  3.997e-01 3.3736e-03 -4.872e-03  7.987e-03 3.4021e-03  2.524e-04 -2.220e-02 3.3836e-03  1.631e-02  4.060e-02 3.3676e-03 0.0000e+00 0.0000e+00 -5.1103e-03 2.0263e-03 3.4134e-01 2.0177e-02 4.3662e-01 5.3564e+00 2.7920e+00 7.5907e-01
   5    0 -6.085e-02 -4.869e-02 2.9631e-03  3.890e-01  3.822e-01 2.8851e-03 -8.430e-03  8.802e-03 2.9069e-03 -2.821e-04 -1.794e-02 2.9211e-03  2.235e-02  4.614e-02 2.9025e-03 0.0000e+00 0.0000e+00 -1.0654e-02 1.8998e-03 3.5700e-01 3.1968e-02 4.3454e-01 5.3555e+00 2.8117e+00 7.4590e-01
   6    0 -7.995e-02 -5.484e-02 2.6651e-03  3.824e-01  3.775e-01 2.5920e-03 -1.325e-02  6.947e-03 2.6143e-03 -1.022e-03 -1.518e-02 2.6197e-03  2.987e-02  4.885e-02 2.6041e-03 0.0000e+00 0.0000e+00 1.1757e-02 1.9069e-03 3.8074e-01 5.0391e-02 4.3145e-01 5.3477e+00 2.8188e+00 7.2034e-01
   7    0 -9.528e-02 -5.727e-02 2.5120e-03  3.766e-01  3.748e-01 2.4442e-03 -1.886e-02  6.049e-03 2.4666e-03 -1.993e-03 -1.352e-02 2.4447e-03  3.812e-02  5.061e-02 2.4313e-03 0.0000e+00 0.0000e+00 2.7015e-03 2.1093e-03 4.3618e-01 7.9026e-02 4.3553e-01 5.4459e+00 2.8170e+00 6.7769e-01
   8    0 -1.020e-01 -5.771e-02 2.4489e-03  3.717e-01  3.734e-01 2.3846e-03 -2.405e-02  5.626e-03 2.4070e-03 -3.085e-03 -1.044e-02 2.3685e-03  4.629e-02  4.994e-02 2.3554e-03 0.0000e+00 0.0000e+00 -3.7593e-02 2.8661e-03 5.3161e-01 1.2303e-01 4.4512e-01 5.6581e+00 2.8137e+00 6.0851e-01
   9    0 -1.005e-01 -5.855e-02 2.4298e-03  3.664e-01  3.733e-01 2.3664e-03 -2.777e-02  5.151e-03 2.3890e-03 -4.118e-03 -1.040e-02 2.3450e-03  5.368e-02  5.034e-02 2.3320e-03 0.0000e+00 0.0000e+00 -2.1576e-02 4.9307e-03 6.8778e-01 1.9111e-01 4.6084e-01 6.0023e+00 2.8061e+00 4.9761e-01
  10    0 -1.013e-01 -5.820e-02 2.4255e-03  3.459e-01  3.730e-01 2.3624e-03 -3.458e-02  5.417e-03 2.3848e-03 -5.315e-03 -1.011e-02 2.3404e-03  5.732e-02  5.061e-02 2.3271e-03 0.0000e+00 0.0000e+00 -1.2240e-02 1.0932e-02 8.7976e-01 3.0624e-01 4.5693e-01 6.0430e+00 2.8430e+00 3.4856e-01
