  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Norm      dNorm       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -5.263e-03  2.573e-03 7.5685e-03  3.955e-01  4.851e-01 7.4468e-03  1.107e-03  1.041e-01 7.6016e-03  1.122e-03 -1.866e-02 7.4658e-03  4.265e-03 -3.693e-02 7.4819e-03 0.0000e+00 0.0000e+00 1.4035e-02 2.4511e-03 2.8341e-01 1.9541e-03 4.2470e-01 5.1976e+00 2.8032e+00 7.8572e-01
   2    0 -1.774e-02 -1.336e-03 5.2314e-03  3.947e-01  4.473e-01 5.1511e-03 -6.878e-04  2.844e-02 5.2298e-03  8.828e-04 -2.803e-02 5.0085e-03  7.954e-03 -2.144e-02 5.0015e-03 0.0000e+00 0.0000e+00 -5.8939e-02 2.0315e-03 2.9852e-01 6.9706e-03 4.2784e-01 5.2330e+00 2.8093e+00 7.8057e-01
   3    0 -3.015e-02 -2.890e-02 4.3465e-03  3.969e-01  3.964e-01 4.2565e-03 -2.629e-03  2.652e-02 4.3067e-03  5.958e-04 -1.996e-02 4.1304e-03  1.198e-02  1.029e-02 4.1252e-03 0.0000e+00 0.0000e+00 -1.6945e-02 2.2032e-03 3.1903e-01 1.2876e-02 4.3417e-01 5.3130e+00 2.8102e+00 7.7425e-01
   4    0 -4.287e-02 -3.639e-02 3.5660e-03  3.956e-01  3.864e-01 3.4671e-03 -4.822e-03  2.107e-02 3.4975e-03  2.563e-04 -1.631e-02 3.4243e-03  1.635e-02  2.416e-02 3.4146e-03 0.0000e+00 0.0000e+00 4.0829e-02 1.9950e-03 3.4621e-01 2.0225e-02 4.3926e-01 5.3935e+00 2.7934e+00 7.5950e-01
   5    0 -6.039e-02 -5.464e-02 2.9873e-03  3.892e-01  3.786e-01 2.8941e-03 -8.338e-03  2.410e-02 2.9175e-03 -2.848e-04 -1.358e-02 2.9112e-03  2.231e-02  2.645e-02 2.9088e-03 0.0000e+00 0.0000e+00 4.8249e-03 1.8873e-03 3.6076e-01 3.1922e-02 4.3579e-01 5.3711e+00 2.8019e+00 7.4385e-01
   6    0 -7.906e-02 -5.467e-02 2.6446e-03  3.835e-01  3.799e-01 2.5656e-03 -1.304e-02  2.291e-02 2.5839e-03 -1.024e-03 -1.669e-02 2.5898e-03  2.984e-02  2.932e-02 2.5888e-03 0.0000e+00 0.0000e+00 3.1117e-02 1.9016e-03 3.8620e-01 5.0361e-02 4.3375e-01 5.3802e+00 2.8098e+00 7.1863e-01
   7    0 -9.473e-02 -5.475e-02 2.4711e-03  3.773e-01  3.774e-01 2.4028e-03 -1.868e-02  1.966e-02 2.4206e-03 -1.985e-03 -1.362e-02 2.4100e-03  3.813e-02  3.424e-02 2.4077e-03 0.0000e+00 0.0000e+00 -2.5114e-02 2.1057e-03 4.3838e-01 7.8970e-02 4.3644e-01 5.4636e+00 2.8147e+00 6.7727e-01
   8    0 -1.009e-01 -5.527e-02 2.4025e-03  3.729e-01  3.769e-01 2.3390e-03 -2.363e-02  1.928e-02 2.3564e-03 -3.076e-03 -1.219e-02 2.3306e-03  4.629e-02  3.478e-02 2.3281e-03 0.0000e+00 0.0000e+00 1.1124e-02 2.8279e-03 5.3727e-01 1.2272e-01 4.4762e-01 5.6956e+00 2.8051e+00 6.0754e-01
   9    0 -9.903e-02 -5.557e-02 2.3828e-03  3.695e-01  3.763e-01 2.3207e-03 -2.683e-02  1.944e-02 2.3383e-03 -4.081e-03 -1.229e-02 2.3069e-03  5.402e-02  3.594e-02 2.3044e-03 0.0000e+00 0.0000e+00 -2.9511e-02 4.8809e-03 6.9718e-01 1.9061e-01 4.6514e-01 6.0888e+00 2.8040e+00 4.9697e-01
  10    0 -9.811e-02 -5.568e-02 2.3796e-03  3.583e-01  3.761e-01 2.3178e-03 -3.038e-02  1.938e-02 2.3354e-03 -4.906e-03 -1.203e-02 2.3031e-03  5.913e-02  3.612e-02 2.3006e-03 0.0000e+00 0.0000e+00 1.3562e-02 1.1850e-02 8.9494e-01 2.9063e-01 4.7280e-01 6.3810e+00 2.8300e+00 3.5621e-01
