  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Norm      dNorm       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -2.587e-02 -6.988e-02 3.5131e-03  3.955e-01  3.687e-01 3.4868e-03 -2.049e-03  0.000e+00 0.0000e+00  6.796e-04  0.000e+00 0.0000e+00  1.069e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -7.8967e-03 1.1556e-03 3.1428e-01 1.1350e-02 4.3089e-01 5.2901e+00 2.8101e+00 7.7469e-01
   2    0 -6.480e-02 -6.362e-02 2.8183e-03  3.891e-01  3.695e-01 2.7964e-03 -9.399e-03  0.000e+00 0.0000e+00 -4.638e-04  0.000e+00 0.0000e+00  2.418e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -6.7547e-03 1.5997e-03 3.7324e-01 3.6223e-02 4.3627e-01 5.3937e+00 2.7979e+00 7.3926e-01
   3    0 -8.605e-02 -6.571e-02 2.5831e-03  3.817e-01  3.729e-01 2.5631e-03 -1.526e-02  0.000e+00 0.0000e+00 -1.425e-03  0.000e+00 0.0000e+00  3.341e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -4.9411e-03 2.1414e-03 4.1697e-01 6.1235e-02 4.3699e-01 5.4333e+00 2.7897e+00 7.0228e-01
   4    0 -9.667e-02 -6.814e-02 2.4799e-03  3.764e-01  3.744e-01 2.4602e-03 -1.972e-02  0.000e+00 0.0000e+00 -2.211e-03  0.000e+00 0.0000e+00  3.986e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -1.4419e-03 2.8467e-03 4.6585e-01 8.6247e-02 4.3972e-01 5.5077e+00 2.7855e+00 6.6406e-01
   5    0 -1.020e-01 -7.055e-02 2.4004e-03  3.720e-01  3.723e-01 2.3807e-03 -2.391e-02  0.000e+00 0.0000e+00 -3.050e-03  0.000e+00 0.0000e+00  4.594e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -1.9419e-02 2.9751e-03 5.4283e-01 1.2063e-01 4.4683e-01 5.6513e+00 2.7775e+00 6.1123e-01
   6    0 -1.026e-01 -7.086e-02 2.3758e-03  3.675e-01  3.703e-01 2.3562e-03 -2.760e-02  0.000e+00 0.0000e+00 -3.921e-03  0.000e+00 0.0000e+00  5.199e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2586e-02 5.0900e-03 6.5956e-01 1.7140e-01 4.5712e-01 5.8857e+00 2.7746e+00 5.3110e-01
   7    0 -1.015e-01 -7.139e-02 2.3666e-03  3.608e-01  3.697e-01 2.3471e-03 -3.004e-02  0.000e+00 0.0000e+00 -4.496e-03  0.000e+00 0.0000e+00  5.554e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.7110e-03 8.2290e-03 7.6777e-01 2.2141e-01 4.6148e-01 6.0318e+00 2.7645e+00 4.5409e-01
   8    0 -1.017e-01 -7.160e-02 2.3617e-03  3.501e-01  3.694e-01 2.3424e-03 -3.332e-02  0.000e+00 0.0000e+00 -4.999e-03  0.000e+00 0.0000e+00  5.765e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2367e-02 1.1225e-02 8.7417e-01 2.8526e-01 4.5591e-01 6.0640e+00 2.7848e+00 3.6870e-01
   9    0 -1.025e-01 -7.157e-02 2.3612e-03  3.354e-01  3.694e-01 2.3419e-03 -3.757e-02  0.000e+00 0.0000e+00 -5.591e-03  0.000e+00 0.0000e+00  5.846e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4896e-01 3.6433e-02 1.0101e+00 3.7150e-01 4.4156e-01 5.9647e+00 2.7992e+00 2.7851e-01
  10    0 -1.021e-01 -7.159e-02 2.3611e-03  3.203e-01  3.694e-01 2.3417e-03 -4.054e-02  0.000e+00 0.0000e+00 -6.090e-03  0.000e+00 0.0000e+00  5.704e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.8797e-01 6.2246e-02 1.0924e+00 4.3324e-01 4.2427e-01 5.7591e+00 2.7768e+00 2.2955e-01
  11    0       -nan -7.159e-02 2.3611e-03       -nan  3.694e-01 2.3417e-03       -nan  0.000e+00 0.0000e+00       -nan  0.000e+00 0.0000e+00       -nan  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00       -nan        inf       -nan       -nan       -nan       -nan       -nan       -nan
