  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Norm      dNorm       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -2.283e-02 -2.211e-02 4.0208e-03  3.931e-01  3.709e-01 3.9780e-03 -1.548e-03  0.000e+00 0.0000e+00  7.620e-04  0.000e+00 0.0000e+00  9.503e-03  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -6.8836e-03 1.3220e-03 2.9794e-01 9.5107e-03 4.2370e-01 5.2173e+00 2.8350e+00 7.7973e-01
   2    0 -5.666e-02 -2.361e-02 3.0278e-03  3.912e-01  3.675e-01 2.9941e-03 -7.694e-03  0.000e+00 0.0000e+00 -1.808e-04  0.000e+00 0.0000e+00  2.113e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -8.0172e-04 1.5493e-03 3.5928e-01 2.9905e-02 4.3485e-01 5.3731e+00 2.8063e+00 7.4894e-01
   3    0 -7.909e-02 -3.347e-02 2.7198e-03  3.835e-01  3.722e-01 2.6861e-03 -1.337e-02  0.000e+00 0.0000e+00 -1.095e-03  0.000e+00 0.0000e+00  3.027e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -4.5618e-02 2.0398e-03 3.9792e-01 5.2655e-02 4.3411e-01 5.3883e+00 2.7973e+00 7.1466e-01
   4    0 -9.041e-02 -3.886e-02 2.5830e-03  3.798e-01  3.685e-01 2.5519e-03 -1.761e-02  0.000e+00 0.0000e+00 -1.833e-03  0.000e+00 0.0000e+00  3.655e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -6.3384e-04 2.6470e-03 4.4386e-01 7.4967e-02 4.3798e-01 5.4705e+00 2.7983e+00 6.8293e-01
   5    0 -9.500e-02 -4.783e-02 2.4713e-03  3.748e-01  3.675e-01 2.4426e-03 -2.118e-02  0.000e+00 0.0000e+00 -2.548e-03  0.000e+00 0.0000e+00  4.155e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.5163e-03 2.6727e-03 5.0529e-01 1.0272e-01 4.4120e-01 5.5601e+00 2.7908e+00 6.3848e-01
   6    0 -9.387e-02 -5.038e-02 2.4324e-03  3.722e-01  3.645e-01 2.4038e-03 -2.364e-02  0.000e+00 0.0000e+00 -3.103e-03  0.000e+00 0.0000e+00  4.507e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1193e-02 4.1946e-03 5.8048e-01 1.3661e-01 4.4459e-01 5.6745e+00 2.8025e+00 5.8674e-01
   7    0 -8.782e-02 -5.017e-02 2.4151e-03  3.696e-01  3.646e-01 2.3869e-03 -2.326e-02  0.000e+00 0.0000e+00 -3.118e-03  0.000e+00 0.0000e+00  4.416e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5734e-02 6.1787e-03 6.1312e-01 1.5357e-01 4.3749e-01 5.6428e+00 2.8194e+00 5.5831e-01
   8    0 -8.424e-02 -5.151e-02 2.4023e-03  3.676e-01  3.645e-01 2.3743e-03 -2.311e-02  0.000e+00 0.0000e+00 -2.973e-03  0.000e+00 0.0000e+00  4.169e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6803e-01 6.9922e-03 6.1773e-01 1.6405e-01 4.2028e-01 5.4698e+00 2.8655e+00 5.4883e-01
   9    0 -8.239e-02 -5.229e-02 2.4000e-03  3.719e-01  3.636e-01 2.3723e-03 -2.182e-02  0.000e+00 0.0000e+00 -2.494e-03  0.000e+00 0.0000e+00  3.766e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.7829e-02 1.6123e-02 5.6004e-01 1.5138e-01 3.9321e-01 5.1693e+00 3.0106e+00 5.9328e-01
  10    0 -8.098e-02 -5.292e-02 2.3972e-03  3.694e-01  3.631e-01 2.3696e-03 -2.097e-02  0.000e+00 0.0000e+00 -2.317e-03  0.000e+00 0.0000e+00  3.501e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5569e-02 1.4462e-02 5.0685e-01 1.3680e-01 3.6704e-01 4.8241e+00 3.0549e+00 6.1599e-01
  11    0       -nan -5.292e-02 2.3972e-03       -nan  3.631e-01 2.3696e-03       -nan  0.000e+00 0.0000e+00       -nan  0.000e+00 0.0000e+00       -nan  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00       -nan        inf       -nan       -nan       -nan       -nan       -nan       -nan
