  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Norm      dNorm       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -3.593e-02 -1.366e+00 7.5247e-02  3.919e-01 -2.721e-01 7.9373e-02 -4.199e-03  0.000e+00 0.0000e+00  3.537e-04  0.000e+00 0.0000e+00  1.384e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9084e-01 2.9840e-02 3.1023e-01 1.8559e-02 4.2225e-01 5.2270e+00 2.8981e+00 7.7944e-01
   2    0 -5.300e-02 -2.688e-01 4.6920e-02  3.709e-01  5.934e-01 4.8236e-02 -8.221e-03  0.000e+00 0.0000e+00 -2.089e-04  0.000e+00 0.0000e+00  1.987e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -7.3825e-02 1.9461e-02 3.1181e-01 3.3084e-02 4.0081e-01 4.9943e+00 2.8097e+00 7.3232e-01
   3    0 -6.222e-02 -1.650e-01 3.7642e-02  3.926e-01  3.772e-01 3.8575e-02 -1.141e-02  0.000e+00 0.0000e+00 -8.520e-04  0.000e+00 0.0000e+00  2.624e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -1.2390e-01 2.1088e-02 4.2404e-01 5.5402e-02 4.5081e-01 5.5188e+00 2.8092e+00 7.1882e-01
   4    0 -5.926e-02 -1.760e-01 3.1319e-02  3.799e-01  4.437e-01 3.1897e-02 -1.138e-02  0.000e+00 0.0000e+00 -8.866e-04  0.000e+00 0.0000e+00  2.543e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.5885e-02 1.8468e-02 4.2658e-01 6.0524e-02 4.4125e-01 5.3569e+00 2.7376e+00 6.9640e-01
   5    0 -6.495e-02 -1.492e-01 2.4726e-02  3.762e-01  4.818e-01 2.4613e-02 -1.320e-02  0.000e+00 0.0000e+00 -1.167e-03  0.000e+00 0.0000e+00  2.790e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.7373e-02 1.3371e-02 4.4635e-01 7.3620e-02 4.3625e-01 5.3262e+00 2.7631e+00 6.8160e-01
   6    0 -6.427e-02 -7.140e-02 2.1366e-02  3.750e-01  5.387e-01 2.1005e-02 -1.356e-02  0.000e+00 0.0000e+00 -1.202e-03  0.000e+00 0.0000e+00  2.772e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -3.1111e-01 1.3716e-02 4.5922e-01 7.8018e-02 4.3886e-01 5.3133e+00 2.7213e+00 6.7110e-01
   7    0 -6.887e-02 -1.159e-02 1.9548e-02  3.806e-01  5.154e-01 1.8993e-02 -1.467e-02  0.000e+00 0.0000e+00 -1.325e-03  0.000e+00 0.0000e+00  2.891e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -3.4339e-01 1.4876e-02 4.5974e-01 7.9548e-02 4.4320e-01 5.4074e+00 2.7771e+00 6.8002e-01
   8    0 -6.489e-02  5.780e-03 1.6984e-02  3.815e-01  4.929e-01 1.6533e-02 -1.300e-02  0.000e+00 0.0000e+00 -1.050e-03  0.000e+00 0.0000e+00  2.740e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2392e-01 1.1177e-02 4.3951e-01 6.9960e-02 4.3935e-01 5.3741e+00 2.7772e+00 6.9094e-01
   9    0 -5.829e-02 -4.096e-03 1.6041e-02  3.785e-01  4.723e-01 1.5731e-02 -1.122e-02  0.000e+00 0.0000e+00 -7.489e-04  0.000e+00 0.0000e+00  2.422e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -5.3090e-02 1.6090e-02 3.9043e-01 5.7879e-02 4.2723e-01 5.2119e+00 2.8259e+00 7.1311e-01
  10    0 -5.933e-02 -4.553e-02 1.3309e-02  3.758e-01  4.905e-01 1.3043e-02 -1.081e-02  0.000e+00 0.0000e+00 -6.328e-04  0.000e+00 0.0000e+00  2.336e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.4588e-02 7.7491e-03 3.5718e-01 4.9789e-02 4.1678e-01 5.1250e+00 2.8152e+00 7.1810e-01
  11    0       -nan -4.553e-02 1.3309e-02       -nan  4.905e-01 1.3043e-02       -nan  0.000e+00 0.0000e+00       -nan  0.000e+00 0.0000e+00       -nan  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00       -nan        inf       -nan       -nan       -nan       -nan       -nan       -nan
