  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Norm      dNorm       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -2.263e-02 -4.371e-02 3.7858e-03  3.932e-01  4.176e-01 3.7344e-03 -1.521e-03  0.000e+00 0.0000e+00  7.547e-04  0.000e+00 0.0000e+00  9.507e-03  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -1.0122e-02 1.2399e-03 2.9933e-01 9.4990e-03 4.2524e-01 5.2183e+00 2.8174e+00 7.7716e-01
   2    0 -5.694e-02 -4.822e-02 2.8573e-03  3.907e-01  3.846e-01 2.8265e-03 -7.757e-03  0.000e+00 0.0000e+00 -1.761e-04  0.000e+00 0.0000e+00  2.111e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -2.8444e-02 1.4767e-03 3.5604e-01 2.9877e-02 4.3556e-01 5.3642e+00 2.8088e+00 7.4834e-01
   3    0 -7.976e-02 -5.491e-02 2.5751e-03  3.830e-01  3.812e-01 2.5487e-03 -1.355e-02  0.000e+00 0.0000e+00 -1.097e-03  0.000e+00 0.0000e+00  3.030e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4349e-02 1.9658e-03 3.9014e-01 5.2765e-02 4.3323e-01 5.3728e+00 2.8133e+00 7.1565e-01
   4    0 -9.112e-02 -5.327e-02 2.4530e-03  3.791e-01  3.769e-01 2.4280e-03 -1.779e-02  0.000e+00 0.0000e+00 -1.836e-03  0.000e+00 0.0000e+00  3.660e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0614e-02 2.5583e-03 4.3279e-01 7.5034e-02 4.3601e-01 5.4524e+00 2.8210e+00 6.8385e-01
   5    0 -9.448e-02 -5.660e-02 2.3554e-03  3.758e-01  3.737e-01 2.3326e-03 -2.091e-02  0.000e+00 0.0000e+00 -2.494e-03  0.000e+00 0.0000e+00  4.134e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -3.1533e-02 2.6059e-03 4.8956e-01 1.0141e-01 4.3985e-01 5.5610e+00 2.8212e+00 6.4181e-01
   6    0 -9.036e-02 -5.730e-02 2.3225e-03  3.750e-01  3.743e-01 2.3002e-03 -2.201e-02  0.000e+00 0.0000e+00 -2.938e-03  0.000e+00 0.0000e+00  4.428e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.6433e-02 4.2162e-03 5.6433e-01 1.3126e-01 4.4524e-01 5.7156e+00 2.8222e+00 5.9099e-01
   7    0 -8.662e-02 -5.774e-02 2.3091e-03  3.737e-01  3.745e-01 2.2868e-03 -2.203e-02  0.000e+00 0.0000e+00 -3.039e-03  0.000e+00 0.0000e+00  4.463e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -4.8221e-02 6.3897e-03 6.0911e-01 1.5150e-01 4.4264e-01 5.7492e+00 2.8397e+00 5.5816e-01
   8    0 -8.092e-02 -5.875e-02 2.2985e-03  3.741e-01  3.741e-01 2.2764e-03 -2.082e-02  0.000e+00 0.0000e+00 -2.699e-03  0.000e+00 0.0000e+00  4.052e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8344e-03 7.0931e-03 5.9611e-01 1.5134e-01 4.2416e-01 5.5353e+00 2.8988e+00 5.6743e-01
   9    0 -7.428e-02 -5.819e-02 2.2964e-03  3.749e-01  3.740e-01 2.2744e-03 -1.762e-02  0.000e+00 0.0000e+00 -1.914e-03  0.000e+00 0.0000e+00  3.383e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.1873e-02 1.5720e-02 5.0881e-01 1.1974e-01 3.9187e-01 5.1131e+00 2.9712e+00 6.2319e-01
  10    0 -7.703e-02 -5.828e-02 2.2940e-03  3.739e-01  3.737e-01 2.2721e-03 -1.934e-02  0.000e+00 0.0000e+00 -2.062e-03  0.000e+00 0.0000e+00  3.340e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.6387e-02 1.4342e-02 4.8844e-01 1.2422e-01 3.6811e-01 4.8249e+00 3.0444e+00 6.2852e-01
  11    0       -nan -5.828e-02 2.2940e-03       -nan  3.737e-01 2.2721e-03       -nan  0.000e+00 0.0000e+00       -nan  0.000e+00 0.0000e+00       -nan  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00       -nan        inf       -nan       -nan       -nan       -nan       -nan       -nan
