  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Norm      dNorm       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -2.550e-02 -3.681e-02 3.5712e-03  3.956e-01  3.867e-01 3.4723e-03 -1.991e-03  2.087e-02 3.5025e-03  6.809e-04 -1.589e-02 3.4278e-03  1.061e-02  2.272e-02 3.4197e-03 0.0000e+00 0.0000e+00 -7.3348e-03 1.0757e-03 3.1410e-01 1.1210e-02 4.3198e-01 5.2910e+00 2.8039e+00 7.7403e-01
   2    0 -6.493e-02 -5.230e-02 2.7904e-03  3.878e-01  3.835e-01 2.7060e-03 -9.430e-03  2.405e-02 2.7247e-03 -4.565e-04 -1.537e-02 2.7317e-03  2.409e-02  2.810e-02 2.7306e-03 0.0000e+00 0.0000e+00 2.0631e-02 1.5384e-03 3.6620e-01 3.6060e-02 4.3513e-01 5.3695e+00 2.8019e+00 7.3789e-01
   3    0 -8.682e-02 -5.447e-02 2.5619e-03  3.807e-01  3.813e-01 2.4878e-03 -1.547e-02  2.165e-02 2.5054e-03 -1.417e-03 -1.565e-02 2.5063e-03  3.343e-02  2.995e-02 2.5054e-03 0.0000e+00 0.0000e+00 5.1129e-04 2.0785e-03 4.0411e-01 6.1296e-02 4.3387e-01 5.4028e+00 2.8149e+00 7.0337e-01
   4    0 -9.727e-02 -5.491e-02 2.4705e-03  3.766e-01  3.778e-01 2.4021e-03 -1.987e-02  1.956e-02 2.4201e-03 -2.209e-03 -1.335e-02 2.4094e-03  3.994e-02  3.433e-02 2.4072e-03 0.0000e+00 0.0000e+00 -2.9950e-02 2.7606e-03 4.5415e-01 8.6370e-02 4.3844e-01 5.5010e+00 2.8161e+00 6.6687e-01
   5    0 -1.009e-01 -5.557e-02 2.4066e-03  3.730e-01  3.772e-01 2.3427e-03 -2.346e-02  1.937e-02 2.3604e-03 -3.031e-03 -1.225e-02 2.3357e-03  4.594e-02  3.490e-02 2.3332e-03 0.0000e+00 0.0000e+00 1.2770e-02 2.9422e-03 5.3154e-01 1.2015e-01 4.4706e-01 5.6815e+00 2.8050e+00 6.1176e-01
   6    0 -9.985e-02 -5.542e-02 2.3883e-03  3.709e-01  3.767e-01 2.3257e-03 -2.619e-02  1.887e-02 2.3434e-03 -3.847e-03 -1.161e-02 2.3138e-03  5.233e-02  3.598e-02 2.3114e-03 0.0000e+00 0.0000e+00 -2.9024e-02 5.1328e-03 6.5025e-01 1.7049e-01 4.6061e-01 5.9838e+00 2.8051e+00 5.2955e-01
   7    0 -9.793e-02 -5.572e-02 2.3823e-03  3.665e-01  3.767e-01 2.3201e-03 -2.779e-02  1.935e-02 2.3378e-03 -4.409e-03 -1.207e-02 2.3065e-03  5.627e-02  3.604e-02 2.3040e-03 0.0000e+00 0.0000e+00 -1.5078e-02 8.6489e-03 7.6388e-01 2.2066e-01 4.7008e-01 6.2241e+00 2.8020e+00 4.4804e-01
   8    0 -9.811e-02 -5.584e-02 2.3792e-03  3.591e-01  3.765e-01 2.3173e-03 -3.019e-02  1.932e-02 2.3351e-03 -4.872e-03 -1.181e-02 2.3028e-03  5.896e-02  3.615e-02 2.3004e-03 0.0000e+00 0.0000e+00 1.0887e-02 1.2115e-02 8.8161e-01 2.8343e-01 4.7268e-01 6.3703e+00 2.8281e+00 3.6373e-01
   9    0 -9.811e-02 -5.585e-02 2.3790e-03  3.507e-01  3.765e-01 2.3171e-03 -3.240e-02  1.930e-02 2.3349e-03 -5.290e-03 -1.180e-02 2.3026e-03  6.105e-02  3.620e-02 2.3001e-03 0.0000e+00 0.0000e+00 -4.8326e-02 4.7496e-02 1.0456e+00 3.7055e-01 4.7559e-01 6.5197e+00 2.8542e+00 2.7349e-01
  10    0 -9.858e-02 -5.586e-02 2.3790e-03  3.564e-01  3.764e-01 2.3171e-03 -3.275e-02  1.930e-02 2.3349e-03 -5.388e-03 -1.178e-02 2.3025e-03  6.336e-02  3.622e-02 2.3001e-03 0.0000e+00 0.0000e+00 4.9986e-01 1.4337e-01 1.1942e+00 4.2825e-01 4.9592e-01 6.8289e+00 2.8874e+00 2.5684e-01
  11    0       -nan -5.586e-02 2.3790e-03       -nan  3.764e-01 2.3171e-03       -nan  1.930e-02 2.3349e-03       -nan -1.178e-02 2.3025e-03       -nan  3.622e-02 2.3001e-03 0.0000e+00 0.0000e+00       -nan        inf       -nan       -nan       -nan       -nan       -nan       -nan
