  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Norm      dNorm       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -3.594e-02 -1.347e+00 7.7385e-02  3.920e-01 -1.578e-01 8.2816e-02 -4.201e-03  3.286e-01 7.6680e-02  3.539e-04  3.611e-02 8.3715e-02  1.385e-02  7.144e-02 8.0487e-02 0.0000e+00 0.0000e+00 1.8951e-01 2.9845e-02 3.0874e-01 1.6964e-02 4.2240e-01 5.2288e+00 2.8991e+00 7.7970e-01
   2    0 -5.298e-02 -2.502e-01 4.7167e-02  3.708e-01  5.817e-01 4.8450e-02 -8.219e-03 -1.474e-01 4.5342e-02 -2.088e-04 -4.976e-02 4.8938e-02  1.986e-02  9.472e-02 4.6922e-02 0.0000e+00 0.0000e+00 -7.5661e-02 1.9458e-02 3.1535e-01 3.6712e-02 4.0068e-01 4.9927e+00 2.8088e+00 7.3209e-01
   3    0 -6.217e-02 -1.671e-01 3.7898e-02  3.922e-01  3.738e-01 3.8550e-02 -1.140e-02 -2.295e-02 3.7337e-02 -8.513e-04  6.518e-02 3.8425e-02  2.622e-02  1.161e-01 3.8464e-02 0.0000e+00 0.0000e+00 -1.2453e-01 2.1080e-02 4.3165e-01 6.3323e-02 4.5044e-01 5.5142e+00 2.8069e+00 7.1823e-01
   4    0 -5.920e-02 -1.816e-01 3.1396e-02  3.796e-01  4.387e-01 3.1903e-02 -1.137e-02 -4.925e-02 3.0447e-02 -8.858e-04  5.286e-02 3.1336e-02  2.540e-02  1.733e-01 3.1535e-02 0.0000e+00 0.0000e+00 9.4889e-02 1.8459e-02 4.5302e-01 8.7314e-02 4.4083e-01 5.3518e+00 2.7350e+00 6.9574e-01
   5    0 -6.497e-02 -1.437e-01 2.4864e-02  3.763e-01  4.792e-01 2.4732e-02 -1.320e-02 -5.856e-02 2.4511e-02 -1.167e-03  9.890e-04 2.5111e-02  2.791e-02  7.179e-02 2.4964e-02 0.0000e+00 0.0000e+00 3.7377e-02 1.3373e-02 4.9711e-01 1.2426e-01 4.3638e-01 5.3278e+00 2.7639e+00 6.8180e-01
   6    0 -6.427e-02 -5.961e-02 2.1376e-02  3.750e-01  5.438e-01 2.1155e-02 -1.357e-02 -1.074e-01 2.0898e-02 -1.202e-03  1.256e-02 2.1395e-02  2.772e-02  3.732e-02 2.1266e-02 0.0000e+00 0.0000e+00 -3.1179e-01 1.3717e-02 5.5409e-01 1.7285e-01 4.3890e-01 5.3139e+00 2.7216e+00 6.7116e-01
   7    0 -6.888e-02  3.632e-03 1.9568e-02  3.807e-01  5.276e-01 1.9191e-02 -1.467e-02 -1.240e-01 1.9070e-02 -1.325e-03 -1.215e-02 1.9302e-02  2.891e-02  2.331e-02 1.9333e-02 0.0000e+00 0.0000e+00 -3.4301e-01 1.4877e-02 6.0671e-01 2.2646e-01 4.4325e-01 5.4082e+00 2.7774e+00 6.8011e-01
   8    0 -6.490e-02  2.457e-02 1.7219e-02  3.815e-01  5.012e-01 1.6858e-02 -1.300e-02 -1.052e-01 1.6949e-02 -1.050e-03  5.010e-02 1.6871e-02  2.741e-02  3.523e-02 1.7030e-02 0.0000e+00 0.0000e+00 1.2396e-01 1.1178e-02 6.7089e-01 3.0127e-01 4.3944e-01 5.3752e+00 2.7777e+00 6.9108e-01
   9    0 -5.827e-02  1.007e-02 1.6413e-02  3.784e-01  4.735e-01 1.6122e-02 -1.122e-02 -8.974e-02 1.6223e-02 -7.486e-04  5.838e-02 1.6027e-02  2.421e-02  6.970e-02 1.6179e-02 0.0000e+00 0.0000e+00 -5.2556e-02 1.6087e-02 7.0918e-01 3.7676e-01 4.2707e-01 5.2099e+00 2.8248e+00 7.1283e-01
  10    0 -5.933e-02 -3.016e-02 1.4141e-02  3.758e-01  4.945e-01 1.3648e-02 -1.081e-02 -5.898e-02 1.3800e-02 -6.328e-04  5.472e-02 1.3439e-02  2.336e-02  4.943e-02 1.3414e-02 0.0000e+00 0.0000e+00 5.4657e-02 7.7491e-03 8.3810e-01 5.3071e-01 4.1678e-01 5.1249e+00 2.8152e+00 7.1810e-01
  11    0       -nan -3.016e-02 1.4141e-02       -nan  4.945e-01 1.3648e-02       -nan -5.898e-02 1.3800e-02       -nan  5.472e-02 1.3439e-02       -nan  4.943e-02 1.3414e-02 0.0000e+00 0.0000e+00       -nan        inf       -nan       -nan       -nan       -nan       -nan       -nan
