  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Norm      dNorm       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -2.550e-02 -2.722e-02 3.2742e-03  3.957e-01  3.960e-01 3.2458e-03 -1.991e-03  0.000e+00 0.0000e+00  6.809e-04  0.000e+00 0.0000e+00  1.061e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -7.3352e-03 1.0757e-03 3.1411e-01 1.1211e-02 4.3199e-01 5.2911e+00 2.8040e+00 7.7404e-01
   2    0 -6.493e-02 -4.760e-02 2.6443e-03  3.877e-01  3.930e-01 2.6246e-03 -9.430e-03  0.000e+00 0.0000e+00 -4.564e-04  0.000e+00 0.0000e+00  2.409e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0522e-02 1.5384e-03 3.6619e-01 3.6059e-02 4.3511e-01 5.3693e+00 2.8018e+00 7.3786e-01
   3    0 -8.681e-02 -5.362e-02 2.4407e-03  3.807e-01  3.901e-01 2.4201e-03 -1.547e-02  0.000e+00 0.0000e+00 -1.417e-03  0.000e+00 0.0000e+00  3.343e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.6904e-04 2.0784e-03 4.0409e-01 6.1293e-02 4.3385e-01 5.4026e+00 2.8148e+00 7.0334e-01
   4    0 -9.729e-02 -5.592e-02 2.3502e-03  3.767e-01  3.856e-01 2.3309e-03 -1.987e-02  0.000e+00 0.0000e+00 -2.209e-03  0.000e+00 0.0000e+00  3.995e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -2.9919e-02 2.7609e-03 4.5424e-01 8.6386e-02 4.3853e-01 5.5020e+00 2.8166e+00 6.6699e-01
   5    0 -1.009e-01 -5.881e-02 2.2821e-03  3.730e-01  3.850e-01 2.2633e-03 -2.346e-02  0.000e+00 0.0000e+00 -3.030e-03  0.000e+00 0.0000e+00  4.593e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2797e-02 2.9421e-03 5.3147e-01 1.2013e-01 4.4701e-01 5.6807e+00 2.8046e+00 6.1168e-01
   6    0 -9.986e-02 -5.921e-02 2.2618e-03  3.710e-01  3.844e-01 2.2431e-03 -2.619e-02  0.000e+00 0.0000e+00 -3.848e-03  0.000e+00 0.0000e+00  5.234e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -2.9394e-02 5.1332e-03 6.5037e-01 1.7052e-01 4.6070e-01 5.9849e+00 2.8057e+00 5.2965e-01
   7    0 -9.787e-02 -5.976e-02 2.2548e-03  3.663e-01  3.845e-01 2.2361e-03 -2.778e-02  0.000e+00 0.0000e+00 -4.406e-03  0.000e+00 0.0000e+00  5.624e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -1.6308e-02 8.6464e-03 7.6343e-01 2.2053e-01 4.6981e-01 6.2204e+00 2.8004e+00 4.4778e-01
   8    0 -9.810e-02 -6.004e-02 2.2514e-03  3.590e-01  3.844e-01 2.2326e-03 -3.018e-02  0.000e+00 0.0000e+00 -4.871e-03  0.000e+00 0.0000e+00  5.895e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1487e-02 1.2114e-02 8.8146e-01 2.8339e-01 4.7260e-01 6.3693e+00 2.8276e+00 3.6367e-01
   9    0 -9.823e-02 -6.005e-02 2.2512e-03  3.512e-01  3.843e-01 2.2324e-03 -3.244e-02  0.000e+00 0.0000e+00 -5.297e-03  0.000e+00 0.0000e+00  6.112e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 -4.1691e-02 4.7525e-02 1.0469e+00 3.7101e-01 4.7618e-01 6.5277e+00 2.8577e+00 2.7383e-01
  10    0 -9.908e-02 -6.005e-02 2.2511e-03  3.582e-01  3.843e-01 2.2324e-03 -3.292e-02  0.000e+00 0.0000e+00 -5.415e-03  0.000e+00 0.0000e+00  6.368e-02  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.9556e-01 1.4373e-01 1.2002e+00 4.3041e-01 4.9842e-01 6.8633e+00 2.9020e+00 2.5813e-01
  11    0       -nan -6.005e-02 2.2511e-03       -nan  3.843e-01 2.2324e-03       -nan  0.000e+00 0.0000e+00       -nan  0.000e+00 0.0000e+00       -nan  0.000e+00 0.0000e+00 0.0000e+00 0.0000e+00       -nan        inf       -nan       -nan       -nan       -nan       -nan       -nan
