  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -5.400e-03 -7.101e-02 8.1170e-03  3.965e-01  3.653e-01 8.1054e-03  1.114e-03 -1.404e-02 8.0597e-03  1.138e-03 -4.282e-02 8.0194e-03  4.290e-03 -2.205e-02 7.9991e-03 1.6687e-02 2.6213e-03 2.8545e-01 2.0009e-03 4.2635e-01 5.2173e+00 2.8203e+00 7.8837e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 1.512801e+03 1.027070e+03 1.912422e-01 4.946695e+01 1.552338e+03 1.007158e+03 2.130026e-01 4.943047e+01 5.847778e-02 6.389554e-03 -3.111692e-04 2.683901e-03
15.000 45.000 1.116650e+03 1.288026e+03 -7.126762e-02 4.891281e+01 1.127035e+03 1.286444e+03 -6.604959e-02 4.901989e+01 2.783491e-01 1.008270e-02 -7.535182e-05 -7.147753e-03
15.000 75.000 8.535367e+02 1.948898e+03 -3.908605e-01 4.872680e+01 8.365193e+02 1.975039e+03 -4.049425e-01 4.848219e+01 4.236369e-01 1.494167e-02 2.048668e-04 -1.671559e-02
15.000 105.000 1.706552e+03 1.434035e+03 8.677268e-02 5.582956e+01 1.639453e+03 1.461529e+03 5.737667e-02 5.559473e+01 4.554117e-01 1.685265e-02 3.730978e-04 -6.602935e-03
15.000 135.000 1.275330e+03 9.683327e+02 1.368287e-01 4.692182e+01 1.223807e+03 9.946870e+02 1.032774e-01 4.684903e+01 3.651592e-01 1.493913e-02 5.060065e-04 -4.866190e-03
15.000 165.000 1.346322e+03 1.692352e+03 -1.138755e-01 5.476559e+01 1.297755e+03 1.745428e+03 -1.471069e-01 5.456489e+01 1.770626e-01 1.007893e-02 4.298536e-04 -5.312426e-03
15.000 195.000 1.521701e+03 8.902671e+02 2.617920e-01 4.739899e+01 1.491841e+03 9.137287e+02 2.403223e-01 4.760920e+01 -5.847775e-02 6.389554e-03 3.195794e-04 6.756890e-03
15.000 225.000 1.015543e+03 9.527181e+02 3.191896e-02 4.434248e+01 1.008970e+03 9.530242e+02 2.851459e-02 4.427639e+01 -2.783490e-01 1.008270e-02 5.432821e-05 6.997082e-03
15.000 255.000 1.301317e+03 8.036513e+02 2.364243e-01 4.457923e+01 1.315938e+03 7.927019e+02 2.481393e-01 4.448376e+01 -4.236369e-01 1.494167e-02 -1.860188e-04 1.480647e-02
15.000 285.000 1.338571e+03 1.124551e+03 8.688946e-02 4.944215e+01 1.366539e+03 1.086849e+03 1.140013e-01 4.920877e+01 -4.554117e-01 1.685265e-02 -3.886622e-04 1.096840e-02
15.000 315.000 1.518313e+03 1.499587e+03 6.205028e-03 5.493436e+01 1.567068e+03 1.432611e+03 4.482383e-02 5.471428e+01 -3.651592e-01 1.493913e-02 -4.980921e-04 6.760144e-03
15.000 345.000 1.734354e+03 1.163761e+03 1.968844e-01 5.278043e+01 1.791982e+03 1.121988e+03 2.299250e-01 5.253496e+01 -1.770626e-01 1.007893e-02 -4.436808e-04 7.084956e-03
45.000 15.000 9.461074e+02 1.448444e+03 -2.097832e-01 4.784527e+01 9.952016e+02 1.380697e+03 -1.622524e-01 4.809731e+01 -1.069907e-02 1.333049e-02 -7.006113e-04 -4.160999e-03
45.000 45.000 1.307164e+03 1.241301e+03 2.584407e-02 5.046546e+01 1.372199e+03 1.200362e+03 6.679597e-02 5.060715e+01 1.835083e-01 1.391490e-02 -5.730007e-04 -3.124201e-03
45.000 75.000 8.731013e+02 1.067816e+03 -1.003209e-01 4.383359e+01 9.034263e+02 1.049729e+03 -7.490569e-02 4.407035e+01 3.285448e-01 1.335446e-02 -4.088835e-04 -9.783953e-03
45.000 105.000 6.369375e+02 1.576406e+03 -4.244567e-01 4.259788e+01 6.394911e+02 1.576749e+03 -4.229045e-01 4.265993e+01 3.855480e-01 1.212998e-02 -2.574776e-05 -1.901514e-02
45.000 135.000 1.143559e+03 7.105776e+02 2.335219e-01 4.186915e+01 1.111429e+03 7.237732e+02 2.112331e-01 4.187262e+01 3.392439e-01 1.145486e-02 3.764090e-04 -2.525057e-03
45.000 165.000 6.722420e+02 9.888157e+02 -1.905856e-01 4.000904e+01 6.427815e+02 1.032425e+03 -2.325945e-01 3.980676e+01 2.020397e-01 1.210358e-02 7.443302e-04 -9.813415e-03
45.000 195.000 1.034311e+03 8.795240e+02 8.087808e-02 4.360409e+01 9.826800e+02 9.276316e+02 2.881647e-02 4.368896e+01 1.069909e-02 1.333049e-02 8.434371e-04 1.609459e-03
45.000 225.000 1.869365e+03 1.512425e+03 1.055475e-01 5.782833e+01 1.801925e+03 1.582770e+03 6.474857e-02 5.805605e+01 -1.835083e-01 1.391490e-02 4.978958e-04 4.998516e-03
45.000 255.000 1.359579e+03 8.593771e+02 2.254223e-01 4.589335e+01 1.332660e+03 8.958413e+02 1.960144e-01 4.629123e+01 -3.285448e-01 1.335446e-02 4.511447e-04 1.207075e-02
45.000 285.000 1.217452e+03 8.724572e+02 1.650764e-01 4.508834e+01 1.224405e+03 8.688939e+02 1.698329e-01 4.508793e+01 -3.855480e-01 1.212998e-02 -7.459538e-05 1.221212e-02
45.000 315.000 1.208686e+03 9.534523e+02 1.180471e-01 4.617368e+01 1.236788e+03 9.292275e+02 1.419938e-01 4.606891e+01 -3.392439e-01 1.145486e-02 -3.671380e-04 9.903714e-03
45.000 345.000 1.920579e+03 8.940685e+02 3.647031e-01 4.939915e+01 2.003006e+03 8.553456e+02 4.015113e-01 4.896481e+01 -2.020397e-01 1.210358e-02 -5.291987e-04 1.147272e-02
75.000 15.000 8.682237e+02 1.010411e+03 -7.568639e-02 4.321889e+01 8.993865e+02 9.724693e+02 -3.904296e-02 4.323196e+01 2.248235e-02 1.289798e-02 -5.994347e-04 -2.271431e-03
75.000 45.000 1.304707e+03 1.430554e+03 -4.600911e-02 5.224433e+01 1.358146e+03 1.379649e+03 -7.854358e-03 5.232233e+01 1.901436e-01 1.256649e-02 -5.160244e-04 -4.520160e-03
