  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   3    0 -3.017e-02 -7.176e-02 4.4676e-03  3.956e-01  3.719e-01 4.4144e-03 -2.628e-03 -1.276e-02 4.4322e-03  6.035e-04 -1.080e-02 4.3250e-03  1.194e-02  4.559e-03 4.3067e-03 -3.6250e-02 2.3827e-03 3.1940e-01 1.2843e-02 4.3188e-01 5.3050e+00 2.8095e+00 7.7297e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 1.284270e+03 1.552218e+03 -9.446488e-02 5.302052e+01 1.297463e+03 1.537472e+03 -8.466120e-02 5.305296e+01 8.983177e-02 3.454652e-03 -1.307065e-04 -3.475949e-03
15.000 45.000 1.201427e+03 1.421921e+03 -8.405067e-02 5.103739e+01 1.205156e+03 1.411836e+03 -7.897640e-02 5.099676e+01 3.061037e-01 5.473573e-03 -7.033038e-05 -7.644482e-03
15.000 75.000 1.156966e+03 1.523038e+03 -1.365940e-01 5.128353e+01 1.154671e+03 1.527705e+03 -1.390683e-01 5.128839e+01 4.403555e-01 8.136179e-03 3.411384e-05 -1.125019e-02
15.000 105.000 1.347138e+03 1.166573e+03 7.183188e-02 5.000740e+01 1.325851e+03 1.173673e+03 6.088286e-02 4.990249e+01 4.566143e-01 9.187461e-03 1.549820e-04 -7.694509e-03
15.000 135.000 1.042182e+03 1.405805e+03 -1.485395e-01 4.892826e+01 1.029039e+03 1.420791e+03 -1.599098e-01 4.885882e+01 3.505237e-01 8.147642e-03 1.644388e-04 -1.019990e-02
15.000 165.000 1.485176e+03 1.346543e+03 4.895704e-02 5.315009e+01 1.464927e+03 1.364535e+03 3.548107e-02 5.315919e+01 1.505106e-01 5.490597e-03 1.792684e-04 -1.910694e-03
15.000 195.000 1.064535e+03 1.253662e+03 -8.158353e-02 4.798715e+01 1.053636e+03 1.261363e+03 -8.973076e-02 4.792035e+01 -8.983175e-02 3.454652e-03 1.201358e-04 1.718838e-04
15.000 225.000 1.702306e+03 1.337075e+03 1.201662e-01 5.473110e+01 1.690437e+03 1.342982e+03 1.145425e-01 5.471399e+01 -3.061037e-01 5.473572e-03 7.266733e-05 7.788440e-03
15.000 255.000 1.746978e+03 8.817015e+02 3.291678e-01 4.841341e+01 1.749004e+03 8.871433e+02 3.269395e-01 4.852186e+01 -4.403555e-01 8.136179e-03 3.250999e-05 1.589484e-02
15.000 285.000 1.488342e+03 1.139517e+03 1.327411e-01 5.080901e+01 1.500614e+03 1.130944e+03 1.404759e-01 5.079004e+01 -4.566143e-01 9.187461e-03 -1.076650e-04 1.159943e-02
15.000 315.000 1.086034e+03 1.059724e+03 1.226132e-02 4.631885e+01 1.095933e+03 1.047315e+03 2.268450e-02 4.628331e+01 -3.505237e-01 8.147642e-03 -1.591821e-04 7.832342e-03
15.000 345.000 1.038715e+03 1.293718e+03 -1.093294e-01 4.800576e+01 1.050592e+03 1.275237e+03 -9.658731e-02 4.800136e+01 -1.505106e-01 5.490598e-03 -1.876952e-04 8.578381e-04
45.000 15.000 1.312333e+03 1.573398e+03 -9.046753e-02 5.349872e+01 1.343181e+03 1.535227e+03 -6.671929e-02 5.353125e+01 4.264472e-02 7.250081e-03 -3.137913e-04 -2.488139e-03
45.000 45.000 9.829118e+02 1.746498e+03 -2.797623e-01 5.015762e+01 1.013030e+03 1.715630e+03 -2.574891e-01 5.047522e+01 2.477093e-01 7.537835e-03 -3.130076e-04 -1.051628e-02
45.000 75.000 1.665010e+03 1.862879e+03 -5.608710e-02 5.930254e+01 1.685543e+03 1.848036e+03 -4.598542e-02 5.938103e+01 3.864004e-01 7.240670e-03 -1.203700e-04 -7.461527e-03
45.000 105.000 1.368516e+03 2.244802e+03 -2.425156e-01 5.831642e+01 1.375273e+03 2.244789e+03 -2.401937e-01 5.840556e+01 4.215558e-01 6.616675e-03 -2.813207e-05 -1.138738e-02
45.000 135.000 1.338861e+03 1.474407e+03 -4.818115e-02 5.297865e+01 1.322896e+03 1.489666e+03 -5.929493e-02 5.294028e+01 3.437557e-01 6.286900e-03 1.483896e-04 -7.398015e-03
45.000 165.000 1.961592e+03 2.082700e+03 -2.994546e-02 6.356623e+01 1.914588e+03 2.125948e+03 -5.230996e-02 6.347818e+01 1.738465e-01 6.626972e-03 2.489537e-04 -3.205979e-03
45.000 195.000 1.641365e+03 1.795325e+03 -4.479881e-02 5.856443e+01 1.606687e+03 1.841875e+03 -6.819866e-02 5.858774e+01 -4.264470e-02 7.250081e-03 2.824735e-04 -3.678186e-05
