  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   4    0 -4.341e-02 -7.018e-02 3.6917e-03  3.944e-01  3.702e-01 3.6209e-03 -4.925e-03 -1.335e-02 3.6404e-03  2.482e-04 -2.012e-02 3.5887e-03  1.640e-02  1.026e-02 3.5747e-03 2.2280e-03 2.1034e-03 3.4128e-01 2.0329e-02 4.3503e-01 5.3604e+00 2.8021e+00 7.6163e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 8.772349e+02 9.497691e+02 -3.970117e-02 4.270977e+01 8.898943e+02 9.369607e+02 -2.576364e-02 4.272754e+01 8.742957e-02 2.860127e-03 -2.307030e-04 -2.976620e-03
15.000 45.000 9.290343e+02 1.293831e+03 -1.641110e-01 4.650804e+01 9.421529e+02 1.284145e+03 -1.536148e-01 4.662363e+01 3.092016e-01 4.520424e-03 -1.593863e-04 -1.017701e-02
15.000 75.000 7.279342e+02 1.297456e+03 -2.811910e-01 4.318849e+01 7.312753e+02 1.296408e+03 -2.787084e-01 4.324553e+01 4.481233e-01 6.714057e-03 -4.062023e-05 -1.688678e-02
15.000 105.000 7.465086e+02 1.383775e+03 -2.991464e-01 4.404143e+01 7.472909e+02 1.386389e+03 -2.995287e-01 4.407099e+01 4.669707e-01 7.580831e-03 6.136278e-06 -1.739537e-02
15.000 135.000 5.735316e+02 1.190477e+03 -3.497405e-01 3.934765e+01 5.686387e+02 1.202508e+03 -3.578865e-01 3.929750e+01 3.606937e-01 6.724217e-03 1.464822e-04 -1.805532e-02
15.000 165.000 9.163937e+02 9.584659e+02 -2.244019e-02 4.328874e+01 9.039181e+02 9.691754e+02 -3.483927e-02 4.325298e+01 1.577691e-01 4.535500e-03 2.026184e-04 -4.162960e-03
15.000 195.000 9.264023e+02 1.210296e+03 -1.328656e-01 4.581461e+01 9.150772e+02 1.224768e+03 -1.447257e-01 4.577144e+01 -8.742955e-02 2.860127e-03 1.831356e-04 -9.917380e-04
15.000 225.000 1.225466e+03 1.053850e+03 7.529258e-02 4.760666e+01 1.213624e+03 1.065256e+03 6.510577e-02 4.763634e+01 -3.092016e-01 4.520423e-03 1.512586e-04 8.076478e-03
15.000 255.000 1.342380e+03 8.332082e+02 2.340388e-01 4.534779e+01 1.334223e+03 8.380674e+02 2.284019e-01 4.537584e+01 -4.481233e-01 6.714057e-03 8.786860e-05 1.504289e-02
15.000 285.000 1.398304e+03 6.993133e+02 3.332307e-01 4.318208e+01 1.401687e+03 6.982006e+02 3.350114e-01 4.317652e+01 -4.669707e-01 7.580831e-03 -2.916167e-05 1.853087e-02
15.000 315.000 8.624157e+02 1.078723e+03 -1.114331e-01 4.378395e+01 8.673548e+02 1.063225e+03 -1.014569e-01 4.371164e+01 -3.606937e-01 6.724217e-03 -1.612474e-04 5.692968e-03
15.000 345.000 1.217061e+03 1.138597e+03 3.330899e-02 4.850819e+01 1.233893e+03 1.122123e+03 4.744004e-02 4.848416e+01 -1.577692e-01 4.535500e-03 -2.060403e-04 3.939091e-03
45.000 15.000 1.400382e+03 1.634371e+03 -7.710317e-02 5.492460e+01 1.436337e+03 1.594646e+03 -5.223026e-02 5.497922e+01 3.929069e-02 5.991087e-03 -3.200580e-04 -2.119157e-03
45.000 45.000 1.480570e+03 1.770263e+03 -8.911355e-02 5.678923e+01 1.528264e+03 1.727473e+03 -6.118730e-02 5.695216e+01 2.424711e-01 6.232091e-03 -3.472231e-04 -5.838864e-03
45.000 75.000 1.362683e+03 1.868767e+03 -1.566121e-01 5.614438e+01 1.400862e+03 1.826700e+03 -1.319378e-01 5.631499e+01 3.806815e-01 5.980844e-03 -3.102872e-04 -9.569855e-03
