  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   7    0 -9.403e-02 -6.787e-02 2.5757e-03  3.781e-01  3.725e-01 2.5192e-03 -1.849e-02 -1.410e-02 2.5341e-03 -1.991e-03 -9.658e-03 2.5313e-03  3.813e-02  2.242e-02 2.5234e-03 -3.7250e-03 2.1784e-03 4.5192e-01 7.9001e-02 4.3922e-01 5.4874e+00 2.7863e+00 6.7544e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 0.000000e+00 2.904425e+01 -1.000000e+00 2.000000e+00 0.000000e+00 2.874441e+01 -1.000000e+00 2.000000e+00 9.914174e-02 2.012226e-03 0.000000e+00 -5.495706e-01
15.000 45.000 3.300858e+01 1.402484e+01 4.036224e-01 6.274644e+00 3.381352e+01 1.376774e+01 4.212956e-01 6.255882e+00 3.203979e-01 3.168213e-03 -1.994619e-03 1.326362e-02
15.000 75.000 3.884972e+01 2.668203e+01 1.856762e-01 7.954401e+00 3.998427e+01 2.623396e+01 2.076513e-01 7.960086e+00 4.558037e-01 4.698634e-03 -1.952780e-03 -3.395949e-02
15.000 105.000 3.330845e+00 4.721251e+01 -8.681985e-01 3.527798e+00 3.401103e+00 4.626031e+01 -8.630283e-01 3.559874e+00 4.690773e-01 5.303606e-03 -1.031602e-03 -3.790677e-01
15.000 135.000 9.575810e+00 1.565140e+01 -2.408346e-01 4.874833e+00 9.734419e+00 1.550800e+01 -2.287253e-01 4.890997e+00 3.566620e-01 4.705286e-03 -1.753582e-03 -1.225676e-01
15.000 165.000 3.185166e+01 4.294252e+01 -1.482851e-01 8.552752e+00 3.190304e+01 4.287403e+01 -1.467160e-01 8.553798e+00 1.486794e-01 3.178070e-03 -1.297188e-04 -3.472151e-02
15.000 195.000 9.596487e+00 4.521872e+01 -6.498604e-01 5.627231e+00 9.452612e+00 4.586362e+01 -6.582337e-01 5.599043e+00 -9.914172e-02 2.012226e-03 1.054804e-03 -9.786673e-02
15.000 225.000 2.271984e+01 3.981001e+01 -2.733123e-01 7.606504e+00 2.235266e+01 4.082136e+01 -2.923465e-01 7.600971e+00 -3.203979e-01 3.168213e-03 1.770081e-03 6.190177e-03
15.000 255.000 3.999070e+01 2.389832e+01 2.518803e-01 7.735352e+00 3.918550e+01 2.462445e+01 2.281942e-01 7.777352e+00 -4.558037e-01 4.698634e-03 2.159330e-03 9.148696e-02
15.000 285.000 2.887376e+01 4.496626e+01 -2.179374e-01 8.386469e+00 2.832468e+01 4.585560e+01 -2.363285e-01 8.368825e+00 -4.690773e-01 5.303606e-03 1.552284e-03 2.994584e-02
