  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   9    0 -1.020e-01 -7.038e-02 2.4768e-03  3.647e-01  3.678e-01 2.4223e-03 -2.861e-02 -1.548e-02 2.4373e-03 -4.162e-03 -5.575e-03 2.4141e-03  5.353e-02  2.753e-02 2.4076e-03 1.1484e-02 4.7650e-03 7.0497e-01 1.9213e-01 4.5914e-01 5.9494e+00 2.7691e+00 4.9862e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.021646e-01 1.922781e-03         -nan         -nan
15.000 45.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 3.231121e-01 3.035250e-03         -nan         -nan
15.000 75.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.574819e-01 4.505454e-03         -nan         -nan
15.000 105.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.692698e-01 5.086240e-03         -nan         -nan
15.000 135.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 3.553173e-01 4.511561e-03         -nan         -nan
15.000 165.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.461578e-01 3.044308e-03         -nan         -nan
15.000 195.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -1.021646e-01 1.922781e-03         -nan         -nan
15.000 225.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -3.231120e-01 3.035249e-03         -nan         -nan
15.000 255.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -4.574819e-01 4.505454e-03         -nan         -nan
15.000 285.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -4.692698e-01 5.086240e-03         -nan         -nan
