  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
  10    0 -1.035e-01 -4.663e-02 2.5118e-03  3.386e-01  3.586e-01 2.4528e-03 -3.665e-02  2.066e-03 2.4748e-03 -5.396e-03  7.193e-03 2.4287e-03  5.625e-02  2.366e-02 2.4226e-03 1.4969e-01 9.9182e-03 8.7160e-01 3.0616e-01 4.4261e-01 5.8101e+00 2.8025e+00 3.5167e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.087737e-01 1.937828e-03         -nan         -nan
15.000 45.000 6.996115e+00 0.000000e+00 1.000000e+00 2.000000e+00 7.352652e+00 0.000000e+00 1.000000e+00 2.000000e+00 2.968389e-01 3.065520e-03 0.000000e+00 3.515801e-01
15.000 75.000 0.000000e+00 3.896431e+01 -1.000000e+00 2.000000e+00 0.000000e+00 3.798974e+01 -1.000000e+00 2.000000e+00 4.053664e-01 4.555329e-03 0.000000e+00 -7.026814e-01
15.000 105.000 2.602721e+01 0.000000e+00 1.000000e+00 2.000000e+00 2.799097e+01 0.000000e+00 1.000000e+00 2.000000e+00 4.052762e-01 5.144162e-03 0.000000e+00 2.973609e-01
15.000 135.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 2.965927e-01 4.562912e-03         -nan         -nan
15.000 165.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.084373e-01 3.076776e-03         -nan         -nan
15.000 195.000 3.815624e+01 0.000000e+00 1.000000e+00 2.000000e+00 3.816198e+01 0.000000e+00 1.000000e+00 2.000000e+00 -1.087737e-01 1.937828e-03 0.000000e+00 5.543866e-01
15.000 225.000 5.027582e+01 0.000000e+00 1.000000e+00 2.000000e+00 5.069424e+01 0.000000e+00 1.000000e+00 2.000000e+00 -2.968389e-01 3.065520e-03 0.000000e+00 6.484187e-01
15.000 255.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -4.053664e-01 4.555329e-03         -nan         -nan
15.000 285.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -4.052762e-01 5.144162e-03         -nan         -nan
15.000 315.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -2.965927e-01 4.562912e-03         -nan         -nan
15.000 345.000 0.000000e+00 7.059356e+01 -1.000000e+00 2.000000e+00 0.000000e+00 7.399526e+01 -1.000000e+00 2.000000e+00 -1.084373e-01 3.076776e-03 0.000000e+00 -4.457808e-01
45.000 15.000 2.839689e+01 2.135287e+01 1.415891e-01 6.982292e+00 2.782424e+01 2.215899e+01 1.133430e-01 7.024323e+00 9.821259e-02 4.064522e-03 2.851921e-03 6.212352e-03
45.000 45.000 0.000000e+00 2.750737e+01 -1.000000e+00 2.000000e+00 0.000000e+00 2.804823e+01 -1.000000e+00 2.000000e+00 2.858824e-01 4.223506e-03 0.000000e+00 -6.429398e-01
45.000 75.000 4.598852e+01 0.000000e+00 1.000000e+00 2.000000e+00 4.549555e+01 0.000000e+00 1.000000e+00 2.000000e+00 3.969502e-01 4.052956e-03 0.000000e+00 3.015243e-01
45.000 105.000 4.940513e+00 0.000000e+00 1.000000e+00 2.000000e+00 4.990961e+00 0.000000e+00 1.000000e+00 2.000000e+00 4.016555e-01 3.700978e-03 0.000000e+00 2.991717e-01
45.000 135.000 3.164948e+01 7.698885e+00 6.086808e-01 4.976957e+00 3.297542e+01 7.541463e+00 6.277373e-01 4.954901e+00 2.987376e-01 3.518461e-03 -2.713475e-03 6.227563e-02
45.000 165.000 3.083083e+01 0.000000e+00 1.000000e+00 2.000000e+00 3.206886e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.157732e-01 3.713640e-03 0.000000e+00 4.421126e-01
45.000 195.000 2.405067e+01 2.238244e+01 3.592773e-02 6.809785e+00 2.526436e+01 2.185811e+01 7.228516e-02 6.846623e+00 -9.821257e-02 4.064522e-03 -3.765044e-03 1.969817e-02
45.000 225.000 0.000000e+00 1.238815e+01 -1.000000e+00 2.000000e+00 0.000000e+00 1.219445e+01 -1.000000e+00 2.000000e+00 -2.858824e-01 4.223506e-03 0.000000e+00 -3.570580e-01
45.000 255.000 6.534128e+01 0.000000e+00 1.000000e+00 2.000000e+00 6.769127e+01 0.000000e+00 1.000000e+00 2.000000e+00 -3.969502e-01 4.052956e-03 0.000000e+00 6.984737e-01
45.000 285.000 4.923715e+01 8.638739e+00 7.014737e-01 5.421916e+00 4.830136e+01 8.695576e+00 6.948757e-01 5.429166e+00 -4.016556e-01 3.700978e-03 8.599071e-04 2.034574e-01
