  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -5.491e-03  4.458e-02 8.0141e-03  3.947e-01  3.856e-01 7.8967e-03  1.115e-03  1.355e-02 7.9576e-03  1.139e-03 -1.027e-03 7.9203e-03  4.248e-03 -5.315e-03 7.9795e-03 1.6739e-02 2.6510e-03 2.7982e-01 2.0084e-03 4.2281e-01 5.1863e+00 2.8356e+00 7.8977e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 1.320626e+03 1.020177e+03 1.283527e-01 4.798166e+01 1.323006e+03 1.019384e+03 1.296206e-01 4.798993e+01 1.001366e-01 6.326132e-03 -1.868364e-05 5.880598e-04
15.000 45.000 7.252195e+02 9.173737e+02 -1.169822e-01 4.025065e+01 7.419517e+02 9.005890e+02 -9.658043e-02 4.033881e+01 2.422604e-01 9.961504e-03 -3.580182e-04 -8.925140e-03
15.000 75.000 8.058937e+02 2.401309e+03 -4.974476e-01 4.912807e+01 8.343871e+02 2.345813e+03 -4.752612e-01 4.961731e+01 3.194708e-01 1.474337e-02 -3.177448e-04 -1.662834e-02
15.000 105.000 8.737382e+02 1.184729e+03 -1.510789e-01 4.484956e+01 9.078859e+02 1.148912e+03 -1.171853e-01 4.503947e+01 3.110792e-01 1.662199e-02 -5.332427e-04 -1.030463e-02
15.000 135.000 9.656860e+02 1.131498e+03 -7.906394e-02 4.565166e+01 9.952220e+02 1.103766e+03 -5.171274e-02 4.575342e+01 2.193342e-01 1.473360e-02 -4.231758e-04 -6.536413e-03
15.000 165.000 7.488742e+02 9.351994e+02 -1.106396e-01 4.078552e+01 7.607108e+02 9.214771e+02 -9.556975e-02 4.082675e+01 6.881875e-02 9.947045e-03 -2.611364e-04 -4.400049e-03
15.000 195.000 1.087295e+03 9.571164e+02 6.367516e-02 4.512341e+01 1.085851e+03 9.620346e+02 6.046075e-02 4.517078e+01 -1.001366e-01 6.326132e-03 5.034490e-05 3.630306e-03
15.000 225.000 1.247749e+03 7.995381e+02 2.189290e-01 4.414930e+01 1.224694e+03 8.214850e+02 1.970548e-01 4.434777e+01 -2.422604e-01 9.961503e-03 3.495561e-04 1.044613e-02
15.000 255.000 1.255264e+03 7.877136e+02 2.288574e-01 4.399972e+01 1.222596e+03 8.182055e+02 1.981530e-01 4.427946e+01 -3.194708e-01 1.474337e-02 4.918757e-04 1.246208e-02
15.000 285.000 1.018476e+03 6.177284e+02 2.449252e-01 3.921800e+01 9.873273e+02 6.525438e+02 2.041523e-01 3.964246e+01 -3.110792e-01 1.662199e-02 7.311747e-04 1.417728e-02
15.000 315.000 1.323933e+03 9.854090e+02 1.465891e-01 4.753649e+01 1.291209e+03 1.015729e+03 1.194138e-01 4.768691e+01 -2.193342e-01 1.473360e-02 4.035934e-04 7.697733e-03
15.000 345.000 1.606005e+03 1.351282e+03 8.613426e-02 5.417884e+01 1.583785e+03 1.371480e+03 7.183937e-02 5.422189e+01 -6.881877e-02 9.947046e-03 1.864935e-04 2.860029e-03
45.000 15.000 1.091026e+03 1.002852e+03 4.211007e-02 4.571832e+01 1.077682e+03 1.012533e+03 3.116867e-02 4.569666e+01 1.296866e-01 1.319537e-02 1.692663e-04 -1.915567e-03
45.000 45.000 8.995146e+02 1.378901e+03 -2.104033e-01 4.666424e+01 9.055258e+02 1.378196e+03 -2.069737e-01 4.675352e+01 2.758997e-01 1.375661e-02 -5.191967e-05 -1.042132e-02
45.000 75.000 5.721252e+02 1.155372e+03 -3.376254e-01 3.912261e+01 5.870342e+02 1.138693e+03 -3.196675e-01 3.936216e+01 3.481857e-01 1.316365e-02 -3.235821e-04 -1.752979e-02
45.000 105.000 8.143038e+02 1.239460e+03 -2.070133e-01 4.433679e+01 8.432529e+02 1.209202e+03 -1.782984e-01 4.457810e+01 3.271756e-01 1.192446e-02 -4.567162e-04 -1.204843e-02
45.000 135.000 1.387636e+03 8.856534e+02 2.208177e-01 4.650207e+01 1.432052e+03 8.607440e+02 2.491753e-01 4.637284e+01 2.184991e-01 1.127237e-02 -4.318033e-04 4.985969e-05
45.000 165.000 9.845096e+02 8.375948e+02 8.062919e-02 4.254714e+01 1.009000e+03 8.178474e+02 1.046354e-01 4.250702e+01 5.127593e-02 1.195947e-02 -3.991561e-04 6.898997e-04
45.000 195.000 8.335526e+02 9.034607e+02 -4.024615e-02 4.164373e+01 8.439422e+02 8.928303e+02 -2.814880e-02 4.165809e+01 -1.296866e-01 1.319537e-02 -2.053765e-04 2.147752e-03
45.000 225.000 9.459257e+02 7.481335e+02 1.167563e-01 4.087745e+01 9.408922e+02 7.569863e+02 1.083151e-01 4.096289e+01 -2.758997e-01 1.375661e-02 1.458654e-04 9.605687e-03
45.000 255.000 1.388312e+03 1.263192e+03 4.718809e-02 5.143540e+01 1.362539e+03 1.288310e+03 2.800219e-02 5.146621e+01 -3.481857e-01 1.316365e-02 2.636786e-04 7.686802e-03
45.000 285.000 9.910203e+02 1.106229e+03 -5.493311e-02 4.572658e+01 9.617778e+02 1.144495e+03 -8.674888e-02 4.572113e+01 -3.271756e-01 1.192446e-02 4.920221e-04 5.953703e-03
45.000 315.000 1.099430e+03 1.003177e+03 4.577805e-02 4.580612e+01 1.071225e+03 1.041123e+03 1.425069e-02 4.595562e+01 -2.184991e-01 1.127237e-02 4.858926e-04 5.769472e-03
45.000 345.000 9.438623e+02 8.952002e+02 2.646029e-02 4.286928e+01 9.243014e+02 9.163287e+02 4.331505e-03 4.290216e+01 -5.127595e-02 1.195947e-02 3.648630e-04 1.813332e-03
75.000 15.000 1.643373e+03 9.396992e+02 2.724174e-01 4.890173e+01 1.607049e+03 9.549098e+02 2.545470e-01 4.894853e+01 1.431878e-01 1.278137e-02 2.582776e-04 2.642638e-03
75.000 45.000 1.247532e+03 9.789827e+02 1.206142e-01 4.684148e+01 1.232180e+03 9.845320e+02 1.117185e-01 4.678723e+01 3.034357e-01 1.241254e-02 1.343652e-04 -3.902984e-03
75.000 75.000 7.784833e+02 1.182943e+03 -2.062071e-01 4.333618e+01 7.749268e+02 1.180948e+03 -2.075907e-01 4.326186e+01 3.823783e-01 1.220095e-02 2.259527e-05 -1.358185e-02
75.000 105.000 6.047489e+02 1.594796e+03 -4.501146e-01 4.187971e+01 6.173123e+02 1.589850e+03 -4.406281e-01 4.217387e+01 3.588629e-01 1.236718e-02 -1.596110e-04 -1.931669e-02
75.000 135.000 1.053071e+03 6.724392e+02 2.205908e-01 4.051600e+01 1.076595e+03 6.571868e+02 2.419035e-01 4.040204e+01 2.391905e-01 1.273732e-02 -3.724838e-04 -4.590698e-04
