  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   2    0 -1.774e-02  2.912e-02 5.1692e-03  3.937e-01  3.984e-01 5.1298e-03 -6.785e-04 -2.278e-02 5.1706e-03  8.874e-04  2.653e-02 5.1105e-03  7.888e-03  3.103e-03 5.1600e-03 -2.7653e-02 2.2048e-03 2.9387e-01 6.9162e-03 4.2463e-01 5.2112e+00 2.8270e+00 7.8237e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 1.881507e+03 2.419232e+03 -1.250309e-01 6.506540e+01 1.873270e+03 2.423923e+03 -1.281427e-01 6.501254e+01 1.120341e-01 4.091378e-03 3.383173e-05 -3.643487e-03
15.000 45.000 9.296754e+02 1.976568e+03 -3.602219e-01 5.029045e+01 9.435025e+02 1.961567e+03 -3.504442e-01 5.048064e+01 2.757345e-01 6.449627e-03 -1.372202e-04 -1.264567e-02
15.000 75.000 1.712590e+03 1.569803e+03 4.350109e-02 5.723794e+01 1.743847e+03 1.544112e+03 6.074739e-02 5.723484e+01 3.655521e-01 9.545418e-03 -2.130633e-04 -5.626530e-03
15.000 105.000 1.598677e+03 1.726281e+03 -3.837787e-02 5.761997e+01 1.642036e+03 1.691684e+03 -1.489284e-02 5.773198e+01 3.574203e-01 1.075983e-02 -2.879261e-04 -6.869114e-03
15.000 135.000 2.096831e+03 1.837985e+03 6.578352e-02 6.259224e+01 2.145882e+03 1.807969e+03 8.546420e-02 6.264959e+01 2.535180e-01 9.534973e-03 -2.222315e-04 -2.999325e-03
15.000 165.000 1.808686e+03 1.613206e+03 5.712652e-02 5.840141e+01 1.832162e+03 1.592394e+03 7.001424e-02 5.837609e+01 8.168576e-02 6.434157e-03 -1.560745e-04 -4.205249e-04
15.000 195.000 1.509657e+03 2.064790e+03 -1.553061e-01 5.906126e+01 1.510545e+03 2.059556e+03 -1.537803e-01 5.903959e+01 -1.120341e-01 4.091378e-03 -1.827049e-05 -7.326631e-04
15.000 225.000 1.722844e+03 1.183635e+03 1.855198e-01 5.297589e+01 1.708101e+03 1.205202e+03 1.726215e-01 5.316477e+01 -2.757345e-01 6.449627e-03 1.718567e-04 8.706873e-03
15.000 255.000 2.675111e+03 1.489632e+03 2.846462e-01 6.186519e+01 2.644550e+03 1.527937e+03 2.676133e-01 6.223879e+01 -3.655521e-01 9.545418e-03 1.940961e-04 1.050992e-02
15.000 285.000 1.870577e+03 1.353588e+03 1.603483e-01 5.604700e+01 1.826866e+03 1.391668e+03 1.352161e-01 5.621111e+01 -3.574203e-01 1.075983e-02 3.166111e-04 9.238113e-03
15.000 315.000 2.401455e+03 1.687793e+03 1.745215e-01 6.296585e+01 2.358238e+03 1.728116e+03 1.542014e-01 6.316003e+01 -2.535180e-01 9.534973e-03 2.278431e-04 6.797962e-03
15.000 345.000 1.840485e+03 1.919118e+03 -2.091543e-02 6.130219e+01 1.817783e+03 1.943372e+03 -3.339104e-02 6.129406e+01 -8.168578e-02 6.434158e-03 1.439128e-04 9.913244e-04
45.000 15.000 1.273439e+03 1.328120e+03 -2.101850e-02 5.099421e+01 1.263507e+03 1.337009e+03 -2.826451e-02 5.097488e+01 1.213326e-01 8.540739e-03 1.004952e-04 -2.791516e-03
45.000 45.000 1.634288e+03 1.670580e+03 -1.098122e-02 5.748452e+01 1.632559e+03 1.671492e+03 -1.178331e-02 5.747688e+01 2.952364e-01 8.903246e-03 9.867095e-06 -5.326959e-03
45.000 75.000 1.562120e+03 2.380154e+03 -2.075030e-01 6.142092e+01 1.567646e+03 2.364622e+03 -2.026757e-01 6.140635e+01 3.900319e-01 8.519405e-03 -5.558061e-05 -9.728523e-03
45.000 105.000 1.645318e+03 2.014351e+03 -1.008376e-01 6.018685e+01 1.669061e+03 1.998450e+03 -8.981264e-02 6.031524e+01 3.803186e-01 7.718107e-03 -1.293895e-04 -7.994375e-03
45.000 135.000 1.385868e+03 2.194216e+03 -2.257901e-01 5.828865e+01 1.404105e+03 2.165402e+03 -2.132781e-01 5.837070e+01 2.686992e-01 7.296959e-03 -1.516788e-04 -8.483459e-03
45.000 165.000 1.471632e+03 1.761853e+03 -8.975478e-02 5.663424e+01 1.491859e+03 1.741603e+03 -7.723733e-02 5.669368e+01 8.508216e-02 7.741649e-03 -1.562047e-04 -3.087125e-03
45.000 195.000 1.445992e+03 1.812245e+03 -1.124084e-01 5.671920e+01 1.458084e+03 1.792887e+03 -1.029855e-01 5.671412e+01 -1.213326e-01 8.540739e-03 -1.174783e-04 1.573408e-04
45.000 225.000 1.752193e+03 1.449475e+03 9.455016e-02 5.632979e+01 1.758750e+03 1.449942e+03 9.624109e-02 5.638238e+01 -2.952364e-01 8.903246e-03 -2.121637e-05 6.919723e-03
45.000 255.000 1.803813e+03 1.264882e+03 1.756224e-01 5.453482e+01 1.802886e+03 1.272499e+03 1.724620e-01 5.462521e+01 -3.900319e-01 8.519405e-03 4.094423e-05 1.037235e-02
45.000 285.000 2.062294e+03 1.407483e+03 1.887184e-01 5.784637e+01 2.041846e+03 1.430262e+03 1.761421e-01 5.800329e+01 -3.803186e-01 7.718107e-03 1.535228e-04 9.837039e-03
45.000 315.000 1.897177e+03 1.391996e+03 1.535893e-01 5.667082e+01 1.875764e+03 1.413094e+03 1.406779e-01 5.677826e+01 -2.686993e-01 7.296959e-03 1.609478e-04 7.451604e-03
45.000 345.000 1.979026e+03 2.598782e+03 -1.353826e-01 6.703659e+01 1.955932e+03 2.630849e+03 -1.471441e-01 6.698859e+01 -8.508218e-02 7.741649e-03 1.241062e-04 -7.503426e-04
75.000 15.000 1.319942e+03 1.922830e+03 -1.859172e-01 5.595252e+01 1.310854e+03 1.933593e+03 -1.919398e-01 5.590097e+01 1.020623e-01 8.265935e-03 7.614612e-05 -5.146854e-03
75.000 45.000 1.389707e+03 2.414540e+03 -2.693917e-01 5.939837e+01 1.394772e+03 2.418477e+03 -2.684600e-01 5.948467e+01 2.769548e-01 8.046799e-03 -1.108382e-05 -9.198006e-03
75.000 75.000 1.338329e+03 2.555783e+03 -3.126399e-01 5.927467e+01 1.339520e+03 2.568404e+03 -3.144595e-01 5.934214e+01 3.776376e-01 7.917195e-03 2.169510e-05 -1.164540e-02
75.000 105.000 1.265819e+03 1.602523e+03 -1.173864e-01 5.318663e+01 1.272523e+03 1.588754e+03 -1.105207e-01 5.316321e+01 3.771326e-01 8.011723e-03 -9.129837e-05 -9.297807e-03
75.000 135.000 1.371116e+03 1.250929e+03 4.583695e-02 5.115208e+01 1.378024e+03 1.238152e+03 5.346405e-02 5.107541e+01 2.755753e-01 8.231793e-03 -1.055131e-04 -4.491280e-03
75.000 165.000 2.124320e+03 1.669116e+03 1.199979e-01 6.114583e+01 2.141198e+03 1.658531e+03 1.270266e-01 6.114260e+01 1.001778e-01 8.356519e-03 -8.128365e-05 3.241452e-04
75.000 195.000 1.590785e+03 1.325342e+03 9.102598e-02 5.377699e+01 1.599432e+03 1.319775e+03 9.579880e-02 5.378119e+01 -1.020623e-01 8.265935e-03 -6.275479e-05 3.590537e-03
75.000 225.000 1.412271e+03 1.352319e+03 2.168549e-02 5.256701e+01 1.412934e+03 1.352098e+03 2.200201e-02 5.257084e+01 -2.769548e-01 8.046799e-03 -4.257462e-06 5.681136e-03
75.000 255.000 1.742554e+03 1.466248e+03 8.610879e-02 5.643589e+01 1.736493e+03 1.476837e+03 8.080590e-02 5.650088e+01 -3.776376e-01 7.917195e-03 6.640370e-05 8.217223e-03
75.000 285.000 2.611406e+03 1.424504e+03 2.940854e-01 6.071951e+01 2.620059e+03 1.429798e+03 2.939022e-01 6.082792e+01 -3.771326e-01 8.011723e-03 2.131704e-06 1.105440e-02
75.000 315.000 2.534951e+03 1.166401e+03 3.697433e-01 5.652734e+01 2.522892e+03 1.177626e+03 3.635345e-01 5.666982e+01 -2.755753e-01 8.231793e-03 7.756854e-05 1.141604e-02
75.000 345.000 1.651873e+03 1.587866e+03 1.975679e-02 5.690759e+01 1.642120e+03 1.601525e+03 1.251513e-02 5.694854e+01 -1.001778e-01 8.356519e-03 8.994907e-05 2.107533e-03
