  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   3    0 -3.057e-02 -8.356e-04 4.2614e-03  3.935e-01  3.849e-01 4.2224e-03 -2.701e-03 -7.309e-03 4.2477e-03  5.971e-04  3.120e-02 4.2005e-03  1.192e-02  2.893e-02 4.2269e-03 -2.4365e-02 2.3912e-03 3.1093e-01 1.2862e-02 4.2719e-01 5.2629e+00 2.8254e+00 7.7441e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 1.323701e+03 1.645038e+03 -1.082400e-01 5.416602e+01 1.310740e+03 1.658286e+03 -1.170575e-01 5.411417e+01 1.277927e-01 3.358670e-03 1.151622e-04 -4.357581e-03
15.000 45.000 1.095311e+03 1.544108e+03 -1.700363e-01 5.062714e+01 1.107871e+03 1.536240e+03 -1.620089e-01 5.074161e+01 2.995290e-01 5.297440e-03 -1.119913e-04 -9.274972e-03
15.000 75.000 7.819708e+02 1.851569e+03 -4.061448e-01 4.689486e+01 8.034226e+02 1.827106e+03 -3.891551e-01 4.724571e+01 3.910067e-01 7.845586e-03 -2.552234e-04 -1.699870e-02
15.000 105.000 1.202304e+03 1.822486e+03 -2.050332e-01 5.382966e+01 1.238415e+03 1.780367e+03 -1.795268e-01 5.405078e+01 3.777145e-01 8.846546e-03 -3.343653e-04 -1.082577e-02
15.000 135.000 1.249127e+03 1.200866e+03 1.969813e-02 4.948780e+01 1.286350e+03 1.172785e+03 4.618077e-02 4.953676e+01 2.632140e-01 7.840865e-03 -3.782102e-04 -4.920726e-03
15.000 165.000 1.190562e+03 9.060873e+02 1.356805e-01 4.536575e+01 1.214540e+03 8.883450e+02 1.551177e-01 4.530216e+01 7.818552e-02 5.290445e-03 -3.031758e-04 1.267365e-03
15.000 195.000 9.991209e+02 9.095560e+02 4.692514e-02 4.364028e+01 1.004838e+03 9.005014e+02 5.475988e-02 4.358469e+01 -1.277927e-01 3.358670e-03 -1.270278e-04 4.003592e-03
15.000 225.000 1.588517e+03 1.055949e+03 2.013895e-01 5.037076e+01 1.589774e+03 1.060426e+03 1.997387e-01 5.044273e+01 -2.995290e-01 5.297440e-03 2.315713e-05 9.944629e-03
15.000 255.000 1.242373e+03 1.154734e+03 3.656028e-02 4.892753e+01 1.221130e+03 1.187823e+03 1.382647e-02 4.907639e+01 -3.910067e-01 7.845586e-03 3.280524e-04 8.738782e-03
15.000 285.000 1.449980e+03 1.595140e+03 -4.766961e-02 5.511987e+01 1.421471e+03 1.638797e+03 -7.101537e-02 5.518002e+01 -3.777145e-01 8.846546e-03 2.993284e-04 5.987767e-03
15.000 315.000 1.537994e+03 9.327802e+02 2.449489e-01 4.819261e+01 1.507652e+03 9.567823e+02 2.235277e-01 4.838698e+01 -2.632140e-01 7.840865e-03 3.136703e-04 1.054442e-02
15.000 345.000 1.295742e+03 1.548936e+03 -8.900622e-02 5.312383e+01 1.274228e+03 1.577590e+03 -1.063748e-01 5.309941e+01 -7.818554e-02 5.290445e-03 2.312382e-04 -2.036879e-04
45.000 15.000 8.631474e+02 1.646926e+03 -3.122533e-01 4.759555e+01 8.472696e+02 1.677870e+03 -3.289325e-01 4.745449e+01 1.442158e-01 7.014388e-03 2.481640e-04 -9.590584e-03
