  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   4    0 -4.369e-02 -1.781e-02 3.5792e-03  3.937e-01  3.750e-01 3.5236e-03 -4.979e-03 -2.137e-02 3.5525e-03  2.469e-04  1.734e-02 3.5303e-03  1.639e-02  1.279e-02 3.5378e-03 9.7161e-03 2.1264e-03 3.3556e-01 2.0298e-02 4.3291e-01 5.3387e+00 2.8149e+00 7.6371e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 1.238112e+03 1.064492e+03 7.540140e-02 4.784886e+01 1.239701e+03 1.057174e+03 7.946747e-02 4.777415e+01 1.065912e-01 2.814579e-03 -6.013512e-05 -6.518396e-04
15.000 45.000 9.453290e+02 1.556520e+03 -2.442958e-01 4.850297e+01 9.645066e+02 1.532711e+03 -2.275350e-01 4.866139e+01 2.906775e-01 4.432038e-03 -2.439503e-04 -1.102970e-02
15.000 75.000 7.746783e+02 1.032835e+03 -1.428241e-01 4.207900e+01 8.002404e+02 1.011491e+03 -1.166013e-01 4.227409e+01 3.968770e-01 6.567646e-03 -4.396344e-04 -1.282590e-02
15.000 105.000 8.169451e+02 1.357807e+03 -2.487003e-01 4.516901e+01 8.478793e+02 1.331348e+03 -2.218532e-01 4.551888e+01 3.967336e-01 7.409715e-03 -4.186585e-04 -1.428931e-02
15.000 135.000 8.547083e+02 6.767633e+02 1.161922e-01 3.886896e+01 8.742426e+02 6.627989e+02 1.375654e-01 3.883239e+01 2.902858e-01 6.571360e-03 -3.890066e-04 -4.478989e-03
15.000 165.000 8.661253e+02 1.356356e+03 -2.205781e-01 4.598203e+01 8.755224e+02 1.344375e+03 -2.112048e-01 4.605295e+01 1.060562e-01 4.437540e-03 -1.440317e-04 -7.103520e-03
15.000 195.000 8.080190e+02 8.999163e+02 -5.380612e-02 4.126731e+01 8.049229e+02 9.036593e+02 -5.778849e-02 4.126592e+01 -1.065912e-01 2.814579e-03 6.823809e-05 1.279100e-03
15.000 225.000 1.089447e+03 6.496820e+02 2.528652e-01 4.034759e+01 1.072080e+03 6.624612e+02 2.361541e-01 4.046984e+01 -2.906775e-01 4.432038e-03 2.924249e-04 1.347150e-02
15.000 255.000 1.428778e+03 7.351437e+02 3.205449e-01 4.406337e+01 1.403425e+03 7.608206e+02 2.969186e-01 4.442347e+01 -3.968770e-01 6.567646e-03 3.775982e-04 1.628159e-02
15.000 285.000 1.214441e+03 7.414848e+02 2.418067e-01 4.291342e+01 1.188009e+03 7.673519e+02 2.151303e-01 4.318408e+01 -3.967336e-01 7.409715e-03 4.381765e-04 1.487973e-02
15.000 315.000 1.048918e+03 8.225766e+02 1.209417e-01 4.294323e+01 1.030452e+03 8.428954e+02 1.001184e-01 4.306471e+01 -2.902858e-01 6.571360e-03 3.423941e-04 9.576074e-03
15.000 345.000 8.301015e+02 1.136148e+03 -1.556499e-01 4.380198e+01 8.212459e+02 1.148039e+03 -1.659450e-01 4.376134e+01 -1.060562e-01 4.437540e-03 1.662736e-04 -1.132226e-03
45.000 15.000 9.922745e+02 1.527902e+03 -2.125357e-01 4.905442e+01 9.944186e+02 1.528267e+03 -2.116189e-01 4.908883e+01 9.360365e-02 5.877373e-03 -1.321090e-05 -6.240811e-03
45.000 45.000 1.372262e+03 1.920727e+03 -1.665554e-01 5.658303e+01 1.394654e+03 1.898934e+03 -1.531097e-01 5.671311e+01 2.801842e-01 6.123484e-03 -1.678358e-04 -7.895293e-03
45.000 75.000 1.638270e+03 1.380595e+03 8.535516e-02 5.474368e+01 1.669828e+03 1.360133e+03 1.022107e-01 5.475680e+01 3.916896e-01 5.862287e-03 -2.176914e-04 -5.595794e-03
45.000 105.000 1.291002e+03 1.802524e+03 -1.653524e-01 5.485385e+01 1.319764e+03 1.771181e+03 -1.460451e-01 5.500016e+01 3.982421e-01 5.318103e-03 -2.485539e-04 -1.027447e-02
45.000 135.000 1.364176e+03 2.074394e+03 -2.065445e-01 5.737490e+01 1.388706e+03 2.044184e+03 -1.909405e-01 5.751289e+01 2.980859e-01 5.032761e-03 -1.920783e-04 -8.795318e-03
45.000 165.000 1.484588e+03 1.522056e+03 -1.246196e-02 5.482861e+01 1.496734e+03 1.510351e+03 -4.528257e-03 5.483633e+01 1.180579e-01 5.334728e-03 -1.023111e-04 -2.380506e-03
45.000 195.000 1.199668e+03 1.472509e+03 -1.021042e-01 5.142294e+01 1.195492e+03 1.479643e+03 -1.062193e-01 5.142911e+01 -9.360363e-02 5.877373e-03 5.658252e-05 -1.653076e-04
45.000 225.000 1.593540e+03 1.374361e+03 7.384985e-02 5.432968e+01 1.574831e+03 1.395080e+03 6.052386e-02 5.439698e+01 -2.801842e-01 6.123484e-03 1.733318e-04 6.516402e-03
45.000 255.000 2.185785e+03 1.210034e+03 2.873388e-01 5.581620e+01 2.155488e+03 1.231782e+03 2.726993e-01 5.599443e+01 -3.916896e-01 5.862287e-03 1.851640e-04 1.216543e-02
45.000 285.000 1.011549e+03 1.198027e+03 -8.439563e-02 4.683843e+01 9.947421e+02 1.227355e+03 -1.046816e-01 4.688013e+01 -3.982421e-01 5.318103e-03 3.061150e-04 6.700618e-03
45.000 315.000 1.599099e+03 1.081461e+03 1.931080e-01 5.079960e+01 1.578811e+03 1.100319e+03 1.785996e-01 5.092810e+01 -2.980859e-01 5.032761e-03 2.016949e-04 9.669248e-03
45.000 345.000 1.665107e+03 1.260408e+03 1.383342e-01 5.356801e+01 1.653714e+03 1.271583e+03 1.306301e-01 5.362256e+01 -1.180579e-01 5.334728e-03 1.016440e-04 4.786291e-03
75.000 15.000 1.892814e+03 1.658365e+03 6.602004e-02 5.946176e+01 1.901998e+03 1.651429e+03 7.051483e-02 5.946224e+01 7.064236e-02 5.690484e-03 -5.345085e-05 -7.773587e-05
75.000 45.000 1.880818e+03 2.511713e+03 -1.436289e-01 6.558900e+01 1.899014e+03 2.492041e+03 -1.350535e-01 6.565794e+01 2.466947e-01 5.529234e-03 -9.240172e-05 -5.951052e-03
75.000 75.000 1.896710e+03 2.518613e+03 -1.408510e-01 6.578547e+01 1.921341e+03 2.491133e+03 -1.291322e-01 6.587029e+01 3.566453e-01 5.440926e-03 -1.258803e-04 -7.562405e-03
75.000 105.000 1.777195e+03 1.921909e+03 -3.912135e-02 6.077370e+01 1.806236e+03 1.893856e+03 -2.368061e-02 6.081133e+01 3.710332e-01 5.517619e-03 -1.795987e-04 -6.748882e-03
75.000 135.000 1.388775e+03 1.841746e+03 -1.402159e-01 5.627617e+01 1.409141e+03 1.820936e+03 -1.274878e-01 5.637001e+01 2.860030e-01 5.679199e-03 -1.597943e-04 -7.573701e-03
75.000 165.000 1.580747e+03 2.897063e+03 -2.939641e-01 6.395984e+01 1.588208e+03 2.884317e+03 -2.897936e-01 6.400720e+01 1.243385e-01 5.763857e-03 -4.608938e-05 -6.540083e-03
75.000 195.000 2.522698e+03 2.067827e+03 9.908918e-02 6.741997e+01 2.524436e+03 2.071102e+03 9.864653e-02 6.745975e+01 -7.064234e-02 5.690484e-03 4.641207e-06 2.517526e-03
75.000 225.000 2.586932e+03 2.095483e+03 1.049562e-01 6.805024e+01 2.564834e+03 2.119100e+03 9.516230e-02 6.812868e+01 -2.466947e-01 5.529234e-03 1.017095e-04 5.167519e-03
75.000 255.000 2.634091e+03 1.656547e+03 2.278318e-01 6.378027e+01 2.595589e+03 1.689430e+03 2.114714e-01 6.397963e+01 -3.566453e-01 5.440926e-03 1.810981e-04 9.163918e-03
75.000 285.000 2.387110e+03 2.136112e+03 5.549109e-02 6.715127e+01 2.359211e+03 2.171066e+03 4.153046e-02 6.724927e+01 -3.710332e-01 5.517619e-03 1.468990e-04 6.351693e-03
75.000 315.000 1.735439e+03 2.121626e+03 -1.001246e-01 6.179319e+01 1.715090e+03 2.147321e+03 -1.119070e-01 6.175793e+01 -2.860030e-01 5.679199e-03 1.348659e-04 3.008072e-03
75.000 345.000 2.168506e+03 2.754466e+03 -1.190258e-01 6.966511e+01 2.161056e+03 2.768460e+03 -1.232178e-01 6.967549e+01 -1.243386e-01 5.763857e-03 4.254581e-05 7.626083e-05
105.000 15.000 1.931768e+03 1.822033e+03 2.923304e-02 6.124208e+01 1.920260e+03 1.832620e+03 2.335277e-02 6.124404e+01 8.083769e-02 5.763858e-03 6.789306e-05 -8.426337e-04
105.000 45.000 1.690874e+03 2.091178e+03 -1.058432e-01 6.115294e+01 1.688859e+03 2.085320e+03 -1.050457e-01 6.109445e+01 2.332652e-01 5.679199e-03 -9.225580e-06 -5.545250e-03
105.000 75.000 2.041981e+03 2.254488e+03 -4.946086e-02 6.546723e+01 2.067330e+03 2.236967e+03 -3.941102e-02 6.555617e+01 3.231894e-01 5.517619e-03 -1.084739e-04 -5.692165e-03
105.000 105.000 1.559803e+03 2.438971e+03 -2.198593e-01 6.168859e+01 1.583216e+03 2.416092e+03 -2.082549e-01 6.185351e+01 3.265154e-01 5.440926e-03 -1.328379e-04 -8.856982e-03
105.000 135.000 2.087696e+03 2.159278e+03 -1.685489e-02 6.515955e+01 2.127105e+03 2.130502e+03 -7.978429e-04 6.525032e+01 2.423518e-01 5.529234e-03 -1.741286e-04 -3.978030e-03
105.000 165.000 2.023943e+03 2.037065e+03 -3.231018e-03 6.372571e+01 2.051134e+03 2.014948e+03 8.899492e-03 6.376331e+01 9.325020e-02 5.690485e-03 -1.345617e-04 -1.514008e-03
105.000 195.000 1.731955e+03 1.895970e+03 -4.520906e-02 6.017068e+01 1.738669e+03 1.885643e+03 -4.055226e-02 6.015274e+01 -8.083767e-02 5.763858e-03 -5.473332e-05 5.921258e-04
105.000 225.000 1.850342e+03 1.481059e+03 1.108492e-01 5.736259e+01 1.843655e+03 1.485219e+03 1.076748e-01 5.736095e+01 -2.332652e-01 5.679199e-03 3.913130e-05 5.998934e-03
105.000 255.000 2.589884e+03 1.540407e+03 2.540926e-01 6.215808e+01 2.569247e+03 1.561294e+03 2.440244e-01 6.232636e+01 -3.231894e-01 5.517619e-03 1.143814e-04 9.287322e-03
105.000 285.000 2.245946e+03 1.773125e+03 1.176444e-01 6.295591e+01 2.218990e+03 1.806086e+03 1.025828e-01 6.310879e+01 -3.265154e-01 5.440926e-03 1.689638e-04 7.055093e-03
105.000 315.000 1.735673e+03 1.283954e+03 1.495943e-01 5.433279e+01 1.710213e+03 1.311613e+03 1.319068e-01 5.449081e+01 -2.423518e-01 5.529234e-03 2.298574e-04 7.213804e-03
105.000 345.000 2.368698e+03 1.766710e+03 1.455692e-01 6.362215e+01 2.342168e+03 1.790365e+03 1.335268e-01 6.370912e+01 -9.325022e-02 5.690485e-03 1.337496e-04 3.753714e-03
135.000 15.000 1.264254e+03 1.634013e+03 -1.275795e-01 5.339563e+01 1.240343e+03 1.664615e+03 -1.460512e-01 5.331972e+01 1.173401e-01 5.334728e-03 2.447900e-04 -4.586884e-03
135.000 45.000 1.556611e+03 1.986507e+03 -1.213328e-01 5.908432e+01 1.529362e+03 2.014128e+03 -1.368045e-01 5.896755e+01 2.624659e-01 5.032760e-03 1.853446e-04 -6.495778e-03
135.000 75.000 1.628831e+03 2.265512e+03 -1.634889e-01 6.156503e+01 1.612473e+03 2.281695e+03 -1.718525e-01 6.147488e+01 3.372642e-01 5.318103e-03 9.613154e-05 -8.133726e-03
