  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   5    0 -6.055e-02 -1.962e-02 3.0859e-03  3.897e-01  3.735e-01 3.0250e-03 -8.375e-03 -1.944e-02 3.0492e-03 -2.898e-04  1.107e-02 3.0507e-03  2.239e-02  5.992e-03 3.0489e-03 -1.0678e-02 1.9921e-03 3.6172e-01 3.2039e-02 4.3454e-01 5.3683e+00 2.8052e+00 7.4616e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 4.854180e+02 3.894958e+02 1.096361e-01 2.940063e+01 4.900196e+02 3.858760e+02 1.188996e-01 2.938559e+01 1.001685e-01 2.426198e-03 -2.228500e-04 3.220226e-04
15.000 45.000 6.154221e+02 4.330749e+02 1.739129e-01 3.188706e+01 6.330175e+02 4.227737e+02 1.991338e-01 3.184218e+01 2.841350e-01 3.814534e-03 -5.596766e-04 -3.456642e-03
15.000 75.000 3.789477e+02 8.227893e+02 -3.693333e-01 3.221508e+01 3.971121e+02 8.045380e+02 -3.390554e-01 3.261150e+01 3.919679e-01 5.652524e-03 -6.605109e-04 -2.363182e-02
15.000 105.000 4.244575e+02 7.542745e+02 -2.798066e-01 3.296130e+01 4.420317e+02 7.307863e+02 -2.462058e-01 3.319224e+01 3.947732e-01 6.378648e-03 -7.183040e-04 -2.046581e-02
15.000 135.000 3.153115e+02 7.712075e+02 -4.195932e-01 2.992036e+01 3.270377e+02 7.513155e+02 -3.934498e-01 3.018975e+01 2.917994e-01 5.658879e-03 -6.150701e-04 -2.377620e-02
15.000 165.000 5.705606e+02 4.495821e+02 1.185898e-01 3.171429e+01 5.775200e+02 4.449726e+02 1.296316e-01 3.170663e+01 1.106382e-01 3.823946e-03 -2.462192e-04 2.507269e-04
15.000 195.000 4.785219e+02 2.775940e+02 2.657369e-01 2.650890e+01 4.745242e+02 2.804313e+02 2.570919e-01 2.655289e+01 -1.001684e-01 2.426198e-03 2.304079e-04 1.380311e-02
15.000 225.000 6.785049e+02 5.167679e+02 1.353139e-01 3.425474e+01 6.612776e+02 5.324775e+02 1.078949e-01 3.434906e+01 -2.841350e-01 3.814534e-03 5.652207e-04 1.224499e-02
15.000 255.000 8.032459e+02 3.579953e+02 3.834265e-01 3.147253e+01 7.799880e+02 3.750761e+02 3.505537e-01 3.182956e+01 -3.919679e-01 5.652524e-03 7.343909e-04 2.463718e-02
15.000 285.000 4.968721e+02 5.260449e+02 -2.851921e-02 3.197006e+01 4.807439e+02 5.525271e+02 -6.947178e-02 3.206687e+01 -3.947732e-01 6.378648e-03 9.044097e-04 1.145615e-02
15.000 315.000 5.735661e+02 4.120765e+02 1.638419e-01 3.097069e+01 5.587057e+02 4.257984e+02 1.349993e-01 3.108958e+01 -2.917994e-01 5.658879e-03 6.572583e-04 1.471202e-02
15.000 345.000 4.410538e+02 4.092534e+02 3.739876e-02 2.913963e+01 4.368767e+02 4.136480e+02 2.731107e-02 2.915288e+01 -1.106382e-01 3.823946e-03 2.447338e-04 5.080263e-03
45.000 15.000 6.839604e+02 9.410521e+02 -1.582090e-01 3.980375e+01 6.896856e+02 9.353349e+02 -1.511668e-01 3.984829e+01 8.285744e-02 5.061659e-03 -1.250334e-04 -6.056377e-03
45.000 45.000 9.230386e+02 1.710770e+03 -2.990844e-01 4.897152e+01 9.466034e+02 1.683388e+03 -2.801472e-01 4.922990e+01 2.674202e-01 5.275100e-03 -2.727163e-04 -1.156804e-02
45.000 75.000 1.067413e+03 1.153270e+03 -3.866238e-02 4.708889e+01 1.104314e+03 1.124166e+03 -8.908368e-03 4.720491e+01 3.803280e-01 5.049068e-03 -4.462488e-04 -8.897859e-03
45.000 105.000 8.026926e+02 1.843418e+03 -3.933039e-01 4.729471e+01 8.334947e+02 1.795589e+03 -3.659428e-01 4.771805e+01 3.913272e-01 4.577466e-03 -4.072507e-04 -1.659025e-02
45.000 135.000 1.116676e+03 1.100624e+03 7.239311e-03 4.708698e+01 1.145662e+03 1.079812e+03 2.958934e-02 4.715427e+01 2.974705e-01 4.329769e-03 -3.353915e-04 -6.163726e-03
45.000 165.000 1.134868e+03 1.319883e+03 -7.536993e-02 4.940452e+01 1.147460e+03 1.309980e+03 -6.613379e-02 4.946404e+01 1.239069e-01 4.591350e-03 -1.321135e-04 -4.033576e-03
45.000 195.000 8.877414e+02 1.252647e+03 -1.704856e-01 4.558703e+01 8.795962e+02 1.256116e+03 -1.762970e-01 4.548992e+01 -8.285742e-02 5.061659e-03 9.023737e-05 -1.922218e-03
45.000 225.000 1.034674e+03 9.717965e+02 3.133747e-02 4.477165e+01 1.011876e+03 9.940675e+02 8.877898e-03 4.478600e+01 -2.674202e-01 5.275100e-03 3.546613e-04 6.672921e-03
45.000 255.000 1.129921e+03 1.103719e+03 1.173065e-02 4.725816e+01 1.101681e+03 1.143049e+03 -1.842882e-02 4.737053e+01 -3.803280e-01 5.049068e-03 4.507291e-04 8.296104e-03
45.000 285.000 1.122355e+03 7.263794e+02 2.141875e-01 4.199907e+01 1.095347e+03 7.555885e+02 1.835605e-01 4.229148e+01 -3.913272e-01 4.577466e-03 5.138512e-04 1.441734e-02
45.000 315.000 1.211594e+03 1.327158e+03 -4.551976e-02 5.033380e+01 1.187757e+03 1.363412e+03 -6.885262e-02 5.038924e+01 -2.974706e-01 4.329769e-03 3.276076e-04 5.005599e-03
45.000 345.000 1.138621e+03 9.010936e+02 1.164514e-01 4.485593e+01 1.129242e+03 9.084906e+02 1.083320e-01 4.487559e+01 -1.239070e-01 4.591350e-03 1.279656e-04 5.358453e-03
75.000 15.000 2.028958e+03 1.970406e+03 1.464040e-02 6.323375e+01 2.034014e+03 1.959462e+03 1.866846e-02 6.318294e+01 6.638834e-02 4.901668e-03 -4.506154e-05 -8.183594e-04
75.000 45.000 1.781135e+03 2.455441e+03 -1.591630e-01 6.425925e+01 1.808112e+03 2.429934e+03 -1.467236e-01 6.439573e+01 2.407060e-01 4.754224e-03 -1.367372e-04 -6.222746e-03
75.000 75.000 1.860408e+03 3.386745e+03 -2.908885e-01 6.930483e+01 1.895914e+03 3.336764e+03 -2.753562e-01 6.954086e+01 3.505267e-01 4.675798e-03 -1.582042e-04 -9.254985e-03
75.000 105.000 1.615466e+03 2.858883e+03 -2.778989e-01 6.425577e+01 1.657926e+03 2.814095e+03 -2.585339e-01 6.459963e+01 3.664240e-01 4.748393e-03 -2.125340e-04 -1.002747e-02
75.000 135.000 1.658745e+03 2.368855e+03 -1.763109e-01 6.246920e+01 1.689710e+03 2.336209e+03 -1.605844e-01 6.262668e+01 2.841384e-01 4.896012e-03 -1.777880e-04 -7.370820e-03
75.000 165.000 2.148970e+03 2.165598e+03 -3.853902e-03 6.568488e+01 2.168383e+03 2.150132e+03 4.226123e-03 6.571483e+01 1.257181e-01 4.970965e-03 -8.696275e-05 -1.972630e-03
75.000 195.000 2.217641e+03 2.161950e+03 1.271585e-02 6.617313e+01 2.209473e+03 2.169092e+03 9.222566e-03 6.616791e+01 -6.638832e-02 4.901668e-03 3.732973e-05 1.195412e-03
75.000 225.000 2.884043e+03 1.748629e+03 2.450884e-01 6.598784e+01 2.864436e+03 1.772669e+03 2.354415e-01 6.618200e+01 -2.407060e-01 4.754224e-03 1.032214e-04 7.361878e-03
75.000 255.000 2.890761e+03 1.655237e+03 2.717827e-01 6.488609e+01 2.838378e+03 1.694587e+03 2.523274e-01 6.514872e+01 -3.505267e-01 4.675798e-03 2.115890e-04 9.590798e-03
75.000 285.000 2.839370e+03 2.017063e+03 1.693232e-01 6.868186e+01 2.789112e+03 2.072451e+03 1.474137e-01 6.896316e+01 -3.664240e-01 4.748393e-03 2.251053e-04 7.800418e-03
75.000 315.000 2.094547e+03 2.453804e+03 -7.898610e-02 6.723076e+01 2.062036e+03 2.498859e+03 -9.577587e-02 6.722394e+01 -2.841384e-01 4.896012e-03 1.765971e-04 3.051465e-03
75.000 345.000 2.723769e+03 1.901821e+03 1.776959e-01 6.692931e+01 2.705031e+03 1.916330e+03 1.706641e-01 6.698327e+01 -1.257181e-01 4.970965e-03 7.426054e-05 4.533349e-03
105.000 15.000 2.422701e+03 2.775522e+03 -6.787342e-02 7.193243e+01 2.407261e+03 2.793874e+03 -7.433241e-02 7.191938e+01 7.768268e-02 4.970966e-03 6.349864e-05 -2.023511e-03
105.000 45.000 2.335036e+03 2.965477e+03 -1.189397e-01 7.228782e+01 2.325147e+03 2.972022e+03 -1.221171e-01 7.223693e+01 2.340075e-01 4.896012e-03 3.109119e-05 -4.882527e-03
105.000 75.000 2.491154e+03 2.437930e+03 1.079788e-02 7.020334e+01 2.499940e+03 2.434042e+03 1.335596e-02 7.023605e+01 3.276302e-01 4.748393e-03 -2.575968e-05 -4.513067e-03
105.000 105.000 2.303823e+03 3.668392e+03 -2.284863e-01 7.523582e+01 2.326312e+03 3.644167e+03 -2.207285e-01 7.536306e+01 3.334647e-01 4.675798e-03 -7.285017e-05 -7.469195e-03
105.000 135.000 2.809629e+03 3.865106e+03 -1.581302e-01 8.067113e+01 2.842548e+03 3.825910e+03 -1.474647e-01 8.076786e+01 2.499476e-01 4.754224e-03 -9.342974e-05 -5.058535e-03
105.000 165.000 2.780145e+03 2.467732e+03 5.953134e-02 7.231375e+01 2.814342e+03 2.440385e+03 7.116599e-02 7.230570e+01 9.945719e-02 4.901669e-03 -1.137737e-04 -5.521198e-04
105.000 195.000 2.550537e+03 3.172058e+03 -1.086083e-01 7.520035e+01 2.572925e+03 3.146480e+03 -1.002824e-01 7.524551e+01 -7.768266e-02 4.970966e-03 -7.826488e-05 -4.112433e-04
105.000 225.000 3.006092e+03 2.679294e+03 5.748023e-02 7.527683e+01 3.012896e+03 2.669558e+03 6.042084e-02 7.524433e+01 -2.340075e-01 4.896012e-03 -2.762834e-05 3.872210e-03
105.000 255.000 3.243488e+03 2.350217e+03 1.596922e-01 7.383127e+01 3.240319e+03 2.373505e+03 1.544070e-01 7.402690e+01 -3.276302e-01 4.748393e-03 5.055100e-05 6.600488e-03
105.000 285.000 3.011048e+03 2.242303e+03 1.463342e-01 7.169978e+01 2.985010e+03 2.269638e+03 1.361408e-01 7.181404e+01 -3.334647e-01 4.675798e-03 1.004478e-04 6.691777e-03
105.000 315.000 3.011328e+03 2.396499e+03 1.136924e-01 7.306111e+01 2.981393e+03 2.428136e+03 1.022746e-01 7.316382e+01 -2.499476e-01 4.754224e-03 1.104268e-04 4.977203e-03
105.000 345.000 3.119985e+03 2.138652e+03 1.866135e-01 7.124259e+01 3.087055e+03 2.164811e+03 1.756031e-01 7.134365e+01 -9.945721e-02 4.901669e-03 1.092046e-04 4.015445e-03
135.000 15.000 1.976984e+03 2.125076e+03 -3.610189e-02 6.400558e+01 1.936134e+03 2.165723e+03 -5.597182e-02 6.394534e+01 1.069861e-01 4.591350e-03 2.196179e-04 -2.235555e-03
135.000 45.000 2.715508e+03 2.544372e+03 3.253617e-02 7.248663e+01 2.641958e+03 2.599638e+03 8.073926e-03 7.239651e+01 2.582305e-01 4.329769e-03 2.387775e-04 -3.113600e-03
135.000 75.000 1.796411e+03 3.622319e+03 -3.369623e-01 6.930705e+01 1.764838e+03 3.684907e+03 -3.523229e-01 6.908878e+01 3.402823e-01 4.577466e-03 1.569631e-04 -9.771655e-03
135.000 105.000 2.024936e+03 3.379258e+03 -2.506058e-01 7.116736e+01 2.009690e+03 3.422918e+03 -2.601381e-01 7.116862e+01 3.311557e-01 5.049068e-03 9.471128e-05 -8.174555e-03
135.000 135.000 2.114430e+03 2.460988e+03 -7.574348e-02 6.744752e+01 2.116678e+03 2.454108e+03 -7.382316e-02 6.742311e+01 2.332962e-01 5.275100e-03 -2.013595e-05 -4.581929e-03
135.000 165.000 2.110456e+03 2.059559e+03 1.220534e-02 6.457084e+01 2.140111e+03 2.032820e+03 2.571101e-02 6.457687e+01 7.292521e-02 5.061659e-03 -1.478919e-04 -9.403604e-04
