  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   8    0 -1.026e-01 -4.459e-02 2.5415e-03  3.707e-01  3.607e-01 2.4821e-03 -2.437e-02  8.848e-04 2.5047e-03 -3.106e-03  7.669e-03 2.4645e-03  4.620e-02  2.096e-02 2.4584e-03 -2.0497e-03 2.8791e-03 5.4575e-01 1.2330e-01 4.4603e-01 5.6392e+00 2.7814e+00 6.0766e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 3.143369e+01 3.498612e+01 -5.348447e-02 8.138170e+00 3.067867e+01 3.478630e+01 -6.274558e-02 8.075100e+00 1.078995e-01 1.965277e-03 8.078007e-04 -1.983050e-02
15.000 45.000 5.457875e+01 1.798753e+01 5.042456e-01 7.356311e+00 5.725303e+01 1.741460e+01 5.335436e-01 7.308357e+00 2.952713e-01 3.106165e-03 -2.825386e-03 2.840748e-02
15.000 75.000 2.396303e+01 1.800656e+02 -7.651013e-01 9.197518e+00 2.571762e+01 1.753266e+02 -7.441595e-01 9.471603e+00 4.035254e-01 4.614268e-03 -1.586197e-03 -1.270589e-01
15.000 105.000 3.663457e+01 2.477221e+01 1.931766e-01 7.688644e+00 3.906130e+01 2.374432e+01 2.438792e-01 7.685709e+00 4.036551e-01 5.210445e-03 -4.663890e-03 -2.737524e-02
15.000 135.000 7.723533e+01 7.409170e+01 2.077371e-02 1.229885e+01 8.220214e+01 7.089286e+01 7.387097e-02 1.233935e+01 2.956258e-01 4.621991e-03 -3.047737e-03 -2.234779e-02
15.000 165.000 7.669649e+01 6.958507e+01 4.861464e-02 1.208039e+01 7.962809e+01 6.759158e+01 8.175883e-02 1.209279e+01 1.083839e-01 3.117625e-03 -1.939048e-03 -4.947622e-03
15.000 195.000 6.897684e+01 1.105215e+02 -2.314485e-01 1.303391e+01 6.879474e+01 1.116513e+02 -2.375033e-01 1.304866e+01 -1.078995e-01 1.965277e-03 3.282916e-04 -9.479044e-03
15.000 225.000 8.193697e+01 0.000000e+00 1.000000e+00 2.000000e+00 7.978035e+01 0.000000e+00 1.000000e+00 2.000000e+00 -2.952713e-01 3.106165e-03 0.000000e+00 6.476349e-01
15.000 255.000 0.000000e+00 4.941493e+01 -1.000000e+00 2.000000e+00 0.000000e+00 5.206164e+01 -1.000000e+00 2.000000e+00 -4.035254e-01 4.614268e-03 0.000000e+00 -2.982365e-01
15.000 285.000 1.735441e+01 4.923971e+01 -4.788006e-01 7.164315e+00 1.665813e+01 5.305825e+01 -5.221172e-01 7.121184e+00 -4.036551e-01 5.210445e-03 4.288168e-03 -1.048885e-02
15.000 315.000 7.052464e+00 7.296920e+00 -1.703594e-02 3.787508e+00 6.843245e+00 7.757100e+00 -6.259130e-02 3.813548e+00 -2.956259e-01 4.621991e-03 8.475747e-03 7.355488e-02
15.000 345.000 1.005717e+02 9.162346e+01 4.655826e-02 1.384841e+01 9.842481e+01 9.288833e+01 2.893937e-02 1.382581e+01 -1.083839e-01 3.117625e-03 9.003639e-04 1.118844e-02
45.000 15.000 3.898530e+01 0.000000e+00 1.000000e+00 2.000000e+00 3.847595e+01 0.000000e+00 1.000000e+00 2.000000e+00 9.670912e-02 4.119332e-03 0.000000e+00 4.516445e-01
45.000 45.000 1.442205e+02 1.364967e+02 2.751466e-02 1.674827e+01 1.421197e+02 1.390185e+02 1.103084e-02 1.676616e+01 2.843081e-01 4.281899e-03 6.955702e-04 -1.533253e-02
45.000 75.000 7.734770e+01 4.697607e+01 2.442946e-01 1.081222e+01 8.021414e+01 4.583432e+01 2.727508e-01 1.080145e+01 3.957269e-01 4.107468e-03 -1.861926e-03 -1.400566e-02
45.000 105.000 3.493156e+01 3.715043e+02 -8.281079e-01 1.130121e+01 3.622103e+01 3.628070e+02 -8.184537e-01 1.147748e+01 4.011110e-01 3.747287e-03 -5.993584e-04 -1.087688e-01
45.000 135.000 7.508669e+01 1.611094e+02 -3.642005e-01 1.431316e+01 7.836417e+01 1.558902e+02 -3.309481e-01 1.444290e+01 2.990178e-01 3.560392e-03 -1.635323e-03 -4.633625e-02
45.000 165.000 7.944844e+01 2.767603e+01 4.832921e-01 9.061086e+00 8.294720e+01 2.714850e+01 5.068200e-01 9.045209e+00 1.168030e-01 3.760287e-03 -1.837675e-03 4.044649e-02
45.000 195.000 3.086428e+01 5.021688e+01 -2.386818e-01 8.744258e+00 3.097263e+01 4.871551e+01 -2.226541e-01 8.702736e+00 -9.670910e-02 4.119332e-03 -1.299164e-03 -1.623610e-02
45.000 225.000 6.137258e+01 1.736323e+01 5.589497e-01 7.357771e+00 6.098932e+01 1.763751e+01 5.513616e-01 7.397588e+00 -2.843080e-01 4.281899e-03 7.272759e-04 1.146078e-01
45.000 255.000 6.287560e+01 1.387844e+01 6.383658e-01 6.743584e+00 6.142027e+01 1.433834e+01 6.214730e-01 6.818978e+00 -3.957269e-01 4.107468e-03 1.761447e-03 1.533446e-01
45.000 285.000 3.921734e+01 1.207517e+01 5.291643e-01 6.076993e+00 3.816940e+01 1.257178e+01 5.044742e-01 6.150435e+00 -4.011110e-01 3.747287e-03 2.855591e-03 1.530815e-01
45.000 315.000 2.718864e+01 7.587584e+01 -4.723955e-01 8.947897e+00 2.656100e+01 7.890338e+01 -4.963039e-01 8.915529e+00 -2.990178e-01 3.560392e-03 1.892773e-03 -1.937637e-02
45.000 345.000 1.483595e+02 3.040121e+01 6.598669e-01 1.004609e+01 1.435213e+02 3.138498e+01 6.411223e-01 1.014954e+01 -1.168030e-01 3.760287e-03 1.312588e-03 7.731066e-02
75.000 15.000 6.571617e+02 4.685108e+02 1.675895e-01 3.307653e+01 6.487325e+02 4.684764e+02 1.613450e-01 3.298675e+01 7.249110e-02 3.994502e-03 1.336762e-04 2.875102e-03
75.000 45.000 3.658843e+02 4.934019e+02 -1.483995e-01 2.898901e+01 3.683710e+02 4.925625e+02 -1.442521e-01 2.903478e+01 2.517650e-01 3.883464e-03 -1.010846e-04 -1.380401e-02
75.000 75.000 3.903109e+02 6.449854e+02 -2.459919e-01 3.118731e+01 3.942086e+02 6.502244e+02 -2.451241e-01 3.133173e+01 3.635786e-01 3.825019e-03 -1.962969e-05 -1.954547e-02
75.000 105.000 4.298558e+02 4.633966e+02 -3.754909e-02 2.986625e+01 4.368867e+02 4.574412e+02 -2.298316e-02 2.989742e+01 3.779716e-01 3.880079e-03 -3.446799e-04 -1.391272e-02
75.000 135.000 3.055544e+02 4.643284e+02 -2.062315e-01 2.715030e+01 3.090398e+02 4.599639e+02 -1.962593e-01 2.719161e+01 2.910875e-01 3.991211e-03 -2.595190e-04 -1.831726e-02
75.000 165.000 4.395223e+02 3.988473e+02 4.851679e-02 2.892051e+01 4.447664e+02 3.962013e+02 5.774908e-02 2.895105e+01 1.262067e-01 4.047256e-03 -2.256104e-04 -2.686325e-03
75.000 195.000 4.708080e+02 3.772775e+02 1.102843e-01 2.894427e+01 4.757652e+02 3.770936e+02 1.156952e-01 2.900764e+01 -7.249108e-02 3.994502e-03 -1.320422e-04 6.314736e-03
75.000 225.000 3.921999e+02 3.770266e+02 1.972532e-02 2.772954e+01 3.902961e+02 3.804343e+02 1.279543e-02 2.775976e+01 -2.517649e-01 3.883464e-03 1.766168e-04 9.790653e-03
75.000 255.000 4.578158e+02 3.862316e+02 8.481073e-02 2.894782e+01 4.537479e+02 3.908371e+02 7.448718e-02 2.898101e+01 -3.635786e-01 3.825019e-03 2.520283e-04 1.548957e-02
75.000 285.000 5.293047e+02 2.545584e+02 3.505029e-01 2.622144e+01 5.233311e+02 2.582403e+02 3.391768e-01 2.629940e+01 -3.779717e-01 3.880079e-03 3.049768e-04 2.778164e-02
75.000 315.000 6.342946e+02 3.884699e+02 2.403532e-01 3.104319e+01 6.289931e+02 3.941302e+02 2.295548e-01 3.113213e+01 -2.910875e-01 3.991211e-03 2.456141e-04 1.711940e-02
75.000 345.000 5.923854e+02 4.921434e+02 9.242912e-02 3.279121e+01 5.865768e+02 4.969585e+02 8.270917e-02 3.280431e+01 -1.262067e-01 4.047256e-03 2.095584e-04 6.667513e-03
105.000 15.000 1.361456e+03 1.342908e+03 6.858355e-03 5.200228e+01 1.356139e+03 1.345550e+03 3.919476e-03 5.197738e+01 6.004737e-02 4.047256e-03 3.997131e-05 -1.022821e-03
105.000 45.000 1.357776e+03 1.423288e+03 -2.355643e-02 5.272116e+01 1.351492e+03 1.426407e+03 -2.696823e-02 5.268661e+01 2.194773e-01 3.991211e-03 4.577474e-05 -4.609796e-03
105.000 75.000 1.199492e+03 1.598091e+03 -1.424799e-01 5.235256e+01 1.196922e+03 1.602071e+03 -1.447483e-01 5.234833e+01 3.200985e-01 3.880079e-03 3.064002e-05 -8.835833e-03
105.000 105.000 1.082903e+03 1.349056e+03 -1.094399e-01 4.901868e+01 1.081117e+03 1.348337e+03 -1.099919e-01 4.899042e+01 3.349496e-01 3.825019e-03 7.965048e-06 -9.065717e-03
105.000 135.000 1.151862e+03 1.388409e+03 -9.311884e-02 5.018210e+01 1.151151e+03 1.389849e+03 -9.393834e-02 5.018543e+01 2.600512e-01 3.883464e-03 1.154705e-05 -7.037768e-03
105.000 165.000 1.170069e+03 1.517837e+03 -1.293827e-01 5.140924e+01 1.170603e+03 1.516824e+03 -1.288302e-01 5.140839e+01 1.154723e-01 3.994502e-03 -7.599143e-06 -4.762858e-03
105.000 195.000 1.284998e+03 1.471683e+03 -6.772078e-02 5.238358e+01 1.285901e+03 1.467054e+03 -6.580318e-02 5.235489e+01 -6.004735e-02 4.047256e-03 -2.589208e-05 -1.464854e-04
105.000 225.000 1.536234e+03 1.170291e+03 1.352077e-01 5.154655e+01 1.541483e+03 1.168946e+03 1.374458e-01 5.156767e+01 -2.194773e-01 3.991211e-03 -3.069516e-05 6.880869e-03
105.000 255.000 1.835156e+03 1.335248e+03 1.576794e-01 5.560197e+01 1.839308e+03 1.331517e+03 1.601446e-01 5.558331e+01 -3.200985e-01 3.880079e-03 -3.135551e-05 8.592825e-03
105.000 285.000 1.686489e+03 1.273583e+03 1.394920e-01 5.387462e+01 1.690156e+03 1.272370e+03 1.410234e-01 5.388515e+01 -3.349496e-01 3.825019e-03 -2.009879e-05 8.806402e-03
105.000 315.000 1.510297e+03 1.321391e+03 6.671149e-02 5.309507e+01 1.510663e+03 1.321112e+03 6.693730e-02 5.309508e+01 -2.600512e-01 3.883464e-03 -3.007262e-06 6.154294e-03
105.000 345.000 1.194892e+03 1.279777e+03 -3.430162e-02 4.971676e+01 1.194483e+03 1.281449e+03 -3.512450e-02 4.972804e+01 -1.154723e-01 3.994502e-03 1.170222e-05 1.632662e-03
135.000 15.000 1.566235e+03 1.663493e+03 -3.011348e-02 5.680492e+01 1.552132e+03 1.675372e+03 -3.818456e-02 5.676969e+01 6.819980e-02 3.760287e-03 1.004998e-04 -1.730718e-03
135.000 45.000 1.430977e+03 1.967397e+03 -1.578458e-01 5.756477e+01 1.401169e+03 1.998555e+03 -1.757158e-01 5.739995e+01 2.098378e-01 3.560392e-03 2.198239e-04 -6.387302e-03
