  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   9    0 -1.034e-01 -4.613e-02 2.5174e-03  3.616e-01  3.588e-01 2.4582e-03 -2.943e-02  2.206e-03 2.4806e-03 -4.198e-03  7.368e-03 2.4351e-03  5.312e-02  2.304e-02 2.4292e-03 1.4605e-02 4.7159e-03 6.9155e-01 1.9172e-01 4.5452e-01 5.8619e+00 2.7742e+00 5.0100e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.086392e-01 1.942850e-03         -nan         -nan
15.000 45.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 2.961572e-01 3.073053e-03         -nan         -nan
15.000 75.000 5.109906e+01 0.000000e+00 1.000000e+00 2.000000e+00 5.279920e+01 0.000000e+00 1.000000e+00 2.000000e+00 4.043201e-01 4.566297e-03 0.000000e+00 2.978392e-01
15.000 105.000 0.000000e+00 7.021446e+01 -1.000000e+00 2.000000e+00 0.000000e+00 6.711174e+01 -1.000000e+00 2.000000e+00 4.041457e-01 5.156499e-03 0.000000e+00 -7.020705e-01
15.000 135.000 7.932649e+00 2.813750e+01 -5.601543e-01 4.975170e+00 8.316613e+00 2.693974e+01 -5.282205e-01 5.041749e+00 2.956808e-01 4.573893e-03 -4.508393e-03 -1.720212e-01
15.000 165.000 4.038737e+01 5.269620e+01 -1.322342e-01 9.563259e+00 4.207541e+01 5.149100e+01 -1.006301e-01 9.623872e+00 1.079885e-01 3.084329e-03 -2.329408e-03 -2.511933e-02
15.000 195.000 1.075463e+01 4.510698e+01 -6.149544e-01 5.893766e+00 1.085170e+01 4.356236e+01 -6.011436e-01 5.894934e+00 -1.086392e-01 1.942850e-03 -1.656793e-03 -8.590690e-02
15.000 225.000 4.059178e+01 0.000000e+00 1.000000e+00 2.000000e+00 3.907791e+01 0.000000e+00 1.000000e+00 2.000000e+00 -2.961572e-01 3.073053e-03 0.000000e+00 6.480778e-01
15.000 255.000 6.390984e+01 0.000000e+00 1.000000e+00 2.000000e+00 6.121943e+01 0.000000e+00 1.000000e+00 2.000000e+00 -4.043201e-01 4.566297e-03 0.000000e+00 7.021582e-01
15.000 285.000 6.656764e+01 1.157325e+01 7.037850e-01 6.279862e+00 6.332346e+01 1.243837e+01 6.716454e-01 6.448651e+00 -4.041457e-01 5.156499e-03 3.570581e-03 1.764259e-01
15.000 315.000 8.388395e+01 0.000000e+00 1.000000e+00 2.000000e+00 8.042960e+01 0.000000e+00 1.000000e+00 2.000000e+00 -2.956809e-01 4.573893e-03 0.000000e+00 6.478387e-01
15.000 345.000 1.585757e+02 1.355873e+01 8.424635e-01 7.068445e+00 1.563156e+02 1.430572e+01 8.323103e-01 7.240514e+00 -1.079886e-01 3.084329e-03 1.003410e-03 1.344641e-01
45.000 15.000 6.863952e+00 1.288510e+01 -3.048827e-01 4.232411e+00 6.769124e+00 1.321868e+01 -3.226745e-01 4.231630e+00 9.826420e-02 4.074719e-03 2.972728e-03 -9.525226e-02
45.000 45.000 0.000000e+00 1.128668e+02 -1.000000e+00 2.000000e+00 0.000000e+00 1.142006e+02 -1.000000e+00 2.000000e+00 2.856778e-01 4.234240e-03 0.000000e+00 -6.428375e-01
45.000 75.000 0.000000e+00 1.826433e+02 -1.000000e+00 2.000000e+00 0.000000e+00 1.819312e+02 -1.000000e+00 2.000000e+00 3.965442e-01 4.062946e-03 0.000000e+00 -6.982707e-01
45.000 105.000 0.000000e+00 1.504928e+01 -1.000000e+00 2.000000e+00 0.000000e+00 1.455220e+01 -1.000000e+00 2.000000e+00 4.011570e-01 3.709557e-03 0.000000e+00 -7.005773e-01
45.000 135.000 3.246363e+01 5.040171e+01 -2.164726e-01 8.887196e+00 3.406108e+01 4.888786e+01 -1.787459e-01 8.960955e+00 2.982800e-01 3.526381e-03 -2.989284e-03 -5.792071e-02
45.000 165.000 8.850352e+00 7.215253e+01 -7.814806e-01 5.615466e+00 9.331476e+00 6.916805e+01 -7.622540e-01 5.734881e+00 1.154792e-01 3.722449e-03 -2.395434e-03 -1.597302e-01
45.000 195.000 0.000000e+00 8.873779e+01 -1.000000e+00 2.000000e+00 0.000000e+00 8.559053e+01 -1.000000e+00 2.000000e+00 -9.826418e-02 4.074719e-03 0.000000e+00 -4.508670e-01
