  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
  10    0 -1.063e-01 -1.919e-02 1.3594e-02  3.239e-01  4.672e-01 1.2937e-02 -4.069e-02 -5.166e-02 1.3084e-02 -5.670e-03  1.763e-02 1.2708e-02  5.502e-02  3.831e-02 1.2709e-02 -4.8539e-02 2.2725e-02 9.1431e-01 3.4004e-01 4.4799e-01 5.4422e+00 2.7239e+00 3.3841e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 7.294827e+00 0.000000e+00 1.000000e+00 2.000000e+00 7.200377e+00 0.000000e+00 1.000000e+00 2.000000e+00 1.355197e-01 1.017015e-02 0.000000e+00 4.322346e-01
15.000 45.000 1.775618e+01 1.826521e+01 -1.413135e-02 6.001183e+00 1.738073e+01 1.857249e+01 -3.314734e-02 5.992806e+00 3.865033e-01 1.620151e-02 2.242178e-03 -6.675904e-02
15.000 75.000 5.998600e+00 1.326927e+01 -3.773470e-01 4.065010e+00 5.896755e+00 1.337320e+01 -3.879844e-01 4.045888e+00 5.339237e-01 2.412964e-02 1.854731e-03 -2.241703e-01
15.000 105.000 3.151280e+00 7.940298e+00 -4.317706e-01 3.003968e+00 3.109294e+00 8.024266e+00 -4.414555e-01 2.993964e+00 5.382797e-01 2.725681e-02 2.283540e-03 -3.229097e-01
15.000 135.000 0.000000e+00 2.305358e+01 -1.000000e+00 2.000000e+00 0.000000e+00 2.314297e+01 -1.000000e+00 2.000000e+00 3.984041e-01 2.416355e-02 0.000000e+00 -6.991510e-01
15.000 165.000 0.000000e+00 1.518416e+01 -1.000000e+00 2.000000e+00 0.000000e+00 1.508998e+01 -1.000000e+00 2.000000e+00 1.517764e-01 1.625196e-02 0.000000e+00 -5.758692e-01
15.000 195.000 7.363463e+00 4.622227e+00 2.287091e-01 3.370274e+00 7.409735e+00 4.540566e+00 2.400918e-01 3.355806e+00 -1.355196e-01 1.017015e-02 -2.393315e-03 1.080705e-01
15.000 225.000 2.273244e+00 9.141141e+00 -6.016879e-01 2.698528e+00 2.305865e+00 9.015796e+00 -5.926631e-01 2.710154e+00 -3.865033e-01 1.620151e-02 -2.359715e-03 -7.974004e-02
15.000 255.000 7.193313e+00 0.000000e+00 1.000000e+00 2.000000e+00 7.338073e+00 0.000000e+00 1.000000e+00 2.000000e+00 -5.339237e-01 2.412964e-02 0.000000e+00 7.669060e-01
15.000 285.000 0.000000e+00 1.000310e+01 -1.000000e+00 2.000000e+00 0.000000e+00 9.863799e+00 -1.000000e+00 2.000000e+00 -5.382797e-01 2.725681e-02 0.000000e+00 -2.308387e-01
15.000 315.000 1.334269e+01 7.315995e+00 2.917271e-01 4.347475e+00 1.334519e+01 7.315250e+00 2.918591e-01 4.347476e+00 -3.984041e-01 2.416355e-02 -2.146691e-05 1.587405e-01
15.000 345.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -1.517764e-01 1.625196e-02         -nan         -nan
45.000 15.000 9.584081e+00 4.531684e+00 3.579258e-01 3.508188e+00 9.033099e+00 4.623646e+00 3.228773e-01 3.497575e+00 1.098710e-01 2.143345e-02 7.075034e-03 7.070607e-02
45.000 45.000 0.000000e+00 3.453610e+01 -1.000000e+00 2.000000e+00 0.000000e+00 3.578174e+01 -1.000000e+00 2.000000e+00 3.497711e-01 2.218762e-02 0.000000e+00 -6.748440e-01
45.000 75.000 1.837321e+01 1.557189e+01 8.252499e-02 5.806369e+00 1.741634e+01 1.620207e+01 3.611942e-02 5.794355e+00 4.959504e-01 2.135604e-02 5.657178e-03 -7.120158e-02
45.000 105.000 3.580164e+00 3.546670e+01 -8.166222e-01 3.606606e+00 3.470532e+00 3.613612e+01 -8.247500e-01 3.558891e+00 5.092402e-01 1.967162e-02 1.604106e-03 -3.676150e-01
45.000 135.000 0.000000e+00 2.461015e+01 -1.000000e+00 2.000000e+00 0.000000e+00 2.498511e+01 -1.000000e+00 2.000000e+00 3.860794e-01 1.881689e-02 0.000000e+00 -6.930090e-01
