  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -5.498e-03 -5.750e-02 4.1388e-02  3.832e-01  5.841e-01 3.8622e-02  1.157e-03  9.460e-02 4.1370e-02  1.106e-03  1.537e-01 4.2123e-02  3.951e-03 -8.548e-02 4.0879e-02 -1.0763e-01 1.2986e-02 2.5723e-01 1.9617e-03 4.0581e-01 4.9738e+00 2.8332e+00 7.8314e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 2.885798e+01 5.363994e+01 -3.003950e-01 8.663345e+00 2.802604e+01 5.397938e+01 -3.164833e-01 8.590205e+00 2.097705e-01 3.280136e-02 1.318687e-03 -5.888740e-02
15.000 45.000 1.037959e+01 1.031631e+01 3.057462e-03 4.549254e+00 9.579985e+00 1.081347e+01 -6.048428e-02 4.507643e+00 3.432589e-01 5.041862e-02 9.921792e-03 -7.477723e-02
15.000 75.000 2.035712e+01 1.815437e+01 5.719700e-02 6.195603e+00 2.120651e+01 1.725780e+01 1.026589e-01 6.169193e+00 3.847714e-01 7.514572e-02 -5.199660e-03 -5.286819e-02
15.000 105.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 3.231847e-01 8.535580e-02         -nan         -nan
15.000 135.000 1.427403e+01 7.040144e+01 -6.628532e-01 6.889938e+00 1.437398e+01 6.812304e+01 -6.515273e-01 6.890431e+00 1.750010e-01 7.628568e-02 -1.162321e-03 -1.215980e-01
15.000 165.000 1.648594e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.685519e+01 0.000000e+00 1.000000e+00 2.000000e+00 -2.007418e-02 5.210243e-02 0.000000e+00 5.098641e-01
15.000 195.000 0.000000e+00 1.496909e+02 -1.000000e+00 2.000000e+00 0.000000e+00 1.475828e+02 -1.000000e+00 2.000000e+00 -2.097705e-01 3.280136e-02 0.000000e+00 -3.950616e-01
15.000 225.000 3.731576e+01 0.000000e+00 1.000000e+00 2.000000e+00 3.785524e+01 0.000000e+00 1.000000e+00 2.000000e+00 -3.432589e-01 5.041862e-02 0.000000e+00 6.714162e-01
15.000 255.000 5.469133e+01 1.000096e+01 6.908144e-01 5.815457e+00 5.472690e+01 1.019086e+01 6.860379e-01 5.862111e+00 -3.847714e-01 7.514572e-02 5.784564e-04 1.849375e-01
15.000 285.000 0.000000e+00 1.940817e+01 -1.000000e+00 2.000000e+00 0.000000e+00 2.024628e+01 -1.000000e+00 2.000000e+00 -3.231848e-01 8.535580e-02 0.000000e+00 -3.380999e-01
15.000 315.000 0.000000e+00 2.213419e+01 -1.000000e+00 2.000000e+00 0.000000e+00 2.366990e+01 -1.000000e+00 2.000000e+00 -1.750010e-01 7.628568e-02 0.000000e+00 -4.121998e-01
15.000 345.000 4.346497e+01 4.150809e+01 2.302943e-02 9.215639e+00 4.143741e+01 4.426439e+01 -3.298621e-02 9.252489e+00 2.007416e-02 5.210243e-02 4.289440e-03 3.206748e-04
45.000 15.000 4.226536e+01 0.000000e+00 1.000000e+00 2.000000e+00 3.953050e+01 0.000000e+00 1.000000e+00 2.000000e+00 2.728830e-01 6.862269e-02 0.000000e+00 3.633447e-01
45.000 45.000 2.149308e+01 1.109345e+02 -6.753986e-01 8.486398e+00 1.917120e+01 1.214436e+02 -7.273232e-01 8.138163e+00 5.481334e-01 7.104229e-02 4.416134e-03 -1.441706e-01
45.000 75.000 0.000000e+00 1.776547e+02 -1.000000e+00 2.000000e+00 0.000000e+00 1.986980e+02 -1.000000e+00 2.000000e+00 6.765118e-01 6.722132e-02 0.000000e+00 -8.377828e-01
45.000 105.000 7.979497e+01 0.000000e+00 1.000000e+00 2.000000e+00 6.822442e+01 0.000000e+00 1.000000e+00 2.000000e+00 6.236195e-01 6.043566e-02 0.000000e+00 1.881044e-01
45.000 135.000 9.544278e+01 1.027843e+02 -3.703598e-02 1.406966e+01 8.612794e+01 1.121036e+02 -1.310370e-01 1.395807e+01 4.036288e-01 5.757199e-02 4.743033e-03 -3.131996e-02
