  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   2    0 -1.816e-02 -3.480e-03 2.9817e-02  3.843e-01  5.904e-01 2.7679e-02 -7.596e-04  1.764e-01 2.8109e-02  8.541e-04  7.039e-02 2.7846e-02  7.756e-03  1.106e-01 2.7706e-02 -2.0401e-01 1.1772e-02 2.7517e-01 6.9158e-03 4.0954e-01 5.0463e+00 2.8216e+00 7.7503e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 0.000000e+00 1.314656e+01 -1.000000e+00 2.000000e+00 0.000000e+00 1.401163e+01 -1.000000e+00 2.000000e+00 2.889574e-01 2.213603e-02 0.000000e+00 -6.444392e-01
15.000 45.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.693426e-01 3.512793e-02         -nan         -nan
15.000 75.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 5.239677e-01 5.232711e-02         -nan         -nan
15.000 105.000 2.649234e+01 1.795293e+01 1.921330e-01 6.542520e+00 2.659908e+01 1.784961e+01 1.968441e-01 6.536544e+00 4.381962e-01 5.914655e-02 -5.094099e-04 -3.760831e-02
15.000 135.000 1.665767e+01 7.101862e+01 -6.200188e-01 7.346529e+00 1.745282e+01 7.193225e+01 -6.094914e-01 7.495354e+00 2.350103e-01 5.248188e-02 -1.003060e-03 -1.163825e-01
15.000 165.000 0.000000e+00 2.052717e+01 -1.000000e+00 2.000000e+00 0.000000e+00 1.850516e+01 -1.000000e+00 2.000000e+00 -3.114637e-02 3.535805e-02 0.000000e+00 -4.843511e-01
15.000 195.000 0.000000e+00 7.894945e+00 -1.000000e+00 2.000000e+00 0.000000e+00 7.121913e+00 -1.000000e+00 2.000000e+00 -2.889574e-01 2.213603e-02 0.000000e+00 -3.554995e-01
15.000 225.000 8.001073e+01 5.824196e+00 8.642931e-01 4.660045e+00 8.386140e+01 5.390906e+00 8.791985e-01 4.501240e+00 -4.693426e-01 3.512793e-02 -2.300578e-03 2.861770e-01
15.000 255.000 5.942751e+01 1.585257e+01 5.788376e-01 7.075116e+00 6.295878e+01 1.522865e+01 6.104579e-01 7.003584e+00 -5.239677e-01 5.232711e-02 -3.176240e-03 1.558667e-01
15.000 285.000 2.387555e+01 2.987402e+01 -1.116004e-01 7.285612e+00 2.399582e+01 2.949693e+01 -1.028384e-01 7.275097e+00 -4.381962e-01 5.914655e-02 -8.510100e-04 4.482603e-02
15.000 315.000 5.166167e+01 1.760656e+01 4.916410e-01 7.247437e+00 4.937741e+01 1.883348e+01 4.477868e-01 7.384695e+00 -2.350103e-01 5.248188e-02 4.238375e-03 1.002606e-01
15.000 345.000 0.000000e+00 1.823797e+02 -1.000000e+00 2.000000e+00 0.000000e+00 1.986913e+02 -1.000000e+00 2.000000e+00 3.114634e-02 3.535806e-02 0.000000e+00 -5.154926e-01
45.000 15.000 7.352243e+01 7.612390e+01 -1.738411e-02 1.223115e+01 6.270659e+01 8.966709e+01 -1.769367e-01 1.214921e+01 4.781980e-01 4.656220e-02 9.254997e-03 -4.051773e-02
45.000 45.000 2.571762e+01 8.908902e+01 -5.519837e-01 8.934577e+00 2.065726e+01 1.046203e+02 -6.702162e-01 8.306875e+00 7.231995e-01 4.817825e-02 9.691487e-03 -1.427224e-01
45.000 75.000 1.585071e+01 8.203829e+01 -6.761494e-01 7.289465e+00 1.396433e+01 9.677198e+01 -7.477913e-01 6.986664e+00 7.744202e-01 4.633858e-02 7.095350e-03 -1.989913e-01
45.000 105.000 3.737611e+01 8.575433e+00 6.267620e-01 5.282081e+00 3.532458e+01 8.581221e+00 6.091077e-01 5.255113e+00 6.181357e-01 4.266474e-02 2.369400e-03 1.633062e-03
45.000 135.000 5.235118e+01 0.000000e+00 1.000000e+00 2.000000e+00 5.353758e+01 0.000000e+00 1.000000e+00 2.000000e+00 2.962222e-01 4.083105e-02 0.000000e+00 3.518156e-01
45.000 165.000 7.234389e+01 9.351662e+01 -1.276538e-01 1.277332e+01 7.821226e+01 8.328924e+01 -3.143612e-02 1.270204e+01 -1.050637e-01 4.290751e-02 -5.341310e-03 -1.768524e-03
