  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   3    0 -3.070e-02  4.819e-02 2.4078e-02  3.884e-01  5.893e-01 2.2405e-02 -2.765e-03  4.990e-02 2.3093e-02  5.805e-04  6.953e-02 2.2531e-02  1.171e-02  1.513e-02 2.2999e-02 5.6830e-02 1.2817e-02 2.9305e-01 1.2634e-02 4.1667e-01 5.1437e+00 2.8454e+00 7.7459e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 7.358023e+01 5.595562e+01 1.360597e-01 1.127554e+01 7.166714e+01 5.881796e+01 9.847239e-02 1.136749e+01 2.077671e-01 1.812457e-02 2.347569e-03 -6.359544e-03
15.000 45.000 4.515503e+01 1.016154e+02 -3.846848e-01 1.118262e+01 4.166613e+01 1.086882e+02 -4.457607e-01 1.097627e+01 3.927909e-01 2.878139e-02 3.897786e-03 -6.952514e-02
15.000 75.000 2.919728e+01 7.056104e+01 -4.146397e-01 9.088854e+00 2.851846e+01 7.253258e+01 -4.355633e-01 9.048763e+00 4.725667e-01 4.272796e-02 1.631438e-03 -9.761369e-02
15.000 105.000 1.017543e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.047999e+01 0.000000e+00 1.000000e+00 2.000000e+00 4.257186e-01 4.819876e-02 0.000000e+00 2.870573e-01
15.000 135.000 1.173645e+01 2.411260e+01 -3.452294e-01 5.619292e+00 1.201851e+01 2.352650e+01 -3.237581e-01 5.640852e+00 2.647996e-01 4.269956e-02 -2.696675e-03 -1.085566e-01
15.000 165.000 3.399877e+01 1.970882e+01 2.660694e-01 7.064381e+00 3.562954e+01 1.894531e+01 3.057129e-01 7.033794e+00 3.292771e-02 2.873921e-02 -3.976699e-03 3.300216e-02
15.000 195.000 7.432028e+00 0.000000e+00 1.000000e+00 2.000000e+00 7.701822e+00 0.000000e+00 1.000000e+00 2.000000e+00 -2.077671e-01 1.812457e-02 0.000000e+00 6.038588e-01
15.000 225.000 2.003155e+01 6.053191e+01 -5.027137e-01 7.759084e+00 2.041255e+01 5.817795e+01 -4.805339e-01 7.774506e+00 -3.927909e-01 2.878139e-02 -2.019301e-03 -1.416688e-02
15.000 255.000 5.308542e+01 1.792553e+01 4.951335e-01 7.321346e+00 5.458706e+01 1.813856e+01 5.011782e-01 7.379595e+00 -4.725667e-01 4.272796e-02 -5.814940e-04 1.321729e-01
15.000 285.000 9.632745e+01 0.000000e+00 1.000000e+00 2.000000e+00 9.631935e+01 0.000000e+00 1.000000e+00 2.000000e+00 -4.257186e-01 4.819876e-02 0.000000e+00 7.126524e-01
15.000 315.000 0.000000e+00 4.898451e+01 -1.000000e+00 2.000000e+00 0.000000e+00 5.071982e+01 -1.000000e+00 2.000000e+00 -2.647996e-01 4.269956e-02 0.000000e+00 -3.675164e-01
15.000 345.000 1.282098e+02 2.455998e+01 6.784708e-01 9.080001e+00 1.248139e+02 2.567583e+01 6.587697e-01 9.229331e+00 -3.292774e-02 2.873921e-02 1.521667e-03 7.834746e-02
45.000 15.000 5.890698e+01 7.239744e+01 -1.027419e-01 1.139817e+01 5.264748e+01 7.832156e+01 -1.960317e-01 1.122213e+01 2.981345e-01 3.812581e-02 5.832269e-03 -3.517003e-02
45.000 45.000 2.229650e+01 3.492663e+01 -2.207173e-01 7.378038e+00 1.953660e+01 3.745619e+01 -3.144185e-01 7.166487e+00 5.366426e-01 3.942379e-02 9.109929e-03 -1.026491e-01
45.000 75.000 3.492046e+01 1.260324e+02 -5.660784e-01 1.045832e+01 2.909561e+01 1.361519e+02 -6.478542e-01 9.792378e+00 6.313579e-01 3.776862e-02 5.707755e-03 -1.144953e-01
45.000 105.000 8.251073e+01 0.000000e+00 1.000000e+00 2.000000e+00 7.089799e+01 0.000000e+00 1.000000e+00 2.000000e+00 5.569013e-01 3.461276e-02 0.000000e+00 2.215162e-01
45.000 135.000 1.341335e+01 1.829929e+02 -8.634122e-01 7.070304e+00 1.344332e+01 1.874076e+02 -8.661363e-01 7.083370e+00 3.332234e-01 3.312681e-02 2.721887e-04 -1.692463e-01
45.000 165.000 3.295646e+01 2.711487e+01 9.724418e-02 7.713837e+00 3.430137e+01 2.647498e+01 1.287736e-01 7.731010e+00 2.025863e-02 3.500218e-02 -2.887000e-03 9.980087e-03
45.000 195.000 1.027182e+02 7.411534e+01 1.617500e-01 1.312277e+01 1.119661e+02 6.667054e+01 2.535626e-01 1.292870e+01 -2.981344e-01 3.812581e-02 -4.983943e-03 3.504463e-02
45.000 225.000 1.673555e+02 0.000000e+00 1.000000e+00 2.000000e+00 1.847600e+02 0.000000e+00 1.000000e+00 2.000000e+00 -5.366426e-01 3.942379e-02 0.000000e+00 7.681721e-01
45.000 255.000 1.413031e+02 5.372610e+01 4.490456e-01 1.247811e+01 1.535071e+02 4.846672e+01 5.200692e-01 1.213860e+01 -6.313579e-01 3.776862e-02 -4.079873e-03 8.658353e-02
45.000 285.000 7.424411e+01 0.000000e+00 1.000000e+00 2.000000e+00 7.879628e+01 0.000000e+00 1.000000e+00 2.000000e+00 -5.569013e-01 3.461276e-02 0.000000e+00 7.783341e-01
45.000 315.000 5.380276e+01 9.641681e+01 -2.836784e-01 1.175291e+01 5.648762e+01 9.567216e+01 -2.575223e-01 1.191927e+01 -3.332234e-01 3.312681e-02 -1.562569e-03 4.215536e-03
45.000 345.000 7.586106e+01 0.000000e+00 1.000000e+00 2.000000e+00 7.208671e+01 0.000000e+00 1.000000e+00 2.000000e+00 -2.025866e-02 3.500218e-02 0.000000e+00 5.100512e-01
75.000 15.000 0.000000e+00 5.795271e+00 -1.000000e+00 2.000000e+00 0.000000e+00 5.942944e+00 -1.000000e+00 2.000000e+00 2.099055e-01 3.729541e-02 0.000000e+00 -6.048476e-01
75.000 45.000 4.951112e+01 0.000000e+00 1.000000e+00 2.000000e+00 4.399648e+01 0.000000e+00 1.000000e+00 2.000000e+00 5.020957e-01 3.591947e-02 0.000000e+00 2.489120e-01
75.000 75.000 9.120986e+01 1.446664e+02 -2.266296e-01 1.495866e+01 7.769309e+01 1.594738e+02 -3.448234e-01 1.445569e+01 6.597498e-01 3.500101e-02 5.681818e-03 -5.925511e-02
75.000 105.000 2.251240e+02 5.225114e+01 6.232456e-01 1.302432e+01 1.921618e+02 5.638529e+01 5.462809e-01 1.320511e+01 6.406245e-01 3.550595e-02 4.149616e-03 -1.334331e-03
75.000 135.000 0.000000e+00 1.145200e+01 -1.000000e+00 2.000000e+00 0.000000e+00 1.195126e+01 -1.000000e+00 2.000000e+00 4.498444e-01 3.689732e-02 0.000000e+00 -7.247988e-01
75.000 165.000 1.852174e+01 9.604616e+01 -6.766680e-01 7.880964e+00 1.784485e+01 9.570507e+01 -6.856915e-01 7.756405e+00 1.385288e-01 3.776970e-02 8.160475e-04 -1.034375e-01
75.000 195.000 9.377170e+01 4.786233e+01 3.241408e-01 1.125846e+01 9.966405e+01 4.451774e+01 3.824777e-01 1.109457e+01 -2.099054e-01 3.729541e-02 -3.690710e-03 4.743484e-02
75.000 225.000 0.000000e+00 2.129244e+01 -1.000000e+00 2.000000e+00 0.000000e+00 1.914245e+01 -1.000000e+00 2.000000e+00 -5.020957e-01 3.591947e-02 0.000000e+00 -2.489120e-01
75.000 255.000 1.017218e+02 3.414989e+01 4.973213e-01 1.011270e+01 1.114188e+02 2.935390e+01 5.829603e-01 9.640130e+00 -6.597498e-01 3.500101e-02 -6.129608e-03 1.144169e-01
75.000 285.000 1.398397e+02 9.660094e+01 1.828736e-01 1.511732e+01 1.527486e+02 8.304527e+01 2.956112e-01 1.466931e+01 -6.406245e-01 3.550595e-02 -5.351963e-03 5.447366e-02
75.000 315.000 4.130575e+01 2.982372e+01 1.614243e-01 8.323220e+00 4.359065e+01 2.850642e+01 2.092211e-01 8.303080e+00 -4.498444e-01 3.689732e-02 -4.065534e-03 7.344065e-02
75.000 345.000 0.000000e+00 1.599296e+01 -1.000000e+00 2.000000e+00 0.000000e+00 1.616121e+01 -1.000000e+00 2.000000e+00 -1.385288e-01 3.776970e-02 0.000000e+00 -4.306588e-01
105.000 15.000 1.544971e+01 6.545586e+01 -6.180805e-01 7.070908e+00 1.541434e+01 6.596734e+01 -6.211841e-01 7.069579e+00 1.406852e-01 3.776970e-02 3.103969e-04 -1.073066e-01
105.000 45.000 1.015233e+02 9.588859e+01 2.854308e-02 1.404461e+01 9.344231e+01 1.034684e+02 -5.091672e-02 1.401428e+01 4.093819e-01 3.689732e-02 4.004900e-03 -2.711627e-02
105.000 75.000 0.000000e+00 8.993334e+01 -1.000000e+00 2.000000e+00 0.000000e+00 1.000097e+02 -1.000000e+00 2.000000e+00 5.683850e-01 3.550595e-02 0.000000e+00 -7.840689e-01
105.000 105.000 8.967368e+01 8.289458e+01 3.928359e-02 1.312638e+01 7.956760e+01 9.106254e+01 -6.736757e-02 1.303287e+01 5.750898e-01 3.500101e-02 5.765705e-03 -4.081888e-02
105.000 135.000 1.085498e+01 3.276620e+01 -5.023071e-01 5.710956e+00 1.039718e+01 3.427035e+01 -5.344637e-01 5.648733e+00 4.276998e-01 3.591947e-02 4.003247e-03 -1.628429e-01
105.000 165.000 8.111530e+01 4.216394e+01 3.159604e-01 1.053433e+01 7.847989e+01 4.406425e+01 2.808428e-01 1.062444e+01 1.657080e-01 3.729541e-02 2.347176e-03 1.426303e-02
105.000 195.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -1.406852e-01 3.776970e-02         -nan         -nan
105.000 225.000 1.644013e+01 1.626174e+02 -8.163704e-01 7.728047e+00 1.725445e+01 1.452663e+02 -7.876646e-01 7.854320e+00 -4.093818e-01 3.689732e-02 -2.605178e-03 -5.266323e-02
105.000 255.000 1.500551e+02 0.000000e+00 1.000000e+00 2.000000e+00 1.665323e+02 0.000000e+00 1.000000e+00 2.000000e+00 -5.683850e-01 3.550595e-02 0.000000e+00 7.840689e-01
105.000 285.000 4.048129e+01 3.555969e+01 6.472296e-02 8.701864e+00 4.420284e+01 3.186690e+01 1.621661e-01 8.606350e+00 -5.750898e-01 3.500101e-02 -7.961728e-03 7.352535e-02
105.000 315.000 2.198746e+01 1.283479e+01 2.628398e-01 5.693555e+00 2.332422e+01 1.182070e+01 3.273166e-01 5.601752e+00 -4.276998e-01 3.591947e-02 -8.072463e-03 1.212820e-01
105.000 345.000 1.666463e+02 2.200510e+01 7.667115e-01 8.817785e+00 1.684228e+02 2.134262e+01 7.750631e-01 8.704540e+00 -1.657080e-01 3.729541e-02 -6.740409e-04 1.057421e-01
135.000 15.000 4.129795e+01 5.179464e+01 -1.127554e-01 9.586920e+00 3.980392e+01 5.369805e+01 -1.485972e-01 9.562287e+00 1.883861e-01 3.500218e-02 2.647003e-03 -3.141150e-02
135.000 45.000 0.000000e+00 1.187336e+02 -1.000000e+00 2.000000e+00 0.000000e+00 1.315725e+02 -1.000000e+00 2.000000e+00 4.296034e-01 3.312681e-02 0.000000e+00 -7.147037e-01
135.000 75.000 5.343169e+01 2.762269e+01 3.184158e-01 8.534424e+00 4.564590e+01 2.963945e+01 2.126105e-01 8.478338e+00 5.557088e-01 3.461276e-02 8.795192e-03 -2.780399e-02
135.000 105.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 5.329125e-01 3.776862e-02         -nan         -nan
135.000 135.000 3.341938e+01 9.752383e+01 -4.895592e-01 9.977990e+00 3.213299e+01 1.018971e+02 -5.205108e-01 9.885197e+00 3.673227e-01 3.942379e-02 2.203663e-03 -8.587653e-02
135.000 165.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.033091e-01 3.812581e-02         -nan         -nan
135.000 195.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -1.883861e-01 3.500218e-02         -nan         -nan
135.000 225.000 0.000000e+00 4.418446e+01 -1.000000e+00 2.000000e+00 0.000000e+00 4.044807e+01 -1.000000e+00 2.000000e+00 -4.296034e-01 3.312681e-02 0.000000e+00 -2.851592e-01
135.000 255.000 8.815613e+01 0.000000e+00 1.000000e+00 2.000000e+00 9.718505e+01 0.000000e+00 1.000000e+00 2.000000e+00 -5.557088e-01 3.461276e-02 0.000000e+00 7.777379e-01
135.000 285.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -5.329125e-01 3.776862e-02         -nan         -nan
135.000 315.000 0.000000e+00 6.389216e+01 -1.000000e+00 2.000000e+00 0.000000e+00 6.070245e+01 -1.000000e+00 2.000000e+00 -3.673227e-01 3.942379e-02 0.000000e+00 -3.162772e-01
135.000 345.000 8.557767e+01 0.000000e+00 1.000000e+00 2.000000e+00 8.728704e+01 0.000000e+00 1.000000e+00 2.000000e+00 -1.033091e-01 3.812581e-02 0.000000e+00 5.515543e-01
165.000 15.000 3.310019e+01 5.015795e+01 -2.048780e-01 8.931035e+00 3.206343e+01 5.442698e+01 -2.585668e-01 8.983760e+00 2.015472e-01 2.873921e-02 4.238237e-03 -4.550682e-02
165.000 45.000 0.000000e+00 1.523181e+02 -1.000000e+00 2.000000e+00 0.000000e+00 1.681754e+02 -1.000000e+00 2.000000e+00 4.721971e-01 4.269956e-02 0.000000e+00 -7.359308e-01
165.000 75.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 6.163222e-01 4.819876e-02         -nan         -nan
165.000 105.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 5.953042e-01 4.272796e-02         -nan         -nan
165.000 135.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.147750e-01 2.878139e-02         -nan         -nan
165.000 165.000 3.245889e+01 0.000000e+00 1.000000e+00 2.000000e+00 3.266186e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.231072e-01 1.812457e-02 0.000000e+00 4.384284e-01
