  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   4    0 -4.527e-02  1.993e-02 2.0129e-02  3.862e-01  5.513e-01 1.9049e-02 -5.330e-03 -6.312e-02 1.9443e-02  2.284e-04  9.130e-03 1.8998e-02  1.629e-02  9.027e-02 1.9229e-02 1.2877e-03 1.1584e-02 3.0821e-01 2.0217e-02 4.1655e-01 5.1757e+00 2.8492e+00 7.6408e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 2.253676e+01 9.342222e+01 -6.112977e-01 8.522139e+00 2.187249e+01 9.672043e+01 -6.311333e-01 8.447124e+00 1.760503e-01 1.524140e-02 1.653072e-03 -9.238839e-02
15.000 45.000 0.000000e+00 8.412517e+01 -1.000000e+00 2.000000e+00 0.000000e+00 8.875416e+01 -1.000000e+00 2.000000e+00 4.743757e-01 2.419433e-02 0.000000e+00 -7.371339e-01
15.000 75.000 1.518846e+01 3.706652e+01 -4.186789e-01 6.564685e+00 1.354609e+01 3.956147e+01 -4.898622e-01 6.353236e+00 6.455926e-01 3.593661e-02 7.791876e-03 -1.621183e-01
15.000 105.000 5.944854e+01 2.885398e+01 3.464744e-01 8.814890e+00 5.311318e+01 3.092803e+01 2.639794e-01 8.842216e+00 6.438235e-01 4.055181e-02 6.607284e-03 -3.373223e-02
15.000 135.000 2.990271e+01 1.048962e+02 -5.563361e-01 9.647660e+00 2.777041e+01 1.110166e+02 -5.998126e-01 9.426288e+00 4.695423e-01 3.593584e-02 3.223294e-03 -1.063337e-01
15.000 165.000 0.000000e+00 3.177090e+01 -1.000000e+00 2.000000e+00 0.000000e+00 3.214149e+01 -1.000000e+00 2.000000e+00 1.694477e-01 2.419317e-02 0.000000e+00 -5.846811e-01
15.000 195.000 2.886201e+01 6.642720e+01 -3.942229e-01 8.971073e+00 2.947833e+01 6.552739e+01 -3.794410e-01 9.018161e+00 -1.760502e-01 1.524140e-02 -1.162068e-03 -2.431954e-02
15.000 225.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -4.743757e-01 2.419432e-02         -nan         -nan
15.000 255.000 2.897556e+01 5.041329e+01 -2.700344e-01 8.579040e+00 3.095727e+01 4.510973e+01 -1.860526e-01 8.569358e+00 -6.455926e-01 3.593661e-02 -6.925907e-03 4.377586e-02
15.000 285.000 2.745286e+01 0.000000e+00 1.000000e+00 2.000000e+00 2.916329e+01 0.000000e+00 1.000000e+00 2.000000e+00 -6.438235e-01 4.055181e-02 0.000000e+00 8.217428e-01
