  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   5    0 -6.329e-02 -6.320e-05 1.7795e-02  3.822e-01  5.064e-01 1.6858e-02 -9.015e-03 -4.436e-02 1.7090e-02 -2.862e-04 -1.304e-02 1.6581e-02  2.227e-02  6.268e-02 1.6672e-02 2.0082e-03 1.0752e-02 3.3236e-01 3.1827e-02 4.2186e-01 5.1829e+00 2.8365e+00 7.5057e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 1.625952e+01 6.949687e+01 -6.207974e-01 7.259944e+00 1.604305e+01 6.982872e+01 -6.263486e-01 7.223794e+00 1.444047e-01 1.329750e-02 5.420233e-04 -1.054004e-01
15.000 45.000 8.668040e+01 6.326254e+01 1.561784e-01 1.209486e+01 8.291337e+01 6.551980e+01 1.171811e-01 1.209938e+01 4.238742e-01 2.119654e-02 2.279492e-03 -2.213299e-02
15.000 75.000 1.063895e+01 5.425172e+01 -6.720960e-01 5.964789e+00 9.811169e+00 5.671827e+01 -7.050578e-01 5.784222e+00 5.897668e-01 3.154954e-02 3.967099e-03 -2.115490e-01
15.000 105.000 1.527061e+02 4.218405e+01 5.670993e-01 1.149840e+01 1.402235e+02 4.421058e+01 5.205812e-01 1.159532e+01 5.976320e-01 3.562280e-02 2.848654e-03 -2.655367e-03
15.000 135.000 8.499991e+01 1.402772e+02 -2.453746e-01 1.455038e+01 8.061231e+01 1.471306e+02 -2.920761e-01 1.443310e+01 4.453621e-01 3.156762e-02 2.278725e-03 -4.747197e-02
15.000 165.000 3.806319e+01 7.424223e+01 -3.221487e-01 1.003247e+01 3.762121e+01 7.594404e+01 -3.374521e-01 1.003161e+01 1.737578e-01 2.122343e-02 1.078662e-03 -4.943005e-02
15.000 195.000 4.723854e+01 6.512303e+01 -1.591691e-01 1.046494e+01 4.809733e+01 6.326734e+01 -1.362193e-01 1.045458e+01 -1.444047e-01 1.329750e-02 -1.551467e-03 -1.410839e-03
15.000 225.000 4.485541e+01 6.324261e+00 7.528604e-01 4.708619e+00 4.660975e+01 6.077883e+00 7.692861e-01 4.637567e+00 -4.238741e-01 2.119653e-02 -2.485376e-03 2.499082e-01
15.000 255.000 0.000000e+00 3.558288e+01 -1.000000e+00 2.000000e+00 0.000000e+00 3.333253e+01 -1.000000e+00 2.000000e+00 -5.897668e-01 3.154954e-02 0.000000e+00 -2.050911e-01
15.000 285.000 1.610206e+02 9.495809e+00 8.886229e-01 5.988990e+00 1.691795e+02 8.883350e+00 9.002223e-01 5.810394e+00 -5.976320e-01 3.562280e-02 -1.390087e-03 2.481601e-01
15.000 315.000 6.005735e+01 1.855709e+01 5.278962e-01 7.530379e+00 6.192294e+01 1.739736e+01 5.613389e-01 7.370642e+00 -4.453621e-01 3.156762e-02 -3.173772e-03 1.292431e-01
15.000 345.000 8.396845e+01 2.268707e+01 5.745730e-01 8.452508e+00 8.502924e+01 2.191112e+01 5.902179e-01 8.347869e+00 -1.737579e-01 2.122343e-02 -1.316927e-03 8.853331e-02
45.000 15.000 9.430870e+01 6.497116e+01 1.841886e-01 1.240469e+01 9.091349e+01 6.565891e+01 1.612965e-01 1.234905e+01 1.311754e-01 2.802445e-02 1.307855e-03 4.273634e-03
45.000 45.000 4.905452e+01 1.530213e+01 5.244585e-01 6.830440e+00 4.723887e+01 1.559820e+01 5.035351e-01 6.848714e+00 3.763516e-01 2.900026e-02 2.163155e-03 2.168316e-02
45.000 75.000 4.911438e+01 0.000000e+00 1.000000e+00 2.000000e+00 4.580814e+01 0.000000e+00 1.000000e+00 2.000000e+00 5.206847e-01 2.790249e-02 0.000000e+00 2.396343e-01
45.000 105.000 8.860950e+00 1.134928e+02 -8.551585e-01 5.733841e+00 8.559396e+00 1.172448e+02 -8.639251e-01 5.648730e+00 5.255008e-01 2.569898e-02 1.089168e-03 -2.407889e-01
45.000 135.000 6.514882e+01 0.000000e+00 1.000000e+00 2.000000e+00 6.314675e+01 0.000000e+00 1.000000e+00 2.000000e+00 3.895093e-01 2.459252e-02 0.000000e+00 3.052223e-01
45.000 165.000 1.380915e+02 9.940178e+01 1.629085e-01 1.520495e+01 1.381981e+02 9.888281e+01 1.658308e-01 1.518424e+01 1.491492e-01 2.583134e-02 -1.359938e-04 9.049248e-04
45.000 195.000 7.191762e+01 7.392415e+01 -1.375830e-02 1.207535e+01 7.353712e+01 7.214930e+01 9.526090e-03 1.206952e+01 -1.311754e-01 2.802445e-02 -1.363813e-03 9.723670e-03
45.000 225.000 1.941483e+02 7.623236e+01 4.361109e-01 1.479717e+01 2.010540e+02 7.325417e+01 4.658986e-01 1.465491e+01 -3.763516e-01 2.900026e-02 -1.430313e-03 5.490651e-02
45.000 255.000 6.066086e+01 1.568747e+01 5.890553e-01 7.060915e+00 6.250205e+01 1.487324e+01 6.155559e-01 6.932322e+00 -5.206847e-01 2.790249e-02 -2.678150e-03 1.571654e-01
