  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   6    0 -8.172e-02 -1.338e-02 1.6013e-02  3.777e-01  4.940e-01 1.5178e-02 -1.372e-02 -4.393e-02 1.5376e-02 -1.026e-03  1.546e-03 1.4928e-02  2.984e-02  3.705e-02 1.4952e-02 1.3137e-01 1.0917e-02 3.7581e-01 5.0371e-02 4.2898e-01 5.2383e+00 2.7979e+00 7.1923e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 5.863591e+01 6.411245e+01 -4.461598e-02 1.106815e+01 5.835831e+01 6.477139e+01 -5.208391e-02 1.108132e+01 1.357847e-01 1.195287e-02 4.768172e-04 -1.629907e-02
15.000 45.000 1.976190e+01 1.103863e+02 -6.963171e-01 8.188094e+00 1.922101e+01 1.130169e+02 -7.092966e-01 8.106098e+00 3.994569e-01 1.904728e-02 1.126503e-03 -1.338249e-01
15.000 75.000 9.897941e+00 1.313331e+02 -8.598333e-01 6.067705e+00 9.616921e+00 1.355976e+02 -8.675487e-01 5.993341e+00 5.560950e-01 2.836787e-02 9.046504e-04 -2.333523e-01
15.000 105.000 1.083935e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.038460e+01 0.000000e+00 1.000000e+00 2.000000e+00 5.637279e-01 3.204287e-02 0.000000e+00 2.181081e-01
15.000 135.000 1.938337e+01 1.038220e+02 -6.853488e-01 8.083036e+00 1.878485e+01 1.057492e+02 -6.983179e-01 7.987822e+00 4.203103e-01 2.840454e-02 1.141244e-03 -1.367868e-01
15.000 165.000 4.347738e+01 1.512121e+01 4.839054e-01 6.699021e+00 4.242652e+01 1.513392e+01 4.741556e-01 6.679782e+00 1.642710e-01 1.910185e-02 1.030611e-03 4.771342e-02
15.000 195.000 9.139254e+01 4.421654e+01 3.478823e-01 1.091776e+01 9.220307e+01 4.380054e+01 3.558915e-01 1.089851e+01 -1.357847e-01 1.195287e-02 -5.191813e-04 4.430093e-02
15.000 225.000 7.636989e+01 5.475343e+01 1.648560e-01 1.129423e+01 7.816645e+01 5.308924e+01 1.910562e-01 1.124564e+01 -3.994569e-01 1.904728e-02 -1.643869e-03 4.996462e-02
15.000 255.000 1.307425e+02 3.955841e+01 5.354293e-01 1.102172e+01 1.345911e+02 3.801150e+01 5.595490e-01 1.088860e+01 -5.560950e-01 2.836787e-02 -1.556789e-03 9.903362e-02
15.000 285.000 6.578835e+01 3.965332e+01 2.478624e-01 9.948054e+00 6.720196e+01 3.801852e+01 2.773551e-01 9.855268e+00 -5.637279e-01 3.204287e-02 -2.106140e-03 8.158239e-02
15.000 315.000 2.732474e+01 1.930677e+01 1.719431e-01 6.727026e+00 2.787306e+01 1.871318e+01 1.966221e-01 6.692175e+00 -4.203103e-01 2.840454e-02 -2.600836e-03 8.804013e-02
15.000 345.000 5.798089e+01 3.920734e+01 1.931669e-01 9.672735e+00 5.790026e+01 3.903351e+01 1.946355e-01 9.657206e+00 -1.642710e-01 1.910185e-02 -1.074488e-04 3.695306e-02
45.000 15.000 1.899664e+01 7.225672e+01 -5.836506e-01 7.756809e+00 1.885974e+01 7.375302e+01 -5.927183e-01 7.750904e+00 1.121586e-01 2.519773e-02 8.269177e-04 -8.970256e-02
45.000 45.000 0.000000e+00 5.193794e+01 -1.000000e+00 2.000000e+00 0.000000e+00 5.290776e+01 -1.000000e+00 2.000000e+00 3.568435e-01 2.607305e-02 0.000000e+00 -6.783641e-01
45.000 75.000 9.397970e+01 1.084712e+02 -7.158029e-02 1.419203e+01 8.951262e+01 1.113883e+02 -1.088880e-01 1.408967e+01 5.059126e-01 2.509356e-02 1.865545e-03 -4.069130e-02
45.000 105.000 5.233845e+01 1.541672e+02 -4.931038e-01 1.250174e+01 5.046131e+01 1.573290e+02 -5.143054e-01 1.236235e+01 5.194227e-01 2.312339e-02 1.205878e-03 -8.099071e-02
45.000 135.000 2.424561e+01 3.914685e+01 -2.350632e-01 7.738845e+00 2.391557e+01 3.955147e+01 -2.463624e-01 7.721071e+00 3.937540e-01 2.213171e-02 1.033604e-03 -8.125432e-02
45.000 165.000 1.417963e+02 1.393166e+02 8.820935e-03 1.676577e+01 1.428019e+02 1.394684e+02 1.180964e-02 1.679973e+01 1.625792e-01 2.323640e-02 -1.259228e-04 -9.170953e-03
45.000 195.000 5.071669e+01 4.202459e+01 9.372415e-02 9.587837e+00 5.168669e+01 4.157338e+01 1.084419e-01 9.600175e+00 -1.121586e-01 2.519773e-02 -1.084744e-03 2.147325e-02
45.000 225.000 7.278086e+01 8.121295e+01 -5.475606e-02 1.239081e+01 7.400039e+01 7.852606e+01 -2.967139e-02 1.234472e+01 -3.568435e-01 2.607305e-02 -1.434173e-03 2.437991e-02
45.000 255.000 3.977868e+01 7.754149e+01 -3.218782e-01 1.025501e+01 4.067110e+01 7.325085e+01 -2.859831e-01 1.022764e+01 -5.059125e-01 2.509356e-02 -2.478357e-03 1.794575e-02
45.000 285.000 4.131560e+01 0.000000e+00 1.000000e+00 2.000000e+00 4.247134e+01 0.000000e+00 1.000000e+00 2.000000e+00 -5.194227e-01 2.312339e-02 0.000000e+00 7.596606e-01
