  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   7    0 -9.683e-02  3.090e-03 1.4902e-02  3.757e-01  4.832e-01 1.4132e-02 -1.926e-02 -6.104e-02 1.4358e-02 -1.962e-03  3.583e-02 1.3925e-02  3.852e-02  4.164e-02 1.3955e-02 4.1723e-02 1.1889e-02 4.4927e-01 7.9742e-02 4.4158e-01 5.3781e+00 2.7684e+00 6.7771e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 8.811685e+01 7.076657e+01 1.092013e-01 1.252952e+01 8.732501e+01 7.178160e+01 9.769176e-02 1.255341e+01 1.479980e-01 1.115122e-02 6.489275e-04 -3.096424e-03
15.000 45.000 7.205220e+01 5.621516e+01 1.234690e-01 1.123886e+01 7.066156e+01 5.678524e+01 1.088793e-01 1.122212e+01 3.919886e-01 1.775500e-02 9.186108e-04 -2.389204e-02
15.000 75.000 2.973787e+01 0.000000e+00 1.000000e+00 2.000000e+00 2.899115e+01 0.000000e+00 1.000000e+00 2.000000e+00 5.309461e-01 2.644205e-02 0.000000e+00 2.345064e-01
15.000 105.000 2.330322e+01 0.000000e+00 1.000000e+00 2.000000e+00 2.316050e+01 0.000000e+00 1.000000e+00 2.000000e+00 5.276371e-01 2.987027e-02 0.000000e+00 2.361551e-01
15.000 135.000 4.083600e+01 7.721860e+01 -3.081845e-01 1.033644e+01 4.092544e+01 7.734565e+01 -3.079383e-01 1.034678e+01 3.829481e-01 2.648287e-02 -1.683114e-05 -6.686346e-02
15.000 165.000 4.513610e+01 4.901505e+01 -4.119917e-02 9.694913e+00 4.569708e+01 4.868080e+01 -3.161470e-02 9.709972e+00 1.356485e-01 1.781575e-02 -6.985091e-04 -1.824125e-02
15.000 195.000 4.848490e+01 4.096308e+01 8.409158e-02 9.424195e+00 4.924186e+01 4.011289e+01 1.021655e-01 9.403302e+00 -1.479980e-01 1.115122e-02 -1.357608e-03 2.462698e-02
15.000 225.000 1.548279e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.557843e+01 0.000000e+00 1.000000e+00 2.000000e+00 -3.919886e-01 1.775500e-02 0.000000e+00 6.959669e-01
15.000 255.000 2.397063e+01 3.044662e+01 -1.190062e-01 7.324382e+00 2.402146e+01 3.005983e+01 -1.116536e-01 7.308015e+00 -5.309461e-01 2.644205e-02 -7.106232e-04 5.624191e-02
15.000 285.000 7.115359e+01 4.547546e+01 2.201693e-01 1.053449e+01 7.157056e+01 4.496647e+01 2.282887e-01 1.051017e+01 -5.276371e-01 2.987027e-02 -5.456328e-04 7.098619e-02
