  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   9    0 -1.081e-01 -1.190e-02 1.3874e-02  3.520e-01  4.720e-01 1.3184e-02 -3.240e-02 -5.317e-02 1.3355e-02 -4.281e-03  1.576e-02 1.2945e-02  5.241e-02  3.677e-02 1.2947e-02 -1.2839e-01 1.7668e-02 7.0518e-01 1.9544e-01 4.6488e-01 5.5760e+00 2.6900e+00 5.0964e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 2.018108e+01 2.623683e+01 -1.304615e-01 6.754841e+00 1.996655e+01 2.645799e+01 -1.398279e-01 6.746618e+00 1.346662e-01 1.036295e-02 9.810916e-04 -3.924998e-02
15.000 45.000 1.847474e+01 2.773192e+01 -2.003429e-01 6.659734e+00 1.828968e+01 2.816483e+01 -2.125766e-01 6.659977e+00 3.853096e-01 1.651354e-02 1.298911e-03 -8.793905e-02
15.000 75.000 1.043659e+01 4.851953e+01 -6.459540e-01 5.861424e+00 1.040167e+01 4.899136e+01 -6.497345e-01 5.858325e+00 5.327096e-01 2.460155e-02 4.561827e-04 -2.010865e-01
15.000 105.000 1.355582e+01 1.041521e+02 -7.696702e-01 6.926663e+00 1.344594e+01 1.045297e+02 -7.720557e-01 6.903182e+00 5.373705e-01 2.779333e-02 2.439363e-04 -1.886955e-01
15.000 135.000 1.364532e+01 3.263579e+01 -4.103288e-01 6.203932e+00 1.364575e+01 3.253623e+01 -4.090444e-01 6.201204e+00 3.980434e-01 2.464067e-02 -1.464160e-04 -1.302989e-01
15.000 165.000 1.068276e+01 1.347430e+01 -1.155578e-01 4.882057e+00 1.080571e+01 1.346210e+01 -1.094613e-01 4.896636e+00 1.520609e-01 1.657176e-02 -8.816873e-04 -5.481648e-02
15.000 195.000 2.265895e+00 2.051074e+01 -8.010334e-01 2.856905e+00 2.272427e+00 2.032292e+01 -7.988589e-01 2.859292e+00 -1.346661e-01 1.036295e-02 -5.379806e-04 -2.332464e-01
15.000 225.000 1.601060e+01 1.882961e+01 -8.091260e-02 5.883206e+00 1.614322e+01 1.854333e+01 -6.919424e-02 5.875413e+00 -3.853095e-01 1.651354e-02 -1.409371e-03 5.173978e-02
15.000 255.000 5.225988e+00 2.626361e+00 3.310635e-01 2.644184e+00 5.258053e+00 2.607509e+00 3.369809e-01 2.640526e+00 -5.327095e-01 2.460155e-02 -1.583507e-03 3.266549e-01
15.000 285.000 3.503775e+01 2.567634e+01 1.541883e-01 7.698745e+00 3.524067e+01 2.535412e+01 1.631584e-01 7.679956e+00 -5.373705e-01 2.779333e-02 -8.248750e-04 8.982689e-02
15.000 315.000 3.887811e+01 1.119204e+01 5.529457e-01 5.895868e+00 3.884775e+01 1.124161e+01 5.511377e-01 5.905471e+00 -3.980434e-01 2.464067e-02 2.166514e-04 1.612961e-01
15.000 345.000 4.940789e+01 1.704315e+01 4.870463e-01 7.119545e+00 4.903855e+01 1.705387e+01 4.839386e-01 7.114338e+00 -1.520610e-01 1.657176e-02 3.087693e-04 8.976775e-02
45.000 15.000 1.578900e+01 3.650370e+01 -3.961298e-01 6.639804e+00 1.548097e+01 3.725608e+01 -4.128997e-01 6.614085e+00 1.103466e-01 2.185343e-02 1.789370e-03 -7.627841e-02
45.000 45.000 4.692551e+01 3.277213e+01 1.775884e-01 8.785452e+00 4.529401e+01 3.377465e+01 1.456880e-01 8.797183e+00 3.486875e-01 2.261161e-02 2.565826e-03 -1.947521e-02
45.000 75.000 4.564263e+00 3.274453e+01 -7.553251e-01 4.002940e+00 4.487125e+00 3.340078e+01 -7.631368e-01 3.977792e+00 4.935979e-01 2.176332e-02 1.384244e-03 -3.119968e-01
45.000 105.000 3.639227e+01 6.433848e+01 -2.774347e-01 9.642485e+00 3.540627e+01 6.536283e+01 -2.972793e-01 9.584552e+00 5.062491e-01 2.005710e-02 1.459629e-03 -8.127388e-02
45.000 135.000 1.780709e+01 3.028262e+01 -2.594222e-01 6.697259e+00 1.780946e+01 3.034303e+01 -2.602892e-01 6.700010e+00 3.832513e-01 1.919830e-02 9.152308e-05 -9.596027e-02
45.000 165.000 1.809169e+01 2.834144e+01 -2.207422e-01 6.646094e+00 1.830620e+01 2.807532e+01 -2.106254e-01 6.657619e+00 1.575616e-01 2.015484e-02 -1.075442e-03 -5.692096e-02
45.000 195.000 5.292728e+01 2.661906e+01 3.307283e-01 8.416975e+00 5.500573e+01 2.605766e+01 3.571040e-01 8.409870e+00 -1.103466e-01 2.185343e-02 -2.216752e-03 5.240284e-02
45.000 225.000 4.825952e+01 2.130496e+01 3.874758e-01 7.688969e+00 5.037719e+01 2.046428e+01 4.222513e-01 7.629594e+00 -3.486875e-01 2.261161e-02 -3.210466e-03 9.574237e-02
45.000 255.000 2.598587e+01 2.103451e+01 1.053024e-01 6.819016e+00 2.676969e+01 2.023940e+01 1.389156e-01 6.789840e+00 -4.935979e-01 2.176332e-02 -3.493027e-03 8.782752e-02
45.000 285.000 1.944707e+01 1.832502e+01 2.970574e-02 6.143189e+00 1.962010e+01 1.791128e+01 4.553063e-02 6.119933e+00 -5.062491e-01 2.005710e-02 -1.824962e-03 8.724329e-02
45.000 315.000 3.032602e+01 2.363084e+01 1.240839e-01 7.288765e+00 3.061619e+01 2.364520e+01 1.284705e-01 7.305192e+00 -3.832513e-01 1.919830e-02 -4.250769e-04 6.960486e-02
45.000 345.000 2.841394e+01 2.211726e+01 1.246098e-01 7.053125e+00 2.803865e+01 2.235160e+01 1.128602e-01 7.053255e+00 -1.575616e-01 2.015484e-02 1.177940e-03 4.000641e-02
75.000 15.000 3.795352e+01 9.017229e+01 -4.075586e-01 1.033652e+01 3.652985e+01 9.319408e+01 -4.368063e-01 1.024562e+01 1.031500e-01 2.132383e-02 2.009611e-03 -4.940808e-02
75.000 45.000 2.318924e+01 2.004981e+01 7.260643e-02 6.558286e+00 2.205426e+01 2.070288e+01 3.160579e-02 6.535627e+00 3.082899e-01 2.066780e-02 4.428284e-03 -3.593657e-02
75.000 75.000 1.052417e+01 5.305127e+01 -6.689235e-01 5.926892e+00 1.010801e+01 5.544125e+01 -6.915903e-01 5.847840e+00 4.308237e-01 2.030720e-02 2.722348e-03 -1.855510e-01
75.000 105.000 1.744887e+01 2.276033e+01 -1.320956e-01 6.285506e+00 1.707399e+01 2.355902e+01 -1.596002e-01 6.292694e+00 4.379187e-01 2.061926e-02 3.092445e-03 -9.068660e-02
75.000 135.000 1.418012e+01 3.194555e+01 -3.851528e-01 6.267636e+00 1.379890e+01 3.229113e+01 -4.012197e-01 6.218568e+00 3.276737e-01 2.127679e-02 1.819755e-03 -1.137307e-01
75.000 165.000 2.777941e+01 1.547578e+01 2.844429e-01 6.305197e+00 2.824983e+01 1.521939e+01 2.997626e-01 6.289926e+00 1.296288e-01 2.162123e-02 -1.720132e-03 2.455327e-02
75.000 195.000 3.666573e+00 1.733257e+01 -6.507883e-01 3.479292e+00 3.726330e+00 1.669571e+01 -6.350679e-01 3.490789e+00 -1.031500e-01 2.132383e-02 -3.189647e-03 -1.573964e-01
75.000 225.000 1.763843e+01 2.997751e+01 -2.591377e-01 6.664715e+00 1.836276e+01 2.873591e+01 -2.202430e-01 6.694330e+00 -3.082899e-01 2.066780e-02 -4.117453e-03 7.374949e-03
75.000 255.000 3.158934e+01 3.238033e+01 -1.236500e-02 7.997493e+00 3.332374e+01 3.084305e+01 3.866010e-02 8.004429e+00 -4.308237e-01 2.030720e-02 -4.509482e-03 5.232357e-02
75.000 285.000 3.824059e+01 2.234884e+01 2.622859e-01 7.511408e+00 3.893696e+01 2.160198e+01 2.863443e-01 7.454875e+00 -4.379187e-01 2.061926e-02 -2.273343e-03 9.321847e-02
75.000 315.000 3.380220e+01 5.846253e+01 -2.672779e-01 9.256002e+00 3.433931e+01 5.772987e+01 -2.540542e-01 9.280448e+00 -3.276737e-01 2.127679e-02 -1.008887e-03 6.525024e-03
75.000 345.000 6.596059e+01 3.468266e+01 3.107802e-01 9.535339e+00 6.525390e+01 3.532538e+01 2.975615e-01 9.574638e+00 -1.296289e-01 2.162123e-02 9.782286e-04 4.618691e-02
105.000 15.000 8.094583e+00 2.581046e+01 -5.225146e-01 4.964699e+00 7.615128e+00 2.689732e+01 -5.587025e-01 4.872313e+00 1.422192e-01 2.162123e-02 5.202317e-03 -1.338908e-01
105.000 45.000 2.968135e+01 1.564877e+01 3.095642e-01 6.402041e+00 2.765454e+01 1.652253e+01 2.519861e-01 6.432104e+00 3.123123e-01 2.127679e-02 6.344599e-03 -4.292515e-04
105.000 75.000 3.255236e+01 2.241562e+01 1.844118e-01 7.286882e+00 2.982579e+01 2.385937e+01 1.111372e-01 7.281625e+00 3.987216e-01 2.061926e-02 7.113008e-03 -2.941023e-02
