  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
  10    0 -1.013e-01 -5.820e-02 2.4255e-03  3.459e-01  3.730e-01 2.3624e-03 -3.458e-02  5.417e-03 2.3848e-03 -5.315e-03 -1.011e-02 2.3404e-03  5.732e-02  5.061e-02 2.3271e-03 -1.2240e-02 1.0932e-02 8.7976e-01 3.0624e-01 4.5693e-01 6.0430e+00 2.8430e+00 3.4856e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 0.000000e+00 2.845014e+01 -1.000000e+00 2.000000e+00 0.000000e+00 2.820818e+01 -1.000000e+00 2.000000e+00 1.181915e-01 1.864951e-03 0.000000e+00 -5.590955e-01
15.000 45.000 0.000000e+00 4.956544e+01 -1.000000e+00 2.000000e+00 0.000000e+00 4.909446e+01 -1.000000e+00 2.000000e+00 3.352783e-01 2.950212e-03 0.000000e+00 -6.676384e-01
15.000 75.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.625276e-01 4.387228e-03         -nan         -nan
15.000 105.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.658430e-01 4.956418e-03         -nan         -nan
15.000 135.000 8.637226e+00 0.000000e+00 1.000000e+00 2.000000e+00 8.965656e+00 0.000000e+00 1.000000e+00 2.000000e+00 3.443361e-01 4.397769e-03 0.000000e+00 3.278312e-01
15.000 165.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.305646e-01 2.965865e-03         -nan         -nan
15.000 195.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -1.181915e-01 1.864951e-03         -nan         -nan
15.000 225.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -3.352783e-01 2.950212e-03         -nan         -nan
15.000 255.000 0.000000e+00 2.327339e+01 -1.000000e+00 2.000000e+00 0.000000e+00 2.388991e+01 -1.000000e+00 2.000000e+00 -4.625276e-01 4.387228e-03 0.000000e+00 -2.687356e-01
15.000 285.000 4.581870e+01 0.000000e+00 1.000000e+00 2.000000e+00 4.477146e+01 0.000000e+00 1.000000e+00 2.000000e+00 -4.658430e-01 4.956418e-03 0.000000e+00 7.329192e-01
15.000 315.000 1.119051e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.091969e+01 0.000000e+00 1.000000e+00 2.000000e+00 -3.443361e-01 4.397769e-03 0.000000e+00 6.721664e-01
15.000 345.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -1.305647e-01 2.965865e-03         -nan         -nan
45.000 15.000 2.015445e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.921939e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.077460e-01 3.914149e-03 0.000000e+00 4.461262e-01
45.000 45.000 2.227478e+01 7.969912e+01 -5.631278e-01 8.344859e+00 2.083738e+01 8.182820e+01 -5.940728e-01 8.150619e+00 3.080812e-01 4.065337e-03 2.652837e-03 -1.044007e-01
