  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -5.283e-03  1.139e-02 7.5978e-03  3.962e-01  3.590e-01 7.4867e-03  1.133e-03 -2.554e-02 7.6234e-03  1.136e-03 -3.048e-02 7.6499e-03  4.238e-03  3.945e-02 7.5989e-03 -3.7710e-02 2.5229e-03 2.8107e-01 1.9605e-03 4.2466e-01 5.2026e+00 2.8259e+00 7.9064e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 1.098897e+03 8.688115e+02 1.169306e-01 4.405456e+01 1.108963e+03 8.633542e+02 1.245279e-01 4.406508e+01 9.079080e-02 6.059191e-03 -1.219277e-04 5.933496e-04
15.000 45.000 9.000769e+02 1.679096e+03 -3.020421e-01 4.841359e+01 8.948533e+02 1.690032e+03 -3.076264e-01 4.837631e+01 2.889313e-01 9.468764e-03 8.159324e-05 -1.220677e-02
15.000 75.000 8.344526e+02 1.750360e+03 -3.543420e-01 4.754228e+01 8.286319e+02 1.766522e+03 -3.614006e-01 4.749947e+01 4.096528e-01 1.403647e-02 1.050321e-04 -1.606980e-02
15.000 105.000 1.045526e+03 1.951003e+03 -3.021755e-01 5.218157e+01 1.028739e+03 1.971639e+03 -3.142607e-01 5.200059e+01 4.206083e-01 1.585698e-02 1.640492e-04 -1.385132e-02
15.000 135.000 1.089265e+03 1.083526e+03 2.640952e-03 4.661304e+01 1.075483e+03 1.095974e+03 -9.436407e-03 4.659682e+01 3.188621e-01 1.408901e-02 1.832420e-04 -6.783962e-03
15.000 165.000 7.299351e+02 7.522219e+02 -1.503679e-02 3.849444e+01 7.236242e+02 7.585526e+02 -2.356562e-02 3.848836e+01 1.316770e-01 9.546474e-03 1.566791e-04 -3.811299e-03
15.000 195.000 6.862307e+02 9.744299e+02 -1.735449e-01 4.013284e+01 6.823114e+02 9.784916e+02 -1.783355e-01 4.009967e+01 -9.079077e-02 6.059191e-03 8.444186e-05 -2.062005e-03
15.000 225.000 1.178923e+03 9.839155e+02 9.016282e-02 4.631691e+01 1.179542e+03 9.774091e+02 9.371242e-02 4.623861e+01 -2.889313e-01 9.468763e-03 -5.423651e-05 8.184787e-03
15.000 255.000 1.950031e+03 1.213437e+03 2.328438e-01 5.469878e+01 1.964643e+03 1.195756e+03 2.432881e-01 5.452832e+01 -4.096528e-01 1.403647e-02 -1.352270e-04 1.174609e-02
15.000 285.000 2.252875e+03 8.916410e+02 4.328915e-01 5.054948e+01 2.282086e+03 8.825573e+02 4.422391e-01 5.045510e+01 -4.206083e-01 1.585698e-02 -1.308804e-04 1.688444e-02
15.000 315.000 1.321485e+03 9.084996e+02 1.851965e-01 4.640583e+01 1.337530e+03 8.997655e+02 1.956668e-01 4.638577e+01 -3.188621e-01 1.408901e-02 -1.595764e-04 1.086197e-02
15.000 345.000 1.031965e+03 1.204675e+03 -7.721837e-02 4.715192e+01 1.044120e+03 1.189138e+03 -6.493554e-02 4.715763e+01 -1.316770e-01 9.546475e-03 -1.841865e-04 1.154962e-03
45.000 15.000 1.398036e+03 4.858142e+02 4.842326e-01 3.797529e+01 1.407415e+03 4.798645e+02 4.914748e-01 3.783400e+01 8.170954e-02 1.263359e-02 -1.351025e-04 1.059960e-02
45.000 45.000 1.052227e+03 9.803562e+02 3.535928e-02 4.505599e+01 1.071808e+03 9.655520e+02 5.215358e-02 4.507569e+01 2.447618e-01 1.316616e-02 -2.635115e-04 -4.647607e-03
45.000 75.000 9.580698e+02 1.334968e+03 -1.643663e-01 4.723440e+01 9.874551e+02 1.315173e+03 -1.423232e-01 4.749722e+01 3.422304e-01 1.256260e-02 -3.290718e-04 -1.072516e-02
45.000 105.000 9.866512e+02 1.519448e+03 -2.126000e-01 4.891652e+01 1.007563e+03 1.494331e+03 -1.945599e-01 4.906310e+01 3.479986e-01 1.133799e-02 -2.603861e-04 -1.146031e-02
45.000 135.000 9.562903e+02 8.615051e+02 5.214295e-02 4.257761e+01 9.714660e+02 8.458644e+02 6.911326e-02 4.252822e+01 2.605209e-01 1.071494e-02 -2.819976e-04 -4.894072e-03
45.000 165.000 9.117387e+02 9.828387e+02 -3.752814e-02 4.349608e+01 9.085879e+02 9.822793e+02 -3.897226e-02 4.345107e+01 1.032368e-01 1.141660e-02 2.348899e-05 -3.236266e-03
45.000 195.000 1.077563e+03 1.143197e+03 -2.955505e-02 4.710436e+01 1.066806e+03 1.153227e+03 -3.892781e-02 4.708151e+01 -8.170952e-02 1.263359e-02 1.407332e-04 1.107211e-03
45.000 225.000 1.624090e+03 7.219522e+02 3.845359e-01 4.471172e+01 1.603683e+03 7.375730e+02 3.699339e-01 4.495389e+01 -2.447618e-01 1.316616e-02 2.303039e-04 1.407456e-02
45.000 255.000 1.041256e+03 1.106818e+03 -3.052132e-02 4.632573e+01 1.027797e+03 1.120291e+03 -4.305856e-02 4.630449e+01 -3.422304e-01 1.256260e-02 1.914098e-04 6.728637e-03
45.000 285.000 1.311970e+03 9.197545e+02 1.757455e-01 4.650585e+01 1.296832e+03 9.409290e+02 1.590441e-01 4.670285e+01 -3.479986e-01 1.133799e-02 2.534023e-04 1.126190e-02
45.000 315.000 1.135706e+03 1.054752e+03 3.695731e-02 4.677036e+01 1.117876e+03 1.071559e+03 2.115481e-02 4.678092e+01 -2.605209e-01 1.071494e-02 2.388862e-04 6.360400e-03
45.000 345.000 8.638102e+02 1.731848e+03 -3.344192e-01 4.801427e+01 8.668928e+02 1.730842e+03 -3.325780e-01 4.806667e+01 -1.032368e-01 1.141660e-02 -2.709998e-05 -4.814868e-03
75.000 15.000 1.278171e+03 8.582244e+02 1.965678e-01 4.531939e+01 1.254144e+03 8.743808e+02 1.784161e-01 4.539569e+01 1.394106e-01 1.218529e-02 2.829773e-04 1.261209e-03
75.000 45.000 8.662083e+02 9.233024e+02 -3.190486e-02 4.228107e+01 8.752901e+02 9.229599e+02 -2.650901e-02 4.239088e+01 2.690413e-01 1.183164e-02 -9.012281e-05 -7.117751e-03
75.000 75.000 6.530581e+02 1.289568e+03 -3.276544e-01 4.164218e+01 6.731209e+02 1.262244e+03 -3.043989e-01 4.190509e+01 3.265826e-01 1.164411e-02 -3.936463e-04 -1.571092e-02
75.000 105.000 8.500526e+02 1.305284e+03 -2.112112e-01 4.537826e+01 8.939591e+02 1.261840e+03 -1.706470e-01 4.574955e+01 2.966164e-01 1.181848e-02 -6.295118e-04 -1.119099e-02
75.000 135.000 9.187322e+02 1.404407e+03 -2.090597e-01 4.713390e+01 9.675133e+02 1.351772e+03 -1.656796e-01 4.749338e+01 1.871721e-01 1.217251e-02 -6.483147e-04 -8.406515e-03
75.000 165.000 8.590364e+02 7.155165e+02 9.114963e-02 3.951545e+01 8.908809e+02 6.937007e+02 1.244368e-01 3.949741e+01 2.757514e-02 1.235202e-02 -5.957905e-04 1.608851e-03
75.000 195.000 1.024642e+03 8.772589e+02 7.749256e-02 4.347965e+01 1.041847e+03 8.634517e+02 9.363102e-02 4.345797e+01 -1.394105e-01 1.218529e-02 -2.625241e-04 4.988612e-03
75.000 225.000 1.131139e+03 1.056150e+03 3.428383e-02 4.674097e+01 1.133177e+03 1.063938e+03 3.151386e-02 4.685011e+01 -2.690413e-01 1.183164e-02 4.185573e-05 6.489491e-03
