  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   2    0 -1.785e-02 -2.580e-02 4.9883e-03  3.931e-01  3.926e-01 4.9596e-03 -7.056e-04  9.153e-03 5.0099e-03  8.745e-04 -2.221e-02 4.9489e-03  7.922e-03  4.118e-02 4.9197e-03 -2.3563e-02 2.0754e-03 2.9329e-01 6.9648e-03 4.2477e-01 5.1990e+00 2.8141e+00 7.8062e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 1.568767e+03 2.462621e+03 -2.217236e-01 6.191284e+01 1.565230e+03 2.468822e+03 -2.239912e-01 6.190036e+01 1.134663e-01 3.937361e-03 2.590078e-05 -5.413900e-03
15.000 45.000 1.721709e+03 2.412960e+03 -1.671840e-01 6.339640e+01 1.689789e+03 2.436077e+03 -1.808803e-01 6.317339e+01 3.238041e-01 6.193021e-03 1.530342e-04 -7.744731e-03
15.000 75.000 2.151396e+03 2.304797e+03 -3.442443e-02 6.671516e+01 2.103100e+03 2.334571e+03 -5.216046e-02 6.652516e+01 4.473788e-01 9.191744e-03 1.882501e-04 -7.221795e-03
15.000 105.000 1.875991e+03 2.553581e+03 -1.529697e-01 6.577174e+01 1.826483e+03 2.589450e+03 -1.727759e-01 6.545312e+01 4.510787e-01 1.038133e-02 2.134505e-04 -9.184012e-03
15.000 135.000 2.035780e+03 2.301251e+03 -6.121030e-02 6.573265e+01 1.997469e+03 2.329697e+03 -7.677732e-02 6.558703e+01 3.339125e-01 9.215282e-03 1.676449e-04 -6.011058e-03
15.000 165.000 2.006099e+03 2.398664e+03 -8.912278e-02 6.610428e+01 1.995056e+03 2.412695e+03 -9.475120e-02 6.609220e+01 1.272747e-01 6.227903e-03 6.021181e-05 -3.273577e-03
15.000 195.000 2.142273e+03 2.404698e+03 -5.771409e-02 6.731883e+01 2.148422e+03 2.396998e+03 -5.468711e-02 6.731885e+01 -1.134663e-01 3.937361e-03 -3.179493e-05 8.281815e-04
15.000 225.000 1.878644e+03 2.255120e+03 -9.107345e-02 6.402716e+01 1.897822e+03 2.212856e+03 -7.663787e-02 6.392601e+01 -3.238041e-01 6.193020e-03 -1.595504e-04 3.634873e-03
15.000 255.000 2.810712e+03 1.726306e+03 2.390130e-01 6.540513e+01 2.855077e+03 1.690020e+03 2.563328e-01 6.516482e+01 -4.473788e-01 9.191744e-03 -1.875915e-04 1.049446e-02
15.000 285.000 3.114197e+03 1.056228e+03 4.934674e-01 5.616836e+01 3.168599e+03 1.036068e+03 5.071818e-01 5.588458e+01 -4.510787e-01 1.038133e-02 -1.730879e-04 1.681634e-02
15.000 315.000 2.465666e+03 1.818820e+03 1.509742e-01 6.470571e+01 2.503399e+03 1.783611e+03 1.678997e-01 6.454578e+01 -3.339125e-01 9.215282e-03 -1.851912e-04 7.493723e-03
15.000 345.000 2.497537e+03 2.346049e+03 3.127600e-02 6.956183e+01 2.513549e+03 2.330581e+03 3.777097e-02 6.955012e+01 -1.272747e-01 6.227903e-03 -6.602792e-05 2.279277e-03
45.000 15.000 1.766148e+03 1.597921e+03 5.000693e-02 5.792803e+01 1.753821e+03 1.609062e+03 4.304601e-02 5.793662e+01 1.139820e-01 8.234536e-03 8.496318e-05 -1.104388e-03
45.000 45.000 2.010923e+03 2.712232e+03 -1.484832e-01 6.796339e+01 1.990592e+03 2.732686e+03 -1.571141e-01 6.787256e+01 3.030523e-01 8.575746e-03 8.985809e-05 -6.643804e-03
45.000 75.000 1.610527e+03 2.479092e+03 -2.123828e-01 6.249121e+01 1.605237e+03 2.503428e+03 -2.186088e-01 6.254848e+01 4.109200e-01 8.208124e-03 7.041631e-05 -9.974248e-03
