  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   3    0 -3.020e-02 -2.320e-02 4.1087e-03  3.944e-01  4.029e-01 4.0648e-03 -2.647e-03 -1.347e-02 4.0951e-03  5.904e-04 -1.450e-02 4.0378e-03  1.192e-02  2.985e-02 4.0175e-03 6.4852e-03 2.2079e-03 3.1300e-01 1.2825e-02 4.3009e-01 5.2684e+00 2.8071e+00 7.7208e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 1.190703e+03 1.566367e+03 -1.362550e-01 5.201811e+01 1.193333e+03 1.563601e+03 -1.343041e-01 5.203082e+01 1.084669e-01 3.215774e-03 -2.651551e-05 -4.704552e-03
15.000 45.000 1.420826e+03 1.829629e+03 -1.257681e-01 5.656006e+01 1.417808e+03 1.831486e+03 -1.273131e-01 5.653873e+01 3.258305e-01 5.070527e-03 1.931855e-05 -7.984407e-03
15.000 75.000 8.945710e+02 1.768201e+03 -3.280904e-01 4.874569e+01 8.891300e+02 1.774375e+03 -3.323609e-01 4.867529e+01 4.558880e-01 7.528482e-03 6.199339e-05 -1.608303e-02
15.000 105.000 1.563706e+03 1.872919e+03 -8.997562e-02 5.838496e+01 1.544501e+03 1.892857e+03 -1.013442e-01 5.832713e+01 4.637908e-01 8.501576e-03 1.377540e-04 -9.484744e-03
15.000 135.000 1.169070e+03 1.834305e+03 -2.214958e-01 5.344182e+01 1.158403e+03 1.849016e+03 -2.296366e-01 5.337442e+01 3.474211e-01 7.543722e-03 1.077821e-04 -1.064554e-02
15.000 165.000 1.598702e+03 1.664539e+03 -2.017520e-02 5.711316e+01 1.585582e+03 1.674935e+03 -2.740479e-02 5.707949e+01 1.379603e-01 5.093128e-03 8.953451e-05 -2.768811e-03
15.000 195.000 1.423960e+03 1.814648e+03 -1.206344e-01 5.649317e+01 1.420075e+03 1.819428e+03 -1.232759e-01 5.648249e+01 -1.084669e-01 3.215774e-03 3.306623e-05 -2.153805e-04
15.000 225.000 1.699730e+03 1.024286e+03 2.479590e-01 5.056218e+01 1.708468e+03 1.021462e+03 2.516568e-01 5.056719e+01 -3.258305e-01 5.070527e-03 -5.171142e-05 1.134819e-02
15.000 255.000 1.497137e+03 9.760769e+02 2.106815e-01 4.861519e+01 1.509024e+03 9.692427e+02 2.178061e-01 4.858703e+01 -4.558880e-01 7.528482e-03 -1.036579e-04 1.371114e-02
15.000 285.000 1.394346e+03 1.324708e+03 2.561132e-02 5.212744e+01 1.406560e+03 1.308984e+03 3.593234e-02 5.207723e+01 -4.637908e-01 8.501576e-03 -1.400717e-04 9.388569e-03
