  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   6    0 -7.995e-02 -5.484e-02 2.6651e-03  3.824e-01  3.775e-01 2.5920e-03 -1.325e-02  6.947e-03 2.6143e-03 -1.022e-03 -1.518e-02 2.6197e-03  2.987e-02  4.885e-02 2.6041e-03 1.1757e-02 1.9069e-03 3.8074e-01 5.0391e-02 4.3145e-01 5.3477e+00 2.8188e+00 7.2034e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 2.103385e+02 7.397812e+00 9.320480e-01 5.346574e+00 2.096854e+02 7.372162e+00 9.320718e-01 5.337330e+00 1.163372e-01 2.078202e-03 -3.158928e-06 1.525670e-01
15.000 45.000 4.364145e+01 8.107807e+00 6.866503e-01 5.229729e+00 4.403000e+01 8.038155e+00 6.912449e-01 5.214305e+00 3.348601e-01 3.267836e-03 -6.221465e-04 6.726736e-02
15.000 75.000 0.000000e+00 1.836087e+02 -1.000000e+00 2.000000e+00 0.000000e+00 1.817028e+02 -1.000000e+00 2.000000e+00 4.636576e-01 4.848691e-03 0.000000e+00 -7.318266e-01
15.000 105.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.682183e-01 5.475494e-03         -nan         -nan
15.000 135.000 5.409001e+00 2.458920e+02 -9.569520e-01 4.601121e+00 5.457384e+00 2.445472e+02 -9.563417e-01 4.620932e+00 3.473204e-01 4.860165e-03 -9.358788e-05 -2.834683e-01
15.000 165.000 1.329374e+02 0.000000e+00 1.000000e+00 2.000000e+00 1.338057e+02 0.000000e+00 1.000000e+00 2.000000e+00 1.333582e-01 3.284836e-03 0.000000e+00 4.333203e-01
15.000 195.000 5.128156e+01 1.627721e+01 5.181318e-01 7.030071e+00 5.116519e+01 1.638959e+01 5.147763e-01 7.046498e+00 -1.163372e-01 2.078202e-03 3.371155e-04 9.025071e-02
15.000 225.000 6.888157e+01 2.868236e+01 4.120295e-01 9.000037e+00 6.824765e+01 2.832781e+01 4.133538e-01 8.948433e+00 -3.348601e-01 3.267836e-03 -1.043499e-04 8.298738e-02
15.000 255.000 4.265666e+01 5.653430e+01 -1.399083e-01 9.861509e+00 4.212229e+01 5.616603e+01 -1.428830e-01 9.812325e+00 -4.636576e-01 4.848691e-03 2.138328e-04 3.282958e-02
15.000 285.000 1.434372e+02 0.000000e+00 1.000000e+00 2.000000e+00 1.416723e+02 0.000000e+00 1.000000e+00 2.000000e+00 -4.682183e-01 5.475494e-03 0.000000e+00 7.341064e-01
15.000 315.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -3.473204e-01 4.860165e-03         -nan         -nan
15.000 345.000 1.312377e+02 0.000000e+00 1.000000e+00 2.000000e+00 1.293946e+02 0.000000e+00 1.000000e+00 2.000000e+00 -1.333582e-01 3.284836e-03 0.000000e+00 5.666784e-01
45.000 15.000 3.189367e+02 3.577248e+02 -5.732277e-02 2.596995e+01 3.182306e+02 3.584317e+02 -5.941078e-02 2.596678e+01 1.061535e-01 4.340000e-03 5.685545e-05 -6.294827e-03
45.000 45.000 2.837753e+02 2.467948e+02 6.969946e-02 2.297809e+01 2.867644e+02 2.451383e+02 7.825881e-02 2.299228e+01 3.055151e-01 4.518925e-03 -2.633162e-04 -1.026263e-02
45.000 75.000 1.809789e+02 4.381837e+02 -4.154075e-01 2.263444e+01 1.849398e+02 4.317622e+02 -4.002296e-01 2.275778e+01 4.230141e-01 4.328401e-03 -4.728706e-04 -3.704185e-02
45.000 105.000 2.349424e+02 3.347849e+02 -1.752462e-01 2.349958e+01 2.415905e+02 3.294701e+02 -1.538885e-01 2.361222e+01 4.271668e-01 3.932474e-03 -6.411191e-04 -2.563505e-02
45.000 135.000 2.937325e+02 4.633470e+02 -2.240379e-01 2.681566e+01 3.003888e+02 4.550528e+02 -2.047332e-01 2.690310e+01 3.168606e-01 3.725490e-03 -5.082196e-04 -2.017099e-02
