  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   9    0 -1.005e-01 -5.855e-02 2.4298e-03  3.664e-01  3.733e-01 2.3664e-03 -2.777e-02  5.151e-03 2.3890e-03 -4.118e-03 -1.040e-02 2.3450e-03  5.368e-02  5.034e-02 2.3320e-03 -2.1576e-02 4.9307e-03 6.8778e-01 1.9111e-01 4.6084e-01 6.0023e+00 2.8061e+00 4.9761e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 0.000000e+00 8.734673e+01 -1.000000e+00 2.000000e+00 0.000000e+00 8.804709e+01 -1.000000e+00 2.000000e+00 1.179203e-01 1.868622e-03 0.000000e+00 -5.589599e-01
15.000 45.000 0.000000e+00 3.023673e+01 -1.000000e+00 2.000000e+00 0.000000e+00 2.993012e+01 -1.000000e+00 2.000000e+00 3.355005e-01 2.955823e-03 0.000000e+00 -6.677495e-01
15.000 75.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.631836e-01 4.395374e-03         -nan         -nan
15.000 105.000 0.000000e+00 1.139860e+02 -1.000000e+00 2.000000e+00 0.000000e+00 1.113899e+02 -1.000000e+00 2.000000e+00 4.667570e-01 4.965541e-03 0.000000e+00 -7.333762e-01
15.000 135.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 3.452633e-01 4.405843e-03         -nan         -nan
15.000 165.000 0.000000e+00 4.988169e+01 -1.000000e+00 2.000000e+00 0.000000e+00 4.963027e+01 -1.000000e+00 2.000000e+00 1.312565e-01 2.971369e-03 0.000000e+00 -5.656276e-01
15.000 195.000 9.112657e+01 5.730203e+01 2.278843e-01 1.186257e+01 9.116428e+01 5.695069e+01 2.309935e-01 1.184111e+01 -1.179203e-01 1.868622e-03 -1.855017e-04 2.915090e-02
15.000 225.000 2.757120e+01 0.000000e+00 1.000000e+00 2.000000e+00 2.739774e+01 0.000000e+00 1.000000e+00 2.000000e+00 -3.355005e-01 2.955823e-03 0.000000e+00 6.677495e-01
15.000 255.000 0.000000e+00 5.005203e+01 -1.000000e+00 2.000000e+00 0.000000e+00 5.190506e+01 -1.000000e+00 2.000000e+00 -4.631836e-01 4.395374e-03 0.000000e+00 -2.684076e-01
15.000 285.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -4.667570e-01 4.965541e-03         -nan         -nan
15.000 315.000 3.545670e+01 0.000000e+00 1.000000e+00 2.000000e+00 3.462550e+01 0.000000e+00 1.000000e+00 2.000000e+00 -3.452633e-01 4.405843e-03 0.000000e+00 6.726300e-01
15.000 345.000 1.085124e+01 6.138155e+01 -6.995481e-01 6.073253e+00 1.071484e+01 6.301658e+01 -7.093548e-01 6.052350e+00 -1.312566e-01 2.971369e-03 1.143750e-03 -9.357283e-02
45.000 15.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.069067e-01 3.921612e-03         -nan         -nan
45.000 45.000 6.687425e+01 4.073293e+01 2.429329e-01 1.006263e+01 6.340405e+01 4.058388e+01 2.194502e-01 9.948871e+00 3.075453e-01 4.073185e-03 1.659497e-03 -6.421017e-03
45.000 75.000 8.354680e+00 4.884491e+01 -7.078763e-01 5.342052e+00 8.531671e+00 4.863196e+01 -7.015000e-01 5.388254e+00 4.257773e-01 3.909727e-03 -8.403556e-04 -2.122131e-01
45.000 105.000 2.514344e+01 0.000000e+00 1.000000e+00 2.000000e+00 2.505917e+01 0.000000e+00 1.000000e+00 2.000000e+00 4.299227e-01 3.573417e-03 0.000000e+00 2.850382e-01
45.000 135.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 3.188707e-01 3.399634e-03         -nan         -nan
45.000 165.000 9.147298e+01 1.157482e+02 -1.171463e-01 1.429606e+01 9.552943e+01 1.119802e+02 -7.927732e-02 1.435986e+01 1.223775e-01 3.586416e-03 -1.868887e-03 -1.675453e-02
45.000 195.000 1.873515e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.920876e+01 0.000000e+00 1.000000e+00 2.000000e+00 -1.069067e-01 3.921612e-03 0.000000e+00 5.534523e-01
45.000 225.000 5.164211e+01 1.649588e+01 5.158096e-01 7.071720e+00 5.259934e+01 1.672536e+01 5.174776e-01 7.124656e+00 -3.075452e-01 4.073185e-03 -1.661585e-04 1.164292e-01
45.000 255.000 0.000000e+00 4.901460e+01 -1.000000e+00 2.000000e+00 0.000000e+00 4.813228e+01 -1.000000e+00 2.000000e+00 -4.257773e-01 3.909727e-03 0.000000e+00 -2.871108e-01
45.000 285.000 0.000000e+00 8.618478e+01 -1.000000e+00 2.000000e+00 0.000000e+00 8.560484e+01 -1.000000e+00 2.000000e+00 -4.299227e-01 3.573417e-03 0.000000e+00 -2.850382e-01
45.000 315.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -3.188707e-01 3.399634e-03         -nan         -nan
45.000 345.000 8.539715e+01 2.739457e+01 5.142450e-01 9.108468e+00 8.298718e+01 2.826870e+01 4.918255e-01 9.183896e+00 -1.223775e-01 3.586416e-03 1.733276e-03 6.989348e-02
75.000 15.000 4.818383e+01 6.265417e+01 -1.305540e-01 1.043786e+01 4.609510e+01 6.415051e+01 -1.637744e-01 1.035802e+01 1.050937e-01 3.803907e-03 2.259123e-03 -2.257625e-02
75.000 45.000 2.785710e+00 1.494155e+02 -9.633944e-01 3.307400e+00 2.776481e+00 1.535164e+02 -9.644708e-01 3.302822e+00 2.832592e-01 3.698591e-03 2.302877e-04 -3.769283e-01
75.000 75.000 9.283844e+01 1.661854e+01 6.963458e-01 7.508766e+00 8.988148e+01 1.661416e+01 6.879842e-01 7.489252e+00 3.855256e-01 3.644728e-03 7.884408e-04 4.139430e-02
75.000 105.000 3.657021e+01 5.903463e+01 -2.349716e-01 9.504017e+00 3.697016e+01 6.108260e+01 -2.459129e-01 9.598083e+00 3.844908e-01 3.698465e-03 8.100266e-04 -6.517899e-02
75.000 135.000 2.420314e+01 1.249198e+02 -6.753935e-01 9.005530e+00 2.445199e+01 1.242496e+02 -6.711268e-01 9.040174e+00 2.804319e-01 3.803784e-03 -3.343737e-04 -1.061376e-01
75.000 165.000 4.402065e+01 9.096668e+01 -3.477810e-01 1.089314e+01 4.480829e+01 8.914415e+01 -3.309821e-01 1.092145e+01 1.012316e-01 3.855425e-03 -1.089055e-03 -4.121978e-02
75.000 195.000 5.539949e+01 1.061930e+02 -3.143309e-01 1.206758e+01 5.664272e+01 1.015274e+02 -2.837746e-01 1.205956e+01 -1.050936e-01 3.803907e-03 -1.791057e-03 -1.733879e-02
75.000 225.000 3.696367e+01 1.033972e+02 -4.733052e-01 1.043636e+01 3.905908e+01 9.797272e+01 -4.299268e-01 1.056898e+01 -2.832591e-01 3.698591e-03 -2.920453e-03 -1.821000e-02
75.000 255.000 3.192674e+01 8.976273e+01 -4.752752e-01 9.705744e+00 3.241499e+01 8.448958e+01 -4.454453e-01 9.680299e+00 -3.855256e-01 3.644728e-03 -2.176090e-03 -9.247057e-03
75.000 285.000 7.174871e+01 6.036301e+00 8.447953e-01 4.719267e+00 7.196340e+01 6.104473e+00 8.436111e-01 4.744318e+00 -3.844908e-01 3.698465e-03 1.769544e-04 2.604823e-01
75.000 315.000 7.444717e+01 7.103806e+01 2.343269e-02 1.205841e+01 7.344672e+01 7.082256e+01 1.818932e-02 1.200923e+01 -2.804320e-01 3.803784e-03 3.080996e-04 2.519939e-02
75.000 345.000 5.988754e+01 7.761410e+01 -1.289189e-01 1.162826e+01 5.815144e+01 8.061180e+01 -1.618611e-01 1.162445e+01 -1.012316e-01 3.855425e-03 2.003522e-03 -2.381032e-03
