  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -5.263e-03  2.573e-03 7.5685e-03  3.955e-01  4.851e-01 7.4468e-03  1.107e-03  1.041e-01 7.6016e-03  1.122e-03 -1.866e-02 7.4658e-03  4.265e-03 -3.693e-02 7.4819e-03 1.4035e-02 2.4511e-03 2.8341e-01 1.9541e-03 4.2470e-01 5.1976e+00 2.8032e+00 7.8572e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 1.111261e+03 1.179691e+03 -2.986977e-02 4.784253e+01 1.101055e+03 1.186822e+03 -3.748741e-02 4.779814e+01 1.247012e-01 5.959432e-03 1.126400e-04 -3.230827e-03
15.000 45.000 1.100197e+03 1.719449e+03 -2.196207e-01 5.180391e+01 1.098759e+03 1.719188e+03 -2.201705e-01 5.178173e+01 2.828056e-01 9.375655e-03 7.506483e-06 -9.698617e-03
15.000 75.000 1.176244e+03 1.899142e+03 -2.350593e-01 5.390234e+01 1.189459e+03 1.882389e+03 -2.255742e-01 5.399575e+01 3.651325e-01 1.391069e-02 -1.243214e-04 -1.113480e-02
15.000 105.000 1.297071e+03 1.745736e+03 -1.474513e-01 5.455869e+01 1.331626e+03 1.733494e+03 -1.311102e-01 5.488562e+01 3.496225e-01 1.570743e-02 -2.111541e-04 -9.110807e-03
15.000 135.000 1.059587e+03 1.445317e+03 -1.539899e-01 4.945205e+01 1.089534e+03 1.416887e+03 -1.306056e-01 4.963534e+01 2.404313e-01 1.394043e-02 -3.337490e-04 -7.975832e-03
15.000 165.000 1.083468e+03 1.420058e+03 -1.344463e-01 4.958098e+01 1.102392e+03 1.397554e+03 -1.180673e-01 4.964974e+01 6.681686e-02 9.419719e-03 -2.334300e-04 -4.059282e-03
15.000 195.000 1.691451e+03 1.060467e+03 2.292887e-01 5.106115e+01 1.707068e+03 1.051723e+03 2.375480e-01 5.102072e+01 -1.247012e-01 5.959432e-03 -1.144215e-04 6.932666e-03
15.000 225.000 1.897147e+03 8.783414e+02 3.670726e-01 4.900523e+01 1.892154e+03 8.801236e+02 3.650538e-01 4.901869e+01 -2.828056e-01 9.375654e-03 2.912580e-05 1.326140e-02
15.000 255.000 1.277373e+03 1.259692e+03 6.968883e-03 5.036806e+01 1.263179e+03 1.272971e+03 -3.861066e-03 5.035982e+01 -3.651325e-01 1.391069e-02 1.520518e-04 7.387646e-03
15.000 285.000 1.587890e+03 1.299920e+03 9.971920e-02 5.347049e+01 1.565379e+03 1.323363e+03 8.377894e-02 5.355807e+01 -3.496225e-01 1.570743e-02 2.106253e-04 8.403545e-03
15.000 315.000 1.984069e+03 1.030869e+03 3.161590e-01 5.209199e+01 1.950792e+03 1.057178e+03 2.970820e-01 5.236882e+01 -2.404314e-01 1.394043e-02 2.582678e-04 1.068476e-02
15.000 345.000 1.547373e+03 1.515417e+03 1.043366e-02 5.533947e+01 1.522258e+03 1.542022e+03 -6.449897e-03 5.535479e+01 -6.681687e-02 9.419720e-03 2.157019e-04 1.395939e-03
45.000 15.000 9.583685e+02 1.452225e+03 -2.048692e-01 4.805640e+01 9.245524e+02 1.498143e+03 -2.367572e-01 4.782148e+01 1.792501e-01 1.247945e-02 4.703520e-04 -7.993094e-03
45.000 45.000 8.238353e+02 1.228921e+03 -1.973375e-01 4.441641e+01 7.895074e+02 1.262341e+03 -2.304427e-01 4.407820e+01 3.610373e-01 1.297446e-02 5.290442e-04 -1.257136e-02
45.000 75.000 1.600208e+03 1.495206e+03 3.392188e-02 5.560442e+01 1.538726e+03 1.525670e+03 4.260642e-03 5.535649e+01 4.460848e-01 1.239835e-02 3.780360e-04 -7.412413e-03
45.000 105.000 1.136771e+03 1.019363e+03 5.445301e-02 4.636531e+01 1.122843e+03 1.022225e+03 4.690695e-02 4.626390e+01 4.116043e-01 1.124730e-02 1.152092e-04 -7.702985e-03
45.000 135.000 1.019255e+03 1.428905e+03 -1.673296e-01 4.878129e+01 1.029517e+03 1.426160e+03 -1.615211e-01 4.890410e+01 2.668347e-01 1.067248e-02 -8.409159e-05 -8.900222e-03
45.000 165.000 1.652508e+03 9.529356e+02 2.685042e-01 4.916915e+01 1.691391e+03 9.327715e+02 2.890902e-01 4.903930e+01 5.056698e-02 1.133663e-02 -2.964404e-04 4.432397e-03
45.000 195.000 1.327848e+03 1.543341e+03 -7.505359e-02 5.343235e+01 1.368146e+03 1.487834e+03 -4.190790e-02 5.339442e+01 -1.792501e-01 1.247945e-02 -4.387952e-04 1.950065e-03
45.000 225.000 1.444644e+03 9.025431e+02 2.309578e-01 4.713793e+01 1.485614e+03 8.732477e+02 2.596025e-01 4.690298e+01 -3.610373e-01 1.297446e-02 -4.307663e-04 1.255878e-02
45.000 255.000 1.197266e+03 9.150732e+02 1.335926e-01 4.554822e+01 1.225974e+03 8.919361e+02 1.577204e-01 4.544475e+01 -4.460848e-01 1.239835e-02 -3.749929e-04 1.272668e-02
45.000 285.000 1.252258e+03 1.273041e+03 -8.230208e-03 5.025065e+01 1.257681e+03 1.236883e+03 8.337342e-03 4.994387e+01 -4.116043e-01 1.124730e-02 -2.338446e-04 8.027241e-03
45.000 315.000 1.166439e+03 1.055231e+03 5.005587e-02 4.707551e+01 1.164119e+03 1.066154e+03 4.392530e-02 4.718019e+01 -2.668347e-01 1.067248e-02 9.198317e-05 6.731537e-03
45.000 345.000 1.486280e+03 1.022015e+03 1.850918e-01 4.921751e+01 1.450713e+03 1.045169e+03 1.624853e-01 4.929490e+01 -5.056700e-02 1.133663e-02 3.245317e-04 4.788110e-03
75.000 15.000 1.260779e+03 1.733600e+03 -1.579031e-01 5.403443e+01 1.221444e+03 1.786188e+03 -1.877701e-01 5.386641e+01 1.737912e-01 1.206159e-02 3.914548e-04 -6.138574e-03
75.000 45.000 6.736151e+02 1.525983e+03 -3.875107e-01 4.323536e+01 6.331045e+02 1.606452e+03 -4.346161e-01 4.262070e+01 4.128746e-01 1.174502e-02 7.758960e-04 -1.851228e-02
