  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   2    0 -1.774e-02 -1.336e-03 5.2314e-03  3.947e-01  4.473e-01 5.1511e-03 -6.878e-04  2.844e-02 5.2298e-03  8.828e-04 -2.803e-02 5.0085e-03  7.954e-03 -2.144e-02 5.0015e-03 -5.8939e-02 2.0315e-03 2.9852e-01 6.9706e-03 4.2784e-01 5.2330e+00 2.8093e+00 7.8057e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 2.109984e+03 2.631168e+03 -1.099278e-01 6.843873e+01 2.118261e+03 2.626750e+03 -1.071629e-01 6.848737e+01 9.839557e-02 4.016790e-03 -2.855670e-05 -3.043939e-03
15.000 45.000 1.716005e+03 2.461477e+03 -1.784499e-01 6.359601e+01 1.726937e+03 2.456468e+03 -1.743868e-01 6.368818e+01 2.910285e-01 6.379828e-03 -4.514443e-05 -7.382198e-03
15.000 75.000 2.107810e+03 3.445507e+03 -2.408825e-01 7.232627e+01 2.107063e+03 3.443974e+03 -2.408400e-01 7.231221e+01 4.056805e-01 9.499670e-03 -4.159081e-07 -8.939533e-03
15.000 105.000 1.940096e+03 3.243179e+03 -2.514014e-01 6.968270e+01 1.939040e+03 3.250369e+03 -2.526933e-01 6.969967e+01 4.116308e-01 1.073395e-02 1.310811e-05 -9.515019e-03
15.000 135.000 1.465228e+03 3.234265e+03 -3.764316e-01 6.351040e+01 1.462950e+03 3.239812e+03 -3.778336e-01 6.349334e+01 3.072850e-01 9.521032e-03 1.561162e-05 -1.076543e-02
15.000 165.000 1.973473e+03 2.955624e+03 -1.992558e-01 6.879969e+01 1.964119e+03 2.965684e+03 -2.031653e-01 6.874824e+01 1.206024e-01 6.411593e-03 4.019606e-05 -4.649122e-03
15.000 195.000 2.670724e+03 3.091462e+03 -7.301711e-02 7.570643e+01 2.661421e+03 3.099401e+03 -7.602742e-02 7.568041e+01 -9.839555e-02 4.016790e-03 2.812144e-05 3.352216e-04
15.000 225.000 3.174960e+03 1.809394e+03 2.739705e-01 6.789867e+01 3.166278e+03 1.813548e+03 2.716420e-01 6.791442e+01 -2.910284e-01 6.379828e-03 2.424662e-05 8.321208e-03
15.000 255.000 3.408011e+03 2.761867e+03 1.047255e-01 7.811664e+01 3.400841e+03 2.763770e+03 1.033434e-01 7.809465e+01 -4.056805e-01 9.499670e-03 1.251321e-05 6.533897e-03
15.000 285.000 2.644725e+03 2.117932e+03 1.106090e-01 6.858855e+01 2.636926e+03 2.115619e+03 1.096901e-01 6.852271e+01 -4.116308e-01 1.073395e-02 9.477546e-06 7.614095e-03
15.000 315.000 2.372525e+03 2.000939e+03 8.496385e-02 6.589303e+01 2.376504e+03 1.992108e+03 8.799046e-02 6.583911e+01 -3.072850e-01 9.521032e-03 -3.249216e-05 5.952812e-03
15.000 345.000 3.212391e+03 2.496374e+03 1.254240e-01 7.495972e+01 3.226719e+03 2.486447e+03 1.295729e-01 7.494830e+01 -1.206024e-01 6.411594e-03 -3.914004e-05 3.282115e-03
45.000 15.000 2.483037e+03 2.798156e+03 -5.966818e-02 7.254233e+01 2.483212e+03 2.797411e+03 -5.950035e-02 7.253915e+01 9.973041e-02 8.468354e-03 -1.635985e-06 -2.197318e-03
45.000 45.000 2.391030e+03 3.241580e+03 -1.510046e-01 7.419012e+01 2.377887e+03 3.241184e+03 -1.536368e-01 7.407049e+01 2.869290e-01 8.777380e-03 2.510828e-05 -5.902855e-03
45.000 75.000 1.754093e+03 2.824476e+03 -2.337811e-01 6.579007e+01 1.755183e+03 2.823510e+03 -2.333257e-01 6.579836e+01 3.972452e-01 8.426476e-03 -4.893754e-06 -9.591511e-03
45.000 105.000 2.260260e+03 3.007201e+03 -1.418028e-01 7.184388e+01 2.259571e+03 3.012004e+03 -1.427341e-01 7.186220e+01 4.011198e-01 7.722644e-03 9.164524e-06 -7.556979e-03
45.000 135.000 2.125209e+03 2.904907e+03 -1.550059e-01 7.006610e+01 2.118796e+03 2.905503e+03 -1.565805e-01 7.000798e+01 2.975148e-01 7.369523e-03 1.589707e-05 -6.458482e-03
45.000 165.000 1.875060e+03 2.627240e+03 -1.670656e-01 6.615615e+01 1.876318e+03 2.628125e+03 -1.669034e-01 6.617374e+01 1.141909e-01 7.768318e-03 -1.733869e-06 -4.251403e-03
45.000 195.000 2.669948e+03 2.104423e+03 1.184502e-01 6.861038e+01 2.670902e+03 2.106280e+03 1.181915e-01 6.863270e+01 -9.973039e-02 8.468354e-03 2.665908e-06 3.179994e-03
45.000 225.000 2.253062e+03 2.600848e+03 -7.165065e-02 6.949094e+01 2.252609e+03 2.590456e+03 -6.975897e-02 6.942260e+01 -2.869290e-01 8.777380e-03 -1.925826e-05 3.097934e-03
45.000 255.000 2.911857e+03 1.717663e+03 2.579519e-01 6.573793e+01 2.912198e+03 1.717867e+03 2.579512e-01 6.574181e+01 -3.972452e-01 8.426476e-03 6.880672e-09 9.966802e-03
45.000 285.000 3.516256e+03 1.991765e+03 2.767766e-01 7.131674e+01 3.520886e+03 1.994075e+03 2.768490e-01 7.136011e+01 -4.011198e-01 7.722645e-03 -7.175699e-07 9.505433e-03
45.000 315.000 2.447182e+03 1.775148e+03 1.591619e-01 6.415114e+01 2.449479e+03 1.778099e+03 1.588096e-01 6.419467e+01 -2.975148e-01 7.369523e-03 3.881231e-06 7.118761e-03
45.000 345.000 2.499755e+03 2.731096e+03 -4.422622e-02 7.225385e+01 2.501680e+03 2.729743e+03 -4.359485e-02 7.225981e+01 -1.141909e-01 7.768318e-03 -6.178610e-06 9.683173e-04
75.000 15.000 1.278682e+03 2.038686e+03 -2.290984e-01 5.606471e+01 1.261876e+03 2.065825e+03 -2.415929e-01 5.597743e+01 1.272979e-01 8.201510e-03 1.577071e-04 -6.356874e-03
75.000 45.000 1.793636e+03 2.221150e+03 -1.064849e-01 6.300208e+01 1.745036e+03 2.268287e+03 -1.303786e-01 6.281004e+01 3.245242e-01 8.024257e-03 2.685801e-04 -6.841190e-03
75.000 75.000 1.266503e+03 1.887462e+03 -1.968823e-01 5.506096e+01 1.235558e+03 1.918349e+03 -2.164907e-01 5.482781e+01 4.347945e-01 7.924650e-03 2.523497e-04 -1.147232e-02
75.000 105.000 9.033448e+02 2.694520e+03 -4.978439e-01 5.202056e+01 8.896635e+02 2.741206e+03 -5.099447e-01 5.183325e+01 4.285620e-01 8.005467e-03 1.647806e-04 -1.780846e-02
75.000 135.000 1.834497e+03 1.600185e+03 6.821936e-02 5.846962e+01 1.822992e+03 1.608169e+03 6.260957e-02 5.846120e+01 3.074967e-01 8.183126e-03 6.784735e-05 -4.092336e-03
75.000 165.000 1.835689e+03 1.430407e+03 1.240875e-01 5.670807e+01 1.840552e+03 1.423356e+03 1.278211e-01 5.666200e+01 1.040379e-01 8.279625e-03 -4.657356e-05 3.535594e-04
75.000 195.000 1.550210e+03 1.501110e+03 1.609151e-02 5.523160e+01 1.569782e+03 1.481380e+03 2.897349e-02 5.521413e+01 -1.272978e-01 8.201510e-03 -1.649485e-04 2.596147e-03
75.000 225.000 2.312244e+03 1.579199e+03 1.883734e-01 6.126465e+01 2.352425e+03 1.535370e+03 2.101589e-01 6.095969e+01 -3.245242e-01 8.024257e-03 -2.520717e-04 8.371836e-03
