  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   3    0 -3.015e-02 -2.890e-02 4.3465e-03  3.969e-01  3.964e-01 4.2565e-03 -2.629e-03  2.652e-02 4.3067e-03  5.958e-04 -1.996e-02 4.1304e-03  1.198e-02  1.029e-02 4.1252e-03 -1.6945e-02 2.2032e-03 3.1903e-01 1.2876e-02 4.3417e-01 5.3130e+00 2.8102e+00 7.7425e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 1.758227e+03 1.588324e+03 5.076951e-02 5.777479e+01 1.767210e+03 1.581112e+03 5.557972e-02 5.777524e+01 1.046247e-01 3.312928e-03 -5.887193e-05 -9.321581e-04
15.000 45.000 1.141118e+03 1.769454e+03 -2.158807e-01 5.267757e+01 1.157561e+03 1.754613e+03 -2.050196e-01 5.281824e+01 2.967946e-01 5.271368e-03 -1.455979e-04 -9.732328e-03
15.000 75.000 1.367481e+03 1.315754e+03 1.927803e-02 5.179033e+01 1.388558e+03 1.297056e+03 3.407125e-02 5.179282e+01 4.094387e-01 7.850435e-03 -2.019708e-04 -7.533465e-03
15.000 105.000 1.467744e+03 1.782547e+03 -9.685384e-02 5.674330e+01 1.489869e+03 1.760062e+03 -8.313784e-02 5.681081e+01 4.123739e-01 8.869020e-03 -1.708203e-04 -8.974236e-03
15.000 135.000 1.382991e+03 1.780478e+03 -1.256490e-01 5.579897e+01 1.398163e+03 1.767902e+03 -1.167821e-01 5.588279e+01 3.048139e-01 7.864329e-03 -1.122804e-04 -7.714531e-03
15.000 165.000 1.154070e+03 1.856242e+03 -2.332555e-01 5.335285e+01 1.158905e+03 1.852182e+03 -2.302413e-01 5.339912e+01 1.155793e-01 5.292038e-03 -3.993094e-05 -6.538259e-03
15.000 195.000 1.836253e+03 1.545580e+03 8.595142e-02 5.793832e+01 1.829723e+03 1.552139e+03 8.208035e-02 5.795755e+01 -1.046247e-01 3.312928e-03 4.723649e-05 3.289293e-03
15.000 225.000 1.506993e+03 1.093606e+03 1.589587e-01 5.034766e+01 1.491773e+03 1.110097e+03 1.466931e-01 5.045672e+01 -2.967946e-01 5.271368e-03 1.720769e-04 9.052124e-03
15.000 255.000 1.444388e+03 1.320874e+03 4.466624e-02 5.253328e+01 1.430523e+03 1.347926e+03 2.972781e-02 5.268770e+01 -4.094387e-01 7.850435e-03 2.007785e-04 8.644137e-03
15.000 285.000 1.579313e+03 1.212325e+03 1.314596e-01 5.237742e+01 1.560697e+03 1.231235e+03 1.180047e-01 5.246956e+01 -4.123739e-01 8.869020e-03 1.814838e-04 1.038298e-02
