  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   4    0 -4.287e-02 -3.639e-02 3.5660e-03  3.956e-01  3.864e-01 3.4671e-03 -4.822e-03  2.107e-02 3.4975e-03  2.563e-04 -1.631e-02 3.4243e-03  1.635e-02  2.416e-02 3.4146e-03 4.0829e-02 1.9950e-03 3.4621e-01 2.0225e-02 4.3926e-01 5.3935e+00 2.7934e+00 7.5950e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 7.374230e+02 9.445042e+02 -1.231214e-01 4.069927e+01 7.409856e+02 9.402352e+02 -1.185148e-01 4.071372e+01 1.093860e-01 2.733312e-03 -8.002042e-05 -5.712814e-03
15.000 45.000 6.337985e+02 1.151646e+03 -2.900383e-01 4.043821e+01 6.437917e+02 1.136708e+03 -2.768415e-01 4.054676e+01 3.068909e-01 4.330534e-03 -2.304525e-04 -1.476152e-02
15.000 75.000 6.676552e+02 1.103023e+03 -2.458764e-01 4.078764e+01 6.848075e+02 1.084562e+03 -2.259306e-01 4.097625e+01 4.221647e-01 6.438945e-03 -3.449861e-04 -1.637852e-02
15.000 105.000 9.080292e+02 9.376982e+02 -1.607438e-02 4.295638e+01 9.310210e+02 9.221478e+02 4.788125e-03 4.304795e+01 4.243197e-01 7.272137e-03 -3.430528e-04 -1.025212e-02
15.000 135.000 9.629004e+02 1.221460e+03 -1.183686e-01 4.640857e+01 9.795608e+02 1.205727e+03 -1.034950e-01 4.649603e+01 3.127787e-01 6.449918e-03 -2.264091e-04 -9.290252e-03
15.000 165.000 8.531919e+02 8.598823e+02 -3.905524e-03 4.138899e+01 8.584903e+02 8.549551e+02 2.063240e-03 4.139370e+01 1.174288e-01 4.346833e-03 -1.019671e-04 -2.931562e-03
15.000 195.000 7.151914e+02 6.495192e+02 4.812166e-02 3.689919e+01 7.115673e+02 6.530638e+02 4.287135e-02 3.690695e+01 -1.093860e-01 2.733312e-03 1.006021e-04 4.268593e-03
15.000 225.000 8.772225e+02 5.749127e+02 2.081830e-01 3.727197e+01 8.664641e+02 5.851068e+02 1.938296e-01 3.737694e+01 -3.068909e-01 4.330533e-03 2.719232e-04 1.381934e-02
15.000 255.000 1.158796e+03 7.280094e+02 2.283153e-01 4.229007e+01 1.140217e+03 7.469845e+02 2.083679e-01 4.248840e+01 -4.221647e-01 6.438945e-03 3.327461e-04 1.538139e-02
15.000 285.000 8.285055e+02 7.244027e+02 6.703735e-02 3.931831e+01 8.144809e+02 7.430873e+02 4.583661e-02 3.942456e+01 -4.243197e-01 7.272137e-03 3.807627e-04 1.249690e-02
15.000 315.000 1.011933e+03 8.281068e+02 9.990349e-02 4.268109e+01 9.994406e+02 8.436887e+02 8.450410e-02 4.277812e+01 -3.127787e-01 6.449919e-03 2.548352e-04 9.668971e-03
15.000 345.000 9.297834e+02 7.342279e+02 1.175206e-01 4.050962e+01 9.247052e+02 7.383476e+02 1.120575e-01 4.052370e+01 -1.174289e-01 4.346833e-03 9.534236e-05 5.799842e-03
45.000 15.000 1.785169e+03 1.682261e+03 2.967821e-02 5.885895e+01 1.778646e+03 1.687571e+03 2.627514e-02 5.885426e+01 1.089630e-01 5.739025e-03 4.088459e-05 -1.347031e-03
45.000 45.000 1.693784e+03 1.638431e+03 1.661163e-02 5.771738e+01 1.709996e+03 1.625114e+03 2.545084e-02 5.773170e+01 2.959748e-01 5.959192e-03 -1.082774e-04 -4.840192e-03
45.000 75.000 1.351473e+03 1.994030e+03 -1.920658e-01 5.676346e+01 1.380102e+03 1.964391e+03 -1.747017e-01 5.694223e+01 4.036804e-01 5.723028e-03 -2.159661e-04 -1.049524e-02
45.000 105.000 1.361738e+03 2.168808e+03 -2.285963e-01 5.784507e+01 1.394981e+03 2.133274e+03 -2.092516e-01 5.808413e+01 4.032201e-01 5.236274e-03 -2.359846e-04 -1.092256e-02
45.000 135.000 1.291240e+03 2.225321e+03 -2.656233e-01 5.717034e+01 1.319455e+03 2.187951e+03 -2.476177e-01 5.737902e+01 2.947173e-01 4.984275e-03 -2.222949e-04 -9.801248e-03
45.000 165.000 1.737973e+03 2.040941e+03 -8.017335e-02 6.127499e+01 1.762664e+03 2.015180e+03 -6.684129e-02 6.132671e+01 1.072453e-01 5.253753e-03 -1.537856e-04 -3.058649e-03
45.000 195.000 1.961145e+03 1.612461e+03 9.757193e-02 5.949441e+01 1.966447e+03 1.608435e+03 1.001464e-01 5.948974e+01 -1.089630e-01 5.739025e-03 -3.059976e-05 3.471502e-03
45.000 225.000 2.153861e+03 1.572706e+03 1.559491e-01 6.029873e+01 2.139896e+03 1.586323e+03 1.485614e-01 6.036538e+01 -2.959748e-01 5.959192e-03 8.658482e-05 7.494749e-03
45.000 255.000 1.915409e+03 1.459132e+03 1.352115e-01 5.755734e+01 1.886346e+03 1.488918e+03 1.177473e-01 5.769288e+01 -4.036803e-01 5.723028e-03 2.143003e-04 9.362696e-03
45.000 285.000 2.065782e+03 1.211243e+03 2.607669e-01 5.526472e+01 2.030892e+03 1.241897e+03 2.410774e-01 5.552099e+01 -4.032201e-01 5.236274e-03 2.513419e-04 1.201466e-02
45.000 315.000 2.395819e+03 1.383971e+03 2.676995e-01 5.923613e+01 2.355506e+03 1.413993e+03 2.497713e-01 5.945028e+01 -2.947173e-01 4.984275e-03 2.136234e-04 9.494489e-03
45.000 345.000 2.104830e+03 1.668953e+03 1.155013e-01 6.101999e+01 2.077938e+03 1.692452e+03 1.022404e-01 6.108173e+01 -1.072453e-01 5.253753e-03 1.535908e-04 3.650388e-03
75.000 15.000 2.660701e+03 2.368400e+03 5.812184e-02 7.079627e+01 2.615067e+03 2.402709e+03 4.232114e-02 7.077280e+01 1.157068e-01 5.572227e-03 1.578422e-04 -8.133891e-04
75.000 45.000 2.854203e+03 3.196122e+03 -5.651239e-02 7.765953e+01 2.809629e+03 3.229731e+03 -6.956074e-02 7.752507e+01 2.963063e-01 5.417304e-03 1.189109e-04 -4.543147e-03
75.000 75.000 2.377363e+03 3.436577e+03 -1.821853e-01 7.497311e+01 2.360755e+03 3.454679e+03 -1.881071e-01 7.489766e+01 3.975108e-01 5.336193e-03 5.587903e-05 -7.732054e-03
75.000 105.000 2.070616e+03 3.640384e+03 -2.748675e-01 7.266032e+01 2.079466e+03 3.623829e+03 -2.707843e-01 7.269873e+01 3.922026e-01 5.413433e-03 -3.972627e-05 -9.180667e-03
75.000 135.000 2.425815e+03 1.914997e+03 1.176780e-01 6.542705e+01 2.459278e+03 1.894396e+03 1.297483e-01 6.542463e+01 2.818041e-01 5.568463e-03 -1.304538e-04 -2.508536e-03
75.000 165.000 3.029303e+03 2.968245e+03 1.018041e-02 7.743983e+01 3.077909e+03 2.922530e+03 2.589454e-02 7.743653e+01 9.589633e-02 5.646239e-03 -1.434895e-04 -1.106871e-03
75.000 195.000 3.717441e+03 2.079617e+03 2.825267e-01 7.303650e+01 3.776958e+03 2.046086e+03 2.972451e-01 7.285981e+01 -1.157067e-01 5.572227e-03 -1.426696e-04 5.452527e-03
75.000 225.000 3.619619e+03 2.332468e+03 2.162520e-01 7.532422e+01 3.654823e+03 2.308149e+03 2.258394e-01 7.522527e+01 -2.963063e-01 5.417304e-03 -9.006073e-05 6.804694e-03
75.000 255.000 4.189685e+03 1.999721e+03 3.538246e-01 7.358357e+01 4.205910e+03 1.986095e+03 3.584970e-01 7.345889e+01 -3.975108e-01 5.336193e-03 -4.493778e-05 1.021064e-02
75.000 285.000 3.459450e+03 2.212418e+03 2.198627e-01 7.346899e+01 3.448251e+03 2.224628e+03 2.156970e-01 7.354554e+01 -3.922026e-01 5.413433e-03 4.007203e-05 8.330935e-03
75.000 315.000 3.656951e+03 2.394309e+03 2.086577e-01 7.607759e+01 3.622102e+03 2.432324e+03 1.965137e-01 7.629298e+01 -2.818041e-01 5.568463e-03 1.127136e-04 6.446863e-03
75.000 345.000 3.133371e+03 2.625299e+03 8.822728e-02 7.558997e+01 3.085053e+03 2.668599e+03 7.238092e-02 7.565388e+01 -9.589635e-02 5.646239e-03 1.481722e-04 2.435821e-03
105.000 15.000 2.092499e+03 3.018519e+03 -1.811811e-01 7.030819e+01 2.071236e+03 3.052724e+03 -1.915487e-01 7.025637e+01 9.321241e-02 5.646239e-03 1.043083e-04 -3.902725e-03
105.000 45.000 2.486280e+03 2.360131e+03 2.602937e-02 6.959259e+01 2.438783e+03 2.389544e+03 1.019795e-02 6.948255e+01 2.755547e-01 5.568463e-03 1.609850e-04 -3.585516e-03
105.000 75.000 1.947090e+03 2.616902e+03 -1.467601e-01 6.682582e+01 1.910006e+03 2.656881e+03 -1.635413e-01 6.666890e+01 3.840624e-01 5.413433e-03 1.777760e-04 -7.943374e-03
105.000 105.000 1.893552e+03 2.218956e+03 -7.912551e-02 6.392778e+01 1.868575e+03 2.242987e+03 -9.106338e-02 6.385504e+01 3.896608e-01 5.336193e-03 1.321202e-04 -7.333061e-03
105.000 135.000 1.820361e+03 3.273926e+03 -2.853324e-01 6.840714e+01 1.807008e+03 3.297639e+03 -2.920144e-01 6.833273e+01 2.908500e-01 5.417304e-03 6.910717e-05 -8.422839e-03
105.000 165.000 1.724883e+03 2.103724e+03 -9.895003e-02 6.157207e+01 1.726729e+03 2.098378e+03 -9.716045e-02 6.155483e+01 1.141061e-01 5.572227e-03 -2.055469e-05 -3.460272e-03
105.000 195.000 2.238185e+03 2.250408e+03 -2.723171e-03 6.699672e+01 2.259455e+03 2.226531e+03 7.339507e-03 6.697570e+01 -9.321239e-02 5.646239e-03 -1.062217e-04 1.350652e-03
105.000 225.000 2.391312e+03 1.981376e+03 9.374922e-02 6.583508e+01 2.430302e+03 1.935619e+03 1.133057e-01 6.564960e+01 -2.755547e-01 5.568463e-03 -2.103437e-04 5.609531e-03
105.000 255.000 3.115363e+03 1.952090e+03 2.295578e-01 6.928502e+01 3.172105e+03 1.910422e+03 2.482393e-01 6.906032e+01 -3.840623e-01 5.413433e-03 -1.909685e-04 8.856462e-03
105.000 285.000 3.210357e+03 1.702921e+03 3.068086e-01 6.671419e+01 3.251515e+03 1.673981e+03 3.202792e-01 6.648493e+01 -3.896608e-01 5.336193e-03 -1.430208e-04 1.043960e-02
105.000 315.000 2.854698e+03 2.609244e+03 4.492240e-02 7.384386e+01 2.873825e+03 2.594261e+03 5.112652e-02 7.384980e+01 -2.908500e-01 5.417304e-03 -5.940645e-05 4.547059e-03
105.000 345.000 2.455539e+03 2.609006e+03 -3.030228e-02 7.113293e+01 2.451694e+03 2.616368e+03 -3.249241e-02 7.115273e+01 -1.141061e-01 5.572227e-03 2.176830e-05 1.178130e-03
135.000 15.000 1.669810e+03 2.328138e+03 -1.646663e-01 6.236621e+01 1.685649e+03 2.314967e+03 -1.573054e-01 6.246296e+01 5.206596e-02 5.253753e-03 -8.339382e-05 -3.475156e-03
135.000 45.000 1.693945e+03 2.052616e+03 -9.573324e-02 6.092803e+01 1.695839e+03 2.045613e+03 -9.348616e-02 6.089952e+01 2.219373e-01 4.984275e-03 -2.608473e-05 -5.213866e-03
135.000 75.000 2.184633e+03 2.012985e+03 4.089179e-02 6.473483e+01 2.149022e+03 2.025378e+03 2.961959e-02 6.458124e+01 3.323408e-01 5.236274e-03 1.232739e-04 -4.502197e-03
135.000 105.000 1.516412e+03 2.410431e+03 -2.276686e-01 6.101888e+01 1.492258e+03 2.423067e+03 -2.377346e-01 6.077861e+01 3.536938e-01 5.723028e-03 1.168775e-04 -9.527582e-03
135.000 135.000 2.374625e+03 1.670966e+03 1.739323e-01 6.263548e+01 2.336999e+03 1.686104e+03 1.617894e-01 6.259229e+01 2.802748e-01 5.959192e-03 1.371310e-04 -1.697801e-03
135.000 165.000 2.042041e+03 2.549126e+03 -1.104481e-01 6.734360e+01 2.013445e+03 2.581098e+03 -1.235493e-01 6.726373e+01 1.317565e-01 5.739025e-03 1.376446e-04 -3.596548e-03
135.000 195.000 2.314243e+03 2.127119e+03 4.213206e-02 6.658437e+01 2.300382e+03 2.144058e+03 3.517293e-02 6.662538e+01 -5.206594e-02 5.253753e-03 7.388124e-05 1.414716e-03
135.000 225.000 2.036011e+03 1.855134e+03 4.648425e-02 6.231161e+01 2.032928e+03 1.855778e+03 4.555497e-02 6.229475e+01 -2.219373e-01 4.984275e-03 1.054681e-05 4.307729e-03
135.000 255.000 2.267875e+03 1.938256e+03 7.836633e-02 6.465524e+01 2.272642e+03 1.932658e+03 8.084648e-02 6.463601e+01 -3.323408e-01 5.236274e-03 -2.712833e-05 6.352263e-03
135.000 285.000 2.500955e+03 1.578530e+03 2.261130e-01 6.221666e+01 2.516012e+03 1.559531e+03 2.346880e-01 6.205697e+01 -3.536938e-01 5.723028e-03 -9.758197e-05 9.319155e-03
135.000 315.000 2.104393e+03 1.614651e+03 1.316850e-01 6.045289e+01 2.129876e+03 1.595981e+03 1.432946e-01 6.040987e+01 -2.802748e-01 5.959192e-03 -1.358432e-04 6.814560e-03
135.000 345.000 2.472546e+03 1.604567e+03 2.128906e-01 6.238853e+01 2.502789e+03 1.585338e+03 2.244183e-01 6.230758e+01 -1.317565e-01 5.739025e-03 -1.307388e-04 5.524206e-03
165.000 15.000 8.589321e+02 4.203691e+02 3.428145e-01 3.359993e+01 8.610328e+02 4.166947e+02 3.477565e-01 3.351427e+01 5.278906e-02 4.346833e-03 -1.041353e-04 8.631729e-03
165.000 45.000 7.089064e+02 5.700904e+02 1.085351e-01 3.555180e+01 7.090266e+02 5.692871e+02 1.093155e-01 3.553924e+01 1.929693e-01 6.449918e-03 -1.552475e-05 -2.374964e-03
165.000 75.000 4.930001e+02 5.591204e+02 -6.284483e-02 3.237229e+01 4.901365e+02 5.627888e+02 -6.900040e-02 3.237147e+01 2.814436e-01 7.272137e-03 1.344577e-04 -1.063528e-02
165.000 105.000 3.890471e+02 5.237910e+02 -1.476099e-01 2.988224e+01 3.867485e+02 5.310590e+02 -1.572339e-01 2.991851e+01 2.945053e-01 6.438945e-03 2.275945e-04 -1.479525e-02
165.000 135.000 7.155290e+02 1.048116e+03 -1.885794e-01 4.124229e+01 7.037263e+02 1.061819e+03 -2.028226e-01 4.114506e+01 2.286546e-01 4.330534e-03 2.444896e-04 -1.011666e-02
165.000 165.000 7.474385e+02 6.665062e+02 5.723865e-02 3.754081e+01 7.383905e+02 6.752922e+02 4.463398e-02 3.756150e+01 1.015360e-01 2.733312e-03 2.373522e-04 -1.179979e-03
165.000 195.000 5.996149e+02 8.848651e+02 -1.921550e-01 3.781095e+01 5.963221e+02 8.918074e+02 -1.985615e-01 3.780817e+01 -5.278904e-02 4.346833e-03 1.198136e-04 -3.685862e-03
165.000 225.000 7.986328e+02 3.959786e+02 3.370587e-01 3.254064e+01 8.014672e+02 3.961412e+02 3.384462e-01 3.256420e+01 -1.929693e-01 6.449918e-03 -3.013932e-05 1.628819e-02
165.000 255.000 5.918150e+02 7.665378e+02 -1.286284e-01 3.654967e+01 5.988905e+02 7.564389e+02 -1.162436e-01 3.656522e+01 -2.814436e-01 7.272137e-03 -2.395524e-04 4.181027e-03
165.000 285.000 6.840522e+02 1.590256e+02 6.227498e-01 2.271822e+01 6.902190e+02 1.567304e+02 6.298943e-01 2.260327e+01 -2.945053e-01 6.438945e-03 -2.229361e-04 4.037531e-02
165.000 315.000 8.639002e+02 7.065342e+02 1.002054e-01 3.942925e+01 8.728403e+02 6.975227e+02 1.116415e-01 3.938007e+01 -2.286546e-01 4.330534e-03 -2.052176e-04 8.340509e-03
165.000 345.000 3.542598e+02 5.367086e+02 -2.047759e-01 2.921656e+01 3.586819e+02 5.296720e+02 -1.924798e-01 2.924794e+01 -1.015360e-01 2.733312e-03 -2.974330e-04 -3.533607e-03
195.000 15.000 4.960046e+02 9.273048e+02 -3.030263e-01 3.595294e+01 4.891051e+02 9.372062e+02 -3.141678e-01 3.585432e+01 1.015360e-01 2.733311e-03 2.194279e-04 -1.125255e-02
195.000 45.000 5.542806e+02 6.628400e+02 -8.919366e-02 3.474820e+01 5.454037e+02 6.702725e+02 -1.027155e-01 3.468213e+01 2.286546e-01 4.330534e-03 2.754245e-04 -9.147184e-03
195.000 75.000 7.541475e+02 7.944314e+02 -2.601343e-02 3.933867e+01 7.437825e+02 8.054719e+02 -3.981873e-02 3.932935e+01 2.945053e-01 6.438945e-03 2.481776e-04 -8.147676e-03
195.000 105.000 6.360802e+02 5.019567e+02 1.178552e-01 3.349970e+01 6.274566e+02 5.039767e+02 1.091359e-01 3.343587e+01 2.814436e-01 7.272137e-03 1.842215e-04 -4.883282e-03
195.000 135.000 7.116715e+02 9.885946e+02 -1.628705e-01 4.068370e+01 7.110154e+02 9.856725e+02 -1.618783e-01 4.064759e+01 1.929693e-01 6.449918e-03 -1.725138e-05 -8.746496e-03
195.000 165.000 6.913401e+02 2.906912e+02 4.079797e-01 2.861074e+01 6.965230e+02 2.888953e+02 4.136595e-01 2.857970e+01 5.278908e-02 4.346833e-03 -1.404501e-04 1.241459e-02
195.000 195.000 5.203519e+02 1.938327e+02 4.571915e-01 2.376768e+01 5.251810e+02 1.913411e+02 4.659171e-01 2.368502e+01 -1.015360e-01 2.733311e-03 -2.600453e-04 2.350786e-02
195.000 225.000 1.020044e+03 5.487031e+02 3.004569e-01 3.777737e+01 1.031480e+03 5.405652e+02 3.122778e-01 3.766621e+01 -2.286545e-01 4.330534e-03 -2.215855e-04 1.400604e-02
195.000 255.000 1.066801e+03 3.896205e+02 4.649620e-01 3.378696e+01 1.076989e+03 3.848829e+02 4.734384e-01 3.367792e+01 -2.945053e-01 6.438945e-03 -1.776838e-04 2.247812e-02
