  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   6    0 -7.906e-02 -5.467e-02 2.6446e-03  3.835e-01  3.799e-01 2.5656e-03 -1.304e-02  2.291e-02 2.5839e-03 -1.024e-03 -1.669e-02 2.5898e-03  2.984e-02  2.932e-02 2.5888e-03 3.1117e-02 1.9016e-03 3.8620e-01 5.0361e-02 4.3375e-01 5.3802e+00 2.8098e+00 7.1863e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 4.913874e+00 6.324780e+00 -1.255405e-01 3.325888e+00 4.946192e+00 6.293787e+00 -1.198930e-01 3.328425e+00 1.105699e-01 2.059226e-03 -1.200254e-03 -7.099169e-02
15.000 45.000 6.733987e+00 0.000000e+00 1.000000e+00 2.000000e+00 6.864687e+00 0.000000e+00 1.000000e+00 2.000000e+00 3.154272e-01 3.242420e-03 0.000000e+00 3.422860e-01
15.000 75.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.357660e-01 4.806633e-03         -nan         -nan
15.000 105.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 4.393417e-01 5.424140e-03         -nan         -nan
15.000 135.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 3.251961e-01 4.811280e-03         -nan         -nan
15.000 165.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan 1.239145e-01 3.249304e-03         -nan         -nan
15.000 195.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -1.105699e-01 2.059226e-03         -nan         -nan
15.000 225.000 9.429813e+00 0.000000e+00 1.000000e+00 2.000000e+00 9.316740e+00 0.000000e+00 1.000000e+00 2.000000e+00 -3.154272e-01 3.242420e-03 0.000000e+00 6.577127e-01
15.000 255.000 8.671153e+00 5.378536e+00 2.343551e-01 3.643906e+00 8.514732e+00 5.531998e+00 2.123436e-01 3.662426e+00 -4.357660e-01 4.806633e-03 4.260533e-03 1.839017e-01
15.000 285.000 7.500699e+00 0.000000e+00 1.000000e+00 2.000000e+00 7.351246e+00 0.000000e+00 1.000000e+00 2.000000e+00 -4.393417e-01 5.424140e-03 0.000000e+00 7.196682e-01
15.000 315.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -3.251961e-01 4.811280e-03         -nan         -nan
15.000 345.000 0.000000e+00 0.000000e+00         -nan         -nan 0.000000e+00 0.000000e+00         -nan         -nan -1.239145e-01 3.249304e-03         -nan         -nan
45.000 15.000 2.505694e+02 2.647665e+02 -2.754928e-02 2.269239e+01 2.503411e+02 2.650672e+02 -2.857171e-02 2.269334e+01 1.040576e-01 4.298304e-03 3.185893e-05 -5.799603e-03
45.000 45.000 2.233334e+02 4.175792e+02 -3.030768e-01 2.412553e+01 2.267362e+02 4.135201e+02 -2.917330e-01 2.420259e+01 2.974597e-01 4.476424e-03 -3.319509e-04 -2.489216e-02
45.000 75.000 2.123497e+02 3.304713e+02 -2.176069e-01 2.274020e+01 2.183328e+02 3.245154e+02 -1.956028e-01 2.284904e+01 4.111577e-01 4.288800e-03 -6.825842e-04 -2.764991e-02
45.000 105.000 1.958875e+02 3.075983e+02 -2.218749e-01 2.187921e+01 2.023013e+02 3.011169e+02 -1.962894e-01 2.200049e+01 4.146863e-01 3.896958e-03 -8.246006e-04 -2.909434e-02
45.000 135.000 2.613029e+02 3.479542e+02 -1.422244e-01 2.443222e+01 2.684475e+02 3.411480e+02 -1.192603e-01 2.451377e+01 3.071001e-01 3.690980e-03 -6.635104e-04 -1.839066e-02
45.000 165.000 3.090452e+02 3.459667e+02 -5.636759e-02 2.555251e+01 3.136294e+02 3.415699e+02 -4.264416e-02 2.557358e+01 1.172266e-01 3.907415e-03 -3.796078e-04 -6.793627e-03
45.000 195.000 2.100176e+02 1.899464e+02 5.018235e-02 1.997390e+01 2.101760e+02 1.896442e+02 5.135257e-02 1.996912e+01 -1.040576e-01 4.298304e-03 -4.143261e-05 7.722073e-03
45.000 225.000 2.687639e+02 2.528989e+02 3.041226e-02 2.282937e+01 2.659491e+02 2.563287e+02 1.842014e-02 2.284952e+01 -2.974597e-01 4.476424e-03 3.712746e-04 1.436184e-02
45.000 255.000 3.584185e+02 2.062917e+02 2.693892e-01 2.288512e+01 3.522276e+02 2.118234e+02 2.489211e-01 2.300221e+01 -4.111577e-01 4.288800e-03 6.308106e-04 2.973752e-02
45.000 285.000 3.460211e+02 2.899501e+02 8.816581e-02 2.512026e+01 3.386716e+02 2.993624e+02 6.160993e-02 2.521135e+01 -4.146863e-01 3.896959e-03 7.461638e-04 2.001779e-02
45.000 315.000 3.428299e+02 2.026499e+02 2.569848e-01 2.257112e+01 3.359967e+02 2.081204e+02 2.350161e-01 2.267298e+01 -3.071001e-01 3.690980e-03 6.866849e-04 2.499144e-02
45.000 345.000 2.309204e+02 1.787269e+02 1.274110e-01 2.007479e+01 2.280378e+02 1.815841e+02 1.134062e-01 2.010855e+01 -1.172266e-01 3.907415e-03 4.928832e-04 1.218631e-02
75.000 15.000 1.944642e+03 1.708274e+03 6.470657e-02 6.031270e+01 1.923503e+03 1.725206e+03 5.434720e-02 6.031527e+01 1.048446e-01 4.171724e-03 1.214508e-04 -6.654982e-04
75.000 45.000 1.664412e+03 1.756563e+03 -2.693724e-02 5.846788e+01 1.658625e+03 1.761155e+03 -2.998155e-02 5.845260e+01 2.888161e-01 4.036749e-03 3.682251e-05 -5.400458e-03
75.000 75.000 1.512403e+03 2.156795e+03 -1.756222e-01 5.963244e+01 1.522981e+03 2.147847e+03 -1.702249e-01 5.970310e+01 3.953996e-01 3.965212e-03 -6.396125e-05 -9.575689e-03
75.000 105.000 1.728717e+03 1.906524e+03 -4.891198e-02 6.022080e+01 1.750748e+03 1.886970e+03 -3.744692e-02 6.027120e+01 3.960361e-01 4.032173e-03 -1.345653e-04 -7.388611e-03
75.000 135.000 1.644622e+03 2.251543e+03 -1.557739e-01 6.165730e+01 1.673223e+03 2.221611e+03 -1.407989e-01 6.178691e+01 2.905550e-01 4.167297e-03 -1.715576e-04 -7.238866e-03
75.000 165.000 1.624191e+03 2.006707e+03 -1.053503e-01 5.992161e+01 1.651307e+03 1.978634e+03 -9.017412e-02 6.000354e+01 1.072200e-01 4.235421e-03 -1.789642e-04 -3.547473e-03
75.000 195.000 2.112936e+03 1.718705e+03 1.028884e-01 6.157174e+01 2.135081e+03 1.700441e+03 1.133196e-01 6.153267e+01 -1.048445e-01 4.171724e-03 -1.198331e-04 3.373836e-03
75.000 225.000 1.869118e+03 1.598379e+03 7.807903e-02 5.870569e+01 1.875271e+03 1.593164e+03 8.133546e-02 5.869829e+01 -2.888161e-01 4.036749e-03 -3.922603e-05 6.249737e-03
75.000 255.000 2.177526e+03 1.529166e+03 1.749162e-01 5.994400e+01 2.168896e+03 1.541502e+03 1.690907e-01 6.003592e+01 -3.953996e-01 3.965212e-03 6.866653e-05 9.514143e-03
75.000 285.000 2.550080e+03 1.488293e+03 2.629244e-01 6.131235e+01 2.524783e+03 1.513542e+03 2.504109e-01 6.152317e+01 -3.960361e-01 4.032173e-03 1.440683e-04 1.074760e-02
75.000 315.000 2.260649e+03 1.486336e+03 2.066496e-01 5.989135e+01 2.229037e+03 1.513872e+03 1.910719e-01 6.005215e+01 -2.905550e-01 4.167297e-03 1.836704e-04 8.301777e-03
75.000 345.000 1.745389e+03 1.717027e+03 8.191335e-03 5.884032e+01 1.720364e+03 1.745724e+03 -7.316733e-03 5.887192e+01 -1.072200e-01 4.235421e-03 1.863164e-04 1.961433e-03
105.000 15.000 3.002502e+03 3.440630e+03 -6.799921e-02 8.008333e+01 2.975375e+03 3.473263e+03 -7.720829e-02 8.006370e+01 7.757164e-02 4.235422e-03 8.132281e-05 -1.817742e-03
105.000 45.000 3.173007e+03 3.955623e+03 -1.097849e-01 8.392086e+01 3.108945e+03 4.013380e+03 -1.269858e-01 8.371066e+01 2.585638e-01 4.167297e-03 1.451140e-04 -4.389239e-03
105.000 75.000 2.652012e+03 4.137953e+03 -2.188436e-01 8.040384e+01 2.596377e+03 4.200717e+03 -2.360333e-01 8.011502e+01 3.702740e-01 4.032173e-03 1.514453e-04 -7.326984e-03
105.000 105.000 3.053388e+03 3.196532e+03 -2.290331e-02 7.903570e+01 3.001291e+03 3.235412e+03 -3.753911e-02 7.891713e+01 3.827696e-01 3.965212e-03 1.310400e-04 -5.132781e-03
105.000 135.000 3.106232e+03 3.728837e+03 -9.108983e-02 8.233077e+01 3.078521e+03 3.756423e+03 -9.918179e-02 8.226608e+01 2.927024e-01 4.036749e-03 6.952604e-05 -4.661589e-03
105.000 165.000 3.631471e+03 3.812095e+03 -2.426577e-02 8.625070e+01 3.635550e+03 3.809250e+03 -2.333170e-02 8.625976e+01 1.242058e-01 4.171724e-03 -7.657328e-06 -1.721395e-03
105.000 195.000 3.598747e+03 3.834805e+03 -3.175579e-02 8.617456e+01 3.636270e+03 3.795653e+03 -2.144572e-02 8.618877e+01 -7.757162e-02 4.235422e-03 -8.459244e-05 5.316630e-04
105.000 225.000 4.139110e+03 2.900944e+03 1.758745e-01 8.259717e+01 4.203452e+03 2.850759e+03 1.917568e-01 8.243071e+01 -2.585638e-01 4.167297e-03 -1.361043e-04 5.259723e-03
105.000 255.000 4.246759e+03 2.728012e+03 2.177487e-01 8.151114e+01 4.314140e+03 2.666971e+03 2.359466e-01 8.119401e+01 -3.702740e-01 4.032173e-03 -1.581735e-04 7.214017e-03
105.000 285.000 4.209165e+03 3.062851e+03 1.576336e-01 8.420997e+01 4.260319e+03 3.010288e+03 1.719295e-01 8.399815e+01 -3.827696e-01 3.965212e-03 -1.201927e-04 6.417331e-03
105.000 315.000 4.381440e+03 2.934332e+03 1.978067e-01 8.384226e+01 4.419240e+03 2.911605e+03 2.056564e-01 8.379015e+01 -2.927024e-01 4.036749e-03 -6.622378e-05 5.850380e-03
105.000 345.000 3.244659e+03 3.269259e+03 -3.776633e-03 8.070827e+01 3.238831e+03 3.272516e+03 -5.173280e-03 8.069184e+01 -1.242058e-01 4.171724e-03 1.223765e-05 1.492154e-03
135.000 15.000 3.098670e+03 3.349246e+03 -3.886162e-02 8.023826e+01 3.118014e+03 3.327046e+03 -3.243278e-02 8.023890e+01 3.516539e-02 3.907415e-03 -5.665449e-05 -9.225899e-04
135.000 45.000 2.637212e+03 3.820243e+03 -1.832039e-01 7.899822e+01 2.623784e+03 3.835324e+03 -1.875708e-01 7.894213e+01 1.977601e-01 3.690980e-03 3.910165e-05 -4.822437e-03
135.000 75.000 2.945287e+03 3.623437e+03 -1.032392e-01 8.061459e+01 2.887146e+03 3.664303e+03 -1.186237e-01 8.036952e+01 3.073651e-01 3.896958e-03 1.351500e-04 -5.093423e-03
135.000 105.000 2.596264e+03 3.659740e+03 -1.699928e-01 7.794370e+01 2.539663e+03 3.722906e+03 -1.889388e-01 7.771106e+01 3.346119e-01 4.288800e-03 1.721353e-04 -6.473963e-03
135.000 135.000 2.900386e+03 3.782304e+03 -1.319705e-01 8.103273e+01 2.834387e+03 3.852468e+03 -1.522511e-01 8.081987e+01 2.721997e-01 4.476424e-03 1.772054e-04 -4.987740e-03
135.000 165.000 2.762396e+03 3.357611e+03 -9.725725e-02 7.785960e+01 2.716788e+03 3.410125e+03 -1.131626e-01 7.777180e+01 1.368518e-01 4.298304e-03 1.445306e-04 -3.006810e-03
135.000 195.000 3.969144e+03 2.964770e+03 1.448495e-01 8.239194e+01 3.945311e+03 2.984098e+03 1.387150e-01 8.243831e+01 -3.516537e-02 3.907415e-03 5.263357e-05 2.184861e-03
135.000 225.000 3.797375e+03 2.859988e+03 1.408046e-01 8.077979e+01 3.825211e+03 2.843535e+03 1.472055e-01 8.077276e+01 -1.977600e-01 3.690980e-03 -5.603244e-05 4.191205e-03
135.000 255.000 3.914011e+03 2.715823e+03 1.807267e-01 8.008302e+01 3.977040e+03 2.673765e+03 1.959575e-01 7.997136e+01 -3.073651e-01 3.896958e-03 -1.345774e-04 6.094822e-03
135.000 285.000 3.222158e+03 2.483963e+03 1.293689e-01 7.490408e+01 3.266192e+03 2.430107e+03 1.467769e-01 7.465642e+01 -3.346119e-01 4.288800e-03 -1.646062e-04 6.194332e-03
135.000 315.000 3.262852e+03 2.826259e+03 7.170063e-02 7.783192e+01 3.316885e+03 2.758602e+03 9.189105e-02 7.761563e+01 -2.721997e-01 4.476424e-03 -1.836860e-04 4.418500e-03
135.000 345.000 3.767328e+03 3.179024e+03 8.469250e-02 8.304533e+01 3.824596e+03 3.124882e+03 1.006859e-01 8.293990e+01 -1.368518e-01 4.298304e-03 -1.362658e-04 2.667752e-03
165.000 15.000 2.698645e+03 2.910475e+03 -3.776525e-02 7.484063e+01 2.716411e+03 2.889777e+03 -3.092393e-02 7.483867e+01 4.033657e-02 3.249304e-03 -6.463881e-05 -1.043575e-03
165.000 45.000 2.483086e+03 2.477393e+03 1.147776e-03 7.043062e+01 2.490480e+03 2.470505e+03 4.026308e-03 7.043369e+01 1.678049e-01 4.811280e-03 -2.889916e-05 -2.366259e-03
