  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -4.017e-02 -1.002e-01 6.1490e-03  3.455e-01  3.269e-01 6.1345e-03 -4.836e-03 -5.077e-02 6.0830e-03  4.452e-04 -2.894e-02 6.0976e-03  1.158e-02 -3.096e-02 6.1128e-03 -2.1450e-02 2.0028e-03 1.6468e-01 1.4786e-02 3.3782e-01 4.3859e+00 3.0962e+00 7.9202e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 1.180585e+03 1.346782e+03 -6.575902e-02 5.016411e+01 1.226557e+03 1.309825e+03 -3.282967e-02 5.033536e+01 4.151770e-02 4.861724e-03 -4.633762e-04 -2.138515e-03
15.000 45.000 9.831324e+02 1.254577e+03 -1.213047e-01 4.695511e+01 9.752697e+02 1.263078e+03 -1.285805e-01 4.691845e+01 2.675813e-01 7.666294e-03 1.096112e-04 -8.282081e-03
15.000 75.000 1.121688e+03 2.046995e+03 -2.920164e-01 5.383752e+01 1.085041e+03 2.091344e+03 -3.168077e-01 5.345634e+01 4.219467e-01 1.134160e-02 3.267659e-04 -1.326144e-02
15.000 105.000 1.297774e+03 1.264764e+03 1.288165e-02 5.061731e+01 1.227114e+03 1.310276e+03 -3.277460e-02 5.034545e+01 4.632518e-01 1.278107e-02 6.395174e-04 -8.897552e-03
15.000 135.000 9.431015e+02 8.537578e+02 4.972217e-02 4.233695e+01 8.862018e+02 8.860205e+02 1.022974e-04 4.209777e+01 3.804290e-01 1.132343e-02 8.310896e-04 -7.811306e-03
15.000 165.000 1.213521e+03 1.738003e+03 -1.776988e-01 5.346329e+01 1.165612e+03 1.811259e+03 -2.168877e-01 5.326198e+01 1.956706e-01 7.639399e-03 5.192903e-04 -6.983658e-03
15.000 195.000 1.047505e+03 1.562952e+03 -1.974551e-01 5.008672e+01 1.026969e+03 1.595336e+03 -2.167429e-01 4.999116e+01 -4.151768e-02 4.861724e-03 2.725592e-04 -3.113348e-03
15.000 225.000 6.073796e+02 1.041515e+03 -2.632887e-01 3.917386e+01 6.018187e+02 1.044702e+03 -2.689815e-01 3.908188e+01 -2.675813e-01 7.666293e-03 1.028784e-04 1.095781e-04
15.000 255.000 1.047976e+03 6.709486e+02 2.193391e-01 4.045031e+01 1.074424e+03 6.529521e+02 2.439953e-01 4.030557e+01 -4.219467e-01 1.134160e-02 -4.317833e-04 1.585367e-02
15.000 285.000 1.709921e+03 1.099959e+03 2.170777e-01 5.174427e+01 1.764037e+03 1.043370e+03 2.567019e-01 5.120947e+01 -4.632518e-01 1.278107e-02 -5.442874e-04 1.314792e-02
15.000 315.000 9.862209e+02 1.305365e+03 -1.392677e-01 4.740400e+01 1.032756e+03 1.234619e+03 -8.902938e-02 4.742788e+01 -3.804290e-01 1.132343e-02 -7.491959e-04 5.087363e-03
15.000 345.000 1.310536e+03 1.022948e+03 1.232438e-01 4.793789e+01 1.362472e+03 9.855013e+02 1.605517e-01 4.782730e+01 -1.956706e-01 7.639399e-03 -5.509442e-04 6.652658e-03
45.000 15.000 1.623979e+03 9.931908e+02 2.410192e-01 4.965015e+01 1.737075e+03 9.283581e+02 3.034093e-01 4.919412e+01 -6.640703e-02 1.011968e-02 -8.926362e-04 6.191848e-03
45.000 45.000 1.305552e+03 2.112223e+03 -2.360223e-01 5.681005e+01 1.387974e+03 2.013047e+03 -1.837896e-01 5.732486e+01 1.353534e-01 1.057660e-02 -6.471948e-04 -6.537148e-03
45.000 75.000 1.257548e+03 1.528850e+03 -9.736626e-02 5.253553e+01 1.298547e+03 1.499689e+03 -7.188172e-02 5.276152e+01 3.008460e-01 1.014656e-02 -3.422745e-04 -7.579865e-03
45.000 105.000 9.131455e+02 1.659947e+03 -2.902351e-01 4.854219e+01 8.970250e+02 1.655515e+03 -2.971512e-01 4.824059e+01 3.857271e-01 9.196975e-03 1.010596e-04 -1.392525e-02
