  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   2    0 -5.683e-02 -7.625e-02 3.8466e-03  3.731e-01  3.242e-01 3.8157e-03 -8.935e-03 -3.336e-02 3.8111e-03 -1.645e-04 -1.172e-02 3.7503e-03  1.883e-02 -2.159e-02 3.7527e-03 -9.4265e-03 1.5299e-03 2.5082e-01 2.8354e-02 3.8899e-01 4.8506e+00 2.9226e+00 7.6656e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 1.343942e+03 9.120514e+02 1.914416e-01 4.661879e+01 1.376533e+03 8.922095e+02 2.134767e-01 4.653333e+01 5.861993e-02 2.997522e-03 -3.345321e-04 2.849101e-03
15.000 45.000 1.460188e+03 1.690007e+03 -7.295406e-02 5.597703e+01 1.502751e+03 1.665681e+03 -5.142290e-02 5.621435e+01 2.573057e-01 4.744880e-03 -2.714076e-04 -5.899916e-03
15.000 75.000 1.525876e+03 1.896986e+03 -1.084210e-01 5.816035e+01 1.536994e+03 1.877167e+03 -9.963580e-02 5.814007e+01 3.870467e-01 7.038657e-03 -1.068277e-04 -8.518993e-03
15.000 105.000 1.307364e+03 1.729676e+03 -1.390537e-01 5.457395e+01 1.307003e+03 1.731873e+03 -1.398119e-01 5.458456e+01 4.130788e-01 7.939946e-03 9.821706e-06 -1.011714e-02
15.000 135.000 1.210825e+03 1.731660e+03 -1.770053e-01 5.338814e+01 1.198146e+03 1.747500e+03 -1.864967e-01 5.332160e+01 3.284268e-01 7.036619e-03 1.257888e-04 -9.467122e-03
15.000 165.000 1.551695e+03 1.867889e+03 -9.246587e-02 5.822668e+01 1.523632e+03 1.899102e+03 -1.096989e-01 5.815106e+01 1.557731e-01 4.741856e-03 2.094143e-04 -4.263319e-03
15.000 195.000 1.202752e+03 1.167977e+03 1.466864e-02 4.868490e+01 1.179331e+03 1.193141e+03 -5.820721e-03 4.870721e+01 -5.861991e-02 2.997522e-03 2.975223e-04 1.505365e-03
15.000 225.000 1.524111e+03 1.457801e+03 2.223736e-02 5.459338e+01 1.492428e+03 1.490538e+03 6.337603e-04 5.461652e+01 -2.573057e-01 4.744880e-03 2.797558e-04 5.120457e-03
15.000 255.000 1.671046e+03 1.327683e+03 1.145026e-01 5.440049e+01 1.648367e+03 1.351349e+03 9.901525e-02 5.450052e+01 -3.870467e-01 7.038657e-03 2.011220e-04 9.219572e-03
15.000 285.000 1.757485e+03 1.115791e+03 2.233319e-01 5.224907e+01 1.759737e+03 1.118339e+03 2.228564e-01 5.229853e+01 -4.130788e-01 7.939946e-03 6.432463e-06 1.218033e-02
15.000 315.000 1.368751e+03 1.035632e+03 1.385467e-01 4.856162e+01 1.387087e+03 1.024002e+03 1.505897e-01 4.854289e+01 -3.284268e-01 7.036619e-03 -1.753928e-04 9.616100e-03
15.000 345.000 1.604598e+03 1.554348e+03 1.590720e-02 5.619739e+01 1.639706e+03 1.518901e+03 3.824634e-02 5.616036e+01 -1.557731e-01 4.741856e-03 -2.811761e-04 3.054951e-03
45.000 15.000 1.338718e+03 1.948893e+03 -1.855983e-01 5.634149e+01 1.409965e+03 1.858393e+03 -1.372028e-01 5.662891e+01 -1.528646e-02 6.271885e-03 -6.058343e-04 -3.022850e-03
45.000 45.000 1.435563e+03 1.669433e+03 -7.532046e-02 5.556421e+01 1.526665e+03 1.595369e+03 -2.200640e-02 5.586163e+01 1.723449e-01 6.533723e-03 -6.766582e-04 -4.457283e-03
45.000 75.000 1.827921e+03 1.893933e+03 -1.773620e-02 6.099740e+01 1.909702e+03 1.832272e+03 2.069217e-02 6.115858e+01 3.137966e-01 6.274307e-03 -4.448893e-04 -5.435196e-03
45.000 105.000 1.089628e+03 2.859060e+03 -4.481065e-01 5.617645e+01 1.116296e+03 2.812218e+03 -4.316955e-01 5.653664e+01 3.711668e-01 5.717634e-03 -2.059087e-04 -1.458393e-02
45.000 135.000 1.629223e+03 1.701408e+03 -2.167298e-02 5.769807e+01 1.613940e+03 1.721459e+03 -3.223563e-02 5.772290e+01 3.290831e-01 5.416489e-03 1.294205e-04 -6.079165e-03
45.000 165.000 1.550916e+03 1.984549e+03 -1.226523e-01 5.901083e+01 1.491944e+03 2.047314e+03 -1.569172e-01 5.875467e+01 1.988219e-01 5.714977e-03 4.114763e-04 -5.447715e-03
45.000 195.000 2.295354e+03 1.734718e+03 1.391132e-01 6.286557e+01 2.186038e+03 1.828784e+03 8.898359e-02 6.311127e+01 1.528648e-02 6.271885e-03 5.627531e-04 1.969707e-03
45.000 225.000 2.017235e+03 2.391338e+03 -8.485804e-02 6.615759e+01 1.924634e+03 2.530978e+03 -1.360854e-01 6.612940e+01 -1.723449e-01 6.533723e-03 5.476459e-04 1.322401e-03
45.000 255.000 2.221935e+03 1.754631e+03 1.175144e-01 6.262309e+01 2.142051e+03 1.840786e+03 7.564098e-02 6.292892e+01 -3.137966e-01 6.274307e-03 4.716598e-04 6.887413e-03
45.000 285.000 1.715653e+03 1.058740e+03 2.367772e-01 5.117470e+01 1.692460e+03 1.088146e+03 2.173317e-01 5.147105e+01 -3.711668e-01 5.717634e-03 2.679115e-04 1.187978e-02
45.000 315.000 2.226508e+03 1.907351e+03 7.720558e-02 6.410318e+01 2.245585e+03 1.890796e+03 8.577285e-02 6.407768e+01 -3.290831e-01 5.416489e-03 -9.452232e-05 6.338043e-03
45.000 345.000 2.125680e+03 1.475080e+03 1.806839e-01 5.901870e+01 2.196664e+03 1.422896e+03 2.137741e-01 5.877200e+01 -1.988219e-01 5.714977e-03 -3.972845e-04 6.430264e-03
75.000 15.000 3.092061e+03 2.769474e+03 5.503448e-02 7.644463e+01 3.220690e+03 2.646182e+03 9.792415e-02 7.622738e+01 -2.144439e-02 6.077314e-03 -3.972902e-04 1.000448e-03
75.000 45.000 2.693841e+03 3.170314e+03 -8.125185e-02 7.632457e+01 2.859814e+03 3.021557e+03 -2.750092e-02 7.666109e+01 1.401982e-01 5.923889e-03 -4.968773e-04 -2.901426e-03
75.000 75.000 2.161647e+03 3.202517e+03 -1.940414e-01 7.184839e+01 2.291359e+03 3.065766e+03 -1.445566e-01 7.242361e+01 2.642749e-01 5.845739e-03 -4.850666e-04 -6.378935e-03
75.000 105.000 2.342189e+03 3.073494e+03 -1.350347e-01 7.291729e+01 2.430090e+03 2.990901e+03 -1.034517e-01 7.323233e+01 3.175393e-01 5.924031e-03 -3.056121e-04 -6.206676e-03
75.000 135.000 2.026861e+03 3.340917e+03 -2.448044e-01 7.103584e+01 2.035077e+03 3.327401e+03 -2.409937e-01 7.107064e+01 2.857193e-01 6.077452e-03 -3.792298e-05 -7.468393e-03
75.000 165.000 2.651736e+03 2.837103e+03 -3.377167e-02 7.404444e+01 2.581587e+03 2.899282e+03 -5.796428e-02 7.390842e+01 1.773410e-01 6.152660e-03 2.312460e-04 -2.851162e-03
75.000 195.000 2.414191e+03 2.760454e+03 -6.691540e-02 7.177377e+01 2.300911e+03 2.881324e+03 -1.120004e-01 7.153481e+01 2.144440e-02 6.077314e-03 4.449124e-04 -1.231088e-03
75.000 225.000 3.139381e+03 1.971150e+03 2.285930e-01 6.959513e+01 2.985473e+03 2.091674e+03 1.760435e-01 7.014128e+01 -1.401982e-01 5.923889e-03 5.318275e-04 5.299095e-03
75.000 255.000 2.914958e+03 2.542641e+03 6.821999e-02 7.370346e+01 2.801010e+03 2.690522e+03 2.011970e-02 7.408987e+01 -2.642749e-01 5.845739e-03 4.602634e-04 4.511252e-03
75.000 285.000 2.953912e+03 2.096319e+03 1.698126e-01 7.003286e+01 2.875318e+03 2.168638e+03 1.401042e-01 7.032032e+01 -3.175393e-01 5.924031e-03 2.993435e-04 6.958902e-03
75.000 315.000 3.246631e+03 2.624147e+03 1.060310e-01 7.618908e+01 3.222769e+03 2.644203e+03 9.861412e-02 7.622281e+01 -2.857193e-01 6.077452e-03 6.882051e-05 5.141817e-03
75.000 345.000 2.985773e+03 2.961245e+03 4.124404e-03 7.711625e+01 3.048308e+03 2.897352e+03 2.538935e-02 7.708325e+01 -1.773410e-01 6.152660e-03 -1.950277e-04 2.353141e-03
105.000 15.000 3.945916e+03 3.930497e+03 1.957573e-03 8.874899e+01 4.037348e+03 3.847992e+03 2.401369e-02 8.877382e+01 7.745664e-03 6.152660e-03 -1.757073e-04 -6.521867e-05
105.000 45.000 3.608747e+03 4.535239e+03 -1.137639e-01 8.965816e+01 3.723457e+03 4.418030e+03 -8.531284e-02 8.990123e+01 1.555004e-01 6.077452e-03 -2.240809e-04 -3.003232e-03
105.000 75.000 3.312648e+03 4.492977e+03 -1.512151e-01 8.733351e+01 3.425123e+03 4.379129e+03 -1.222419e-01 8.767915e+01 2.615889e-01 5.924031e-03 -2.341219e-04 -4.726754e-03
105.000 105.000 3.867633e+03 4.777434e+03 -1.052393e-01 9.246254e+01 3.980777e+03 4.678285e+03 -8.055239e-02 9.275169e+01 2.975849e-01 5.845739e-03 -1.884984e-04 -4.356621e-03
105.000 135.000 3.218199e+03 3.937835e+03 -1.005636e-01 8.416451e+01 3.233578e+03 3.916061e+03 -9.545696e-02 8.416942e+01 2.538432e-01 5.923889e-03 -4.290187e-05 -4.210882e-03
105.000 165.000 3.391934e+03 4.173735e+03 -1.033354e-01 8.651521e+01 3.355061e+03 4.215741e+03 -1.136842e-01 8.644626e+01 1.420845e-01 6.077314e-03 8.461603e-05 -2.836726e-03
105.000 195.000 3.362914e+03 4.391245e+03 -1.326166e-01 8.727992e+01 3.277540e+03 4.502221e+03 -1.574189e-01 8.710323e+01 -7.745648e-03 6.152660e-03 2.011410e-04 -1.430696e-03
105.000 225.000 4.203236e+03 3.947638e+03 3.135842e-02 9.023779e+01 4.078750e+03 4.080654e+03 -2.334082e-04 9.032942e+01 -1.555004e-01 6.077452e-03 2.474291e-04 2.070738e-03
105.000 255.000 4.238612e+03 2.817488e+03 2.014035e-01 8.227928e+01 4.133789e+03 2.901781e+03 1.751113e-01 8.258227e+01 -2.615889e-01 5.924031e-03 2.255396e-04 5.627084e-03
105.000 285.000 4.536438e+03 3.742563e+03 9.589018e-02 9.056973e+01 4.460114e+03 3.849084e+03 7.353657e-02 9.090801e+01 -2.975849e-01 5.845739e-03 1.741962e-04 4.344443e-03
