  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   5    0 -5.819e-02 -7.234e-02 2.5882e-03  4.153e-01  3.664e-01 2.5371e-03 -1.040e-02 -1.836e-02 2.5513e-03 -1.160e-03 -7.662e-03 2.5142e-03  2.984e-02  2.276e-02 2.5095e-03 1.0540e-03 2.0110e-03 5.8615e-01 6.6044e-02 5.1560e-01 6.3483e+00 2.5956e+00 6.6897e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 7.890824e+02 8.980585e+02 -6.459219e-02 4.098905e+01 7.995759e+02 8.880322e+02 -5.241518e-02 4.102404e+01 9.762838e-02 2.005472e-03 -2.099773e-04 -3.957657e-03
15.000 45.000 8.205074e+02 1.134873e+03 -1.607697e-01 4.364448e+01 8.278362e+02 1.126215e+03 -1.526976e-01 4.368626e+01 3.197166e-01 3.170545e-03 -1.307178e-04 -1.100910e-02
15.000 75.000 8.110659e+02 1.301118e+03 -2.320122e-01 4.470443e+01 8.148872e+02 1.297914e+03 -2.286190e-01 4.474787e+01 4.561370e-01 4.707678e-03 -5.364504e-05 -1.539331e-02
15.000 105.000 1.049573e+03 8.349755e+02 1.138722e-01 4.312902e+01 1.046902e+03 8.370688e+02 1.113779e-01 4.313467e+01 4.703358e-01 5.314289e-03 4.089042e-05 -8.265055e-03
15.000 135.000 7.037372e+02 1.049085e+03 -1.970237e-01 4.104607e+01 6.975948e+02 1.056860e+03 -2.047732e-01 4.099862e+01 3.585086e-01 4.712879e-03 1.335792e-04 -1.353436e-02
15.000 165.000 8.254523e+02 9.344440e+02 -6.193074e-02 4.187059e+01 8.159308e+02 9.429802e+02 -7.223183e-02 4.182982e+01 1.506193e-01 3.178262e-03 1.740486e-04 -5.076356e-03
15.000 195.000 1.071781e+03 9.471353e+02 6.173902e-02 4.484664e+01 1.060004e+03 9.571188e+02 5.100606e-02 4.485393e+01 -9.762835e-02 2.005472e-03 1.692152e-04 3.553608e-03
15.000 225.000 1.089931e+03 9.897358e+02 4.817857e-02 4.555041e+01 1.083672e+03 9.985813e+02 4.086494e-02 4.559360e+01 -3.197166e-01 3.170545e-03 1.134801e-04 8.076659e-03
15.000 255.000 1.124365e+03 6.559550e+02 2.631045e-01 4.070724e+01 1.121013e+03 6.589143e+02 2.596166e-01 4.074259e+01 -4.561370e-01 4.707677e-03 6.056025e-05 1.766864e-02
15.000 285.000 1.598855e+03 9.002609e+02 2.795365e-01 4.799826e+01 1.602306e+03 8.954292e+02 2.830072e-01 4.793417e+01 -4.703359e-01 5.314289e-03 -5.116502e-05 1.562291e-02
15.000 315.000 7.429995e+02 7.085702e+02 2.371869e-02 3.808875e+01 7.476030e+02 7.029028e+02 3.081703e-02 3.806742e+01 -3.585086e-01 4.712879e-03 -1.318157e-04 1.003518e-02
15.000 345.000 1.098751e+03 1.035683e+03 2.954805e-02 4.617976e+01 1.110875e+03 1.024832e+03 4.028760e-02 4.617619e+01 -1.506193e-01 3.178263e-03 -1.644509e-04 3.901436e-03
45.000 15.000 9.661814e+02 1.104913e+03 -6.698464e-02 4.540706e+01 9.914692e+02 1.078944e+03 -4.224992e-02 4.546116e+01 5.400215e-02 4.200367e-03 -3.849550e-04 -2.664493e-03
45.000 45.000 1.065573e+03 1.758622e+03 -2.453973e-01 5.151817e+01 1.100824e+03 1.715210e+03 -2.181742e-01 5.178794e+01 2.611994e-01 4.369416e-03 -3.726698e-04 -9.833359e-03
45.000 75.000 1.089311e+03 1.847461e+03 -2.581577e-01 5.235503e+01 1.122377e+03 1.808751e+03 -2.341674e-01 5.263460e+01 3.984086e-01 4.192911e-03 -3.231498e-04 -1.254065e-02
45.000 105.000 1.489486e+03 1.966346e+03 -1.379870e-01 5.822398e+01 1.512561e+03 1.947672e+03 -1.257461e-01 5.835682e+01 4.288644e-01 3.823676e-03 -1.484907e-04 -9.735703e-03
45.000 135.000 1.319168e+03 1.258131e+03 2.368262e-02 5.075287e+01 1.318233e+03 1.257994e+03 2.338243e-02 5.074267e+01 3.444064e-01 3.629295e-03 4.182724e-06 -6.319323e-03
45.000 165.000 1.460249e+03 1.588553e+03 -4.208320e-02 5.516704e+01 1.436745e+03 1.609432e+03 -5.668997e-02 5.510342e+01 1.676650e-01 3.831850e-03 1.873312e-04 -3.802056e-03
45.000 195.000 1.373822e+03 1.341125e+03 1.204321e-02 5.210138e+01 1.342047e+03 1.376068e+03 -1.251658e-02 5.213146e+01 -5.400213e-02 4.200367e-03 3.332230e-04 1.267631e-03
45.000 225.000 1.423104e+03 1.251641e+03 6.410455e-02 5.161157e+01 1.388469e+03 1.291375e+03 3.623137e-02 5.173322e+01 -2.611994e-01 4.369416e-03 3.814282e-04 6.302928e-03
45.000 255.000 1.932306e+03 1.196557e+03 2.351489e-01 5.436775e+01 1.894799e+03 1.232614e+03 2.117356e-01 5.465533e+01 -3.984085e-01 4.192911e-03 3.037089e-04 1.165318e-02
45.000 285.000 1.503756e+03 9.689877e+02 2.162653e-01 4.854989e+01 1.486159e+03 9.863212e+02 2.021605e-01 4.869736e+01 -4.288644e-01 3.823676e-03 2.051182e-04 1.328797e-02
45.000 315.000 1.374470e+03 1.150118e+03 8.886680e-02 5.004648e+01 1.375966e+03 1.149329e+03 8.974680e-02 5.004953e+01 -3.444064e-01 3.629295e-03 -1.243309e-05 8.657417e-03
45.000 345.000 1.809321e+03 1.220621e+03 1.942941e-01 5.399594e+01 1.832563e+03 1.202040e+03 2.077779e-01 5.388501e+01 -1.676650e-01 3.831850e-03 -1.767594e-04 6.703451e-03
