  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   6    0 -5.992e-02 -6.803e-02 2.4859e-03  4.165e-01  3.653e-01 2.4319e-03 -1.117e-02 -1.353e-02 2.4463e-03 -2.008e-03 -3.661e-03 2.4200e-03  3.474e-02  2.623e-02 2.4141e-03 -1.5380e-02 2.9206e-03 8.1054e-01 9.3214e-02 5.6229e-01 6.8920e+00 2.4611e+00 6.0491e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 4.080529e+02 7.167426e+02 -2.744407e-01 3.225025e+01 4.114594e+02 7.115830e+02 -2.672416e-01 3.229299e+01 1.023293e-01 1.928243e-03 -1.577410e-04 -1.168270e-02
15.000 45.000 4.718258e+02 7.519406e+02 -2.288956e-01 3.405362e+01 4.782395e+02 7.446396e+02 -2.178467e-01 3.412982e+01 3.185388e-01 3.045288e-03 -2.291700e-04 -1.607566e-02
15.000 75.000 6.357079e+02 5.560658e+02 6.682649e-02 3.444491e+01 6.450567e+02 5.519956e+02 7.774188e-02 3.449373e+01 4.493961e-01 4.520720e-03 -2.239194e-04 -1.110671e-02
15.000 105.000 4.745452e+02 1.019879e+03 -3.649125e-01 3.599202e+01 4.778409e+02 1.013345e+03 -3.591128e-01 3.603997e+01 4.598380e-01 5.103369e-03 -1.138647e-04 -2.291482e-02
15.000 135.000 5.348020e+02 6.056712e+02 -6.214020e-02 3.370563e+01 5.373831e+02 6.056243e+02 -5.970323e-02 3.374808e+01 3.470668e-01 4.526447e-03 -5.109271e-05 -1.214061e-02
15.000 165.000 4.163129e+02 4.021380e+02 1.731920e-02 2.860429e+01 4.142118e+02 4.039708e+02 1.251673e-02 2.860165e+01 1.412993e-01 3.053783e-03 1.187240e-04 -4.334318e-03
15.000 195.000 6.556392e+02 5.319091e+02 1.041896e-01 3.427327e+01 6.489681e+02 5.362440e+02 9.510879e-02 3.427085e+01 -1.023292e-01 1.928243e-03 1.873565e-04 6.025653e-03
15.000 225.000 7.113599e+02 5.496403e+02 1.282471e-01 3.521733e+01 7.043288e+02 5.569007e+02 1.168923e-01 3.527033e+01 -3.185388e-01 3.045288e-03 2.278144e-04 1.268654e-02
15.000 255.000 7.244175e+02 5.619437e+02 1.263049e-01 3.557864e+01 7.173890e+02 5.712889e+02 1.133721e-01 3.566671e+01 -4.493961e-01 4.520720e-03 2.567155e-04 1.618108e-02
15.000 285.000 5.313689e+02 4.972433e+02 3.317631e-02 3.205433e+01 5.281529e+02 5.018322e+02 2.555447e-02 3.208290e+01 -4.598381e-01 5.103369e-03 1.680600e-04 1.538059e-02
