  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   7    0 -6.504e-02 -7.054e-02 2.4723e-03  4.048e-01  3.676e-01 2.4179e-03 -1.323e-02 -1.570e-02 2.4330e-03 -2.675e-03 -5.137e-03 2.4087e-03  4.111e-02  2.782e-02 2.4022e-03 7.6896e-03 8.4539e-03 1.0738e+00 1.3565e-01 5.8331e-01 7.0106e+00 2.2881e+00 5.1791e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 4.151882e+01 3.810641e+01 4.285587e-02 8.915099e+00 4.192529e+01 3.782646e+01 5.139495e-02 8.918581e+00 1.024199e-01 1.918660e-03 -6.771505e-04 -6.681255e-03
15.000 45.000 1.602769e+02 2.726251e+02 -2.595233e-01 2.009341e+01 1.635275e+02 2.695659e+02 -2.448396e-01 2.017749e+01 3.233587e-01 3.029132e-03 -5.156548e-04 -2.900862e-02
15.000 75.000 6.945839e+01 3.917146e+01 2.788085e-01 1.000928e+01 7.040128e+01 3.880539e+01 2.893220e-01 1.000326e+01 4.576538e-01 4.496619e-03 -7.429473e-04 -1.786795e-02
15.000 105.000 3.052275e+01 4.635472e+01 -2.059378e-01 8.580039e+00 3.106989e+01 4.608787e+01 -1.946400e-01 8.615954e+00 4.693210e-01 5.076332e-03 -9.291368e-04 -7.870112e-02
15.000 135.000 3.422344e+01 5.414027e+01 -2.253960e-01 9.158304e+00 3.431752e+01 5.393952e+01 -2.223279e-01 9.159395e+00 3.552339e-01 4.502750e-03 -2.368777e-04 -6.339928e-02
15.000 165.000 0.000000e+00 2.210157e+01 -1.000000e+00 2.000000e+00 0.000000e+00 2.210266e+01 -1.000000e+00 2.000000e+00 1.459623e-01 3.038225e-03 0.000000e+00 -5.729805e-01
15.000 195.000 4.834640e+01 4.143694e+02 -7.910320e-01 1.315978e+01 4.801272e+01 4.196432e+02 -7.946665e-01 1.312759e+01 -1.024199e-01 1.918660e-03 1.955297e-04 -5.232700e-02
15.000 225.000 5.398905e+01 1.325830e+02 -4.212525e-01 1.238806e+01 5.344147e+01 1.347844e+02 -4.321558e-01 1.237227e+01 -3.233587e-01 3.029132e-03 6.227528e-04 -7.902267e-03
15.000 255.000 7.764947e+01 2.565307e+01 5.033410e-01 8.782404e+00 7.704651e+01 2.620194e+01 4.924488e-01 8.843648e+00 -4.576538e-01 4.496619e-03 8.739230e-04 1.094227e-01
15.000 285.000 2.157390e+02 2.306450e+01 8.068329e-01 9.129479e+00 2.152256e+02 2.320012e+01 8.053891e-01 9.152623e+00 -4.693210e-01 5.076332e-03 1.116854e-04 1.397838e-01
15.000 315.000 3.820307e+01 8.107212e+00 6.498742e-01 5.172211e+00 3.809984e+01 8.086252e+00 6.498404e-01 5.165467e+00 -3.552340e-01 4.502750e-03 4.629439e-06 1.943285e-01
15.000 345.000 2.079906e+02 6.930766e+01 5.001219e-01 1.442012e+01 2.087300e+02 6.895783e+01 5.033427e-01 1.439911e+01 -1.459623e-01 3.038225e-03 -1.580531e-04 4.480435e-02
45.000 15.000 7.263692e+01 4.402844e+01 2.452183e-01 1.047139e+01 7.409058e+01 4.329725e+01 2.623213e-01 1.045515e+01 6.435090e-02 4.015215e-03 -1.155823e-03 1.727252e-02
45.000 45.000 5.860947e+01 8.702719e+01 -1.951275e-01 1.183603e+01 6.042485e+01 8.507618e+01 -1.694237e-01 1.188800e+01 2.715139e-01 4.177950e-03 -1.532226e-03 -3.942550e-02
45.000 75.000 7.045771e+01 3.413719e+01 3.472494e-01 9.590758e+00 7.280930e+01 3.333599e+01 3.718800e-01 9.563783e+00 4.059249e-01 4.007308e-03 -1.818519e-03 -6.117923e-03
45.000 105.000 1.788336e+01 1.019883e+02 -7.016249e-01 7.801381e+00 1.831934e+01 1.003578e+02 -6.912742e-01 7.871853e+00 4.315687e-01 3.650815e-03 -9.339475e-04 -1.452555e-01
45.000 135.000 7.192805e+01 7.527980e+01 -2.276880e-02 1.212978e+01 7.248148e+01 7.479054e+01 -1.567887e-02 1.213408e+01 3.415740e-01 3.463399e-03 -4.132354e-04 -3.003705e-02
45.000 165.000 4.460972e+01 7.974938e+01 -2.825661e-01 1.069719e+01 4.428451e+01 8.009227e+01 -2.878974e-01 1.068025e+01 1.600549e-01 3.659492e-03 3.526935e-04 -4.137732e-02
45.000 195.000 1.131234e+02 7.922190e+01 1.762535e-01 1.365174e+01 1.112343e+02 8.088310e+01 1.579828e-01 1.368658e+01 -6.435088e-02 4.015215e-03 9.451440e-04 1.762444e-02
45.000 225.000 1.799776e+02 1.178402e+02 2.086425e-01 1.687760e+01 1.762076e+02 1.217388e+02 1.828141e-01 1.697023e+01 -2.715139e-01 4.177950e-03 1.079144e-03 2.844933e-02
45.000 255.000 7.314658e+01 3.432961e+01 3.611681e-01 9.667303e+00 7.155377e+01 3.540869e+01 3.379231e-01 9.733869e+00 -4.059249e-01 4.007308e-03 1.694394e-03 7.934922e-02
45.000 285.000 1.000325e+02 9.094278e+01 4.759624e-02 1.380372e+01 9.830887e+01 9.331826e+01 2.604333e-02 1.383825e+01 -4.315687e-01 3.650815e-03 1.102685e-03 3.471274e-02
45.000 315.000 1.137913e+02 5.426819e+01 3.541786e-01 1.212343e+01 1.130422e+02 5.465882e+01 3.481397e-01 1.213983e+01 -3.415741e-01 3.463399e-03 3.519852e-04 5.738907e-02
45.000 345.000 6.997865e+01 4.376702e+01 2.304407e-01 1.037812e+01 7.039940e+01 4.330894e+01 2.382451e-01 1.035636e+01 -1.600549e-01 3.659492e-03 -5.323095e-04 3.762680e-02
75.000 15.000 1.815035e+02 1.935044e+02 -3.200178e-02 1.935520e+01 1.843036e+02 1.905763e+02 -1.673256e-02 1.935911e+01 5.333937e-02 3.893147e-03 -5.577767e-04 -4.409210e-03
75.000 45.000 1.136309e+02 1.756868e+02 -2.144903e-01 1.661347e+01 1.166212e+02 1.725231e+02 -1.933355e-01 1.668342e+01 2.335902e-01 3.781808e-03 -8.985026e-04 -2.697092e-02
75.000 75.000 1.465753e+02 1.471125e+02 -1.829463e-03 1.713729e+01 1.513008e+02 1.446155e+02 2.259218e-02 1.719783e+01 3.512508e-01 3.724336e-03 -1.005890e-03 -2.060303e-02
75.000 105.000 1.467997e+02 1.845219e+02 -1.138539e-01 1.808388e+01 1.502600e+02 1.812571e+02 -9.350084e-02 1.812785e+01 3.747940e-01 3.780715e-03 -7.948665e-04 -2.702118e-02
75.000 135.000 9.485131e+01 2.087619e+02 -3.751834e-01 1.615165e+01 9.589509e+01 2.070132e+02 -3.668375e-01 1.619092e+01 2.979114e-01 3.892085e-03 -3.649329e-04 -4.167343e-02
75.000 165.000 1.551487e+02 1.817498e+02 -7.895897e-02 1.829749e+01 1.546963e+02 1.821042e+02 -8.137709e-02 1.829126e+01 1.412038e-01 3.947116e-03 9.346400e-05 -1.203240e-02
75.000 195.000 1.351013e+02 1.267480e+02 3.190114e-02 1.617352e+01 1.333077e+02 1.287370e+02 1.744241e-02 1.618533e+01 -5.333935e-02 3.893147e-03 6.319052e-04 5.270373e-03
75.000 225.000 2.226873e+02 1.073337e+02 3.495340e-01 1.702060e+01 2.183417e+02 1.101589e+02 3.293230e-01 1.711355e+01 -2.335902e-01 3.781808e-03 8.373628e-04 3.425990e-02
75.000 255.000 1.868465e+02 1.630392e+02 6.804294e-02 1.866188e+01 1.830603e+02 1.670246e+02 4.580530e-02 1.869092e+01 -3.512508e-01 3.724336e-03 8.419387e-04 2.246793e-02
75.000 285.000 1.685396e+02 1.070255e+02 2.232290e-01 1.618126e+01 1.661828e+02 1.098018e+02 2.042907e-01 1.626242e+01 -3.747940e-01 3.780715e-03 8.255172e-04 3.695774e-02
75.000 315.000 1.492101e+02 1.708628e+02 -6.764925e-02 1.784960e+01 1.481792e+02 1.734831e+02 -7.866579e-02 1.787937e+01 -2.979114e-01 3.892085e-03 4.360532e-04 1.290014e-02
75.000 345.000 1.771777e+02 1.541635e+02 6.945781e-02 1.815882e+01 1.775126e+02 1.538540e+02 7.139689e-02 1.815702e+01 -1.412038e-01 3.947116e-03 -7.551193e-05 1.160106e-02
