  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -3.963e-02 -3.902e-02 6.0029e-03  3.451e-01  3.817e-01 5.9467e-03 -4.725e-03  1.025e-03 5.9502e-03  4.569e-04  3.684e-02 5.9707e-03  1.145e-02  1.453e-02 5.9091e-03 -3.6576e-02 1.9458e-03 1.6251e-01 1.4558e-02 3.3688e-01 4.3780e+00 3.1016e+00 7.9242e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 1.751103e+03 1.577235e+03 5.223868e-02 5.761298e+01 1.729530e+03 1.596928e+03 3.986260e-02 5.762961e+01 1.247415e-01 4.730988e-03 1.518745e-04 -1.258446e-03
15.000 45.000 6.011780e+02 1.359060e+03 -3.866276e-01 4.083161e+01 5.895999e+02 1.374154e+03 -3.995174e-01 4.062402e+01 3.017307e-01 7.433041e-03 2.237896e-04 -1.685847e-02
15.000 75.000 1.276858e+03 2.478038e+03 -3.198969e-01 5.805723e+01 1.251730e+03 2.511829e+03 -3.348158e-01 5.780707e+01 3.978714e-01 1.102509e-02 1.820966e-04 -1.236312e-02
15.000 105.000 1.005799e+03 1.010862e+03 -2.510380e-03 4.490710e+01 9.927779e+02 1.020639e+03 -1.383786e-02 4.486682e+01 3.874028e-01 1.244939e-02 1.784424e-04 -8.682661e-03
15.000 135.000 1.342684e+03 1.198421e+03 5.677164e-02 5.032808e+01 1.335955e+03 1.202118e+03 5.273161e-02 5.030920e+01 2.731299e-01 1.105077e-02 5.677290e-05 -4.298957e-03
15.000 165.000 1.059501e+03 1.107150e+03 -2.199192e-02 4.653605e+01 1.066805e+03 1.099246e+03 -1.497675e-02 4.653564e+01 8.567209e-02 7.471076e-03 -1.065947e-04 -2.313561e-03
15.000 195.000 1.173597e+03 9.491709e+02 1.057233e-01 4.581529e+01 1.184695e+03 9.384432e+02 1.159846e-01 4.576654e+01 -1.247415e-01 4.730988e-03 -1.584559e-04 5.030304e-03
15.000 225.000 1.412306e+03 8.028594e+02 2.751246e-01 4.524922e+01 1.431315e+03 7.915686e+02 2.878002e-01 4.515268e+01 -3.017307e-01 7.433040e-03 -1.982919e-04 1.274840e-02
15.000 255.000 2.002303e+03 5.717534e+02 5.557569e-01 4.217841e+01 2.027176e+03 5.571781e+02 5.688067e-01 4.181159e+01 -3.978714e-01 1.102509e-02 -2.197295e-04 2.260939e-02
15.000 285.000 1.085645e+03 9.823886e+02 4.992995e-02 4.541892e+01 1.094607e+03 9.734813e+02 5.856912e-02 4.539818e+01 -3.874028e-01 1.244939e-02 -1.345302e-04 9.628867e-03
15.000 315.000 2.038596e+03 1.069210e+03 3.119196e-01 5.296637e+01 2.038424e+03 1.067359e+03 3.126637e-01 5.293549e+01 -2.731299e-01 1.105077e-02 -9.935992e-06 1.104568e-02
15.000 345.000 1.964108e+03 1.716063e+03 6.740017e-02 6.052646e+01 1.957754e+03 1.723562e+03 6.361634e-02 6.055095e+01 -8.567211e-02 7.471077e-03 4.419615e-05 2.529014e-03
45.000 15.000 8.943843e+02 1.342509e+03 -2.003335e-01 4.633701e+01 8.785270e+02 1.366326e+03 -2.172966e-01 4.624777e+01 1.247590e-01 9.865892e-03 2.591081e-04 -7.015827e-03
45.000 45.000 9.854985e+02 1.365731e+03 -1.617164e-01 4.785122e+01 9.556909e+02 1.399845e+03 -1.885577e-01 4.766327e+01 3.219974e-01 1.029324e-02 3.974176e-04 -1.010870e-02
45.000 75.000 1.433562e+03 1.592877e+03 -5.264115e-02 5.493680e+01 1.381453e+03 1.640463e+03 -8.571058e-02 5.476967e+01 4.329569e-01 9.864065e-03 4.262937e-04 -8.839212e-03
45.000 105.000 1.322358e+03 1.406447e+03 -3.081558e-02 5.221316e+01 1.278160e+03 1.433449e+03 -5.726833e-02 5.198765e+01 4.279059e-01 8.946162e-03 3.590160e-04 -8.785553e-03
45.000 135.000 1.176733e+03 1.519105e+03 -1.270001e-01 5.150103e+01 1.151096e+03 1.536605e+03 -1.434346e-01 5.130697e+01 3.081979e-01 8.450969e-03 2.260698e-04 -8.450278e-03
45.000 165.000 1.597515e+03 1.920298e+03 -9.175677e-02 5.906095e+01 1.606599e+03 1.916597e+03 -8.798771e-02 5.912631e+01 1.059085e-01 8.948177e-03 -4.510016e-05 -3.346801e-03
45.000 195.000 8.347252e+02 1.326023e+03 -2.273740e-01 4.526632e+01 8.451669e+02 1.304544e+03 -2.136926e-01 4.529399e+01 -1.247590e-01 9.865892e-03 -2.136516e-04 -2.266916e-03
45.000 225.000 1.131142e+03 1.109455e+03 9.679302e-03 4.733272e+01 1.160302e+03 1.073298e+03 3.895244e-02 4.722510e+01 -3.219974e-01 1.029324e-02 -4.378108e-04 7.007345e-03
45.000 255.000 1.728718e+03 1.029590e+03 2.534626e-01 5.080458e+01 1.777793e+03 9.873634e+02 2.858535e-01 5.039057e+01 -4.329569e-01 9.864065e-03 -4.526620e-04 1.351098e-02
