  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   2    0 -5.737e-02 -2.145e-02 3.8514e-03  3.725e-01  3.399e-01 3.8031e-03 -9.067e-03  6.781e-04 3.8273e-03 -1.768e-04  5.885e-03 3.7384e-03  1.896e-02  7.690e-03 3.7134e-03 4.8891e-03 1.5330e-03 2.5045e-01 2.8691e-02 3.8866e-01 4.8439e+00 2.9248e+00 7.6661e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 1.907455e+03 1.813722e+03 2.518897e-02 6.098210e+01 1.916828e+03 1.804285e+03 3.024447e-02 6.097302e+01 9.493560e-02 2.981839e-03 -5.862448e-05 -1.143723e-03
15.000 45.000 1.017157e+03 1.471397e+03 -1.825319e-01 4.904733e+01 1.041003e+03 1.443636e+03 -1.620486e-01 4.918732e+01 2.575548e-01 4.718406e-03 -2.948833e-04 -8.972694e-03
15.000 75.000 1.018623e+03 1.672287e+03 -2.429155e-01 5.032023e+01 1.055578e+03 1.635511e+03 -2.155012e-01 5.065681e+01 3.511624e-01 7.016197e-03 -3.839438e-04 -1.180595e-02
15.000 105.000 1.310044e+03 1.866194e+03 -1.750970e-01 5.548746e+01 1.353932e+03 1.818940e+03 -1.465577e-01 5.572003e+01 3.506764e-01 7.925824e-03 -3.629306e-04 -9.475536e-03
15.000 135.000 1.292356e+03 1.059838e+03 9.885161e-02 4.826189e+01 1.324076e+03 1.041033e+03 1.196742e-01 4.828288e+01 2.562269e-01 7.031835e-03 -3.050148e-04 -3.260860e-03
15.000 165.000 1.472645e+03 1.279772e+03 7.007394e-02 5.233452e+01 1.487987e+03 1.267600e+03 7.997814e-02 5.232553e+01 9.312156e-02 4.741628e-03 -1.338299e-04 -4.403904e-04
15.000 195.000 8.468521e+02 1.648685e+03 -3.213067e-01 4.730648e+01 8.403135e+02 1.656396e+03 -3.268633e-01 4.722248e+01 -9.493558e-02 2.981839e-03 8.313023e-05 -4.785204e-03
15.000 225.000 1.512767e+03 1.096926e+03 1.593448e-01 5.043244e+01 1.486643e+03 1.125899e+03 1.380815e-01 5.062341e+01 -2.575548e-01 4.718406e-03 2.975662e-04 8.266497e-03
15.000 255.000 1.769193e+03 1.428143e+03 1.066669e-01 5.622239e+01 1.730207e+03 1.481946e+03 7.728795e-02 5.650634e+01 -3.511624e-01 7.016196e-03 3.685664e-04 8.143186e-03
15.000 285.000 1.462300e+03 1.006351e+03 1.846958e-01 4.883072e+01 1.425649e+03 1.045015e+03 1.540613e-01 4.911236e+01 -3.506764e-01 7.925824e-03 4.423345e-04 1.096384e-02
15.000 315.000 1.574629e+03 1.522633e+03 1.678786e-02 5.564520e+01 1.542318e+03 1.558545e+03 -5.232907e-03 5.568463e+01 -2.562269e-01 7.031835e-03 2.797280e-04 4.906348e-03
15.000 345.000 7.781121e+02 1.406301e+03 -2.875778e-01 4.476337e+01 7.707473e+02 1.418656e+03 -2.959294e-01 4.469528e+01 -9.312158e-02 4.741628e-03 1.320269e-04 -4.344091e-03
45.000 15.000 1.278697e+03 1.873558e+03 -1.887097e-01 5.513619e+01 1.279476e+03 1.875431e+03 -1.888978e-01 5.515735e+01 8.965888e-02 6.258427e-03 2.411490e-06 -5.048746e-03
45.000 45.000 1.811170e+03 2.232400e+03 -1.041729e-01 6.324310e+01 1.845247e+03 2.200096e+03 -8.771784e-02 6.335784e+01 2.544001e-01 6.505449e-03 -1.838130e-04 -5.669756e-03
45.000 75.000 1.515065e+03 1.898071e+03 -1.122152e-01 5.805305e+01 1.565281e+03 1.858900e+03 -8.574861e-02 5.830097e+01 3.509750e-01 6.245638e-03 -3.216846e-04 -7.978739e-03
45.000 105.000 1.282757e+03 2.768847e+03 -3.667906e-01 5.921588e+01 1.320668e+03 2.712040e+03 -3.450218e-01 5.960414e+01 3.535064e-01 5.704572e-03 -2.590936e-04 -1.216392e-02
45.000 135.000 1.812570e+03 2.084231e+03 -6.971373e-02 6.227249e+01 1.853863e+03 2.047326e+03 -4.959070e-02 6.238265e+01 2.613161e-01 5.421179e-03 -2.282959e-04 -5.315828e-03
45.000 165.000 1.342745e+03 1.314330e+03 1.069413e-02 5.154387e+01 1.359108e+03 1.300628e+03 2.198702e-02 5.156017e+01 9.910636e-02 5.718572e-03 -1.548975e-04 -1.715281e-03
45.000 195.000 1.436923e+03 1.796808e+03 -1.112912e-01 5.651265e+01 1.434373e+03 1.795303e+03 -1.117544e-01 5.647425e+01 -8.965886e-02 6.258427e-03 5.798553e-06 -3.827871e-04
45.000 225.000 2.092520e+03 1.349810e+03 2.157578e-01 5.728948e+01 2.063929e+03 1.373334e+03 2.009143e-01 5.743268e+01 -2.544001e-01 6.505449e-03 1.829805e-04 8.206705e-03
45.000 255.000 2.055115e+03 1.708085e+03 9.221672e-02 6.108353e+01 2.026817e+03 1.752481e+03 7.258907e-02 6.131382e+01 -3.509750e-01 6.245638e-03 2.267831e-04 7.255503e-03
45.000 285.000 1.980213e+03 1.632826e+03 9.614816e-02 5.983009e+01 1.936539e+03 1.682956e+03 7.006056e-02 6.001440e+01 -3.535064e-01 5.704572e-03 3.078439e-04 7.515527e-03
45.000 315.000 1.829567e+03 1.577572e+03 7.396073e-02 5.821084e+01 1.789420e+03 1.618363e+03 5.019590e-02 5.830263e+01 -2.613161e-01 5.421179e-03 2.884520e-04 5.759698e-03
45.000 345.000 1.400479e+03 1.256358e+03 5.424546e-02 5.146862e+01 1.382679e+03 1.273246e+03 4.120334e-02 5.149190e+01 -9.910638e-02 5.718571e-03 1.791400e-04 2.979521e-03
75.000 15.000 2.820369e+03 2.795967e+03 4.344830e-03 7.494151e+01 2.809131e+03 2.785072e+03 4.300788e-03 7.479371e+01 7.462334e-02 6.058151e-03 4.159673e-07 -9.377781e-04
75.000 45.000 2.622003e+03 2.859035e+03 -4.324576e-02 7.396477e+01 2.644140e+03 2.832516e+03 -3.439618e-02 7.396065e+01 2.369353e-01 5.911776e-03 -8.460476e-05 -3.788034e-03
75.000 75.000 2.438854e+03 2.403668e+03 7.266075e-03 6.958639e+01 2.484425e+03 2.373058e+03 2.292694e-02 6.967732e+01 3.357607e-01 5.839770e-03 -1.590350e-04 -4.720673e-03
75.000 105.000 2.344572e+03 2.654728e+03 -6.203986e-02 7.056953e+01 2.398366e+03 2.608814e+03 -4.202922e-02 7.069891e+01 3.446192e-01 5.916828e-03 -2.003229e-04 -5.762531e-03
75.000 135.000 1.965442e+03 2.063657e+03 -2.437625e-02 6.345632e+01 2.003631e+03 2.030789e+03 -6.731402e-03 6.351565e+01 2.611374e-01 6.063082e-03 -1.965282e-04 -4.499372e-03
75.000 165.000 2.284887e+03 3.023320e+03 -1.391116e-01 7.214903e+01 2.309022e+03 2.998582e+03 -1.299193e-01 7.223584e+01 1.076839e-01 6.132465e-03 -9.003589e-05 -3.420635e-03
75.000 195.000 3.076011e+03 2.392817e+03 1.249250e-01 7.337220e+01 3.083132e+03 2.398706e+03 1.248534e-01 7.346009e+01 -7.462332e-02 6.058151e-03 6.901225e-07 2.719673e-03
75.000 225.000 2.955666e+03 2.706812e+03 4.394786e-02 7.517674e+01 2.930243e+03 2.730826e+03 3.522608e-02 7.519338e+01 -2.369353e-01 5.911776e-03 8.202733e-05 3.736304e-03
75.000 255.000 2.522327e+03 2.095472e+03 9.243706e-02 6.766345e+01 2.486658e+03 2.141449e+03 7.458965e-02 6.784068e+01 -3.357607e-01 5.839770e-03 1.862676e-04 6.328347e-03
75.000 285.000 3.326033e+03 2.419757e+03 1.577287e-01 7.485215e+01 3.280132e+03 2.470329e+03 1.408239e-01 7.507611e+01 -3.446192e-01 5.916828e-03 1.594567e-04 6.711203e-03
75.000 315.000 2.705468e+03 2.661294e+03 8.231037e-03 7.325570e+01 2.662492e+03 2.714965e+03 -9.757951e-03 7.332766e+01 -2.611374e-01 6.063082e-03 1.735549e-04 3.677098e-03
75.000 345.000 2.940729e+03 3.272111e+03 -5.333828e-02 7.870937e+01 2.912638e+03 3.303052e+03 -6.281105e-02 7.868397e+01 -1.076839e-01 6.132465e-03 8.511493e-05 6.904600e-04
105.000 15.000 3.455700e+03 4.081247e+03 -8.299732e-02 8.651606e+01 3.440713e+03 4.093633e+03 -8.665910e-02 8.647407e+01 6.791026e-02 6.132466e-03 2.993547e-05 -1.744273e-03
105.000 45.000 3.445521e+03 4.609309e+03 -1.444833e-01 8.880699e+01 3.437035e+03 4.601859e+03 -1.448986e-01 8.871365e+01 2.199049e-01 6.063082e-03 3.308141e-06 -4.103147e-03
105.000 75.000 4.145467e+03 3.910149e+03 2.921165e-02 8.971478e+01 4.187979e+03 3.877774e+03 3.845948e-02 8.974309e+01 3.129761e-01 5.916828e-03 -7.287736e-05 -3.162962e-03
105.000 105.000 2.932341e+03 4.779616e+03 -2.395340e-01 8.526120e+01 2.970646e+03 4.740101e+03 -2.294791e-01 8.546750e+01 3.221857e-01 5.839770e-03 -8.328836e-05 -6.588222e-03
105.000 135.000 2.765379e+03 4.176825e+03 -2.033139e-01 8.157963e+01 2.805178e+03 4.141194e+03 -1.923329e-01 8.178882e+01 2.450659e-01 5.911776e-03 -9.505777e-05 -5.496221e-03
105.000 165.000 3.757436e+03 3.929899e+03 -2.243466e-02 8.765538e+01 3.790384e+03 3.899738e+03 -1.421995e-02 8.768447e+01 1.022808e-01 6.058151e-03 -6.625618e-05 -1.422793e-03
105.000 195.000 4.147323e+03 3.353822e+03 1.057841e-01 8.612320e+01 4.170090e+03 3.345785e+03 1.096752e-01 8.617116e+01 -6.791025e-02 6.132466e-03 -3.193903e-05 2.016812e-03
105.000 225.000 3.562915e+03 4.072855e+03 -6.678306e-02 8.718782e+01 3.556713e+03 4.090138e+03 -6.975743e-02 8.723325e+01 -2.199048e-01 6.063082e-03 2.411630e-05 1.756229e-03
105.000 255.000 3.990730e+03 2.799072e+03 1.755070e-01 8.112126e+01 3.967976e+03 2.821154e+03 1.689204e-01 8.121212e+01 -3.129761e-01 5.916828e-03 5.738115e-05 6.021641e-03
105.000 285.000 3.516960e+03 3.743152e+03 -3.115545e-02 8.516493e+01 3.498867e+03 3.792703e+03 -4.029802e-02 8.532133e+01 -3.221857e-01 5.839770e-03 7.583921e-05 3.417254e-03
105.000 315.000 4.212168e+03 2.982610e+03 1.708959e-01 8.357423e+01 4.175887e+03 3.019714e+03 1.606777e-01 8.372472e+01 -2.450659e-01 5.911775e-03 8.637604e-05 4.977153e-03
105.000 345.000 4.469166e+03 3.115539e+03 1.784680e-01 8.569204e+01 4.431587e+03 3.147912e+03 1.693615e-01 8.580265e+01 -1.022809e-01 6.058151e-03 7.509572e-05 3.276253e-03
135.000 15.000 4.461661e+03 4.818350e+03 -3.843618e-02 9.626163e+01 4.433096e+03 4.856235e+03 -4.555107e-02 9.628114e+01 7.552885e-02 5.718571e-03 5.225836e-05 -1.183909e-03
135.000 45.000 4.912484e+03 5.237899e+03 -3.205944e-02 1.006973e+02 4.852538e+03 5.308667e+03 -4.488927e-02 1.007012e+02 2.184161e-01 5.421179e-03 9.009064e-05 -2.487410e-03
135.000 75.000 3.931884e+03 5.567309e+03 -1.721647e-01 9.600849e+01 3.914041e+03 5.612585e+03 -1.782944e-01 9.604054e+01 3.027789e-01 5.704572e-03 4.513834e-05 -4.946891e-03
