  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   4    0 -6.053e-02 -3.475e-02 2.8881e-03  4.065e-01  3.484e-01 2.8319e-03 -1.083e-02  6.091e-03 2.8531e-03 -6.932e-04  1.240e-02 2.7722e-03  2.732e-02  2.019e-02 2.7616e-03 -2.9291e-03 2.0797e-03 4.4636e-01 5.3650e-02 4.7118e-01 5.7705e+00 2.6993e+00 7.0642e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 4.667825e+02 6.273497e+02 -1.467530e-01 3.271954e+01 4.685689e+02 6.232929e+02 -1.417066e-01 3.270988e+01 1.080440e-01 2.215939e-03 -1.090733e-04 -7.787304e-03
15.000 45.000 6.974125e+02 7.129430e+02 -1.101175e-02 3.755242e+01 7.191800e+02 6.999904e+02 1.352174e-02 3.766843e+01 2.796396e-01 3.515711e-03 -4.612491e-04 -7.739882e-03
15.000 75.000 6.837521e+02 1.096268e+03 -2.317480e-01 4.104169e+01 7.116549e+02 1.062824e+03 -1.979000e-01 4.129144e+01 3.763060e-01 5.230304e-03 -5.813958e-04 -1.481552e-02
15.000 105.000 7.103932e+02 9.966787e+02 -1.677056e-01 4.073156e+01 7.465540e+02 9.696910e+02 -1.300147e-01 4.107595e+01 3.721414e-01 5.907800e-03 -6.515602e-04 -1.325378e-02
15.000 135.000 7.054118e+02 8.312764e+02 -8.190637e-02 3.906890e+01 7.300317e+02 8.103976e+02 -5.217107e-02 3.919485e+01 2.682619e-01 5.239491e-03 -5.373115e-04 -8.962840e-03
15.000 165.000 8.453122e+02 7.729104e+02 4.474156e-02 4.018685e+01 8.598777e+02 7.615160e+02 6.066491e-02 4.019237e+01 9.250187e-02 3.529363e-03 -2.801598e-04 -1.188456e-03
15.000 195.000 6.828280e+02 7.704764e+02 -6.030969e-02 3.805284e+01 6.805874e+02 7.751386e+02 -6.495126e-02 3.807341e+01 -1.080440e-01 2.215939e-03 8.622736e-05 1.254422e-03
15.000 225.000 9.765095e+02 6.567829e+02 1.957559e-01 3.963211e+01 9.598890e+02 6.743499e+02 1.747230e-01 3.980388e+01 -2.796396e-01 3.515711e-03 3.744514e-04 1.199521e-02
15.000 255.000 1.171711e+03 4.618067e+02 4.345863e-01 3.640059e+01 1.138255e+03 4.832081e+02 4.039852e-01 3.683523e+01 -3.763059e-01 5.230304e-03 5.909088e-04 2.227690e-02
15.000 285.000 1.179801e+03 6.952909e+02 2.583928e-01 4.183178e+01 1.144089e+03 7.260949e+02 2.235044e-01 4.215164e+01 -3.721415e-01 5.907800e-03 5.874873e-04 1.507309e-02
15.000 315.000 8.820930e+02 7.095559e+02 1.084014e-01 3.966038e+01 8.597516e+02 7.336428e+02 7.914474e-02 3.979213e+01 -2.682620e-01 5.239491e-03 5.207533e-04 9.497221e-03
15.000 345.000 8.001544e+02 7.921596e+02 5.020822e-03 3.990331e+01 7.889642e+02 8.052231e+02 -1.019888e-02 3.992520e+01 -9.250189e-02 3.529364e-03 2.696269e-04 2.443976e-03
