  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   7    0 -6.635e-02 -4.665e-02 2.5118e-03  4.042e-01  3.585e-01 2.4527e-03 -1.390e-02  2.020e-03 2.4747e-03 -2.790e-03  7.091e-03 2.4287e-03  4.167e-02  2.369e-02 2.4226e-03 -4.8713e-02 8.6667e-03 1.0783e+00 1.4145e-01 5.8441e-01 7.0028e+00 2.3015e+00 5.1621e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 1.255855e+02 2.961804e+01 6.183328e-01 9.791001e+00 1.261835e+02 2.946437e+01 6.213972e-01 9.774809e+00 1.086999e-01 1.937811e-03 -2.214893e-04 5.205115e-02
15.000 45.000 3.010256e+01 5.019819e+01 -2.502546e-01 8.675928e+00 3.113276e+01 4.923364e+01 -2.252294e-01 8.734389e+00 2.968161e-01 3.065475e-03 -2.032754e-03 -6.305616e-02
15.000 75.000 3.694713e+01 4.767217e+01 -1.267445e-01 9.124690e+00 3.848490e+01 4.635964e+01 -9.281372e-02 9.171350e+00 4.054006e-01 4.555252e-03 -2.622711e-03 -5.831925e-02
15.000 105.000 5.523732e+01 5.243196e+01 2.605534e-02 1.037286e+01 5.849647e+01 5.107602e+01 6.772183e-02 1.044366e+01 4.053584e-01 5.144072e-03 -2.830683e-03 -3.656687e-02
15.000 135.000 5.022413e+01 3.085595e+02 -7.200311e-01 1.314436e+01 5.190273e+01 3.002737e+02 -7.052459e-01 1.330465e+01 2.967007e-01 4.562834e-03 -7.905405e-04 -7.735119e-02
15.000 165.000 4.349542e+01 1.643836e+02 -5.815315e-01 1.172940e+01 4.419493e+01 1.634014e+02 -5.742225e-01 1.179599e+01 1.085423e-01 3.076731e-03 -4.393719e-04 -5.883285e-02
15.000 195.000 6.419701e+01 3.809445e+01 2.551783e-01 9.779093e+00 6.399692e+01 3.844973e+01 2.493706e-01 9.801833e+00 -1.086999e-01 1.937811e-03 4.194492e-04 3.720981e-02
15.000 225.000 7.725646e+01 5.643738e+00 8.638426e-01 4.586729e+00 7.548210e+01 5.807929e+00 8.571060e-01 4.644554e+00 -2.968161e-01 3.065475e-03 1.032013e-03 2.530471e-01
15.000 255.000 1.388123e+02 3.896702e+01 5.616249e-01 1.103194e+01 1.340570e+02 4.078179e+01 5.334926e-01 1.118379e+01 -4.054006e-01 4.555252e-03 1.790810e-03 8.765687e-02
15.000 285.000 2.171152e+01 2.417243e+02 -8.351665e-01 8.926842e+00 2.114375e+01 2.531982e+02 -8.458584e-01 8.834973e+00 -4.053584e-01 5.144072e-03 8.512889e-04 -4.814782e-02
15.000 315.000 3.161525e+01 5.744701e+01 -2.900417e-01 9.031610e+00 3.087747e+01 5.958695e+01 -3.173566e-01 9.019605e+00 -2.967007e-01 4.562834e-03 2.139975e-03 7.373070e-04
15.000 345.000 5.180837e+01 4.121517e+01 1.138766e-01 9.582130e+00 5.114447e+01 4.196247e+01 9.861782e-02 9.602158e+00 -1.085423e-01 3.076731e-03 1.124835e-03 2.321184e-02
45.000 15.000 4.935213e+01 4.743668e+01 1.978997e-02 9.836204e+00 4.892459e+01 4.820561e+01 7.402248e-03 9.855195e+00 9.806992e-02 4.064461e-03 8.896713e-04 -7.958350e-03
45.000 45.000 2.126139e+02 6.972205e+01 5.061058e-01 1.449198e+01 2.187673e+02 6.854362e+01 5.228610e-01 1.444870e+01 2.857071e-01 4.223448e-03 -8.187575e-04 1.520831e-02
45.000 75.000 6.478186e+01 5.515632e+01 8.025420e-02 1.091630e+01 6.647056e+01 5.378318e+01 1.055050e-01 1.090482e+01 3.967893e-01 4.052896e-03 -1.636491e-03 -2.899655e-02
45.000 105.000 7.694927e+01 4.563077e+02 -7.113989e-01 1.622904e+01 8.007211e+01 4.452412e+02 -6.951453e-01 1.647628e+01 4.015522e-01 3.700912e-03 -7.028039e-04 -6.857775e-02
45.000 135.000 1.648851e+02 8.793088e+01 3.043883e-01 1.514569e+01 1.713284e+02 8.592737e+01 3.319694e-01 1.512962e+01 2.987194e-01 3.518391e-03 -1.288362e-03 3.742910e-04
45.000 165.000 1.182764e+02 4.630470e+01 4.373023e-01 1.153723e+01 1.197304e+02 4.588873e+01 4.458523e-01 1.151940e+01 1.158451e-01 3.713573e-03 -5.244297e-04 2.786259e-02
