  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -3.936e-02 -1.872e-01 3.1513e-02  3.427e-01  4.953e-01 2.9406e-02 -4.674e-03 -5.756e-02 2.9665e-02  4.716e-04 -2.232e-02 2.9052e-02  1.133e-02  1.773e-01 3.0489e-02 -1.9019e-01 9.2348e-03 1.6139e-01 1.4497e-02 3.3353e-01 4.3411e+00 3.0890e+00 7.8882e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 0.000000e+00 0.000000e+00 -1.000000e+01 0.000000e+00 0.000000e+00 0.000000e+00 -1.000000e+01 0.000000e+00 1.907854e-01 2.367010e-02 -1.000000e+01 -4.305340e+02
15.000 45.000 0.000000e+00 6.170989e+01 -1.000000e+00 2.000000e+00 0.000000e+00 6.732100e+01 -1.000000e+00 2.000000e+00 6.122739e-01 3.790459e-02 0.000000e+00 -8.059922e-01
15.000 75.000 0.000000e+00 0.000000e+00 -1.000000e+01 0.000000e+00 0.000000e+00 0.000000e+00 -1.000000e+01 0.000000e+00 8.697041e-01 5.596588e-02 -1.000000e+01 -1.942202e+02
15.000 105.000 0.000000e+00 0.000000e+00 -1.000000e+01 0.000000e+00 0.000000e+00 0.000000e+00 -1.000000e+01 0.000000e+00 8.940978e-01 6.285792e-02 -1.000000e+01 -1.733130e+02
15.000 135.000 0.000000e+00 1.106955e+02 -1.000000e+00 2.000000e+00 0.000000e+00 1.276497e+02 -1.000000e+00 2.000000e+00 6.789187e-01 5.544939e-02 0.000000e+00 -8.391369e-01
15.000 165.000 0.000000e+00 0.000000e+00 -1.000000e+01 0.000000e+00 0.000000e+00 0.000000e+00 -1.000000e+01 0.000000e+00 2.818239e-01 3.713775e-02 -1.000000e+01 -2.768564e+02
15.000 195.000 0.000000e+00 1.625193e+00 -1.000000e+00 2.000000e+00 0.000000e+00 1.457822e+00 -1.000000e+00 2.000000e+00 -1.907854e-01 2.367010e-02 0.000000e+00 -4.045790e-01
15.000 225.000 0.000000e+00 0.000000e+00 -1.000000e+01 0.000000e+00 0.000000e+00 0.000000e+00 -1.000000e+01 0.000000e+00 -6.122739e-01 3.790458e-02 -1.000000e+01 -2.476673e+02
15.000 255.000 0.000000e+00 6.729858e-01 -1.000000e+01 0.000000e+00 0.000000e+00 4.654378e-01 -1.000000e+01 0.000000e+00 -8.697041e-01 5.596588e-02 -1.000000e+01 -1.631404e+02
15.000 285.000 7.317129e+01 0.000000e+00 1.000000e+00 2.000000e+00 8.589281e+01 0.000000e+00 1.000000e+00 2.000000e+00 -8.940978e-01 6.285792e-02 0.000000e+00 9.465815e-01
15.000 315.000 0.000000e+00 0.000000e+00 -1.000000e+01 0.000000e+00 0.000000e+00 0.000000e+00 -1.000000e+01 0.000000e+00 -6.789187e-01 5.544939e-02 -1.000000e+01 -1.681007e+02
15.000 345.000 0.000000e+00 1.320152e+02 -1.000000e+00 2.000000e+00 0.000000e+00 1.179155e+02 -1.000000e+00 2.000000e+00 -2.818239e-01 3.713775e-02 0.000000e+00 -3.590262e-01
45.000 15.000 5.641186e+01 7.719782e+01 -1.555723e-01 1.141823e+01 5.698587e+01 8.169305e+01 -1.781611e-01 1.158780e+01 1.132110e-01 4.957270e-02 1.388526e-03 -2.353962e-02
45.000 45.000 0.000000e+00 0.000000e+00 -1.000000e+01 0.000000e+00 0.000000e+00 0.000000e+00 -1.000000e+01 0.000000e+00 4.645089e-01 5.143890e-02 -1.000000e+01 -2.034357e+02
45.000 75.000 0.000000e+00 1.505625e+02 -1.000000e+00 2.000000e+00 0.000000e+00 1.694317e+02 -1.000000e+00 2.000000e+00 6.913421e-01 4.943889e-02 0.000000e+00 -8.454128e-01
45.000 105.000 1.160088e+02 0.000000e+00 1.000000e+00 2.000000e+00 9.690787e+01 0.000000e+00 1.000000e+00 2.000000e+00 7.329307e-01 4.532040e-02 0.000000e+00 1.335004e-01
45.000 135.000 5.401465e+01 2.666276e+02 -6.630847e-01 1.340380e+01 4.707987e+01 2.928986e+02 -7.230421e-01 1.273739e+01 5.781311e-01 4.319064e-02 3.242585e-03 -9.260130e-02
45.000 165.000 0.000000e+00 0.000000e+00 -1.000000e+01 0.000000e+00 0.000000e+00 0.000000e+00 -1.000000e+01 0.000000e+00 2.684218e-01 4.546635e-02 -1.000000e+01 -2.258466e+02
45.000 195.000 6.378081e+01 4.173029e+01 2.089877e-01 1.004504e+01 6.354940e+01 4.172145e+01 2.073504e-01 1.003717e+01 -1.132110e-01 4.957270e-02 1.153028e-04 3.207501e-02
45.000 225.000 4.806123e+01 1.136945e+02 -4.057554e-01 1.162431e+01 5.081784e+01 1.048367e+02 -3.470432e-01 1.170075e+01 -4.645089e-01 5.143890e-02 -3.559743e-03 5.054308e-03
45.000 255.000 7.752580e+01 6.319704e+01 1.018226e-01 1.180101e+01 8.366217e+01 5.490549e+01 2.075281e-01 1.151520e+01 -6.913420e-01 4.943889e-02 -6.410946e-03 6.721100e-02
45.000 285.000 5.281162e+01 1.035987e+02 -3.247044e-01 1.182876e+01 5.875801e+01 7.761052e+01 -1.382467e-01 1.156556e+01 -7.329307e-01 4.532040e-02 -1.127086e-02 3.451108e-02
