  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   3    0 -6.297e-02 -5.039e-02 1.6993e-02  3.920e-01  5.235e-01 1.5982e-02 -1.108e-02 -7.029e-02 1.6204e-02 -5.387e-04  2.436e-02 1.5918e-02  2.415e-02  8.688e-02 1.6172e-02 1.3624e-01 9.4552e-03 3.4925e-01 4.2603e-02 4.3592e-01 5.2801e+00 2.7865e+00 7.3649e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 1.197767e+02 8.563332e+01 1.662207e-01 1.413275e+01 1.141143e+02 8.849252e+01 1.264605e-01 1.411973e+01 1.729194e-01 1.278390e-02 1.990246e-03 -4.739849e-04
15.000 45.000 2.485094e+01 2.997702e+01 -9.349387e-02 7.372157e+00 2.310843e+01 3.198608e+01 -1.611349e-01 7.325573e+00 4.887981e-01 2.033818e-02 6.508377e-03 -7.898499e-02
15.000 75.000 4.772995e+01 3.853320e+01 1.066128e-01 9.234861e+00 4.155602e+01 4.166077e+01 -1.258782e-03 9.122317e+00 6.737037e-01 3.018360e-02 8.310130e-03 -6.140731e-02
15.000 105.000 7.812999e+01 8.526040e+00 8.032211e-01 5.545148e+00 6.814635e+01 9.334611e+00 7.590476e-01 5.730624e+00 6.780910e-01 3.403299e-02 5.539513e-03 2.256526e-02
15.000 135.000 5.015388e+00 1.465138e+02 -9.338030e-01 4.404264e+00 4.751785e+00 1.550680e+02 -9.405357e-01 4.294417e+00 5.007844e-01 3.013355e-02 1.094501e-03 -3.257193e-01
15.000 165.000 5.947213e+01 3.479729e+01 2.617481e-01 9.370743e+00 5.763672e+01 3.537809e+01 2.393019e-01 9.364202e+00 1.892930e-01 2.026382e-02 1.694355e-03 7.732041e-03
15.000 195.000 9.476301e+00 5.266114e+01 -6.949891e-01 5.667844e+00 9.930998e+00 5.203688e+01 -6.794791e-01 5.775622e+00 -1.729193e-01 1.278390e-02 -1.916670e-03 -9.211058e-02
15.000 225.000 6.707436e+01 5.309939e+01 1.162897e-01 1.088800e+01 7.211116e+01 4.907045e+01 1.901337e-01 1.080744e+01 -4.887980e-01 2.033818e-02 -4.813476e-03 5.557371e-02
15.000 255.000 8.045790e+01 4.588585e+01 2.736348e-01 1.081127e+01 8.653539e+01 4.016496e+01 3.659850e-01 1.047518e+01 -6.737037e-01 3.018360e-02 -6.134731e-03 8.762472e-02
15.000 285.000 4.671397e+01 2.987402e+01 2.198771e-01 8.537287e+00 5.075086e+01 2.515212e+01 3.372560e-01 8.201808e+00 -6.780910e-01 3.403299e-02 -9.914837e-03 1.051811e-01
15.000 315.000 6.229045e+01 2.701653e+01 3.949738e-01 8.681861e+00 6.502600e+01 2.452898e+01 4.522029e-01 8.440504e+00 -5.007844e-01 3.013355e-02 -4.726338e-03 1.031752e-01
15.000 345.000 8.197203e+01 6.577868e+01 1.095991e-01 1.208205e+01 8.301903e+01 6.371930e+01 1.315248e-01 1.200833e+01 -1.892930e-01 2.026383e-02 -1.287127e-03 2.473849e-02
45.000 15.000 2.763617e+01 1.035773e+02 -5.787601e-01 9.341400e+00 2.735026e+01 1.068097e+02 -5.922739e-01 9.332642e+00 1.387385e-01 2.684155e-02 1.023415e-03 -7.680815e-02
45.000 45.000 1.046554e+02 2.577000e+02 -4.223606e-01 1.725443e+01 9.676948e+01 2.701868e+02 -4.725830e-01 1.688201e+01 4.317079e-01 2.781930e-02 2.080504e-03 -4.949844e-02
45.000 75.000 1.026130e+02 1.569755e+02 -2.094182e-01 1.575449e+01 9.184239e+01 1.684840e+02 -2.944059e-01 1.541955e+01 6.090014e-01 2.672603e-02 3.855251e-03 -5.194827e-02
45.000 105.000 5.585227e+01 8.158812e+01 -1.872510e-01 1.151613e+01 4.965296e+01 8.638518e+01 -2.700141e-01 1.123031e+01 6.231136e-01 2.451945e-02 5.145221e-03 -7.036760e-02
45.000 135.000 1.021763e+02 7.426606e+01 1.581831e-01 1.311592e+01 9.497454e+01 7.645652e+01 1.080202e-01 1.301656e+01 4.702630e-01 2.340425e-02 2.714649e-03 -2.379393e-02
45.000 165.000 7.266787e+01 2.456348e+02 -5.434039e-01 1.497704e+01 7.039639e+01 2.502602e+02 -5.609234e-01 1.482453e+01 1.914057e-01 2.464532e-02 8.313653e-04 -4.906234e-02
45.000 195.000 1.886747e+02 1.511392e+02 1.104590e-01 1.832124e+01 1.926715e+02 1.476732e+02 1.322139e-01 1.828648e+01 -1.387385e-01 2.684155e-02 -8.404273e-04 1.360154e-02
45.000 225.000 1.602752e+02 4.951479e+01 5.279584e-01 1.230094e+01 1.696711e+02 4.568307e+01 5.757401e-01 1.199872e+01 -4.317078e-01 2.781930e-02 -2.780624e-03 7.801550e-02
45.000 255.000 1.385145e+02 3.526464e+01 5.941441e-01 1.060348e+01 1.486760e+02 3.115721e+01 6.534877e-01 1.015067e+01 -6.090014e-01 2.672603e-02 -4.042779e-03 1.134667e-01
45.000 285.000 1.634284e+02 0.000000e+00 1.000000e+00 2.000000e+00 1.753106e+02 0.000000e+00 1.000000e+00 2.000000e+00 -6.231136e-01 2.451945e-02 0.000000e+00 8.114958e-01
45.000 315.000 1.126186e+02 1.265708e+02 -5.833136e-02 1.543942e+01 1.171732e+02 1.171048e+02 2.921459e-04 1.530614e+01 -4.702630e-01 2.340425e-02 -2.696500e-03 2.668049e-02
45.000 345.000 1.094739e+02 1.748117e+02 -2.298317e-01 1.640942e+01 1.132345e+02 1.682050e+02 -1.953191e-01 1.645305e+01 -1.914058e-01 2.464532e-02 -1.485224e-03 -2.341696e-03
75.000 15.000 1.629197e+02 1.053005e+02 2.148205e-01 1.599507e+01 1.577355e+02 1.060703e+02 1.958454e-01 1.592757e+01 1.168502e-01 2.626492e-02 8.406220e-04 6.125022e-03
75.000 45.000 1.396263e+02 8.472140e+01 2.447314e-01 1.452277e+01 1.322746e+02 9.109428e+01 1.843603e-01 1.468935e+01 3.523208e-01 2.531864e-02 2.922631e-03 -7.408313e-03
75.000 75.000 1.760090e+02 1.182234e+02 1.963947e-01 1.681914e+01 1.669403e+02 1.247190e+02 1.447623e-01 1.689814e+01 4.933872e-01 2.473912e-02 2.165626e-03 -1.765799e-02
75.000 105.000 8.692966e+01 1.396333e+02 -2.326226e-01 1.463909e+01 8.164046e+01 1.450183e+02 -2.796178e-01 1.445466e+01 5.022510e-01 2.513616e-02 2.284338e-03 -5.019933e-02
