  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   6    0 -8.100e-02 -1.816e-02 1.3704e-02  3.866e-01  4.710e-01 1.3038e-02 -2.185e-02 -5.522e-02 1.3190e-02 -3.272e-03  1.865e-02 1.2810e-02  4.362e-02  3.941e-02 1.2817e-02 -7.8935e-02 1.4203e-02 8.2372e-01 1.6390e-01 5.3156e-01 6.2713e+00 2.5343e+00 5.3845e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 5.550128e+01 6.220000e+01 -5.691295e-02 1.083144e+01 5.508144e+01 6.251235e+01 -6.319136e-02 1.082239e+01 1.366418e-01 1.025350e-02 4.100430e-04 -1.786971e-02
15.000 45.000 7.413789e+01 4.673043e+01 2.267547e-01 1.070764e+01 7.302859e+01 4.743788e+01 2.124301e-01 1.072521e+01 3.905493e-01 1.633418e-02 9.451827e-04 -1.529697e-02
15.000 75.000 3.088915e+01 8.188288e+01 -4.521842e-01 9.471720e+00 3.032768e+01 8.395166e+01 -4.692359e-01 9.440183e+00 5.398095e-01 2.432570e-02 1.275111e-03 -1.047318e-01
15.000 105.000 2.253730e+01 3.360848e+01 -1.971862e-01 7.345931e+00 2.184332e+01 3.394864e+01 -2.169726e-01 7.291463e+00 5.444282e-01 2.747731e-02 1.911676e-03 -1.009551e-01
15.000 135.000 4.464095e+01 4.924448e+01 -4.903343e-02 9.677794e+00 4.378651e+01 4.972412e+01 -6.349667e-02 9.650576e+00 4.031678e-01 2.435839e-02 1.058241e-03 -4.672550e-02
15.000 165.000 4.134646e+01 6.394065e+01 -2.145960e-01 1.002190e+01 4.124548e+01 6.421867e+01 -2.178294e-01 1.002297e+01 1.538789e-01 1.638283e-02 2.281286e-04 -3.676691e-02
15.000 195.000 3.798513e+01 2.169080e+01 2.730469e-01 7.431474e+00 3.819883e+01 2.151396e+01 2.794187e-01 7.419617e+00 -1.366418e-01 1.025350e-02 -6.067616e-04 5.512880e-02
15.000 225.000 8.143045e+00 2.682557e+01 -5.342655e-01 4.998719e+00 8.238197e+00 2.643377e+01 -5.247920e-01 5.012292e+00 -3.905493e-01 1.633418e-02 -1.338279e-03 -2.875046e-02
15.000 255.000 3.689084e+01 6.249059e+01 -2.575909e-01 9.632609e+00 3.735869e+01 6.071253e+01 -2.381315e-01 9.618208e+00 -5.398095e-01 2.432570e-02 -1.429539e-03 2.929816e-02
15.000 285.000 8.172047e+01 5.823238e+01 1.678286e-01 1.166237e+01 8.305839e+01 5.672116e+01 1.884198e-01 1.161108e+01 -5.444282e-01 2.747731e-02 -1.251222e-03 6.107291e-02
