  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   7    0 -9.312e-02 -1.910e-02 1.3588e-02  3.520e-01  4.675e-01 1.2932e-02 -3.212e-02 -5.136e-02 1.3077e-02 -5.189e-03  1.736e-02 1.2702e-02  5.373e-02  3.736e-02 1.2704e-02 -1.7410e-01 3.2350e-02 1.1170e+00 3.3032e-01 5.1809e-01 6.1861e+00 2.5716e+00 3.6644e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 6.555304e+00 0.000000e+00 1.000000e+00 2.000000e+00 6.468935e+00 0.000000e+00 1.000000e+00 2.000000e+00 1.350650e-01 1.016569e-02 0.000000e+00 4.324619e-01
15.000 45.000 9.568975e+00 1.553288e+01 -2.375881e-01 4.866714e+00 9.383202e+00 1.579820e+01 -2.547515e-01 4.852543e+00 3.857701e-01 1.619493e-02 2.497373e-03 -1.280854e-01
15.000 75.000 0.000000e+00 3.209414e+01 -1.000000e+00 2.000000e+00 0.000000e+00 3.251777e+01 -1.000000e+00 2.000000e+00 5.331084e-01 2.411929e-02 0.000000e+00 -7.664985e-01
15.000 105.000 0.000000e+00 7.170631e+00 -1.000000e+00 2.000000e+00 0.000000e+00 7.183122e+00 -1.000000e+00 2.000000e+00 5.376008e-01 2.724462e-02 0.000000e+00 -7.687291e-01
15.000 135.000 0.000000e+00 1.783840e+01 -1.000000e+00 2.000000e+00 0.000000e+00 1.803833e+01 -1.000000e+00 2.000000e+00 3.980435e-01 2.415233e-02 0.000000e+00 -6.989708e-01
15.000 165.000 0.000000e+00 2.365118e+00 -1.000000e+00 2.000000e+00 0.000000e+00 2.369831e+00 -1.000000e+00 2.000000e+00 1.518307e-01 1.624410e-02 0.000000e+00 -5.758964e-01
15.000 195.000 2.265895e+00 0.000000e+00 1.000000e+00 2.000000e+00 2.272703e+00 0.000000e+00 1.000000e+00 2.000000e+00 -1.350649e-01 1.016569e-02 0.000000e+00 5.675251e-01
15.000 225.000 7.191768e+00 5.824196e+00 1.050688e-01 3.587795e+00 7.252204e+00 5.715002e+00 1.185453e-01 3.575609e+00 -3.857700e-01 1.619493e-02 -2.660551e-03 1.368066e-01
15.000 255.000 0.000000e+00 4.353295e+00 -1.000000e+00 2.000000e+00 0.000000e+00 4.260481e+00 -1.000000e+00 2.000000e+00 -5.331084e-01 2.411929e-02 0.000000e+00 -2.334288e-01
15.000 285.000 0.000000e+00 5.627265e+00 -1.000000e+00 2.000000e+00 0.000000e+00 5.589385e+00 -1.000000e+00 2.000000e+00 -5.376008e-01 2.724462e-02 0.000000e+00 -2.311782e-01
15.000 315.000 1.284459e+01 7.315995e+00 2.742279e-01 4.317927e+00 1.284083e+01 7.316734e+00 2.740458e-01 4.317836e+00 -3.980435e-01 2.415233e-02 2.983326e-05 1.556907e-01
15.000 345.000 0.000000e+00 0.000000e+00 -1.000000e+01 0.000000e+00 0.000000e+00 0.000000e+00 -1.000000e+01 0.000000e+00 -1.518308e-01 1.624410e-02 -1.000000e+01 -6.062613e+02
45.000 15.000 5.916127e+00 4.531684e+00 1.325103e-01 3.203804e+00 5.657446e+00 4.622398e+00 1.006871e-01 3.189926e+00 1.092269e-01 2.142342e-02 7.038879e-03 7.267272e-03
45.000 45.000 7.141400e+00 1.230136e+01 -2.653922e-01 4.251276e+00 6.997804e+00 1.277025e+01 -2.920088e-01 4.252346e+00 3.489754e-01 2.217780e-02 4.426516e-03 -1.445118e-01
45.000 75.000 2.967252e+01 3.725267e+00 7.769154e-01 3.638539e+00 2.854024e+01 3.813428e+00 7.642661e-01 3.668215e+00 4.952163e-01 2.134706e-02 2.448229e-03 7.741960e-02
45.000 105.000 4.576469e+00 1.083735e+01 -4.061863e-01 3.587581e+00 4.510659e+00 1.098446e+01 -4.177963e-01 3.576365e+00 5.087644e-01 1.966336e-02 2.291893e-03 -2.550289e-01
45.000 135.000 9.787952e+00 1.356255e+01 -1.616497e-01 4.768683e+00 9.728800e+00 1.375759e+01 -1.715374e-01 4.774443e+00 3.859894e-01 1.880840e-02 1.465279e-03 -1.148398e-01
45.000 165.000 0.000000e+00 1.240229e+01 -1.000000e+00 2.000000e+00 0.000000e+00 1.241671e+01 -1.000000e+00 2.000000e+00 1.597890e-01 1.974623e-02 0.000000e+00 -5.798662e-01
45.000 195.000 0.000000e+00 7.595233e+00 -1.000000e+00 2.000000e+00 0.000000e+00 7.453219e+00 -1.000000e+00 2.000000e+00 -1.092268e-01 2.142342e-02 0.000000e+00 -4.453610e-01
45.000 225.000 9.296382e+00 1.758611e+01 -3.083690e-01 4.932160e+00 9.394700e+00 1.705605e+01 -2.896458e-01 4.922567e+00 -3.489754e-01 2.217780e-02 -2.686897e-03 8.232899e-03
45.000 255.000 1.253085e+01 0.000000e+00 1.000000e+00 2.000000e+00 1.266642e+01 0.000000e+00 1.000000e+00 2.000000e+00 -4.952163e-01 2.134706e-02 0.000000e+00 7.475656e-01
45.000 285.000 9.189932e+00 7.507198e+00 1.007798e-01 4.065408e+00 9.346068e+00 7.401761e+00 1.160931e-01 4.064740e+00 -5.087644e-01 1.966336e-02 -2.663697e-03 1.499326e-01
45.000 315.000 0.000000e+00 2.552184e+00 -1.000000e+00 2.000000e+00 0.000000e+00 2.527187e+00 -1.000000e+00 2.000000e+00 -3.859895e-01 1.880840e-02 0.000000e+00 -3.069917e-01
45.000 345.000 4.162959e+00 2.815381e+01 -7.423654e-01 3.808778e+00 4.092375e+00 2.825539e+01 -7.469763e-01 3.781344e+00 -1.597890e-01 1.974623e-02 8.591209e-04 -1.529542e-01
75.000 15.000 1.042528e+00 9.163678e+00 -7.957070e-01 1.934981e+00 1.031082e+00 9.234063e+00 -7.991101e-01 1.926151e+00 9.681981e-02 2.090236e-02 1.246452e-03 -4.612319e-01
75.000 45.000 0.000000e+00 1.120497e+01 -1.000000e+00 2.000000e+00 0.000000e+00 1.196123e+01 -1.000000e+00 2.000000e+00 3.037672e-01 2.025767e-02 0.000000e+00 -6.518502e-01
75.000 75.000 3.842208e+00 4.734691e+00 -1.040567e-01 2.912736e+00 3.599994e+00 4.860683e+00 -1.490056e-01 2.876252e+00 4.293204e-01 1.990652e-02 1.098052e-02 -1.831146e-01
75.000 105.000 7.630605e+00 1.846154e+01 -4.151033e-01 4.647170e+00 7.108966e+00 1.923694e+01 -4.603363e-01 4.556639e+00 4.398375e-01 2.021638e-02 6.949956e-03 -1.839685e-01
75.000 135.000 9.269363e+00 3.138515e+00 4.941094e-01 3.062445e+00 9.180315e+00 3.166804e+00 4.870376e-01 3.068927e+00 3.325006e-01 2.086235e-02 1.631125e-03 5.276994e-02
75.000 165.000 1.628459e+00 1.738752e+01 -8.287274e-01 2.440495e+00 1.645263e+00 1.732948e+01 -8.265839e-01 2.451617e+00 1.360704e-01 2.119767e-02 -6.196365e-04 -3.953138e-01
75.000 195.000 5.145325e+00 8.598646e+00 -2.512608e-01 3.588354e+00 5.252075e+00 8.524007e+00 -2.375081e-01 3.605409e+00 -9.681979e-02 2.090236e-02 -2.703623e-03 -4.303879e-02
75.000 225.000 1.914131e+01 2.209575e+00 7.930226e-01 2.814896e+00 1.966558e+01 2.159702e+00 8.020918e-01 2.789975e+00 -3.037672e-01 2.025767e-02 -2.288296e-03 3.896277e-01
75.000 255.000 6.238215e+00 1.221143e+01 -3.237579e-01 4.063960e+00 6.343177e+00 1.181849e+01 -3.014765e-01 4.063372e+00 -4.293204e-01 1.990652e-02 -3.877113e-03 2.597496e-02
75.000 285.000 1.141355e+01 2.579451e+00 6.313226e-01 2.901006e+00 1.178645e+01 2.485040e+00 6.517477e-01 2.865191e+00 -4.398375e-01 2.021638e-02 -5.009356e-03 3.692285e-01
75.000 315.000 0.000000e+00 0.000000e+00 -1.000000e+01 0.000000e+00 0.000000e+00 0.000000e+00 -1.000000e+01 0.000000e+00 -3.325006e-01 2.086235e-02 -1.000000e+01 -4.633945e+02
75.000 345.000 1.733721e+01 1.578188e+01 4.696151e-02 5.748569e+00 1.735002e+01 1.577173e+01 4.765124e-02 5.748612e+00 -1.360704e-01 2.119767e-02 -8.483994e-05 3.183934e-02
105.000 15.000 8.417175e+00 1.151316e+01 -1.553404e-01 4.410148e+00 7.887722e+00 1.184235e+01 -2.004364e-01 4.351714e+00 1.325114e-01 2.119767e-02 7.278577e-03 -6.526957e-02
105.000 45.000 1.058835e+01 3.590281e+00 4.935643e-01 3.274848e+00 9.829635e+00 3.861432e+00 4.359195e-01 3.330077e+00 3.020584e-01 2.086235e-02 1.234219e-02 5.847662e-02
105.000 75.000 3.414168e+00 0.000000e+00 1.000000e+00 2.000000e+00 3.180740e+00 0.000000e+00 1.000000e+00 2.000000e+00 3.906691e-01 2.021638e-02 0.000000e+00 3.046499e-01
105.000 105.000 2.646874e+00 4.381920e+00 -2.468483e-01 2.569144e+00 2.506828e+00 4.487961e+00 -2.832299e-01 2.536469e+00 3.746004e-01 1.990652e-02 1.007721e-02 -2.418821e-01
105.000 135.000 1.221531e+01 1.255205e+01 -1.359586e-02 4.976222e+00 1.170563e+01 1.281616e+01 -4.528742e-02 4.946867e+00 2.581578e-01 2.025767e-02 4.516581e-03 -5.460998e-02
105.000 165.000 1.363827e+01 1.221779e+01 5.493803e-02 5.077207e+00 1.377177e+01 1.236956e+01 5.363969e-02 5.105498e+00 7.254201e-02 2.090236e-02 1.803184e-04 -3.467227e-03
105.000 195.000 2.091686e+00 1.283990e+01 -7.198306e-01 2.682292e+00 2.177180e+00 1.240762e+01 -7.014454e-01 2.721894e+00 -1.325113e-01 2.119767e-02 -4.811077e-03 -2.189549e-01
105.000 225.000 5.440248e+00 4.625607e+00 8.093109e-02 3.162266e+00 5.715617e+00 4.291384e+00 1.423237e-01 3.131182e+00 -3.020584e-01 2.086235e-02 -1.379549e-02 1.211097e-01
105.000 255.000 2.309351e+01 0.000000e+00 1.000000e+00 2.000000e+00 2.429537e+01 0.000000e+00 1.000000e+00 2.000000e+00 -3.906691e-01 2.021638e-02 0.000000e+00 6.952990e-01
105.000 285.000 5.341353e+00 4.379797e+00 9.891377e-02 3.102586e+00 5.717968e+00 4.066866e+00 1.687410e-01 3.083217e+00 -3.746004e-01 1.990652e-02 -1.596399e-02 1.526161e-01
105.000 315.000 1.419340e+01 1.667120e+01 -8.027990e-02 5.537660e+00 1.441899e+01 1.612008e+01 -5.570202e-02 5.517636e+00 -2.581578e-01 2.025767e-02 -3.144042e-03 3.212127e-02
105.000 345.000 9.140554e+00 4.438857e+00 3.462371e-01 3.457096e+00 9.010715e+00 4.490805e+00 3.347704e-01 3.462425e+00 -7.254203e-02 2.090236e-02 2.343569e-03 1.211339e-01
135.000 15.000 3.826411e+00 0.000000e+00 1.000000e+00 2.000000e+00 3.627025e+00 0.000000e+00 1.000000e+00 2.000000e+00 1.814268e-01 1.974623e-02 0.000000e+00 4.092667e-01
135.000 45.000 0.000000e+00 1.711609e+00 -1.000000e+00 2.000000e+00 0.000000e+00 1.813395e+00 -1.000000e+00 2.000000e+00 3.477894e-01 1.880840e-02 0.000000e+00 -6.738649e-01
135.000 75.000 0.000000e+00 2.774994e+00 -1.000000e+00 2.000000e+00 0.000000e+00 3.000332e+00 -1.000000e+00 2.000000e+00 4.209622e-01 1.966336e-02 0.000000e+00 -7.104468e-01
135.000 105.000 6.613081e+00 1.700885e+00 5.908367e-01 2.326297e+00 6.192299e+00 1.789513e+00 5.516022e-01 2.356528e+00 3.813385e-01 2.134706e-02 1.184856e-02 9.005272e-02
135.000 135.000 6.657216e+00 5.306920e+00 1.128619e-01 3.436821e+00 6.366045e+00 5.574194e+00 6.631788e-02 3.447858e+00 2.395354e-01 2.217780e-02 9.560812e-03 -3.685699e-02
135.000 165.000 0.000000e+00 1.788409e+00 -1.000000e+00 2.000000e+00 0.000000e+00 1.751306e+00 -1.000000e+00 2.000000e+00 3.354906e-02 2.142342e-02 0.000000e+00 -5.167449e-01
135.000 195.000 1.847910e+00 1.511045e+00 1.002887e-01 1.823505e+00 1.926248e+00 1.410177e+00 1.546777e-01 1.804606e+00 -1.814267e-01 1.974623e-02 -2.120020e-02 1.544821e-01
