  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -4.005e-02 -6.554e-02 5.9336e-03  3.446e-01  3.168e-01 5.8332e-03 -4.811e-03 -2.627e-02 5.9215e-03  4.562e-04 -8.555e-02 5.8486e-03  1.147e-02  5.898e-02 5.8013e-03 -3.6174e-02 1.8929e-03 1.6434e-01 1.4665e-02 3.3518e-01 4.3710e+00 3.0955e+00 7.8855e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 1.087490e+03 9.993856e+02 4.221844e-02 4.564161e+01 1.112245e+03 9.876167e+02 5.935067e-02 4.574347e+01 6.190970e-02 4.646878e-03 -2.651266e-04 -4.314322e-04
15.000 45.000 1.447901e+03 1.243306e+03 7.602356e-02 5.172671e+01 1.407146e+03 1.280143e+03 4.726060e-02 5.178115e+01 3.146588e-01 7.307885e-03 3.929843e-04 -4.613385e-03
15.000 75.000 1.147190e+03 9.689078e+02 8.425029e-02 4.583751e+01 1.089595e+03 1.019530e+03 3.321969e-02 4.589986e+01 4.830953e-01 1.085778e-02 7.866821e-04 -8.701280e-03
15.000 105.000 1.250459e+03 1.855192e+03 -1.947202e-01 5.466166e+01 1.154980e+03 1.947928e+03 -2.555500e-01 5.385415e+01 5.220868e-01 1.227052e-02 7.927320e-04 -1.311352e-02
15.000 135.000 8.300860e+02 1.217600e+03 -1.892449e-01 4.443367e+01 7.696463e+02 1.288247e+03 -2.520057e-01 4.389992e+01 4.211856e-01 1.089743e-02 1.004776e-03 -1.373802e-02
15.000 165.000 8.497311e+02 1.072838e+03 -1.160463e-01 4.355087e+01 8.187965e+02 1.118419e+03 -1.546667e-01 4.348418e+01 2.074281e-01 7.366675e-03 6.275346e-04 -7.427505e-03
15.000 195.000 8.919351e+02 1.563273e+03 -2.734341e-01 4.766174e+01 8.882104e+02 1.587427e+03 -2.824391e-01 4.772999e+01 -6.190967e-02 4.646878e-03 1.335020e-04 -4.438035e-03
15.000 225.000 1.318452e+03 1.493301e+03 -6.218502e-02 5.292334e+01 1.344402e+03 1.443292e+03 -3.547380e-02 5.276538e+01 -3.146588e-01 7.307884e-03 -3.574205e-04 4.770555e-03
15.000 255.000 1.717318e+03 7.555061e+02 3.889527e-01 4.581184e+01 1.794491e+03 7.027253e+02 4.371930e-01 4.494334e+01 -4.830953e-01 1.085778e-02 -7.516812e-04 1.903543e-02
15.000 285.000 1.964575e+03 7.743242e+02 4.345727e-01 4.713437e+01 2.082774e+03 7.195353e+02 4.864698e-01 4.625078e+01 -5.220868e-01 1.227052e-02 -7.858887e-04 2.029643e-02
