  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   3    0 -6.100e-02 -6.353e-02 3.0480e-03  3.945e-01  3.706e-01 2.9842e-03 -1.049e-02 -6.107e-03 3.0165e-03 -4.954e-04 -2.599e-02 2.9239e-03  2.393e-02  5.246e-02 2.8993e-03 -1.1941e-02 1.5773e-03 3.4717e-01 4.1496e-02 4.3510e-01 5.2912e+00 2.7858e+00 7.3565e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 1.064738e+03 1.153381e+03 -3.996312e-02 4.705930e+01 1.069484e+03 1.148880e+03 -3.579016e-02 4.706934e+01 1.075727e-01 2.333425e-03 -6.269567e-05 -3.135105e-03
15.000 45.000 1.078615e+03 1.541818e+03 -1.767659e-01 5.038406e+01 1.063857e+03 1.554510e+03 -1.873887e-01 5.026355e+01 3.408311e-01 3.699904e-03 1.492631e-04 -1.027303e-02
15.000 75.000 1.277537e+03 1.451921e+03 -6.388972e-02 5.213747e+01 1.246228e+03 1.475629e+03 -8.428099e-02 5.198580e+01 4.827640e-01 5.510853e-03 2.769562e-04 -1.048485e-02
15.000 105.000 1.045500e+03 1.398267e+03 -1.443539e-01 4.891670e+01 1.012642e+03 1.427036e+03 -1.698558e-01 4.867536e+01 4.953407e-01 6.229389e-03 3.695486e-04 -1.307722e-02
15.000 135.000 7.187392e+02 1.594343e+03 -3.785442e-01 4.451548e+01 6.981553e+02 1.626412e+03 -3.993245e-01 4.420285e+01 3.751913e-01 5.528188e-03 3.312454e-04 -1.693199e-02
15.000 165.000 1.054710e+03 1.411750e+03 -1.447581e-01 4.914037e+01 1.040279e+03 1.430510e+03 -1.579378e-01 4.908316e+01 1.545097e-01 3.725676e-03 1.897612e-04 -6.090059e-03
15.000 195.000 1.153854e+03 1.389253e+03 -9.256358e-02 5.021272e+01 1.149281e+03 1.392183e+03 -9.557556e-02 5.018215e+01 -1.075727e-01 2.333425e-03 4.242825e-05 2.989107e-04
15.000 225.000 8.820005e+02 5.202550e+02 2.579740e-01 3.617920e+01 8.885662e+02 5.114083e+02 2.694034e-01 3.603286e+01 -3.408310e-01 3.699904e-03 -2.238334e-04 1.655109e-02
15.000 255.000 1.262338e+03 8.570965e+02 1.912025e-01 4.518795e+01 1.284947e+03 8.371379e+02 2.110233e-01 4.502874e+01 -4.827640e-01 5.510853e-03 -3.107043e-04 1.491474e-02
15.000 285.000 1.188288e+03 6.729229e+02 2.768976e-01 4.145488e+01 1.213254e+03 6.501108e+02 3.022183e-01 4.114818e+01 -4.953407e-01 6.229389e-03 -4.335034e-04 1.862840e-02
15.000 315.000 1.181213e+03 1.051373e+03 5.815706e-02 4.717027e+01 1.203998e+03 1.021140e+03 8.217854e-02 4.701182e+01 -3.751913e-01 5.528189e-03 -3.606997e-04 9.186895e-03
15.000 345.000 1.115681e+03 1.259822e+03 -6.067805e-02 4.864932e+01 1.132382e+03 1.237211e+03 -4.423919e-02 4.863080e+01 -1.545097e-01 3.725676e-03 -2.389805e-04 1.928735e-03
45.000 15.000 1.148276e+03 8.538443e+02 1.470599e-01 4.425857e+01 1.159843e+03 8.488676e+02 1.548134e-01 4.427829e+01 8.117812e-02 4.911742e-03 -1.238485e-04 1.488566e-03
45.000 45.000 1.191191e+03 2.048692e+03 -2.646705e-01 5.489014e+01 1.204684e+03 2.032907e+03 -2.558144e-01 5.500654e+01 2.842055e-01 5.094850e-03 -1.139649e-04 -9.999536e-03
45.000 75.000 1.496347e+03 2.087421e+03 -1.649309e-01 5.904475e+01 1.511059e+03 2.078928e+03 -1.581813e-01 5.916216e+01 4.110802e-01 4.894625e-03 -8.075114e-05 -9.755502e-03
45.000 105.000 9.890290e+02 2.539223e+03 -4.393660e-01 5.335869e+01 9.955615e+02 2.533809e+03 -4.358419e-01 5.346904e+01 4.278063e-01 4.486083e-03 -4.665281e-05 -1.625176e-02
45.000 135.000 1.222131e+03 1.305977e+03 -3.316549e-02 5.025263e+01 1.222338e+03 1.302930e+03 -3.191433e-02 5.022644e+01 3.299021e-01 4.276993e-03 -1.760970e-05 -7.224847e-03
45.000 165.000 1.216306e+03 1.711026e+03 -1.690005e-01 5.332658e+01 1.203672e+03 1.722194e+03 -1.772198e-01 5.323508e+01 1.436009e-01 4.504753e-03 1.090807e-04 -5.862018e-03
45.000 195.000 1.654177e+03 1.333740e+03 1.072445e-01 5.434659e+01 1.637838e+03 1.344234e+03 9.845632e-02 5.434303e+01 -8.117810e-02 4.911742e-03 1.143467e-04 3.467054e-03
45.000 225.000 1.559998e+03 1.606391e+03 -1.465168e-02 5.626464e+01 1.546995e+03 1.621199e+03 -2.342134e-02 5.627127e+01 -2.842055e-01 5.094850e-03 1.102064e-04 4.790820e-03
45.000 255.000 2.117578e+03 1.186456e+03 2.818138e-01 5.515099e+01 2.107865e+03 1.197082e+03 2.755817e-01 5.526257e+01 -4.110802e-01 4.894625e-03 7.982270e-05 1.256358e-02
45.000 285.000 2.205627e+03 1.186624e+03 3.003915e-01 5.555313e+01 2.198124e+03 1.190476e+03 2.973642e-01 5.557842e+01 -4.278063e-01 4.486083e-03 3.852354e-05 1.310813e-02
45.000 315.000 2.264632e+03 1.446229e+03 2.205425e-01 5.941690e+01 2.261052e+03 1.440932e+03 2.215353e-01 5.933210e+01 -3.299021e-01 4.276993e-03 -1.182351e-05 9.264108e-03
45.000 345.000 1.748524e+03 1.246814e+03 1.674967e-01 5.395649e+01 1.756767e+03 1.236322e+03 1.738824e-01 5.387572e+01 -1.436009e-01 4.504753e-03 -8.374779e-05 5.765712e-03
75.000 15.000 2.243693e+03 2.242095e+03 3.561313e-04 6.697602e+01 2.224271e+03 2.257684e+03 -7.455021e-03 6.694555e+01 1.020364e-01 4.759953e-03 8.248588e-05 -1.518160e-03
75.000 45.000 2.833095e+03 2.326708e+03 9.814079e-02 7.148500e+01 2.837435e+03 2.327969e+03 9.863036e-02 7.152031e+01 2.698216e-01 4.644297e-03 -4.841445e-06 -2.401633e-03
75.000 75.000 2.048101e+03 3.062489e+03 -1.984875e-01 7.006601e+01 2.088844e+03 3.021533e+03 -1.825090e-01 7.028622e+01 3.653082e-01 4.586656e-03 -1.610024e-04 -8.046636e-03
75.000 105.000 2.306598e+03 2.790414e+03 -9.492141e-02 7.107101e+01 2.361950e+03 2.741674e+03 -7.440283e-02 7.124164e+01 3.629108e-01 4.646827e-03 -2.039005e-04 -6.441899e-03
75.000 135.000 2.205589e+03 2.924201e+03 -1.400860e-01 7.091631e+01 2.265220e+03 2.864464e+03 -1.168189e-01 7.113143e+01 2.632718e-01 4.762422e-03 -2.316441e-04 -5.687799e-03
75.000 165.000 2.091920e+03 2.412595e+03 -7.118964e-02 6.694540e+01 2.129327e+03 2.375121e+03 -5.456690e-02 6.701520e+01 9.308927e-02 4.817960e-03 -1.754853e-04 -2.453924e-03
75.000 195.000 2.312498e+03 2.464580e+03 -3.183572e-02 6.908137e+01 2.333331e+03 2.441840e+03 -2.272360e-02 6.908477e+01 -1.020364e-01 4.759953e-03 -9.326803e-05 1.016203e-03
75.000 225.000 2.806896e+03 2.052056e+03 1.553504e-01 6.885991e+01 2.797637e+03 2.065164e+03 1.506278e-01 6.893816e+01 -2.698215e-01 4.644297e-03 4.846750e-05 6.174448e-03
75.000 255.000 2.661018e+03 2.379547e+03 5.584113e-02 7.088615e+01 2.629547e+03 2.419912e+03 4.151636e-02 7.099828e+01 -3.653082e-01 4.586656e-03 1.427801e-04 5.941207e-03
