  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   5    0 -5.628e-02 -5.736e-02 2.5193e-03  4.177e-01  3.716e-01 2.4559e-03 -9.810e-03  5.681e-03 2.4812e-03 -1.118e-03 -9.956e-03 2.4246e-03  2.931e-02  4.869e-02 2.4102e-03 -1.1415e-02 1.9844e-03 5.8506e-01 6.4277e-02 5.2139e-01 6.4122e+00 2.6061e+00 6.7229e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 1.109507e+03 1.042761e+03 3.101166e-02 4.637023e+01 1.111282e+03 1.042058e+03 3.214724e-02 4.638011e+01 1.170145e-01 1.933485e-03 -1.731475e-05 -1.854700e-03
15.000 45.000 8.202178e+02 1.284995e+03 -2.207744e-01 4.475044e+01 8.227456e+02 1.283084e+03 -2.186018e-01 4.477944e+01 3.321373e-01 3.061313e-03 -3.431862e-05 -1.235545e-02
15.000 75.000 9.248141e+02 1.267195e+03 -1.561950e-01 4.624425e+01 9.274374e+02 1.265249e+03 -1.540629e-01 4.626707e+01 4.582642e-01 4.554611e-03 -3.259402e-05 -1.328725e-02
15.000 105.000 9.167883e+02 1.030703e+03 -5.849312e-02 4.405483e+01 9.173698e+02 1.028910e+03 -5.730935e-02 4.404415e+01 4.615995e-01 5.146266e-03 -1.900239e-05 -1.180558e-02
15.000 135.000 8.606890e+02 1.017813e+03 -8.364322e-02 4.318981e+01 8.608283e+02 1.018433e+03 -8.386542e-02 4.319773e+01 3.412497e-01 4.566266e-03 3.637627e-06 -9.837804e-03
15.000 165.000 9.094195e+02 9.815177e+02 -3.812824e-02 4.345329e+01 9.079743e+02 9.824760e+02 -3.940947e-02 4.344553e+01 1.294623e-01 3.078626e-03 2.085102e-05 -3.856797e-03
15.000 195.000 9.628752e+02 9.167354e+02 2.454751e-02 4.334141e+01 9.610529e+02 9.174010e+02 2.323822e-02 4.332943e+01 -1.170145e-01 1.933485e-03 2.136373e-05 3.266206e-03
15.000 225.000 1.001934e+03 8.977472e+02 5.484434e-02 4.351973e+01 9.998862e+02 8.992086e+02 5.301349e-02 4.351733e+01 -3.321373e-01 3.061313e-03 2.974843e-05 8.892096e-03
15.000 255.000 1.334115e+03 6.689912e+02 3.320461e-01 4.221675e+01 1.332993e+03 6.698969e+02 3.310698e-01 4.222984e+01 -4.582642e-01 4.554611e-03 1.634930e-05 1.872030e-02
15.000 285.000 1.231719e+03 1.096916e+03 5.788916e-02 4.817500e+01 1.232144e+03 1.096783e+03 5.812151e-02 4.817738e+01 -4.615995e-01 5.146266e-03 -3.410387e-06 1.078337e-02
15.000 315.000 1.025588e+03 8.223824e+02 1.099616e-01 4.272734e+01 1.026238e+03 8.231389e+02 1.098205e-01 4.274427e+01 -3.412497e-01 4.566266e-03 2.335975e-06 1.056025e-02
15.000 345.000 1.048355e+03 1.114954e+03 -3.078586e-02 4.648934e+01 1.049792e+03 1.114212e+03 -2.976893e-02 4.649824e+01 -1.294623e-01 3.078626e-03 -1.546612e-05 2.122560e-03
45.000 15.000 1.254856e+03 1.428298e+03 -6.464101e-02 5.169084e+01 1.256893e+03 1.426449e+03 -6.318862e-02 5.169747e+01 1.065292e-01 4.062083e-03 -1.986679e-05 -3.311423e-03
45.000 45.000 1.096221e+03 1.461222e+03 -1.427211e-01 5.005347e+01 1.104319e+03 1.450889e+03 -1.356327e-01 5.008195e+01 3.055119e-01 4.216829e-03 -1.001095e-04 -8.955084e-03
45.000 75.000 1.140142e+03 1.608574e+03 -1.704185e-01 5.166127e+01 1.158318e+03 1.591085e+03 -1.574039e-01 5.178112e+01 4.226330e-01 4.048746e-03 -1.779293e-04 -1.147962e-02
45.000 105.000 9.456204e+02 1.493585e+03 -2.246489e-01 4.812594e+01 9.619697e+02 1.476730e+03 -2.110798e-01 4.827053e+01 4.265099e-01 3.704309e-03 -1.990689e-04 -1.353031e-02
45.000 135.000 1.119213e+03 1.562827e+03 -1.654020e-01 5.107509e+01 1.133877e+03 1.547893e+03 -1.543815e-01 5.116497e+01 3.161038e-01 3.527148e-03 -1.524376e-04 -9.427409e-03
45.000 165.000 1.282993e+03 1.703857e+03 -1.409054e-01 5.410682e+01 1.293094e+03 1.692021e+03 -1.336390e-01 5.414612e+01 1.209980e-01 3.718881e-03 -9.492756e-05 -4.840487e-03
45.000 195.000 1.392539e+03 1.441376e+03 -1.723334e-02 5.322662e+01 1.391644e+03 1.442409e+03 -1.791260e-02 5.322728e+01 -1.065292e-01 4.062083e-03 9.023781e-06 1.677654e-03
45.000 225.000 1.777842e+03 1.000925e+03 2.795904e-01 5.061175e+01 1.765808e+03 1.009510e+03 2.725084e-01 5.068748e+01 -3.055119e-01 4.216829e-03 9.887027e-05 1.156060e-02
45.000 255.000 1.680711e+03 9.949085e+02 2.563153e-01 4.999837e+01 1.663092e+03 1.010428e+03 2.441216e-01 5.014170e+01 -4.226330e-01 4.048746e-03 1.722033e-04 1.357941e-02
45.000 285.000 1.677716e+03 1.138117e+03 1.916300e-01 5.208099e+01 1.657414e+03 1.157538e+03 1.775792e-01 5.221287e+01 -4.265099e-01 3.704309e-03 1.905280e-04 1.186882e-02
45.000 315.000 1.660322e+03 1.380143e+03 9.215014e-02 5.490579e+01 1.643829e+03 1.398562e+03 8.061661e-02 5.497835e+01 -3.161038e-01 3.527148e-03 1.484370e-04 7.435536e-03
45.000 345.000 1.464870e+03 1.296047e+03 6.114748e-02 5.244610e+01 1.454741e+03 1.304225e+03 5.455502e-02 5.244764e+01 -1.209980e-01 3.718881e-03 8.888191e-05 3.473003e-03
75.000 15.000 1.958538e+03 2.270869e+03 -7.384757e-02 6.485632e+01 1.947963e+03 2.282901e+03 -7.916549e-02 6.484094e+01 1.041870e-01 3.939682e-03 5.798636e-05 -2.745061e-03
75.000 45.000 2.099255e+03 2.909547e+03 -1.617737e-01 6.984066e+01 2.115961e+03 2.906162e+03 -1.573440e-01 6.998421e+01 2.817351e-01 3.834474e-03 -4.480282e-05 -6.350295e-03
75.000 75.000 1.616240e+03 2.719559e+03 -2.544672e-01 6.367920e+01 1.647107e+03 2.683806e+03 -2.393720e-01 6.389645e+01 3.837925e-01 3.780649e-03 -1.673347e-04 -1.002305e-02
75.000 105.000 1.704256e+03 2.741104e+03 -2.332426e-01 6.483458e+01 1.749702e+03 2.693974e+03 -2.124980e-01 6.513846e+01 3.830130e-01 3.834230e-03 -2.257182e-04 -9.505045e-03
75.000 135.000 1.804249e+03 2.633170e+03 -1.868025e-01 6.544138e+01 1.851137e+03 2.582311e+03 -1.649223e-01 6.567238e+01 2.796055e-01 3.939445e-03 -2.360028e-04 -7.127111e-03
75.000 165.000 2.188473e+03 2.120311e+03 1.581918e-02 6.563312e+01 2.227005e+03 2.088243e+03 3.215626e-02 6.565658e+01 1.012779e-01 3.991129e-03 -1.759783e-04 -1.302067e-03
75.000 195.000 2.564140e+03 2.023571e+03 1.178298e-01 6.726080e+01 2.580444e+03 2.008792e+03 1.245637e-01 6.721629e+01 -1.041870e-01 3.939682e-03 -7.081691e-05 3.300834e-03
75.000 225.000 2.500694e+03 1.994789e+03 1.125362e-01 6.662244e+01 2.489309e+03 2.003553e+03 1.081172e-01 6.663591e+01 -2.817351e-01 3.834475e-03 4.689715e-05 5.917995e-03
75.000 255.000 2.391631e+03 1.770759e+03 1.491625e-01 6.379482e+01 2.360498e+03 1.801176e+03 1.343982e-01 6.392575e+01 -3.837925e-01 3.780649e-03 1.634812e-04 8.354205e-03
75.000 285.000 2.910307e+03 1.916707e+03 2.058416e-01 6.798890e+01 2.857186e+03 1.966586e+03 1.846273e-01 6.825938e+01 -3.830130e-01 3.834230e-03 2.201968e-04 8.661040e-03
75.000 315.000 2.702811e+03 2.153081e+03 1.132087e-01 6.923625e+01 2.652573e+03 2.207444e+03 9.159015e-02 6.942080e+01 -2.796055e-01 3.939445e-03 2.204956e-04 5.673534e-03
75.000 345.000 2.723943e+03 2.549157e+03 3.314662e-02 7.257621e+01 2.681277e+03 2.593476e+03 1.664546e-02 7.261743e+01 -1.012779e-01 3.991129e-03 1.607243e-04 1.852185e-03
105.000 15.000 2.391065e+03 2.703657e+03 -6.135615e-02 7.124284e+01 2.375976e+03 2.717441e+03 -6.704052e-02 7.120762e+01 8.813573e-02 3.991129e-03 5.643296e-05 -2.098342e-03
105.000 45.000 2.801009e+03 3.185590e+03 -6.424031e-02 7.721330e+01 2.804376e+03 3.178111e+03 -6.247155e-02 7.719546e+01 2.488570e-01 3.939445e-03 -1.619986e-05 -4.054966e-03
105.000 75.000 2.397908e+03 3.498137e+03 -1.866046e-01 7.543697e+01 2.422315e+03 3.473037e+03 -1.782290e-01 7.555186e+01 3.428973e-01 3.834230e-03 -7.844882e-05 -7.019130e-03
105.000 105.000 2.080179e+03 3.058413e+03 -1.903701e-01 7.037305e+01 2.116568e+03 3.018193e+03 -1.755925e-01 7.054390e+01 3.450585e-01 3.780649e-03 -1.483046e-04 -7.608432e-03
105.000 135.000 2.375868e+03 3.001055e+03 -1.162724e-01 7.283015e+01 2.415180e+03 2.965734e+03 -1.023161e-01 7.296975e+01 2.547615e-01 3.834474e-03 -1.353716e-04 -5.094510e-03
105.000 165.000 2.422099e+03 3.169690e+03 -1.336945e-01 7.410695e+01 2.450527e+03 3.136020e+03 -1.227042e-01 7.417839e+01 9.620146e-02 3.939682e-03 -1.048156e-04 -3.102219e-03
105.000 195.000 2.664260e+03 2.667517e+03 -6.107992e-04 7.301901e+01 2.680550e+03 2.651164e+03 5.511696e-03 7.301748e+01 -8.813571e-02 3.991129e-03 -5.929009e-05 1.198659e-03
105.000 225.000 2.926920e+03 2.417674e+03 9.528248e-02 7.277412e+01 2.926887e+03 2.421607e+03 9.447150e-02 7.280631e+01 -2.488570e-01 3.939445e-03 7.878148e-06 4.728872e-03
105.000 255.000 3.100488e+03 2.456497e+03 1.158885e-01 7.404292e+01 3.079113e+03 2.477024e+03 1.083648e-01 7.410055e+01 -3.428973e-01 3.834230e-03 7.182297e-05 6.196213e-03
105.000 285.000 3.353563e+03 2.326076e+03 1.809073e-01 7.411990e+01 3.316391e+03 2.360709e+03 1.683398e-01 7.427127e+01 -3.450585e-01 3.780649e-03 1.197720e-04 7.096148e-03
105.000 315.000 3.387693e+03 2.309018e+03 1.893505e-01 7.411115e+01 3.345715e+03 2.345307e+03 1.757870e-01 7.426415e+01 -2.547616e-01 3.834474e-03 1.292783e-04 5.992513e-03
105.000 345.000 2.963456e+03 2.525812e+03 7.972722e-02 7.385375e+01 2.931506e+03 2.556926e+03 6.824899e-02 7.391121e+01 -9.620148e-02 3.939682e-03 1.098546e-04 2.382123e-03
135.000 15.000 1.881022e+03 2.089780e+03 -5.257321e-02 6.292715e+01 1.893130e+03 2.076526e+03 -4.619939e-02 6.293793e+01 6.038152e-02 3.718881e-03 -7.161585e-05 -1.795008e-03
135.000 45.000 1.897819e+03 2.702170e+03 -1.748594e-01 6.677829e+01 1.919837e+03 2.678834e+03 -1.650470e-01 6.688348e+01 2.013838e-01 3.527148e-03 -1.038205e-04 -5.634214e-03
135.000 75.000 1.947222e+03 2.380902e+03 -1.002004e-01 6.545739e+01 1.975974e+03 2.352393e+03 -8.696563e-02 6.554107e+01 2.884255e-01 3.704309e-03 -1.428779e-04 -5.937082e-03
135.000 105.000 2.037142e+03 2.490718e+03 -1.001746e-01 6.695090e+01 2.060106e+03 2.471179e+03 -9.071869e-02 6.703725e+01 2.981838e-01 4.048746e-03 -9.980513e-05 -5.950008e-03
135.000 135.000 2.037506e+03 2.408022e+03 -8.334597e-02 6.644281e+01 2.051481e+03 2.391521e+03 -7.653374e-02 6.646035e+01 2.280440e-01 4.216829e-03 -7.248844e-05 -4.686586e-03
135.000 165.000 1.820589e+03 2.282950e+03 -1.126737e-01 6.365094e+01 1.821250e+03 2.283160e+03 -1.125399e-01 6.365867e+01 9.679997e-02 4.062083e-03 -1.486633e-06 -3.290975e-03
135.000 195.000 2.110430e+03 1.957171e+03 3.767787e-02 6.373246e+01 2.098673e+03 1.966851e+03 3.242441e-02 6.372794e+01 -6.038150e-02 3.718881e-03 5.828877e-05 1.538610e-03
135.000 225.000 2.157939e+03 1.928288e+03 5.620113e-02 6.382257e+01 2.136847e+03 1.947287e+03 4.641377e-02 6.383836e+01 -2.013838e-01 3.527148e-03 1.084233e-04 4.035954e-03
135.000 255.000 2.663000e+03 1.942409e+03 1.564662e-01 6.702732e+01 2.628895e+03 1.973935e+03 1.422952e-01 6.715379e+01 -2.884255e-01 3.704309e-03 1.493563e-04 6.637467e-03
135.000 285.000 2.850574e+03 1.885927e+03 2.036623e-01 6.737982e+01 2.826100e+03 1.909871e+03 1.934617e-01 6.751826e+01 -2.981838e-01 4.048746e-03 1.069388e-04 7.448018e-03
135.000 315.000 2.475389e+03 2.090928e+03 8.419491e-02 6.733459e+01 2.462824e+03 2.106365e+03 7.801359e-02 6.738976e+01 -2.280440e-01 4.216829e-03 6.488593e-05 4.637124e-03
135.000 345.000 2.344228e+03 2.031411e+03 7.149062e-02 6.597935e+01 2.343676e+03 2.031188e+03 7.142808e-02 6.597382e+01 -9.679998e-02 4.062083e-03 6.703509e-07 2.550656e-03
165.000 15.000 9.796385e+02 1.058124e+03 -3.851561e-02 4.510809e+01 9.873098e+02 1.049167e+03 -3.037455e-02 4.510652e+01 5.485793e-02 3.078626e-03 -1.276200e-04 -2.069995e-03
165.000 45.000 9.383042e+02 1.201185e+03 -1.228708e-01 4.590413e+01 9.517076e+02 1.188106e+03 -1.104761e-01 4.597496e+01 1.732972e-01 4.566266e-03 -1.907807e-04 -6.451883e-03
165.000 75.000 8.853549e+02 1.226136e+03 -1.613937e-01 4.534855e+01 9.022112e+02 1.209155e+03 -1.453769e-01 4.546145e+01 2.453017e-01 5.146266e-03 -2.494339e-04 -8.968210e-03
165.000 105.000 8.501680e+02 1.067939e+03 -1.135342e-01 4.351301e+01 8.621998e+02 1.055648e+03 -1.008672e-01 4.356988e+01 2.515778e-01 4.554611e-03 -2.057107e-04 -8.390868e-03
165.000 135.000 8.039737e+02 1.137358e+03 -1.717295e-01 4.340598e+01 8.076451e+02 1.131933e+03 -1.671952e-01 4.342072e+01 1.904438e-01 3.061313e-03 -7.385396e-05 -8.343855e-03
165.000 165.000 9.059803e+02 1.077778e+03 -8.660200e-02 4.437206e+01 9.048368e+02 1.077956e+03 -8.731097e-02 4.435852e+01 7.828052e-02 1.933486e-03 1.129976e-05 -3.715908e-03
165.000 195.000 8.839709e+02 8.385316e+02 2.637981e-02 4.148860e+01 8.787492e+02 8.452502e+02 1.943098e-02 4.151323e+01 -5.485792e-02 3.078626e-03 1.183964e-04 1.958073e-03
165.000 225.000 1.052629e+03 8.116726e+02 1.292474e-01 4.281540e+01 1.039963e+03 8.204581e+02 1.179865e-01 4.283132e+01 -1.732972e-01 4.566266e-03 1.859419e-04 7.066257e-03
165.000 255.000 1.208825e+03 8.465032e+02 1.762841e-01 4.462574e+01 1.192783e+03 8.609252e+02 1.615895e-01 4.472229e+01 -2.453017e-01 5.146266e-03 2.325874e-04 9.447144e-03
165.000 285.000 1.171933e+03 8.079358e+02 1.838490e-01 4.373726e+01 1.160218e+03 8.141234e+02 1.752962e-01 4.374554e+01 -2.515778e-01 4.554611e-03 1.382614e-04 9.955510e-03
165.000 315.000 1.023323e+03 9.458070e+02 3.936553e-02 4.434048e+01 1.020612e+03 9.548781e+02 3.327462e-02 4.442187e+01 -1.904438e-01 3.061313e-03 9.704393e-05 5.182833e-03
165.000 345.000 1.044517e+03 8.898160e+02 7.997641e-02 4.384017e+01 1.044697e+03 8.882832e+02 8.091836e-02 4.382149e+01 -7.828054e-02 1.933486e-03 -1.519611e-05 3.609862e-03
195.000 15.000 9.186648e+02 1.137122e+03 -1.062646e-01 4.508406e+01 9.174021e+02 1.137700e+03 -1.071956e-01 4.507202e+01 7.828050e-02 1.933485e-03 1.460396e-05 -4.093355e-03
195.000 45.000 9.597789e+02 1.109652e+03 -7.242241e-02 4.537154e+01 9.628121e+02 1.104597e+03 -6.858089e-02 4.536172e+01 1.904437e-01 3.061313e-03 -5.987584e-05 -5.793635e-03
195.000 75.000 7.839395e+02 1.067839e+03 -1.533118e-01 4.252356e+01 7.902190e+02 1.057124e+03 -1.444805e-01 4.252976e+01 2.515777e-01 4.554611e-03 -1.468410e-04 -9.521533e-03
195.000 105.000 9.464895e+02 1.183940e+03 -1.114567e-01 4.586899e+01 9.630835e+02 1.167689e+03 -9.602411e-02 4.594699e+01 2.453017e-01 5.146266e-03 -2.377027e-04 -7.777767e-03
195.000 135.000 8.445807e+02 9.857938e+02 -7.714986e-02 4.265536e+01 8.557600e+02 9.745572e+02 -6.490530e-02 4.269200e+01 1.732972e-01 4.566266e-03 -2.028934e-04 -5.871410e-03
195.000 165.000 9.047445e+02 9.947683e+02 -4.739311e-02 4.353443e+01 9.102958e+02 9.880548e+02 -4.096139e-02 4.353350e+01 5.485795e-02 3.078626e-03 -1.044682e-04 -2.348740e-03
195.000 195.000 1.153224e+03 9.081349e+02 1.188970e-01 4.508014e+01 1.153423e+03 9.084686e+02 1.188010e-01 4.508648e+01 -7.828049e-02 1.933485e-03 1.506207e-06 4.373933e-03
