  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   6    0 -5.845e-02 -5.810e-02 2.4307e-03  4.174e-01  3.731e-01 2.3679e-03 -1.072e-02  5.288e-03 2.3904e-03 -2.019e-03 -1.046e-02 2.3453e-03  3.452e-02  5.030e-02 2.3320e-03 1.6315e-02 3.0790e-03 8.0271e-01 9.3735e-02 5.6990e-01 6.9898e+00 2.4858e+00 6.0415e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 4.142528e+02 5.378025e+02 -1.297716e-01 3.059448e+01 4.152348e+02 5.370497e+02 -1.279187e-01 3.060559e+01 1.178540e-01 1.868964e-03 -4.281684e-05 -8.093801e-03
15.000 45.000 3.503795e+02 5.480432e+02 -2.200119e-01 2.923926e+01 3.516944e+02 5.458623e+02 -2.163294e-01 2.924983e+01 3.350640e-01 2.956685e-03 -8.903919e-05 -1.898392e-02
15.000 75.000 4.095841e+02 5.446454e+02 -1.415397e-01 3.057962e+01 4.116547e+02 5.432845e+02 -1.378411e-01 3.060711e+01 4.624938e-01 4.396922e-03 -8.548498e-05 -1.975281e-02
15.000 105.000 4.357982e+02 7.065873e+02 -2.370383e-01 3.283593e+01 4.373248e+02 7.035339e+02 -2.333410e-01 3.284420e+01 4.659988e-01 4.967383e-03 -7.960846e-05 -2.141061e-02
15.000 135.000 4.667468e+02 5.857747e+02 -1.130883e-01 3.223447e+01 4.677966e+02 5.852910e+02 -1.115714e-01 3.224870e+01 3.446398e-01 4.407486e-03 -3.326862e-05 -1.419996e-02
15.000 165.000 5.410461e+02 6.993330e+02 -1.276117e-01 3.493107e+01 5.410167e+02 6.992041e+02 -1.275477e-01 3.492913e+01 1.309349e-01 2.972373e-03 -1.293993e-06 -7.401620e-03
15.000 195.000 7.226906e+02 3.913902e+02 2.973755e-01 3.186786e+01 7.215893e+02 3.918436e+02 2.961523e-01 3.187127e+01 -1.178540e-01 1.868964e-03 2.714122e-05 1.302973e-02
15.000 225.000 4.943349e+02 3.586286e+02 1.590998e-01 2.883353e+01 4.928611e+02 3.598130e+02 1.560363e-01 2.884292e+01 -3.350640e-01 2.956685e-03 7.511641e-05 1.713851e-02
15.000 255.000 4.974878e+02 3.913348e+02 1.194310e-01 2.959974e+01 4.957591e+02 3.949000e+02 1.132409e-01 2.965194e+01 -4.624938e-01 4.396922e-03 1.477452e-04 1.965980e-02
15.000 285.000 6.400774e+02 2.659290e+02 4.129644e-01 2.741344e+01 6.375811e+02 2.659563e+02 4.112998e-01 2.739869e+01 -4.659988e-01 4.967383e-03 4.294961e-05 3.206323e-02
15.000 315.000 5.750589e+02 3.235198e+02 2.799300e-01 2.877786e+01 5.735072e+02 3.243092e+02 2.775601e-01 2.878626e+01 -3.446398e-01 4.407487e-03 5.822200e-05 2.170314e-02
