  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   7    0 -7.011e-02 -5.813e-02 2.4254e-03  3.993e-01  3.730e-01 2.3623e-03 -1.596e-02  5.386e-03 2.3847e-03 -3.173e-03 -1.010e-02 2.3403e-03  4.656e-02  5.057e-02 2.3270e-03 -8.0107e-02 1.1434e-02 1.0736e+00 1.7948e-01 5.8946e-01 7.2163e+00 2.4375e+00 4.7525e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 2.817150e+01 4.285395e+01 -2.067210e-01 8.245622e+00 2.827569e+01 4.258381e+01 -2.019225e-01 8.244415e+00 1.181685e-01 1.864872e-03 -4.115312e-04 -3.940146e-02
15.000 45.000 1.743893e+01 3.946736e+01 -3.871001e-01 6.955507e+00 1.760982e+01 3.909328e+01 -3.788762e-01 6.968754e+00 3.352167e-01 2.950087e-03 -8.352555e-04 -1.038482e-01
15.000 75.000 0.000000e+00 2.316947e+01 -1.000000e+00 2.000000e+00 0.000000e+00 2.301617e+01 -1.000000e+00 2.000000e+00 4.624439e-01 4.387043e-03 0.000000e+00 -7.312202e-01
15.000 105.000 7.459979e+00 2.187670e+01 -4.914230e-01 4.717199e+00 7.507490e+00 2.177771e+01 -4.872844e-01 4.725626e+00 4.657596e-01 4.956209e-03 -6.198245e-04 -2.029132e-01
15.000 135.000 4.000383e+01 3.037923e+01 1.367460e-01 8.310652e+00 4.053193e+01 3.015520e+01 1.467980e-01 8.316480e+00 3.442754e-01 4.397584e-03 -8.549697e-04 -2.497149e-02
15.000 165.000 2.012866e+01 5.052645e+01 -4.302277e-01 7.587960e+00 2.014608e+01 5.050137e+01 -4.296728e-01 7.589770e+00 1.305429e-01 2.965740e-03 -5.170543e-05 -7.390268e-02
15.000 195.000 0.000000e+00 1.684019e+01 -1.000000e+00 2.000000e+00 0.000000e+00 1.690278e+01 -1.000000e+00 2.000000e+00 -1.181685e-01 1.864872e-03 0.000000e+00 -4.409156e-01
15.000 225.000 2.757120e+01 1.748050e+01 2.239805e-01 6.541527e+00 2.739842e+01 1.763842e+01 2.167116e-01 6.551468e+00 -3.352167e-01 2.950087e-03 7.851338e-04 8.548420e-02
15.000 255.000 6.787356e+01 4.157685e+01 2.402614e-01 1.015541e+01 6.744960e+01 4.231373e+01 2.290006e-01 1.019839e+01 -4.624439e-01 4.387042e-03 7.824171e-04 6.919518e-02
15.000 285.000 2.369524e+01 1.737006e+01 1.540275e-01 6.331749e+00 2.356409e+01 1.743911e+01 1.493781e-01 6.331529e+00 -4.657596e-01 4.956209e-03 5.192388e-04 9.788557e-02
15.000 315.000 6.002650e+01 3.100880e+01 3.187521e-01 9.043553e+00 5.955449e+01 3.123694e+01 3.118967e-01 9.053136e+00 -3.442754e-01 4.397584e-03 5.357303e-04 7.331493e-02
15.000 345.000 4.889834e+01 3.643161e+01 1.461003e-01 9.138302e+00 4.887792e+01 3.646046e+01 1.455086e-01 9.139559e+00 -1.305429e-01 2.965740e-03 4.578262e-05 3.027293e-02
45.000 15.000 5.836025e+01 2.715114e+01 3.649702e-01 8.609355e+00 5.753962e+01 2.715931e+01 3.586859e-01 8.590805e+00 1.077250e-01 3.913983e-03 5.166982e-04 2.987972e-02
