  #t  #Q2   A1M1_AVG      A_1M1     dA_1M1   A0P1_AVG      A_0P1     dA_0P1   A2M1_AVG      A_2M1     dA_2M1   A3M1_AVG      A_3M1     dA_3M1   A1P1_AVG      A_1P1     dA_1P1       Asym      Astat          t         tp         xb         Q2          W     Dilute
   1    0 -3.973e-02 -3.397e-02 5.9019e-03  3.449e-01  3.082e-01 5.7872e-03 -4.753e-03  2.842e-02 5.8548e-03  4.579e-04 -6.112e-02 5.8096e-03  1.141e-02 -9.517e-03 5.8241e-03 -1.2609e-02 1.8975e-03 1.6479e-01 1.4547e-02 3.3571e-01 4.3755e+00 3.0928e+00 7.8843e-01
   Phi   PhiS      N_U_avg      N_D_avg     Asym_avg    dAsym_avg      N_U_fit      N_D_fit     Asym_fit    dAsym_fit     Asym_cal    dAsym_cal     GOOD_fit     GOOD_cal
15.000 15.000 1.271669e+03 1.402923e+03 -4.907425e-02 5.165415e+01 1.293156e+03 1.373544e+03 -3.014502e-02 5.161664e+01 5.180517e-02 4.632240e-03 -2.592212e-04 -1.952978e-03
15.000 45.000 7.396294e+02 1.460662e+03 -3.276987e-01 4.431715e+01 7.558036e+02 1.439462e+03 -3.114240e-01 4.452368e+01 2.193177e-01 7.293167e-03 -2.590682e-04 -1.234322e-02
15.000 75.000 1.147805e+03 1.689684e+03 -1.909715e-01 5.228772e+01 1.168588e+03 1.667090e+03 -1.757964e-01 5.242178e+01 3.280642e-01 1.081063e-02 -2.049548e-04 -9.926532e-03
15.000 105.000 1.042425e+03 1.826687e+03 -2.733468e-01 5.152413e+01 1.051876e+03 1.818352e+03 -2.670434e-01 5.162892e+01 3.489062e-01 1.219905e-02 -8.641883e-05 -1.207692e-02
15.000 135.000 6.101021e+02 1.302022e+03 -3.618591e-01 4.076452e+01 6.111358e+02 1.300373e+03 -3.605724e-01 4.077976e+01 2.762591e-01 1.082054e-02 -2.231607e-05 -1.565376e-02
15.000 165.000 9.301376e+02 1.687924e+03 -2.894457e-01 4.897677e+01 9.183852e+02 1.706891e+03 -3.003514e-01 4.887174e+01 1.295885e-01 7.307842e-03 1.576210e-04 -8.555776e-03
15.000 195.000 1.585646e+03 1.511094e+03 2.407451e-02 5.563223e+01 1.559401e+03 1.532999e+03 8.537831e-03 5.560733e+01 -5.180515e-02 4.632240e-03 1.975213e-04 1.363951e-03
15.000 225.000 1.155243e+03 1.234398e+03 -3.312430e-02 4.885713e+01 1.136082e+03 1.260065e+03 -5.174271e-02 4.888489e+01 -2.193177e-01 7.293167e-03 2.693868e-04 3.810977e-03
15.000 255.000 1.134369e+03 1.417321e+03 -1.108880e-01 5.020273e+01 1.113110e+03 1.440714e+03 -1.282799e-01 5.011785e+01 -3.280642e-01 1.081063e-02 2.451734e-04 4.325985e-03
15.000 285.000 9.459744e+02 1.404152e+03 -1.949588e-01 4.754788e+01 9.388308e+02 1.413354e+03 -2.017373e-01 4.750217e+01 -3.489062e-01 1.219905e-02 1.008549e-04 3.237736e-03
15.000 315.000 1.023957e+03 1.429900e+03 -1.654305e-01 4.885388e+01 1.027514e+03 1.428622e+03 -1.633089e-01 4.889408e+01 -2.762591e-01 1.082054e-02 -3.069505e-05 2.268572e-03
15.000 345.000 1.813900e+03 1.296116e+03 1.664890e-01 5.498919e+01 1.835211e+03 1.282803e+03 1.771667e-01 5.495585e+01 -1.295886e-01 7.307843e-03 -1.373462e-04 5.384287e-03
45.000 15.000 1.620527e+03 1.607992e+03 3.882334e-03 5.681963e+01 1.660643e+03 1.572076e+03 2.739709e-02 5.683567e+01 2.906120e-02 9.679244e-03 -2.925943e-04 -4.431368e-04
45.000 45.000 1.666215e+03 1.441957e+03 7.215079e-02 5.560568e+01 1.736393e+03 1.390824e+03 1.105036e-01 5.557905e+01 1.673893e-01 1.007754e-02 -4.878281e-04 -1.712747e-03
45.000 75.000 1.420885e+03 1.970616e+03 -1.620908e-01 5.746647e+01 1.486029e+03 1.900084e+03 -1.222802e-01 5.775364e+01 2.608655e-01 9.643972e-03 -4.886338e-04 -7.360054e-03
45.000 105.000 1.275259e+03 2.071027e+03 -2.378064e-01 5.618761e+01 1.320695e+03 2.013541e+03 -2.077975e-01 5.648242e+01 2.844431e-01 8.751378e-03 -3.766659e-04 -9.294746e-03
45.000 135.000 1.333268e+03 1.762345e+03 -1.386080e-01 5.510117e+01 1.351741e+03 1.734811e+03 -1.241093e-01 5.512720e+01 2.318043e-01 8.289608e-03 -1.860154e-04 -6.722403e-03
45.000 165.000 1.280417e+03 1.623624e+03 -1.181827e-01 5.351150e+01 1.282903e+03 1.629687e+03 -1.190638e-01 5.358451e+01 1.170538e-01 8.790232e-03 1.163541e-05 -4.396000e-03
45.000 195.000 1.634030e+03 1.398196e+03 7.777587e-02 5.489885e+01 1.595765e+03 1.437245e+03 5.226486e-02 5.499750e+01 -2.906119e-02 9.679244e-03 3.282913e-04 1.946071e-03
45.000 225.000 1.333999e+03 1.513822e+03 -6.314387e-02 5.325849e+01 1.289405e+03 1.581073e+03 -1.016095e-01 5.329955e+01 -1.673893e-01 1.007754e-02 5.105071e-04 1.957348e-03
45.000 255.000 1.951067e+03 9.749312e+02 3.336077e-01 5.099364e+01 1.881264e+03 1.019820e+03 2.969387e-01 5.143237e+01 -2.608655e-01 9.643972e-03 5.062916e-04 1.165779e-02
45.000 285.000 1.757509e+03 1.552591e+03 6.190684e-02 5.742311e+01 1.708599e+03 1.620152e+03 2.657053e-02 5.767495e+01 -2.844431e-01 8.751378e-03 4.341772e-04 6.031542e-03
